廉颇者，赵之良将也。	Liêm Pha là tướng giỏi của Triệu.
秦王饮酒酣，曰：“寡人窃闻赵王好 音，请奏瑟。”	Tần vương uống rượu say, nói: “Quả nhân trộm nghe Triệu vương thích nhạc, xin hãy tấu đàn sắt.”
赵王鼓瑟。	Triệu vương đánh đàn sắt.
秦御史前书曰“某年月日，秦王与赵王会 饮，令赵王鼓瑟”。	Quan Ngự sử nước Tần bước lên ghi: “Ngày... tháng... năm, Tần vương và Triệu vương gặp mặt uống rượu, sai Triệu vương gảy đàn sắt.”
蔺相如前曰：“赵王窃闻秦王善为秦声，请奏盆 鲊秦王，以相娱乐。”	Lận Tương Như bước lên nói: “Triệu vương trộm nghe Tần vương giỏi về nhạc Tần, xin dâng vò sành để Tần vương đánh nhạc cùng vui.”
秦王怒，不许。	Tần vương giận, không chịu.
於是相 如前进鲊，因跪请秦王。	Lận Tương Như đem vò sành đưa đến trước mặt, quỳ xuống mời Tần vương gõ.
秦王不肯击鲊。	Tần vương không chịu gõ.
相如曰：“五步之内，相如 请得以颈血溅大王矣！”	Tương Như nói: “Trong vòng năm bước, Tương Như xin lấy máu ở cổ vấy lên đại vương.”
左右欲刃相如，相如张目叱 之，左右皆靡。	Tả hữu muốn đâm Tương Như, Tương Như trợn mắt quát, tả hữu đều lui.
於是秦王不怿，为一击鲊。	Tần vương không vui, phải gõ một cái.
相如顾召赵御史书曰“某 年月日，秦王为赵王击鲊”。	Tương Như quay đầu triệu Ngự sử nước Triệu đến ghi rằng: “Ngày... tháng... năm..., Tần vương gõ vò cho Triệu vương nghe.”
秦之群臣曰：“请以赵十五城为秦王 寿”。	Quần thần nước Tần nói: “Xin cắt mười lăm thành của Triệu để chúc thọ Tần vương.”
蔺相如亦曰：“请以秦之咸阳为赵王寿。”	Lận Tương Như cũng nói: “Xin cắt đất Hàm Dương của Tần để chúc thọ Triệu vương.”
秦王竟酒，终不能 加胜於赵。	Khi tàn cuộc rượu, Tần vương cuối cùng không tranh hơn được với Triệu.
赵亦盛设兵以待秦，秦不敢动。	Triệu cũng bày nhiều quân lính tiếp đón Tần, Tần không dám manh động.
既罢归国，以相如功大，拜为上卿，位在廉颇之右。	Về nước, Tương Như có công lớn, được phong làm thượng khanh, địa vị trên cả Liêm Pha.
廉颇曰：“我为赵将，有攻城 野战之大功，而蔺相如徒以口舌为劳，而位居我上，且相如素贱人， 吾羞，不忍为之下。”	Liêm Pha nói: “Ta là tướng Triệu, đánh thành chiếm đất lập đại công, còn Lận Tương Như nhờ miệng lưỡi, địa vị trên ta, vả Tương Như xuất thân hèn hạ, ta xấu hổ, không cam tâm đứng dưới.”
宣言曰：“我见相如，必辱之。”	Lại rêu rao: “Ta gặp Tương Như, ắt làm nhục ông ta.”
相如闻，不 肯与会。	Tương Như nghe chuyện, không chịu gặp mặt.
相如每朝时，常称病，不欲与廉颇争列。	Mỗi khi Tương Như vào triều, thường cáo ốm, không muốn tranh thứ bậc với Liêm Pha.
已而相如出，望见 廉颇，相如引车避匿。	Không lâu sau, Tương Như ra ngoài, trông thấy Liêm Pha, bèn cho xe tránh đi.
於是舍人相与谏曰：“臣所以去亲戚而事君 者，徒慕君之高义也。今君与廉颇同列，廉君宣恶言而君畏匿之，恐 惧殊甚，且庸人尚羞之，况於将相乎！臣等不肖，请辞去。”	Xá nhân thấy vậy can rằng: “Tôi sở dĩ bỏ thân thích theo thờ ngài, vì mộ ngài cao nghĩa. Nay ngài với Liêm Pha ngang hàng, Liêm Pha nói xấu sau lưng mà ngài tránh ông ta, e sợ thật quá mức, như người thường còn thấy xấu hổ, huống chi hạng tướng võ tướng văn! Bọn tôi kém cỏi, xin từ biệt.”
蔺相如 固止之，曰：“公之视廉将军孰与秦王？”	Lận Tương Như ra sức ngăn lại, nói: “Ông xem tướng quân Liêm Pha có bằng Tần vương không?”
曰：“不若也。”	Đáp: “Không bằng được.”
相如 曰：“夫以秦王之威，而相如廷叱之，辱其群臣，相如虽驽，独畏廉 将军哉？顾吾念之，彊秦之所以不敢加兵於赵者，徒以吾两人在也。 今两虎共斗，其势不俱生。吾所以为此者，以先国家之急而後私雠 也。”	Tương Như nói: “Tần vương oai phong, Tương Như còn quát mắng ở triều đình, làm nhục quần thần ông ta, Tương Như tuy tầm thường, há riêng sợ Liêm tướng quân? Ta vốn nghĩ, Tần mạnh sở dĩ không dám đem quân đánh Triệu, là vì hai người bọn ta. Nay hai hổ đấu nhau, ắt một con phải chết. Vì lẽ đó ta đặt quốc gia cấp bách lên trước mà gạt oán thù riêng sang một bên.”
廉颇闻之，肉袒负荆， 因宾客至蔺相如门谢罪。 曰：“鄙贱之人，不知 将军宽之至此也。”	Liêm Pha nghe chuyện, cởi trần mang roi gai, thông qua tân khách đến Cổng nhà Lận Tương Như tạ tội, nói: “Kẻ hèn này đâu biết tướng quân rộng lượng đến thế.”
是岁，廉颇东攻齐，破其一军。	Năm đó, Liêm Pha đông đánh Tề, phá một cánh quân.
居二年，廉颇复伐齐几，拔之。	Được hai năm, Liêm Pha lại đánh đất Kỷ của Tề, hạ được.
後三年，廉颇攻魏之防陵、 安阳，拔之。 後四年，蔺相如 将而攻齐，至平邑而罢。	Ba năm sau, Liêm Pha đánh Phòng Lăng và An Dương của Ngụy, hạ được. Bốn năm sau, Lận Tương Như cầm quân đánh Tề, kéo đến Bình Ấp rồi bãi binh.
其明年， 赵奢破秦军阏与下。	Năm sau, Triệu Xa phá quân Tần ở dưới thành Át Dự.
赵奢者，赵之田部吏也。 收租税而平原君家不肯出租，奢以法治 之，杀平原君用事者九人。	Triệu Xa là viên lại quản việc ruộng nương ở Triệu, thu tô thuế nhưng nhà Bình Nguyên quân không chịu nộp, Xa xử theo pháp luật, giết mười chín người làm việc cho Bình Nguyên quân.
平原君怒，将杀奢。	Bình Nguyên quân nổi giận, định giết Xa.
奢因说曰：“君於赵 为贵公子，今纵君家而不奉公则法削，法削则国弱，国弱则诸侯加 兵，诸侯加兵是无赵也，君安得有此富乎？以君之贵，奉公如法则上 下平，上下平则国彊，国彊则赵固，而君为贵戚，岂轻於天下 邪？”	Xa nhân đó nói: “Ngài là quý công tử của Triệu, nay dung túng người nhà không theo phép công khiến pháp luật bị khinh nhờn, pháp luật bị khinh nhờn thì nước yếu, nước yếu thì chư hầu tiến đánh, chư hầu tiến đánh thì không còn Triệu, ngài sao giàu được thế nữa? Sang quý như ngài, làm theo phép công thì trên dưới công bằng, trên dưới công bằng thì nước mạnh, nước mạnh thì Triệu vững, ngài là quý thích, há để thiên hạ xem thường ư?”
平原君以为贤，言之於王。	Bình Nguyên quân cho là hiền năng, nói với Triệu vương.
秦伐韩，军於阏与。	Tần đánh Hàn, đóng quân ở Át Dự.
王召廉颇而问曰：“可救不？”	Triệu vương gọi Liêm Pha đến hỏi: “Cứu được không?”
对曰：“道 远险狭，难救。”	Đáp rằng: “Đường xa gập ghềnh nhỏ hẹp, khó cứu.”
又召乐乘而问焉，乐乘对如廉颇言。	Lại triệu Nhạc Thừa đến hỏi, Nhạc Thừa đáp như Liêm Pha.
又召问赵奢， 奢对曰：“其道远险狭，譬之犹两鼠斗於穴中，将勇者胜。”	Lại gọi Triệu Xa, Xa đáp: “Đường đến đó xa xôi, gập ghềnh lại nhỏ hẹp, ví như hai con chuột đánh nhau trong hang, con nào dũng mãnh thì thắng.”
王乃令 赵奢将，救之。	Triệu vương bèn lệnh Triệu Xa cầm quân, cứu Hàn.
兵去邯郸三十里，而令军中曰：“有以军事谏者死。”	Quân Triệu đi khỏi Hàm Đan ba mươi dặm, Triệu Xa lệnh trong quân: “Ai đem việc quân can ngăn thì xử tội chết.”
军中候有一人言急救武安，赵奢立斩之。	Trong quân có thám mã nói phải cứu gấp Vũ An, Triệu Xa lập tức chém.
坚壁，留二十八日不 行，复益增垒。	Đắp tường kiên cố, lưu lại hai mươi tám ngày không đi, đắp thêm hào lũy.
秦间来入，赵奢善食而遣之。	Thám báo quân Tần lẻn vào, Triệu Xa cho ăn ngon rồi thả về.
间以报秦将，秦将大喜 曰：“夫去国三十里而军不行，乃增垒，阏 与非赵地也。”	Thám báo về báo với tướng Tần, tướng Tần cả mừng nói: “Rời khỏi nước ba mươi dặm mà quân không đi, lại đắp thêm hào lũy, Át Dự không còn là đất của Triệu nữa.”
赵奢既已遣秦间，卷甲而趋之，二日一夜至，今善射 者去阏与五十里而军。	Triệu Xa thả tên thám thính của Tần đi, bèn cuốn giáp chạy, hai ngày một đêm thì đến, lệnh những tay thiện xạ đóng quân cách Át Dự năm mươi dặm.
军垒成，秦人闻之，悉甲而至。	Đắp lũy quân xong, quân Tần hay tin, đem quân kéo đến.
军士许历请以 军事谏，赵奢曰：“内之。”	Quân sĩ là Hứa Lịch xin can việc quân, Triệu Xa nói: “Cho vào.”
许历曰：“秦人不意赵师至此，其来气 盛，将军必厚集其阵以待之。不然，必败。”	Hứa Lịch nói: “Quân Tần không ngờ Triệu đến, khí thế rất mạnh, tướng quân phải tập trung quân lập trận thế để chờ họ, nếu không, ắt thua.”
赵奢曰：“请受 令。”	Triệu Xa nói: “Xin vâng lệnh.”
许历曰：“请就鈇质之诛。”	Hứa Lịch nói: “Xin chịu tội chết.”
赵奢曰：“胥後令 邯郸。”	Triệu Xa bảo: “Đợi sau khi về đến Hàm Đan.”
许历复请谏， 曰：“先据北山上者胜， 後至者 败。”	Hứa Lịch lại góp ý: “Ai chiếm và lên được núi phía bắc thì thắng, ai đến sau tất thua.”
赵奢许诺，即发万人趋之。	Triệu Xa đồng ý, cho vạn quân đến đó.
秦兵後至，争山不得上，赵奢纵兵 击之，大破秦军。	Quân Tần đến sau, tranh núi nhưng không lên được, Triệu Xa tung quân ra đánh, đại phá quân Tần.
秦军解而走，遂解阏与之围而归。	Quân Tần tháo vây rút chạy, bèn giải vây Át Dự rồi về.
赵惠文王赐奢号为马服君，以许历为国尉。	Huệ Văn vương nước Triệu tặng Xa hiệu là Mã Phục quân, cho Hứa Lịch làm Quốc úy.
赵奢於是与廉颇、蔺 相如同位。	Vì thế Triệu Xa ngang hàng Liêm Pha và Lận Tương Như.
後四年，赵惠文王卒，子孝成王立。	Bốn năm sau, Huệ Văn vương nước Triệu chết, con là Hiếu Thành vương lên thay.
七年，秦与赵兵相距长平， 时赵奢已死，而 蔺相如病笃，赵使廉颇将攻秦，秦数败赵军，赵军固壁不战。	Năm thứ bảy, quân Tần và Triệu đối trận Trường Bình, bấy giờ Triệu Xa đã chết, Lận Tương Như đang bệnh nặng, Triệu sai Liêm Pha cầm quân đánh Tần, Tần nhiều lần đánh bại quân Triệu, quân Triệu giữ vững thành không ra đánh.
秦数挑 战，廉颇不肯。	Tần nhiều lần khiêu chiến, Liêm Pha không đánh.
赵王信秦之间。	Triệu vương tin kế phản gián của Tần.
秦之间言曰：“秦之所恶，独畏马服 君赵奢之子赵括为将耳。”	Phản gián nước Tần nói: “Tần sợ nhất con trai Mã Phục quân Triệu Xa là Triệu Quát cầm quân.”
赵王因以括为将，代廉颇。	Triệu vương nhân đó phong Quát làm tướng thay Liêm Pha.
蔺相如 曰：“王以名使括，若胶柱而鼓瑟耳。括徒能读其父书传，不知合变 也。”	Lận Tương Như nói: “Đại vương dựa vào danh sai Quát làm tướng, như dán trục đàn mà muốn gảy vậy. Quát đọc sách cha để lại nhưng không biết thay đổi cho phù hợp.”
赵王不听，遂将之。	Triệu vương không nghe, cho Quát cầm quân.
尝与其父奢言兵 事，奢不能难，然不谓善。	Thường luận bàn việc binh cùng cha là Xa, Xa không thể làm khó được, nhưng không cho là phải.
括母问奢其故，奢曰：“兵，死地也，而 括易言之。使赵不将括即已，若必将之，破赵军者必括也。”	Mẹ Quát hỏi lý do, Triệu Xa đáp: “Dùng binh, là đất chết, mà thằng Quát nói dễ dàng, giả sử Triệu không dùng thằng Quát thì thôi, nếu dùng làm tướng, người phá Triệu ắt là nó đấy.”
及括将 行，其母上书言於王曰：“括不可使将。”	Đến khi Quát sắp lên đường, mẹ Quát dâng thư nói với Triệu vương: “Không thể sai Quát làm tướng.”
王曰：“何以？”	Nhà vua hỏi: “Tại sao?”
对 曰：“始妾事其父，时为将，身所奉饭饮而进食者以十数， 所友者以百数，大王及宗室所赏赐者尽以予军吏士大夫，受命 之日，不问家事。今括一旦为将，东向而朝，军吏无敢仰视之者，王 所赐金帛，归藏於家，而日视便利田宅可买者买之。王以为何如其 父？父子异心，原王勿遣。”	Đáp rằng: “Khi trước thiếp thờ cha Quát, lúc ông ấy làm tướng, người dâng cơm rượu có hàng chục, bạn bè có hàng trăm, đại vương và tông thất tặng thưởng thứ gì đều đem cho quân binh, quan lại, sĩ đại phu; lúc nhận lệnh lên đường, không hỏi đến việc nhà. Nay Quát một sớm làm tướng, quay mặt về đông tiếp kiến thuộc hạ, quân lính không dám ngẩng mặt lên nhìn, vàng lụa đại vương ban cất hết trong nhà, hằng ngày thấy nhà ruộng có lợi mua được thì mua luôn. Đại vương cho nó bằng cha nó không? Cha con lòng dạ khác nhau, đại vương đừng cho làm tướng.”
王曰：“母置之，吾已决矣。”	Triệu vương nói: “Đừng nhắc nữa, ta quyết rồi.”
括母因 曰：“王终遣之，即有如不称，妾得无随坐乎？”	Mẹ Quát nhân đó nói: “Nếu đại vương nhất quyết dùng nó, nhược bằng xảy ra việc gì, thiếp có khỏi bị liên lụy chăng?”
王许诺。	Triệu vương đồng ý.
赵括既代廉颇，悉更约束，易置军吏。	Triệu Quát thay Liêm Pha, đổi hết quy định, thay các viên quân lại.
秦将白起闻之，纵奇兵， 详败走，而绝其粮道，分断其军为二，士卒离心。	Tướng Tần là Bạch Khởi nghe tin, tung kỳ binh, vờ thua chạy, rồi cắt đường lương thảo, chia quân Triệu Quát làm hai, lòng quân ly tán.
四十馀日，军饿， 赵括出锐卒自博战，秦军射杀赵括。	Hơn bốn mươi ngày, quân Triệu đói, Triệu Quát đem quân tinh nhuệ đích thân đốc chiến, bị quân Tần bắn chết.
括军败，数十万之众遂降秦，秦 悉阬之。	Quân Quát thua, mấy chục vạn quân đầu hàng Tần, Tần chôn sống hết.
赵前後所亡凡四十五万。	Triệu trước sau mất khoảng bốn mươi lăm vạn quân.
明年，秦兵遂围邯郸，岁馀，几不 得脱。 赖楚、魏诸侯来救，乃得解邯郸之围。	Năm sau, quân Tần bèn vây Hàm Đan, hơn một năm, suýt không thoát nổi, nhờ chư hầu Sở và Ngụy đến cứu, mới giải vây được Hàm Đan.
赵王亦以括母先言，竟 不诛也。	Triệu vương cũng theo lời nói trước, cuối cùng không giết mẹ Triệu Quát.
自邯郸围解五年，而燕用栗腹之谋，曰“赵壮者尽於长平，其孤 未壮”，举兵击赵。	Năm năm sau khi giải vây Hàm Đan, Yên theo kế của Lật Phúc, nói: “Trai tráng nước Triệu chết cả ở Trường Binh, con côi của họ chưa lớn”, cất quân đánh Triệu.
赵使廉颇将，击，大破燕军於鄗，杀栗腹，遂围 燕。	Triệu sai Liêm Pha làm tướng, đánh Yên, đại phá quân Yên tại đất Hạo, giết Lật Phúc, bao vây Yên.
赵以尉文封廉 颇为信平君， 为假相国。	Triệu phong cho Liêm Pha đất Uy Văn, hiệu là Tín Bình quân, thay quyền Tướng quốc.
廉颇之免长平归也，失势之时，故客尽去。	Lúc Liêm Pha bị bãi chức từ Trường Bình về, thất thế, tân khách cũ bỏ đi hết.
及复用为将，客又复 至。	Tới khi được làm tướng, khách lại kéo đến.
廉颇曰：“客退矣！”	Liêm Pha nói: “Khách đi hết đi!”
客曰：“吁！君何见之晚也？夫天下以市 道交，君有势，我则从君，君无势则去，此固其理也，有何怨 乎？”	Khách nói: “Ôi, sao ngài thấy muộn thế? Xét, đạo giao du trong thiên hạ như ở chợ vậy, ngài có thế, tôi theo ngài, ngài thất thế, tôi bỏ đi, đó là lẽ cố nhiên, có gì phải oán?”
居六年，赵使廉颇伐魏之繁阳， 拔之。	Được sáu năm, Triệu sai Liêm Pha đánh đất Phồn Dương của Ngụy, hạ được.
赵孝成王卒，子悼襄王立，使乐乘代廉颇。	Hiếu Thành vương nước Triệu chết, con là Điệu Tương vương lên thay, sai Nhạc Thừa thay Liêm Pha.
廉颇怒，攻乐乘，乐 乘走。	Liêm Pha giận, đánh Nhạc Thừa, Nhạc Thừa chạy.
廉颇遂奔魏之大梁。	Liêm Pha liền chạy sang Đại Lương nước Ngụy.
其明年，赵乃以李牧为将而攻燕，拔武 遂、方城。	Năm sau, Triệu bèn phong Lý Mục làm tướng cầm quân đánh Yên, hạ được Vũ Toại và Phương Thành.
赵以数困於秦兵，赵王思复得廉 颇，廉颇亦思复用於赵。	Triệu nhiều lần bị Tần vây khốn, Triệu vương muốn dùng lại Liêm Pha, Liêm Pha cũng muốn được dùng lại ở Triệu.
赵王使使者视廉颇尚可用否。	Triệu vương sai sứ giả đến xem dùng được Liêm Pha không?
廉颇之仇郭开 多与使者金，令毁之。	Kẻ thù của Liêm Pha là Quách Khai đút lót nhiều vàng cho sứ giả, bảo nói xấu Liêm Pha.
