韩子曰：“儒以文乱法， 而侠以武犯禁。”	Hàn Phi tử nói: “Nho gia dùng văn làm loạn pháp lệnh, còn kẻ du hiệp dựa vào võ phạm vào cấm lệnh.”
而布衣之徒，设取予然诺，千里诵义，为 死不顾世，此亦有所长，非苟而已也。	Còn bọn áo vải, coi trọng việc lấy và bỏ, xem trọng lời hứa, ngàn dặm vẫn ca tụng chính nghĩa, dẫu chết vẫn không màng đến đời, vậy cũng là có sở trường, không phải tùy tiện mà làm.
故士穷窘而得委命，此岂非人 之所谓贤豪间者邪？	Cho nên kẻ sĩ gặp cảnh cùng quẫn thì có chỗ gửi gắm vận mệnh, đó há không phải những kẻ được người ta gọi là hiền nhân, hào hiệp ư?
诚使乡曲之侠，予季次、原宪比权量力，效功於 当世，不同日而论矣。	Nếu để những kẻ nghĩa hiệp nơi làng xóm so quyền thế, năng lực với Quý Thứ, Nguyên Hiến, về sự cống hiến với đời, không thể so được.
要以功见言信，侠客之义又曷可少哉！	Còn đem việc thu tín ra mà so thì đạo nghĩa của hiệp khách đầu phải là kém!
古布衣之侠，靡得而闻已。	Những hiệp khách áo vải thời xưa không còn được nghe nữa.
近世延陵、 孟尝、春申、平原、信陵之徒， 皆因王者亲属，藉於有土卿相之富厚，招天下贤者，显名诸侯，不可 谓不贤者矣。	Gần đây bọn Diên Lăng, Mạnh Thường, Xuân Thân, Bình Nguyên, Tín Lăng, đều nhờ là thân thuộc của vương giả, dựa vào đất phong và sự giàu sang của ngôi khanh tướng, chiêu tập hiền tài trong thiên hạ, hiển danh với chư hầu, không thể nói là họ không giỏi.
至如闾巷之侠， 脩行砥名，声施於天下，莫不称贤，是为难耳。	Đến như những hiệp khách nơi xóm làng, tu dưỡng phẩm hạnh, rèn giữ danh tiết, thanh danh lan khắp thiên hạ, không ai không khen hiền năng, thế mới là khó.
然 儒、墨皆排摈不载。	Thế nhưng Nho gia Mặc gia đều gạt không chép.
自秦以前，匹夫之侠，湮灭不见，余甚恨之。	Từ Tần về trước, hạng thất phu mà làm hiệp khách, mai một không còn thấy đâu, ta rất tiếc về việc đó.
以 余所闻，汉兴有硃家、田仲、王公、剧孟、郭解之徒，虽时扞当世之 文罔，然其私义廉絜退 让，有足称者。	Theo những điều ta được nghe, nhà Hán hưng khởi có bọn Chu Gia, Điền Trọng, Vương Công, Kịch Mạnh, Quách Giải, dẫu thường phạm vào lưới pháp đương thời, nhưng cá nhân họ nghĩa khí, liêm khiết, khiêm nhượng, đủ để khen ngợi.
名不虚立，士不虚附。	Danh tiếng không phải tự nhiên được dựng, kẻ sĩ không phải vô cớ theo họ.
至如朋党宗彊比周，设财役 贫，豪暴侵凌孤弱，恣欲自快，游侠亦丑之。	Còn như bọn hào cường cậy phe dựa cánh, cấu kết với nhau, dùng tiền của để sai khiến những người nghèo khó, cậy thế lực mà khinh người sức yếu thế cô, phóng túng tự đắc, kẻ du hiệp cũng hổ thẹn vì họ.
余悲世俗不察其意，而 猥以硃家、郭解等令与暴豪之徒同类而共笑之也。	Ta đau xót vì thói đời không xét chí hướng của họ, mà đánh đồng bọn Chu Gia, Quách Giải với đám cường bạo mà cười chê họ.
鲁人皆以儒教，而硃家用侠闻。	Người nước Lỗ đều dùng đạo nho để dạy, nhưng Chu Gia lại nhờ hành hiệp mà nổi danh.
所藏活 豪士以百数，其馀庸人不可胜言。	Chu Gia giấu và cứu sống hàng trăm hào kiệt kẻ sĩ, ngoài ra những hạng tầm thường, không sao kể xiết.
然终不伐其能，歆其德，诸所尝 施，唯恐见之。	Nhưng rốt cuộc không khoe tài hay tự thỏa mãn với ân đức của mình. Thi ơn cho những ai, chỉ lo gặp lại họ.
家无馀财，衣不完采，食不 重味，乘不过軥牛。	Nhà không có của dư, quần áo không lành lặn, ăn không hai món, đi lại chỉ bằng xe trâu.
专趋人之急，甚己之 私。	Chuyên giúp người lúc nguy cấp, coi trọng hơn việc của mình.
楚田仲以侠闻，喜剑，父事硃家，自以为行弗及。	Điền Trọng người nước Sở, nổi danh nhờ hành hiệp, thích kiếm, thờ Chu Gia như cha, tự cho việc mình làm không theo kịp.
田仲已死，而 雒阳有剧孟。	Sau khi Điền Trọng chết, ở Lạc Dương có Kịch Mạnh.
周人以商贾为资，而剧孟以任侠显诸侯。	Người đất Chu sống dựa vào buôn bán, còn Kịch Mạnh nhờ hành hiệp mà nổi danh chư hầu.
吴楚反时，条 侯为太尉，乘传车将至河南，得剧孟，喜曰：“吴楚举大事而不求 孟，吾知其无能为已矣。”	Khi Ngô Sở làm phản, Điều hầu làm Thái úy, ngồi xe dịch trạm kíp đến Hà Nam, tìm được Kịch Mạnh, mừng nói: “Ngô, Sở dấy đại sự mà không tìm Mạnh, ta biết rằng họ không làm được trò trống gì.”
天下骚动，宰相得之若得一敌国云。	Thiên hạ rúng động, Tể tướng được Kịch Mạnh như hạ được một nước địch vậy.
及剧孟死，家无馀十金之财。	Đến khi Kịch Mạnh chết, của nả trong nhà không còn đến mười lạng vàng.
而符离人王孟 亦以侠称江淮之间。	Còn Vương Mạnh người Phù Ly cũng nổi tiếng hành hiệp ở vùng sông Giang sông Hoài.
郭解，轵人也，字翁伯，善相人者许负外 孙也。	Quách Giải Quách Giải người đất Chỉ, tự Ông Bá, là cháu ngoại của Hứa Phụ, người giỏi xem tướng.
解父以任侠，孝文时诛死。	Cha của Giải do hành hiệp, bị giết thời Hiếu Văn đế.
適有天 幸，窘急常得脱，若遇赦。	Được trời che chở, lúc quẫn bách thường đào thoát, hoặc được ân xá.
既已振 人之命，不矜其功，其阴贼著於心，卒发於睚眦如故云。	Đã cứu mạng người khác, sẽ không khoe công mình, trong lòng vẫn âm hiểm, tàn ác, cuối cùng vẫn phát tiết ở những thù oán nhỏ nhoi như cũ.
而少年慕其 行，亦辄为报仇，不使知也。	Rồi những người trẻ tuổi hâm mộ việc làm của Giải, liền báo thù cho ngay, không cho Giải biết.
解姊子负解之势，与人 饮，使之嚼。	Con trai của chị gái Giải cậy thế cậu, uống rượu với người khác, bắt phải cạn chén.
解姊怒 曰：“以翁伯之义，人杀吾子，贼不得。”	Chị gái Giải giận nói: “Với nghĩa khí của Ông Bá, người ta giết con tôi, mà không bắt được hung thủ.”
弃其尸於道，弗葬，欲以 辱解。	Vứt xác con ngoài đường, không chôn, muốn làm nhục Giải.
解曰：“公杀之固 当，吾兒不直。”	Giải nói: “Ông giết nó là phải, cháu tôi không đúng.”
遂去其贼，罪其姊子，乃 收而葬之。	Bèn tha cho hung thủ, quy tội con người chị, rồi thu xác đem chôn.
诸公闻之，皆多解之义，益附焉。	Mọi người nghe chuyện đó, đều khen ngợi nghĩa khí của Giải, càng theo đông hơn.
解出入，人皆避之。	Giải đi hay về, người ta đều tránh.
有一人独箕倨视之，解遣人问其名姓。	Riêng có một người ngồi xổm mà nhìn, Giải sai người hỏi họ tên.
客欲 杀之。 解曰：“居邑屋至不见敬，是吾德不脩也，彼何罪！”	Môn khách của Giải muốn giết kẻ đó, Giải nói: “Ở quê quán mà không được người ta tôn kính, là do tôi không tu dưỡng đức hạnh, người ta có tội gì đâu!”
乃阴属 尉史曰：“是人，吾所急也， 至践更时脱之。”	Bèn ngầm dặn viên Uý sử rằng: “Người này, tôi rất quan tâm, đến phiên lao dịch hãy miễn cho anh ta.”
怪之，问其故， 乃解使脱之。	Người đó thấy lạ, hỏi nguyên do, mới hay Giải sai miễn cho.
少年闻之，愈益慕解之行。	Những người trẻ nghe việc đó, càng hâm mộ đức hạnh của Giải.
雒阳人有相仇者，邑中贤豪居间者以十数，终不 听。	Ở Lạc Dương có người thù oán nhau, các bậc hiền năng hào kiệt trong ấp đã hòa giải cho hai bên hàng chục lần, trước sau họ đều không nghe.
解乃谓仇家曰：“吾闻雒阳诸公在此间，多不听者。今子幸 而听解，解柰何乃从他县夺人邑中贤大夫权乎！”	Giải bèn nói với nhà có thù ấy rằng: “Tôi nghe nói các vị ở Lạc Dương đã đến hòa giải nhiều lần nhưng không nghe. Nay may ông nghe lời Giải này, Giải sao có thể từ huyện khác đến cướp quyền các bậc hiền năng đại phu trong ấp được?”
乃夜去，不使人 知，曰：“且无用， 待我去，令雒阳豪居其间，乃听之。”	Bèn đang đêm ra đi, không cho ai biết, nói: “Tạm thời đừng làm gì, đợi tôi đi đã, để hào kiệt Lạc Dương hòa giải đã, rồi hãy nghe theo.”
之旁郡国，为人请求事，事可 出，出之；不可者，各厌其意，然後乃敢尝酒食。	Giải đến các quận lân cận để thỉnh cầu cho người khác việc gì, việc có thể giải quyết được thì giải quyết; không giải quyết được sẽ khiến các bên đều hài lòng, sau đó mới dám ăn cơm uống rượu.
卫将军为言：“郭解家贫不中 徙。”	Tướng quân Vệ Thanh nói đỡ rằng: “Quách Giải nhà nghèo, không vào diện di dời.”
上曰：“布衣权至使将军为言，此其家不贫。”	Hoàng thượng nói: “Kẻ áo vải mà quyền đến mức khiến tướng quân phải nói đỡ, như thế nhà y không phải là nghèo.”
诸 公送者出千馀万。	Mọi người bỏ ra hơn nghìn vạn tiền để đưa tiễn.
轵人杨季主子为县掾，举徙解。	Con trai của Dương Quý Chủ người huyện Chỉ làm thư lại trong huyện, đưa Giải vào diện di dời.
由此杨氏与郭氏为仇。	Từ đó, họ Dương và họ Quách thành cừu thù.
已又杀杨季主。 杨季主家上书，人又杀之阙 下。	Sau, xảy ra việc giết Dương Quý Chủ, người nhà Dương Quý Chủ dâng thư lên hoàng thượng, lại có người giết kẻ dâng thư ngay dưới cửa cung khuyết.
解亡，置其母家室夏阳， 身至临晋。	Giải trốn, để mẹ ở Hạ Dương, còn mình đến Lâm Tấn.
吏逐之，迹至籍少公。	Quan lại truy bắt Giải, lần theo dấu vết đến Tịch Thiếu công.
久之，乃得解。	Lâu sau mới bắt được Giải.
穷治所犯，为解所杀，皆在赦前。	Truy xét kỹ các tội đã phạm, những người bị Giải giết đều trước khi được ân xá.
轵有儒生侍使者坐，客誉郭解，生曰：“郭解专以奸犯公法，何谓 贤！”	Có nho sinh ở huyện Chỉ đứng hầu vị quan được sai đến xét xử Giải, có người khách khen Quách Giải, nho sinh nói: “Quách Giải chuyên làm việc gian trá phạm quốc pháp, sao nói là người hiền?”
解客闻，杀此生，断其舌。	Môn khách của Giải biết, giết nho sinh ấy, cắt lưỡi.
吏以此责解，解实不知杀者。	Quan lại lấy việc đó trách hỏi Giải, Giải không biết hung thủ là ai.
杀者 亦竟绝，莫知为谁。	Kẻ giết người cũng trốn biệt, không biết là ai.
御史大夫公孙弘议曰：“解布衣为 任侠行权，以睚眦杀人，解虽弗知，此罪甚於解杀之。当大逆无 道。”	Ngự sử đại phu Công Tôn Hoằng bàn rằng: “Giải là kẻ áo vải, hành hiệp lộng quyền, chỉ thù oán cỏn con mà giết người, tuy Giải không biết, nhưng tội ấy còn nặng hơn là đích thân Giải giết. Đáng tội đại nghịch vô đạo.”
自是之後，为侠者极众，敖而无足数者。	Từ đấy về sau, nhiều người hành hiệp, nhưng đều ngạo mạn, không đáng nhắc đến.
然关中长安樊仲子，槐里赵王孙，长陵高公子，西河郭公仲， 太原卤公孺， 临淮兒长卿，东阳田君孺， 虽为侠而逡逡有退让君子之风。	Ở Quan Trung, Trường An có Phan Trọng Tử, ở Hòe Lý có Triệu vương tôn, ở Trường Lăng có Cao Công tử, Tây Hà có Quách Công Trọng, ở Thái Nguyên có Lỗ Công Nhụ, Lâm Hoài có Nhi Trường Khanh, ở Đông Dương có Điền Quân Nhụ, tuy hành hiệp nhưng đều có phong thái cẩn thận khiêm cung của quân tử.
至若北道姚氏， 西道诸 杜，南道仇景，东道赵他、羽公子， 南阳赵调之徒，此盗跖居民间者耳， 曷足道哉！	Đến như bọn họ Diêu ở bắc đạo, cánh họ Đỗ ở tây đạo, Cừu Cảnh ở nam đạo, Triệu Thay Vũ công tử ở đông đạo, Triệu Điều ở Nam Dương, đó chỉ là Đạo Chích ở dân gian thôi, sao đủ để nói!
太史公曰：吾视郭解，状貌不及中人，言语不足采者。 然天下无 贤与不肖，知与不知，皆慕其声，言侠者皆引以为名。	Thái sử công bàn rằng: Ta xem Quách Giải, tướng mạo không bằng người bình thường, lời nói không có gì đáng xét, nhưng trong thiên hạ, bất kể hiền năng hay kém cỏi, biết hay không biết, đều hâm mộ danh tiếng, nói về hành hiệp đều dẫn tên tuổi Quách Giải.
谚曰：“人貌 荣名，岂有既乎！”	Ngạn ngữ nói: “Người ta lấy thanh danh làm tướng mạo, há hết được ư?”
於戏，惜哉！	Ô hô, tiếc thay!
比如顺风而呼，声非加疾，其埶激也。	Cũng giống thuận chiều gió mà hô, tiếng hô không nhanh thêm, mà theo hướng gió đưa đi xa vậy.
鲁硃家者，与高祖同时。	Chu Gia Chu Gia người nước Lỗ, cùng thời với Cao tổ.
振人不赡，先从贫贱始。	Cứu giúp người thiếu thốn, bắt đầu từ những người nghèo hèn.
自关以东，莫不延 颈原交焉。	Từ Hàm Cốc quan sang phía đông, không ai không rướn cổ mong được kết giao.
然剧孟母 死，自远方送丧盖千乘。	Sau, mẹ Kịch Mạnh chết, có đến mấy nghìn xe từ phương xa đến viếng tang.
是时济南瞷氏、陈周庸 亦以豪闻，景帝闻之，使使尽诛此属。	Bấy giờ, ở Tế Nam có họ Nhàn, ở đất Trần có Chu Dung cũng nổi tiếng về hào hiệp, Cảnh đế nghe tiếng sai sứ giết hết bọn họ.
其後代诸白、 梁韩无辟、 阳翟薛兄、陕韩孺 纷纷复出 焉。	Sau đó, ở đất Đại có những người họ Bạch, ở đất Lương có Hàn Vô Tỵ, ở Dương Địch có Tiết Huống, ở đất Thiểm có Hàn Nhụ lại đua nhau xuất hiện.
解为人短小精悍，不饮酒。	Giải người thấp bé, tinh tường, hung hãn, không uống rượu.
少时阴 贼，慨不快意，身所杀甚众。	Lúc trẻ âm hiểm tàn ác, khi trong lòng phẫn uất, không vừa ý, ra tay giết rất nhiều người.
及解年长，更折节为俭，以德报怨，厚施 而薄望。	Đến khi Giải trưởng thành, lại thay tính đổi nết, biết kiềm chế, dùng đức báo oán, thi ân nhiều mà ít mong báo đáp.
解使人微知贼处。	Giải sai người tìm, ngầm biết chỗ hung thủ.
贼窘自归，具以实告解。	Hung thủ quẫn quá đành tự quay về, nói lại sự thực với Giải.
每至践更，数过，吏弗求。	Mỗi khi đến dịp lao dịch, tới phiên anh ta, quan lại không bắt phải đi.
客乃见郭解。	Môn khách bàn đến gặp Giải.
解夜见仇家，仇家曲听解。	Giải đang đêm đến nhà có thù oán kia, họ chịu nhún nghe theo lời giải.
解执恭敬，不敢乘车入其县廷。	Giải giữ lòng cung kính, không dám ngồi xe vào thẳng sân huyện nha.
邑中少年及旁近县贤豪，夜半过门常十馀车，请得解客舍养 之。	Các thiếu niên trong ấp cùng các bậc hiền hào ở huyện lân cận, nửa đêm qua cửa thường hơn chục xe, xin đưa môn khách của Giải về nhà mình cung dưỡng.
及徙豪富茂陵也，解家贫，不中訾， 吏恐，不敢不徙。	Đến khi dời các nhà hào phủ đến Mậu Lăng, Giải nhà nghèo, của cải không đủ số, quan lại sợ, không thể không bắt Giải dời đi.
解家遂徙。	Gia đình Giải liền di dời.
解入关，关中贤豪知与不知，闻其声，争交驩解。	Giải vào Quan Trung, các bậc hiền năng hào kiệt ở Quan Trung biết hay không biết Giải, nghe danh đều tranh nhau đến kết giao.
解为人短小， 不饮酒，出未尝有骑。	Giải thấp bé, không uống rượu, ra ngoài chưa từng cưỡi ngựa.
临晋籍少公素不知解，解冒，因求出关。	Tịch Thiếu công ở Lâm Tấn vốn không biết Giải, Giải mạo danh, nhân xin ra khỏi Quan Trung.
籍 少公已出解，解转入太原，所过辄告主人家。	Tịch Thiếu công cho Giải đi, Giải lại vào Thái Nguyên, qua nhà nào đều nói với chủ nhà.
少公自杀，口绝。	Tịch Thiếu công tự sát, mất người khai báo.
吏奏解无罪。	Quan lại tâu Giải vô tội.
以躯借交报仇，藏命 作奸剽攻，休铸钱掘冢，固不可胜数。	Không tiếc thân mình báo thù cho bạn, trốn tránh để làm việc gian manh, cướp bóc, lúc rảnh rang thì đúc trộm tiền, đào trộm mả, nhiều không kể xiết.
人怒，拔刀刺杀解姊子，亡去。	Người đó nổi giận, tuốt kiếm giết cháu Giải rồi bỏ trốn.
解兄子断杨掾头。	Con người anh của Giải chém đầu y.
遂族郭解翁伯。	Giết cả họ Quách Giải Ông Bá.
