大宛之迹， 见自张骞。	Sự tích nước Đại Uyển, thấy từ Trương Khiên.
骞既失侯，因言曰：“臣居匈奴中， 闻乌孙王号昆莫，昆莫之父，匈奴西边小国也。匈奴攻杀其父， 而昆莫生弃於野。乌嗛肉蜚其上， 狼往乳之。单于怪以为 神，而收长之。及壮，使将兵，数有功，单于复以其父之民予昆莫， 令长守於西。昆莫收养其民，攻旁小邑，控弦数万，习攻战。单于 死，昆莫乃率其众远徙，中立，不肯朝会匈奴。匈奴遣奇兵击，不 胜，以为神而远之，因羁属之，不大攻。今单于新困於汉，而故浑邪 地空无人。蛮夷俗贪汉财物，今诚以此时而厚币赂乌孙，招以益东， 居故浑邪之地，与汉结昆弟，其势宜听，听则是断匈奴右臂也。既连 乌孙，自其西大夏之属皆可招来而为外臣。”	Khiên đã mất tước hầu, nhân đó nói: “Thần ở nước Hung Nô, nghe nói vua nước Ô Tôn hiệu là Côn Mạc, cha của Côn Mạc là vua nước nhỏ biên giới phía tây Hung Nô. Hung Nô tấn công giết cha vua Ô Tôn, còn Côn Mạc khi sinh ra, bị vứt ngoài đồng. Quạ ngậm thịt bay trên đầu, sói đến cho bú. Thiền vu lấy làm lạ, cho là thần, đem về nuôi lớn. Đến tuổi tráng niên, sai cầm quân, nhiều lần lập công, Thiền vu lại đem dân của cha Côn Mạc giao cho, sai giữ mãi ở Tây Vực. Côn Mạc thu dưỡng dân mình, tấn công các cấp nhỏ lân cận, quân cung nỏ có mấy vạn, quen việc chiến trận. Thiền vu chết, Côn Mạc liền cầm quân rời đến nơi xa, đứng trung lập, không chịu vào chầu Hung Nô. Hung Nô đem kỳ binh đến đánh, không thắng, cho là thần nên tránh xa, nhân đó ràng buộc khiến phải thần phục, không đem đại quân tiến đánh. Nay Thiền vu mới bị nhà Hán làm cho nguy khốn, còn đất cũ của Hồn Da không có người. Tục lệ của man di tham của cải nhà Hán, nay nếu nhân lúc này đem nhiều của cải tặng Ô Tôn, chiêu dụ họ sang phía đông, ở đất cũ của Hồn Da, kết làm anh em với nhà Hán, thế của họ ắt phải nghe, nghe thì cánh tay phải của Hung Nô bị đứt vậy. Đã liên kết được với Ô Tôn, các tộc thuộc Đại Hạ ở phía tây Ô Tôn đều có thể vời đến, khiến họ thành bề tôi của thuộc quốc.”
天子以为然，拜骞为中 郎将，将三百人，马各二匹，牛羊以万数，赍金币帛直数千巨万，多 持节副使，道可使，使遗之他旁国。	Thiên tử cho là phải, phong Khiên làm Trung lang tướng, mang theo ba trăm người, mỗi người hai ngựa, trâu dê hàng vạn con, mang tiền vàng, lụa trắng đến mấy nghìn vạn, nhiều người cầm phù tiết Phó sứ, đường nào có thể đi sứ được, liền phái đến các nước lân cận khác.
骞既至乌孙，乌孙王昆莫见汉使如单于礼，骞大惭，知蛮夷贪， 乃曰：“天子致赐，王不拜则还赐。”	Sau khi Khiên đến Ô Tôn, vua Ô Tôn là Côn Mạc tiếp kiến sứ nhà Hán dùng lễ như đối với Thiền vu. Khiên cả thẹn, biết man di tham lam, bèn nói: “Thiên tử ban tặng, đại vương không vái tạ, thì xin đem tặng phẩm về.”
骞谕 使指曰：“乌孙能东居浑邪地，则汉遣翁主为昆莫夫人。”	Khiên nói mục đích đi sứ rằng: “Ô Tôn có thể sang đông cư trú ở đất của Hồn Da vương, nhà Hán sẽ sai ông chúa đến làm Côn Mạc phu nhân.”
乌孙国 分，王老，而远汉，未知其大小，素服属匈奴日久矣，且又近之，其 大臣皆畏胡，不欲移徙，王不能专制。	Nước Ô Tôn bị phân tách, quốc vương đã già, lại xa nhà Hán, chưa rõ Hán lớn hay nhỏ, vốn thần phục Hung Nô đã lâu, hơn nữa lại gần Hung Nô, các đại thần đều sợ người Hồ, không muốn rời đi, quốc vương không thể tự ý quyết định.
昆莫有十馀 子，其中子曰大禄，彊，善将众，将众别居万馀骑。	Côn Mạc có hơn mười người con, con hàng giữa là Đại Lộc, mạnh mẽ, giỏi chỉ huy bộ chúng, đem bộ chúng ra ở chỗ riêng, có hơn vạn kỵ binh.
大禄兄为太子， 太子有子曰岑娶，而太子蚤死。	Anh của Đại Lộc làm Thái tử, Thái tử có con là Sầm Thú, còn Thái tử lại chết sớm.
临死谓其父昆莫曰：“必以岑娶为太 子，无令他人代之。”	Lúc sắp chết nói với cha là Côn Mạc rằng: “Nhất định phải lấy Sầm Thú làm Thái tử, đừng để người khác lên thay.”
昆莫哀而许之，卒以岑娶为太子。	Côn Mạc xót thương nên đồng ý, rốt cuộc lấy Sầm Thú làm Thái tử.
乌孙发导译送骞还，骞与乌孙遣使数十人，马数 十匹报谢，因令窥汉，知其广大。	Ô Tôn phái người dẫn đường và phiên dịch đưa Khiên trở về, Khiên cùng Ô Tôn phái mấy chục sứ giả, mấy chục con ngựa, đến nhà Hán để đáp tạ, nhân đó khiến họ coi xét nhà Hán, biết nhà Hán rộng lớn ra sao.
骞还到，拜为大行，列於九卿。	Khiên về đến triều đình, được phong làm Đại Hành, liệt vào hàng cửu khanh.
乌孙使既见汉人众富厚，归报其国，其国乃益重汉。	Sau khi sứ giả Ô Tôn thấy người Hán đông đảo, giàu có sung túc, về nước báo lại, họ ngày càng coi trọng nhà Hán.
其後岁馀， 骞所遣使通大夏之属者皆颇与其人俱来，於 是西北国始通於汉矣。	Hơn một năm sau, các Phó sứ do Khiên phái đến các nước ở Đại Hạ phần lớn đều về cùng người của nước đó, vì thế các nước phía tây bắc bắt đầu qua lại với nhà Hán.
然张骞凿空， 其後使往者皆称博望侯，以为质於外国， 外国由此 信之。	Trương Khiên là người mở đầu cho việc thông số, các sứ giả về sau đều xưng là Bác Vọng hầu, lấy đó làm tin với các nước bên ngoài, các nước bên ngoài do đó tin tưởng họ.
自博望侯骞死後，匈奴闻汉通乌孙，怒，欲击之。	Sau khi Bác Vọng hầu Trương Khiên chết, Hung Nô nghe tin nhà Hán qua lại với Ô Tôn, tức giận, muốn đánh Ô Tôn.
及汉使乌孙， 若出其南，抵大宛、大 月氏相属，乌孙乃恐，使使献马，原得尚汉女翁主为昆弟。	Khi sứ nhà Hán sang Ô Tôn, họ đi theo phía nam, đến các nước như Đại Uyển, Đại Nguyệt Chi, Ô Tôn sợ, sai sứ dâng ngựa cho nhà Hán, xin được lấy ông chúa, kết làm nước anh em.
天子问群 臣议计，皆曰“必先纳聘，然後乃遣女”。	Thiên tử hỏi ý kiến quần thần, đều nói: “Nhất định phải nộp sính lễ trước, sau mới phái ông chúa đi.”
初，天子发书易， 云“神马当从西北来”。	Ban đầu, thiên tử mở Kinh Dịch xem, lời quẻ viết: “Ngựa thần từ hướng tây bắc đến.”
得乌孙马好，名 曰“天马”。	Được ngựa tốt của Tôn, gọi là “Thiên mã”.
及得大宛汗血马，益壮，更名乌孙马曰“西极”，名大 宛马曰“天马”云。	Đến khi được ngựa Hãn huyết của Đại Uyển, càng mạnh, đổi tên ngựa của Ô Tôn thành “Tây cực”, đặt tên ngựa của Đại Uyển là “Thiên mã”.
而汉始筑令居以西，初 置酒泉郡以通西北国。	Còn nhà Hán bắt đầu đắp thành từ Lệnh Cư về phía tây, mới đặt ra quận Tửu Tuyền để kết thông các nước phía tây bắc.
而天子好宛马，使者相望於道。	Còn thiên tử thích ngựa của Đại Uyển, sứ giả gặp nhau trên đường.
诸使外国一辈大者数百，少者百 馀人，人所赍操大放博望侯时。	Một đoàn đi sứ sang nước lớn thì mấy trăm người, nhỏ thì trên trăm người, các đồ mang theo đại để giống thời Bác Vọng hầu.
其後益习而衰少焉。	Về sau, ngày càng quen việc đi sứ, nhưng số người giảm bớt.
汉率一岁中使多 者十馀，少者五六辈，远者八九岁，近者数岁而反。	Trong một năm nhà Hán nhiều thì phái hơn chục đoàn đi sứ, ít thì dăm sáu đoàn. Đi xa thì tám chín năm, gần thì mấy năm rồi về.
是时汉既灭越，而蜀、西南夷皆震，请吏入朝。	Bấy giờ nhà Hán đã diệt Nam Việt, đất Thục và tây nam di đều rúng động, xin thiết lập quan lại và được vào chầu.
乃遣使柏始昌、吕越人等岁十馀辈，出此初郡 抵大夏，皆复闭昆 明，为所杀，夺币财，终莫能通至大夏焉。	Bèn sai bọn sứ giả Bách Thủy Xương, Lã Việt Nhân, một năm hơn mười đoàn, xuất phát từ các quận mới lập đến thẳng Đại Hạ, nhưng đều bị ngăn trở ở Côn Minh, bị giết, cướp tiền của, cuối cùng không thể thông sứ đến Đại Hạ.
其後遣使，昆明复为寇，竟莫 能得通。	Sau đó sai sứ giả đi, Côn Minh lại cướp bóc, trước sau vẫn không thể thông sứ.
而北道酒泉抵大夏，使者既多，而外国益厌汉币，不贵其 物。	Còn mạn bắc qua Tửu Tuyền đến Đại Hạ, sứ giả đã đi nhiều lần, các nước bên ngoài ngày càng chán tiền của nhà Hán, không coi trọng của cải nữa.
天子为其绝远，非人所乐往，听其言，予节，募吏民毋问 所从来，为具备人众遣之，以广其道。	Thiên tử cho là quá xa, không phải chỗ người ta thích đến, nghe họ nói, liền ban sứ tiết, chiêu mộ quan lại dân chúng, không cần biết họ đến đâu, chuẩn bị cho họ đủ người rồi phái đi, để rộng đường lưu thông với nước ngoài.
其吏卒亦辄复盛推外国所有，言大者予节，言小者为 副，故妄言无行之徒皆争效之。	Các quan lại sĩ tốt cũng ra sức đề cao sản vật ở nước ngoài, ai nói mạnh thì ban cho sứ tiết, ai nói ít thì cho làm Phó sứ, cho nên những kẻ nói xằng, không có đức hạnh đều tranh nhau bắt chước.
其使皆贫人子，私县官赍物，欲贱市 以私其利外国。	Các sứ giả đều là con em nhà nghèo, lấy của cải huyện quan ban tặng làm của riêng, muốn mua hàng giá thấp ở nước ngoài để làm lợi.
外国亦厌汉使人人有言轻重， 度汉兵 远不能至，而禁其食物以苦汉使。	Nước ngoài cũng chán sứ giả nhà Hán, vì ai nấy đều nói nặng nói nhẹ không thực, liệu thấy quân Hán ở xa không thể đến được, rồi cấm cung cấp đồ ăn khiến sứ Hán phải khổ sở.
汉使乏绝积怨，至相攻击。	Sứ nhà Hán thiếu thốn rồi sinh oán, đến nỗi đánh nhau.
而匈奴奇兵时时遮击使西国 者。	Còn kỳ binh của Hung Nô thường chặn đánh sứ giả sang các nước phía tây.
使者争遍言外国灾害，皆有城邑，兵弱易击。	Sử giả tranh nhau nói những điểm yếu hại của nước ngoài, cho là họ có thành ấp, quân yếu dễ đánh.
於是天子以故遣从 骠侯破奴将属国骑及郡兵数万，至匈河水，欲以击胡，胡皆去。	Vì thế thiên tử sai Tòng Phiêu hầu Triệu Phá Nô đem quân kỵ của thuộc quốc cùng mấy vạn quân các quận kéo đến Hung Hà Thủy, định đánh người Hồ, người Hồ đều rút hết.
因举兵 威以困乌孙、大宛之属。	Nhân đem binh uy vây khốn các nước Ô Tôn, Đại Uyển.
还，封破奴为浞野侯。	Trở về, phong Phá Nô làm Trác Dã hầu.
王恢数使，为楼兰所苦，言天子， 天子发兵令恢佐破奴击破之，封恢为浩侯。	Vương Khôi nhiều lần đi sứ, bị Lâu Lan làm cho khốn khổ, nói với thiên tử, thiên tử phát binh sai Khôi giúp Phá Nô đánh phá Lâu Lan, phong Khôi làm Hạo hầu.
匈奴亦遣女妻昆莫，昆莫 以为左夫人。	Hung Nô cũng đưa con gái sang gả cho Côn Mạc, Côn Mạc cho làm Tả phu nhân.
昆莫曰“我老”，乃令其孙岑娶妻翁主。	Côn Mạc nói: “Ta già rồi.” Bèn sai cháu nội là Sầm Thú lấy ông chúa làm vợ.
行比至，过数十城，人民相属甚多。	Đi đến nơi, qua mấy chục tòa thành, dân chúng ở các thành rất đông.
汉使还，而後发使随汉使来 观汉广大，以大鸟卵及黎轩善眩人 献于汉。	Sứ nhà Hán trở về, rồi sau An Tức sai sứ theo sứ nhà Hán đến xem lãnh thổ rộng lớn của nhà Hán, dùng trứng chim lớn cùng những người giỏi phép thuật ở Lê Hiên dâng lên nhà Hán.
天子大悦。	Thiên tử cả mừng.
及加其眩者之工，而觳抵奇戏岁增变，甚盛益 兴，自此始。	Đến việc tăng thêm người diễn trò ma thuật, còn đấu vật, trò chơi lạ, mỗi năm đều thay đổi, ngày càng hưng thịnh, bắt đầu từ đây.
西北外国使，更来更去。	Sứ giả các nước ở phía tây bắc, lúc đến lúc đi.
宛以西，皆自以远，尚骄恣晏然，未可 诎以礼羁縻而使也。	Từ Đại Uyển sang phía tây, đều tự cho mình ở xa, hãy còn kiêu ngạo phóng túng, an nhàn thảnh thơi, chưa thể dùng lễ ràng buộc rồi sai khiến được.
自乌孙以西至安息，以近匈奴，匈奴困月氏也， 匈奴使持单于一信，则国国传送食，不敢留苦；及至汉使，非出币帛 不得食，不市畜不得骑用。	Từ Ô Tôn về phía tây đến An Tức, do gần Hung Nô, Hung Nô khiến Nguyệt Chi nguy khốn, sứ giả Hung Nô cầm một bức thư của Thiền vu, thì các nước đều phải dâng đồ ăn, không dám khiến họ lưu lại chịu khổ. Còn với sứ giả nhà Hán, không bỏ tiền lụa ra sẽ không được ăn, không mua gia súc ở chợ thì không có gì cưỡi.
所以然者，远汉，而汉多财物，故必市乃 得所欲，然以畏匈奴於汉使焉。	Sở dĩ như thế, vì ở cách xa nhà Hán, mà nhà Hán nhiều của cải, cho nên phải mua mới được thứ mình muốn, vì thế họ sợ sứ giả Hung Nô hơn sứ giả nhà Hán.
宛左右以蒲陶为酒，富人藏酒至万馀 石，久者数十岁不败。	Lân cận nước Uyển dùng nho để nấu rượu, người giàu cất trữ hơn vạn thạch rượu, để lâu đến mấy chục năm không hỏng.
汉使取其实来，於是天子 始种苜蓿、蒲陶肥饶地。	Sứ nhà Hán lấy hạt mang về, thế rồi thiên tử bắt đầu cho trồng rau mục túc, nho ở chỗ đất màu mỡ.
自大宛以西至安息，国虽颇异言，然大同俗，相知 言。	Từ Đại Uyển về phía tây đến An Tức, các nước tuy tiếng nói khác nhau nhưng phong tục cơ bản giống nhau, biết tiếng của nhau.
俗贵女子，女子所言而 丈夫乃决正。	Phong tục quý trọng phụ nữ, phụ nữ nói gì chồng nhất định làm theo.
其地皆无丝漆，不知铸钱器。	Đất ở đó không có tơ và sơn, không biết đúc tiền và khí dụng.
及汉使亡卒降，教铸作他兵器。	Đến khi sứ nhà Hán bỏ trốn, quân lính đầu hàng, mới dạy họ đúc kim loại làm binh khí và vật dụng khác.
得汉黄 白金，辄以为器，不用为币。	Họ được vàng bạc của nhà Hán liền đúc đồ dùng, không lấy để tiêu.
而汉使者往既多，其少从率多进熟於天子， 言曰：“宛有 善马在贰师城，匿不肯与汉使。”	Sau khi sứ giả nhà Hán nhiều lần đi Tây Vực, người trẻ tuổi cũng đi theo, phần nhiều trình báo rõ tình hình với thiên tử, nói rằng: “Đại Uyển có ngựa tốt ở Nhị Sư Thành, nhưng giấu không chịu giao cho sứ nhà Hán.”
宛国饶汉物，相与谋 曰：“汉去我远，而盐水中数败， 出其北有胡寇，出其南乏水草。又且往往而绝邑，乏食者多。 汉使数百人为辈来，而常乏食，死者过半，是安能致大军乎？无柰我 何。且贰师马，宛宝马也。”	Đại Uyển được nhiều tài vật của Hán, cùng bàn tính rằng: “Hán cách ta xa, từng qua Diêm Thủy đến nước ta nhiều lần thất bại, ra theo hướng bắc thì có giặc cướp Hung Nô, đi về hướng nam lại thiếu nước và cỏ. Huống nữa thường phải qua chỗ cách biệt thành ấp, hay bị thiếu lương. Đoàn sứ Hán mấy trăm người đến, còn thường thiếu lương, người chết quá nửa, như thế sao kéo đại quân đến được? Làm gì được ta. Hơn nữa ngựa Nhị Sư là ngựa quý của Đại Uyển vậy.”
遂不肯予汉使。	Rồi không chịu giao ngựa cho sứ giả nhà Hán.
汉使怒，妄言， 椎金马而去。	Sứ nhà Hán giận, chửi rủa, đập ngựa vàng rồi bỏ đi.
宛贵人怒曰：“汉使至轻我！”	Đám bề tôi quyền quý ở Đại Uyển giận nói: “Sứ Hán quá khinh khi chúng ta!”
遣汉使 去，令其东边郁成遮攻杀汉使，取其财物。	Cho sứ nhà Hán đi, sai nước Úc Thành ở biên giới phía đông chặn đường đánh giết sứ Hán, cướp lấy của cải.
於是天子大怒。	Thế là thiên tử cả giận.
是岁太初元年也。	Năm ấy là năm đầu niên hiệu Thái Sơ.
攻 之不能下。	Tấn công họ thì không hạ được.
下者得食，不下者数日则去。	Đánh hạ được thì có lương thảo, nước nào không đánh bại được thì mấy ngày cũng phải bỏ đi.
比至郁成，士至者不过数 千，皆饥罢。	Đến Úc Thành, binh sĩ tới được đây không quả mấy nghìn, đều đói khát mỏi mệt.
攻郁成，郁成大破之，所杀伤甚众。	Tấn công Úc Thành, Úc Thành cả phá quân Hán, giết và làm bị thương rất nhiều.
往来二 岁。	Đi và về mất hai năm.
使使上书言：“道远多乏食；且士卒 不患战，患饥。人少，不足以拔宛。原且罢兵，益发而复往。”	Sai sứ dâng thư nói: “Đường xa, nhiều lần thiếu lương thực, quân sĩ không lo đánh, chỉ lo đói. Người ít, không đủ sức hạ được Đại Uyển. Xin hãy bãi binh, phát động thêm quân rồi lại đi đánh.”
天子 闻之，大怒，而使使遮玉门，曰军有敢入者辄斩之！	Thiên tử nghe vậy, cả giận, rồi sai sứ chặn cửa Ngọc Môn, nói rằng quân binh ai dám vào sẽ chém ngay.
其夏，汉亡浞野之兵二万馀於匈奴。	Mùa hè năm đó, nhà Hán mất hơn hai vạn quân của Trác Dã hầu tại Hung Nô.
天子已业诛宛，宛小国而不能下，则大夏之属轻汉，而宛善 马绝不来，乌孙、仑头易苦汉使矣，为外 国笑。	Thiên tử đã cho quân đánh Đại Uyển, Đại Uyển là nước nhỏ còn không hạ được, thì các nước Đại Hạ sẽ khinh nhà Hán, mà ngựa tốt của Đại Uyển cũng không đưa đến nữa, Ô Tôn và Luân Đầu dễ dàng gây khốn khổ cho sứ nhà Hán, bị các nước bên ngoài chê cười.
乃案言伐宛尤不便者邓光等，赦囚徒材官，益发恶少年及边 骑，岁馀而出敦煌者六万人，负私从者不与。	Bèn xét việc bọn Đặng Quang nói đánh Đại Uyển rất bất lợi, xá miễn tù phạm và võ sĩ dũng mãnh, phát động thêm thanh niên hung tợn đến kỵ binh ở biên giới, hơn một năm mà đem sáu vạn quân ra Đôn Hoàng, không kể số người mang quần áo lương thực đi theo.
至仑 头，仑头不下，攻数日，屠之。	Đến Luân Đầu, Luân Đầu không chịu hàng, tấn công mấy ngày, tàn sát tất cả.
自此而西，平行至宛城，汉兵到者三 万人。	Từ đó về tây, hành quân thuận lợi đến Uyển Thành, quân Hán đến nơi có ba vạn.
宛兵迎击汉兵，汉兵射败之，宛走入葆乘其城。	Quân Uyển đón đánh quân Hán, bị quân Hán dùng cung nỏ bắn tan, quân Uyển chạy vào thành, dựa tường để chống giữ.
围其城，攻之四十馀日，其外城坏，虏宛贵人勇将煎靡。	Vây thành Đại Uyển, đánh hơn bốn chục ngày, phá được thành ngoài, bắt sống dũng tướng quý nhân của Uyển là Tiên Mi.
宛大 恐，走入中城。	Đại Uyển cả sợ, chạy vào trong thành.
宛贵人相与谋曰：“汉所为攻宛，以王毋寡匿善马而 杀汉使。今杀王毋寡而出善马，汉兵宜解；即不解，乃力战而死，未 晚也。”	Các bậc quý nhân ở Đại Uyển cùng bàn mưu rằng: “Nguyên do Hán đánh Đại Uyển, vì vua Vô Quả giấu ngựa tốt rồi giết sứ nhà Hán. Nay giết vua Vô Quả rồi mang ngựa tốt ra, quân Hán sẽ giải vây. Nếu không giải vây, sẽ ra sức tử chiến cũng chưa muộn vậy.”
