卫康叔 名封，周武王同母少弟也。	Vệ Khang thúc tên là Phong, là em cùng mẹ với Chu Vũ vương.
共伯弟和有宠於釐侯， 多予之赂；和以其赂赂士，以袭攻共伯於墓上，共伯入釐侯羡 自杀。	Em của Cung bá là Hòa được Hy hầu sủng ái, ban nhiều của cải; Hòa dùng của cải đó chiêu tập rồi tặng biếu cho võ sĩ, để đánh úp Cung bá trên mộ [Hy hầu], Cung bá chạy vào hầm mộ của Hy hầu tự sát.
卫人因葬之釐侯旁，谥 曰共伯，而立和为卫侯，是为武公。	Người Vệ nhân đó chôn [Cung bá] cạnh mộ Hy hầu, thụy là Cung bá, rồi lập Hòa làm Vệ hầu, đó là Vũ công.
武公即位，修康叔之政，百姓和集。	Vũ công lên ngôi, sửa sang chính sự của Khang thúc, trăm họ hòa thuận quy phụ.
四十二年，犬戎杀周幽王， 武公将兵往佐周平戎，甚有功，周平王命武公为公。	Năm thứ bốn mươi hai, Khuyển Nhung giết Chu U vương, Vũ công đem quân sang giúp nhà Chu bình định Khuyển Nhung, rất có công lao, Chu Bình vượng phong cho Vũ công tước công.
五十五年，卒， 子庄公扬立。	Năm thứ năm mươi lăm, Vũ công chết, con là Trang công Dương lên thay.
完母死，庄公令夫人齐女子 之，立为太 子。	Mẹ Hoàn chết đi, Trang công hạ lệnh cho phu nhân người Tề nhận [Hoàn] làm con, lập làm Thái tử.
石 碏谏庄公曰：“庶子好兵，使将，乱 自此起。”	Thạch Thước can Trang công rằng: “Con thứ thích dùng binh, nếu sai làm tướng, loạn dấy từ đấy.”
二十三年，庄公卒，太子完立，是为桓公。	Năm thứ hai mươi ba, Trang công chết, Thái tử Hoàn lên thay, đó là Hoàn công.
十三年，郑伯弟 段攻其兄，不胜，亡，而州吁求与之友。	Năm thứ mười ba, em của Trịnh bá là Đoạn đánh anh mình, không thắng, bỏ trốn, rồi Châu Hu tìm Đoạn để kết giao.
十六年，州吁收聚卫亡人以 袭杀桓公，州吁自立为卫君。	Năm thứ mười sáu, Châu Hu tập hợp những kẻ bỏ trốn người Vệ để đánh úp giết Hoàn công, Châu Hu tự lập làm Vệ quân.
为郑伯弟段欲伐郑，请宋、陈、蔡与 俱，三国皆许州吁。	[Châu Hu] muốn vì em của Trịnh bá là Đoạn thảo phạt nước Trịnh, đề nghị nước Tống, nước Trần, nước Sái cùng xuất binh, ba nước đều đồng ý với Châu Hu.
州吁新立，好兵，弑桓公，卫人皆不爱。	Châu Hu mới lên ngôi, thích việc quan binh, giết Hoàn công, người Vệ đều không thích.
宣公七年，鲁弑其君隐公。	Tuyên công năm thứ bảy, người Lỗ giết vua nước mình là Ẩn công.
十 年，晋曲沃庄伯弑其君哀侯。	Năm thứ mười, Khúc Ốc Trang bá nước Tấn giết vua nước mình là Ai hầu.
十八年，初，宣公爱夫人夷姜，夷姜生子伋，以为太子，而令右 公子傅之。	Năm thứ mười tám, trước đây, Tuyên công sủng ái phu nhân Di Khương, Di Khương sinh con là Cấp, [Tuyên công] cho làm Thái tử, rồi lệnh cho Hữu công tử làm phụ tá.
右公子为太子取齐女，未入室，而宣公见所欲为太子妇者 好，说而自取之，更为太子取他女。	Hữu công tử cưới cho Thái tử người con gái nước Tề, còn chưa tổ chức hôn lễ, nhưng Tuyên công nhìn thấy người con gái Thái tử muốn cưới làm vợ, đem lòng yêu thích rồi tự cưới nàng làm vợ, đổi cho Thái tử lấy người con gái khác.
宣公得齐女，生子寿、子朔，令 左公子傅之。	Tuyên công lấy được người con gái nước Tề, sau đó sinh con là Tử Thọ và Tử Sóc, sai Tả công tử làm thầy phụ tá.
宣公自以其夺太子妻也，心恶太子，欲 废之。	Trước đó Tuyên công vốn đã cướp vợ của Thái tử, trong lòng ghét Thái tử, muốn phế truất đi.
及闻其恶，大怒，乃使太子伋於齐而令盗遮界上杀之， 与太子白旄，而告界盗见持白旄者杀之。	Đến khi nghe lời gièm, cả giận, bèn sai Thái tử Cấp đi sứ sang nước Tề rồi lệnh cho đạo tặc chặn đường ở nơi biên giới giết đi, [Tuyên công] trao cờ mao trắng cho Thái tử, rồi báo cho đạo tặc ở biên giới hễ thấy ai cầm cờ mao trắng thì giết.
且行，子朔之兄寿，太子异 母弟也，知朔之恶太子而君欲杀之，乃谓太子曰：“界盗见太子白 旄，即杀太子，太子可毋行。”	[Thái tử Cấp] chuẩn bị lên đường, anh trai của Tử Sóc là Thọ, là em cùng mẹ với Thái tử, biết Sóc ghét Thái tử còn vua cha muốn giết Thái tử, bèn bảo Thái tử rằng: “Giặc cướp ở biên giới thấy Thái tử cầm cờ mao trắng sẽ giết Thái tử, Thái tử đừng đi.”
太子曰：“逆父命求生，不可。”	Thái tử đáp: “Trái mệnh cha để mong sống, không được.”
界盗见其验，即杀之。	Đám đạo tặc ở biên giới trông thấy liền giết Thọ.
寿已死，而太子伋又至，谓盗曰：“所当杀乃我也。”	Sau khi Thọ chết, Thái tử Cấp mới đến nơi, [Cấp bèn] bảo bọn giặc cướp rằng: “Người cần giết chính là ta đây.”
盗并杀太子 伋，以报宣公。	Đạo tặc giết luôn Thái tử Cấp rồi báo với Tuyên công.
宣公乃以子朔为太子。	Tuyên công bèn phong Tử Sóc làm Thái tử.
十九年，宣公卒，太子朔立， 是为惠公。	Năm thứ mười chín, Tuyên công chết, Thái tử Sóc lên thay, đó là Huệ công.
左右公子不平朔之立也，惠公四年，左右公子怨惠公之谗杀前太 子伋而代立，乃作乱，攻惠公，立太子伋之弟黔牟为君，惠公饹齐。 卫君黔牟立八年，齐襄公率诸侯奉王命共伐卫，纳卫惠公，诛左 右公子。	Tả, Hữu công tử bất bình việc Sóc lên ngôi. Huệ công năm thứ tư, Tả, Hữu công tử oán việc trước đây Huệ công gièm pha rồi giết Thái tử Cấp để thế chỗ, bèn làm loạn, tấn công Huệ công, lập em của Thái tử Cấp là Kiềm Mâu làm vua, Huệ công chạy sang nước Tề. Vệ quân Kiềm Mâu tại vị được tám năm, Tề Tương công thống lãnh chư hầu phụng theo vương mệnh [nhà Chu] cùng thảo phạt nước Vệ, đưa Vệ Huệ Công trở về, giết Tả, Hữu công tử.
卫君黔牟饹于周，惠公复立。	Vệ quân Kiềm Mâu chạy sang nhà Chu, Huệ công trở lại ngôi vị.
二十五年，惠公怨周之容舍黔牟，与燕伐周。	Năm thứ hai mươi lăm, Huệ công oán trách nhà Chu chứa chấp cho Kiềm Mâu ở lại, bèn cùng với nước Yên thảo phạt nhà Chu.
周惠王饹温，卫、 燕立惠王弟穨为王。	Chu Huệ vương chạy đến đất Ôn, nước Vệ và nước Yên lập em của Huệ vương là Đồi làm vương.
二十九年，郑复纳惠王。	Năm thứ hai mươi chín, nước Trịnh lại đưa Huệ vương về nhà Chu.
三十一年，惠公卒，子 懿公赤立。	Năm thứ ba mươi mốt, Huệ công chết, con là Ý công Xích lên thay.
九 年，翟伐卫，卫懿公欲发兵，兵或畔。	Năm thứ chín, nước Địch thảo phạt nước Vệ, Vệ Ý công muốn phát binh, nhưng binh sĩ có kẻ làm phản.
大臣言曰：“君好穀，穀可令 击翟。”	Đại thần nói: “Nhà vua thích chim hạc, chim hạc có thể đánh quân Địch.”
翟於是遂入，杀懿公。	Thế là quân Địch tiến vào nước Vệ, giết chết Ý công.
懿公之立也，百姓大臣皆不服。	Việc Ý công lên ngôi, trăm họ và đại thần đều không phục.
自懿公父惠公朔之谗杀太子伋代 立至於懿公，常欲败之，卒灭惠公之後而更立黔牟之弟昭伯顽之子申 为君，是为戴公。	Cha của Ý công là Huệ công Sóc gièm pha giết Thái tử Cấp để lên thay Ý công, [dân chúng và đại thần] thường muốn lật đổ, rốt cuộc diệt hậu duệ của Huệ công rồi lập con của Chiêu bá Ngoan tên là Thân lên làm vua, [Ngoan] là em trai Kiềm Mâu, đó là Đái công.
戴公申元年卒。	Đái công Thân năm thứ nhất thì mất.
齐桓公以卫数乱，乃率诸侯伐翟，为卫筑楚丘， 立戴公弟毁为卫君， 初，翟杀懿公也，卫人怜之，思复立宣公前死太子伋之後，伋子 又死，而代伋死者子寿又无子。	Tề Hoàn công nhân khi nước Vệ nhiều lần rối loạn, bèn thống lãnh chư hầu thảo phạt nước Địch, xây thành ở Sở Khâu cho nước Vệ, lập em của Đái công là Hủy lên làm Vệ quân, đó là Văn công. Do trong nước loạn nên Văn công chạy sang nước Tề, người Tề đưa về nước Vệ. Trước đây, nước Địch giết Ý công, người Vệ thương xót, muốn lập lại hậu duệ của Thái tử Cấp đã bị chết thời Tuyên công trước đây, con của Cấp cũng đã chết, còn người chết thay cho Cấp là Tử Thọ lại không có con.
太子伋同母弟二人：其一曰黔牟，黔 牟尝代惠公为君，八年复去；其二曰昭伯。	Em cùng mẹ với Thái tử Cấp có hai người: người thứ nhất là Kiềm Mâu, Kiềm Mâu từng thay Huệ công làm vua, được tám năm rồi thôi; người thứ hai là Chiêu bá.
昭伯、黔牟皆已前死，故 立昭伯子申为戴公。	Chiêu bá và Kiềm Mâu đều đã chết, cho nên lập con của Chiêu bá là Thân làm Đái công.
戴公卒，复立其弟毁为文公。	Đái công chết đi, lại lập người em của Đái công là Hủy làm Văn công.
文公初立，轻赋平罪， 身自劳，与百姓同苦，以收卫 民。	Văn công mới lên ngôi, giảm nhẹ thuế khóa, xử tội công bằng, bản thân chịu vất vả, cùng chung khó nhọc với trăm họ để thu phục lòng dân nước Vệ.
十七年，齐桓公卒。	Năm thứ mười bảy, Tề Hoàn công chết.
二十五年， 文公卒，子成公郑立。	Năm thứ hai mươi lăm, Văn công chết, con là Thành công Trịnh lên thay.
成公三年，晋欲假道於卫救宋，成公不许。	Thành công năm thứ ba, nước Tấn muốn mượn đường nước Vệ để cứu nước Tống, Thành công không cho.
徵师於卫，卫大夫欲许，成公不肯。	Trưng dụng quân ở nước Vệ, các đại phu nước Vệ muốn cho, Thành công không chịu.
大夫元咺攻成公，成公出 饹。	Đại phu Nguyên Huyến tấn công Thành công, Thành công chạy khỏi nước.
卫成公遂出奔陈。	Vệ Thành công bèn chạy sang nước Trần.
二岁，如周求入，与晋文公会。	Hai năm sau, [Thành công] sang nhà Chu xin [nhà Chu] đưa về nước, cùng gặp Tấn Văn công.
晋使人鸩 卫成公，成公私於周主鸩，令薄，得不死。	Tấn Văn công sai người đầu độc Vệ Thành công, Thành công ngầm luồn lót kẻ chế thuốc độc ở nhà Chu, sai giảm liều lượng, vì thế không chết.
七年，晋文公卒。	Năm thứ bảy, Tấn Văn công chết.
十二年，成公朝晋襄公。	Năm thứ mười hai, Thành công triều kiến Tấn Tướng công.
十四年， 秦穆公卒。	Năm thứ mười bốn, Tần Mục công chết.
二十六年，齐邴歜弑其君懿公。	Năm thứ hai mươi sáu, Bính Xúc nước Tề giết vua nước mình là Ý công.
穆公二年，楚庄王伐陈，杀夏徵舒。	Mục công năm thứ hai, Sở Trang vương thảo phạt nước Trần, giết Hạ Trưng Thư.
穆公卒，子定公臧 立。	Mục công chết, con là Định công Tang lên thay.
定公十二年卒，子献公衎立。	Định công năm thứ mười hai thì chết, con là Hiến công Khản lên thay.
师曹又怒公之尝笞三百，乃歌之， 欲以怒孙文子，报卫献公。	Sư Tào lại đang giận Hiến công vì từng đánh mình ba trăm roi, bèn hát chương đó, định dùng [việc hát chương đó] để khích nộ Tôn Văn tử, báo thù Vệ Hiến công.
文子语蘧伯玉，伯玉曰：“臣不知 也。”	Văn từ thương lượng với Cừ Bá Ngọc, Bá Ngọc đáp: “Tôi không biết.”
遂攻出献公。	[Tôn Văn tử] bèn đánh đuổi Hiến công.
孙文子、甯惠子共立定公弟秋 为卫君，是为殇公。	Tôn Văn tử và Nịnh Huệ tử cùng lập em trai của Định công là Thu làm Vệ quân, đó là Thương công.
殇公秋立，封孙文子林父於宿。	Thương công Thu lên ngôi, phong cho Tôn Văn tử Lâm Phủ ở đất Túc.
林父饹晋，复求入故卫献公。	Lâm Phủ chạy sang nước Tấn, lại thỉnh cầu Tấn quân đưa Vệ Hiến công về nước.
献公在齐， 齐景公闻之，与卫献公如晋求入。	Hiến công đang ở nước Tề, Tề Cảnh công nghe tin, bèn cùng Vệ Hiến công sang nước Tấn xin [Tấn quân] đưa về nước.
卫殇公会晋平 公，平公执殇公与甯喜而复入卫献公。	Vệ Thương công hội kiến Tấn Bình công, Bình công bắt Thương công và Nịnh Hỷ rồi đưa Vệ Hiến công về.
献公亡在外十二年而入。	Hiến công lưu vong ở ngoài mười hai năm mới về lại nước.
三年，吴延陵季子使过卫，见蘧伯玉、史䲡，曰：“卫多君子， 其国无故。”	Năm thứ ba, Diên Lăng Quý tử nước Ngô đi sứ qua nước Vệ, diện kiến Cừ Bá Ngọc và Sử Ngư, nói rằng: “Nước Vệ có nhiều bậc quân tử, vì thế nước không nảy sinh biến cố.”
过宿，孙林父为击磬，曰：“不乐，音大悲，使卫乱乃 此矣。”	Qua đất Túc, Tôn Lâm Phủ vì ông mà gõ khánh, Diên Lăng Quý tử nói: “Tiếng không vui, âm thanh quá đỗi bi thương, khiến nước Vệ loạn chính là từ đây vậy.”
是年，献公卒，子襄公恶立。	Năm đó, Hiến công chết, con là Tương công Ác lên thay.
九年，襄公卒。	Năm thứ chín, Tương công chết.
初，襄公有贱妾，幸之，有身，梦有人谓 曰：“我康叔也，令若子必有卫，名而子曰‘元’。”	Ban trước, Tương công có người tiện thiếp, sủng ái nàng, có mang, mộng thấy có người bảo rằng: “Ta là Khang thúc đây, ta nhất định khiến con trai của ngươi nắm quyền nước Vệ, đặt tên cho con trai của ngươi là Nguyên.”
妾怪之，问孔 成子。	Người thiếp lấy làm lạ, bèn hỏi Khổng Thành tử.
成子曰：“康叔者，卫祖 也。”	Thành tử đáp: “Khang thúc chính là ông tổ của nước Vệ.”
及生子，男也，以告襄公。	Đến khi sinh con, được con trai, bèn báo với Tương công.
襄公曰：“天所置也。”	Tương công nói: “Trời sắp đặt vậy.”
名之曰 元。	Đặt tên con là Nguyên.
襄公夫人无子，於是乃立元为嗣，是为灵公。	Phu nhân của Tương công không có con, thế là bèn lập Nguyên kế tục, đó là Linh công.
六年，楚公子弃疾弑灵王自立，为平王。	Năm thứ sáu, công tử nước Sở là Khí Tật giết Linh vương, tự lập làm vua, đó là Bình vương.
十一年，火。	Năm thứ mười một, nước Vệ bị hỏa tai.
三十八年，孔子来，禄之如鲁。	Năm thứ ba mươi tám, Khổng tử đến nước Vệ, được bổng lộc như ở nước Lỗ.
後有隙，孔子去。	Về sau, có hiềm khích, Khổng tử bỏ đi.
後复来。	Sau này lại quay lại.
三十九年，太子蒯聩与灵公夫人南子有恶， 欲杀南子。	Năm thứ ba mươi chín, Thái tử Khoái Hội có ác ý với phu nhân của Linh công là Nam Tử, muốn giết Nam Tử.
蒯聩数目 之，夫人觉之，惧，呼曰：“太子欲杀我！”	Khoái Hội nhiều lần dùng mắt ra ám hiệu, phu nhân phát hiện ra, sợ hãi, hô lên rằng: “Thái tử muốn giết ta!”
四十二年春，灵公游于郊，令子郢仆。	Mùa xuân năm thứ bốn mươi hai, Linh công đi du ngoạn ở bên ngoài thành, sai Tử Dĩnh làm người đánh xe.
郢，灵公少子也，字子南。	Dĩnh là con út của Linh công, tự Tử Nam.
灵公怨太子出饹，谓郢曰：“我将 立若为後。”	Linh công oán Thái tử chạy sang nước khác, mới bảo Dĩnh rằng: “Ta sẽ lập ngươi làm người kế tục.”
夏，灵公卒，夫人命子郢为 太子，曰：“此灵公命也。”	Mùa hạ, Linh công chết, phu nhân lệnh cho Tử Dĩnh làm Thái tử, nói: “Đây là mệnh lệnh của Linh công.”
郢曰：“亡人太子蒯聩之子辄在也，不 敢当。”	Dĩnh đáp: “Con của Thái tử lưu vong Khoái Hội là Triếp còn đây, [Dĩnh] không dám đảm đương trọng trách này.”
於是卫乃以辄为君，是为出公。	Thế rồi người Vệ cứ tôn Triếp làm vua, đó là Xuất công.
八年，齐鲍子弑其君悼公。	Năm thứ tám, Bão tử nước Tề giết vua nước mình là Điệu công.
孔子自陈入卫。	Khổng tử từ nước Trần sang nước Vệ.
太 子与良夫言曰：“苟能入我国，报子以乘轩，免子三死，毋所 与。”	Thái tử nói với Lương Phu rằng: “Nếu ông có thể đưa ta về nước, ta sẽ báo đáp cho ngài bằng xe mái cao buông rèm, miễn cho ông ba tội chết, không bị xử trí.”
与之盟，许以悝母为妻。	Rồi cùng nhau kết minh, [Khoái Hội] đồng ý cho [Lương Phu] lấy mẹ Lý làm vợ.
既食，悝母杖戈而先， 太子与五人介，舆猳从之。	Ăn xong, mẹ Lý chống qua đi trước, Thái tử cùng năm người mặc áo giáp dày, xe chở lợn theo sau.
子路曰：“吾姑至矣。”	Tử Lộ nói: “Ta sẽ vào đó.”
子羔曰：“不及，莫践其难。”	Tử Cao nói: “Không kịp đâu, chớ có can thiệp vào họa nạn này.”
子路曰：“食焉不辟其 难。”	Tử Lộ nói: “Ăn lộc của người thì không nên tránh họa của người.”
子路入，及门，公孙敢阖门，曰：“毋入为也！”	Tử Lộ đi vào, đến cổng, Công Tôn Cảm đóng cổng, nói: “Chớ vào làm gì!”
子路曰：“是公孙也？求 利而逃其难。由不然，利其禄，必救其患。”	Tử Lộ nói: “Có phải Công Tôn đó chăng? Cầu lợi từ người mà trốn nạn của người. Do này không thể làm được như thế, hưởng lợi lộc của người, nhất định phải cứu giúp họa nạn của người.”
有使者出，子路乃得 入。 曰：“太子焉用孔悝？虽杀之，必或继之。”	Có sứ thần chạy ra, Tử Lộ nhân đó mới qua được cổng, nói: “Thái tử bức ép Khổng Lý thì được gì? Dẫu có giết đi, ắt có người kế tục Lý [đánh lại Thái tử].”
且曰：“太子无勇。若燔台，必舍孔叔。”	Lại nói: “Thái tử là người không có dũng khí. Nếu nổi lửa đốt đài, nhất định phải thả Khổng thúc ra.”
子路 曰：“君子死，冠不免。”	Tử Lộ nói: “Người quân tử dẫu chết cũng không để rơi mất mũ.”
孔子闻卫乱，曰：“嗟乎！柴也其来乎？由也其死 矣。”	Khổng tử nghe tin nước Vệ có loạn, nói: “Ôi chao! Sài có đến không? Do chắc chết mất thôi.”
孔悝竟立太子蒯聩，是为庄公。	Rốt cuộc Khổng Lý lập Thái tử Khoái Hội lên ngôi, đó là Trang công.
庄公蒯聩者，出公父也，居外，怨大夫莫迎立。	Trang công Khoái Hội, là cha của Xuất công, lưu vong bên ngoài, oán hận các quan đại phu không đón mình về lên ngôi.
群臣欲作乱，乃 止。	Quần thần định làm loạn, [Trang Công] bèn bỏ ý định đó.
二年，鲁孔丘卒。	Năm thứ hai, Khổng Khâu nước Lỗ chết.
曰：“戎虏何为是？”	[Trang công] bảo rằng: “Sao bọn giặc Nhung dựng thành ấp ở đây?”
十月，戎州告赵简 子，简子围卫。	Tháng Mười, người Nhung Châu báo với Triệu Giản tử, Giản tử bao vây nước Vệ.
十一月，庄公出奔， 卫人立公子斑师为卫君。	Tháng Mười một, Trang công chạy trốn khỏi nước, người Vệ lập công tử Ban Sư làm Vệ quân.
齐伐 卫，虏斑师，更立公子起为卫君。	Nước Tề thảo phạt nước Vệ, bắt sống Ban Sư, đổi lập công tử Khởi làm Vệ quân.
卫出公辄自齐复归立。	Vệ Xuất công Triếp từ nước Tề lại trở về nước lên ngôi.
初，出公立十二年亡，亡在外四年复入。	Ban trước, Xuất công lên ngôi được mười hai năm thì bỏ chạy, lưu vong ở nước ngoài bốn năm rồi lại trở về.
立二十一年卒， 出 公季父黔攻出公子而自立，是为悼公。	Tổng cộng ở ngôi được hai mươi mốt năm thì chết. Chú út của Xuất công là Kiềm tấn công con của Xuất công rồi tự lập làm vua, đó là Điệu công.
悼公五年卒，子敬公弗 立。	Điệu công năm thứ năm thì chết, con là Kính công Phất lên thay.
敬公十九年卒， 子昭公纠立。	Kính công năm thứ mười chín thì chết, con là Chiêu công Củ lên thay.
是时三晋彊，卫如小 侯，属之。	Bấy giờ Tam Tấn hùng mạnh, nước Vệ chỉ như chư hầu nhỏ, phụ thuộc vào Tam Tấn.
昭公六年，公子亹弑之代立，是为怀公。	Chiêu công năm thứ sáu, công tử Vĩ giết Chiêu công rồi lên thay, đó là Hoài công.
怀公十一 年，公子穨弑怀公而代立，是为慎公。	Hoài công năm thứ mười một, công tử Đồi giết Hoài công rồi lên thay, đó là Thận công.
慎公父，公子適； 適父，敬公也。	Cha của Thận công là công tử Đích; cha của Đích là Kính công.
慎公四十二年 卒，子声公训立。	Thận công năm thứ bốn mươi hai thì chết, con là Thanh công Huấn lên thay.
成侯十一年，公孙鞅入秦。	Thành hầu năm thứ mười một, Công Tôn Uởng sang nước Tần.
十六年， 卫更贬号曰侯。	Năm thứ mười sáu, nước Vệ lại bị biếm hiệu xuống thành “hầu”.
二十九年，成侯卒，子平侯立。	Năm thứ hai mươi chín, Thành hầu chết, con là Bình hầu lên thay.
平侯八年卒，子嗣君立。	Bình hầu năm thứ tám thì chết, con là Tự quân lên thay.
嗣君五年，更贬号曰君，独有濮阳。	Tự quân năm thứ năm, lại bị biếm hiệu thành “quân”, chỉ còn đất Bộc Dương.
四十二年卒，子怀君立。	Năm thứ bốn mươi hai [Tự quân] chết, con là Hoài quân lên thay.
魏 更立嗣君弟，是为元君。 元君为魏婿，故魏立之。	Nước Ngụy đổi lập em của Tự quân lên thay, đó là Nguyên quân. Nguyên quân là con rể của Ngụy [An Hy vương], cho nên được nước Ngụy lập nên.
二十五年，元君卒，子君角立。	Năm thứ hai mươi lăm, Nguyên quân chết, con là Quân Giác lên thay.
二十一年，二世废君角为庶 人，卫绝祀。	Năm thứ hai mươi mốt, Tần Nhị thế phế truất Quân Giác cho làm dân thường, nước Vệ dứt việc tế tự.
太史公曰：余读世家言，至於宣公之太子以妇见诛，弟寿争死以 相让，此与晋太子申生不敢明骊姬之过同，俱恶伤父之志。 然卒死 亡，何其悲也！ 或父子相杀，兄弟相灭，亦独何哉？ 司寇受封，梓材有作。	Thái sử công bàn rằng: Ta đọc phần Thế gia, đến việc Thái tử của Tuyên công vì đàn bà mà bị giết, em là Thọ tranh để được chết thay, chuyện ấy cũng giống chuyện Thái tử Thân Sinh nước Tấn không dám nói rõ lỗi lầm của Ly cơ, đều sợ làm thương hại đến chí nguyện của cha.
釐侯十三年，周厉王出饹于彘，共和行政焉。	Hy hầu năm thứ mười ba, Chu Lệ vương chạy ra đất Trệ, thi hành chính sự “Cộng hòa”.
庄公五年，取齐女为夫人，好而无子。	Trang công năm thứ năm, lấy người con gái nước Tề làm phu nhân, yêu quý nàng nhưng không có con.
又取陈女为夫人，生子， 蚤死。	Lại lấy người con gái nước Trần làm phu nhân, sinh con, chết sớm.
陈女女弟亦幸於庄公，而生子完。	Em gái của người con gái nước Trần cũng được Trang công sủng ái, rồi sinh con là Hoàn.
庄公有宠妾，生子州吁。	Trang công có người thiếp được sủng ái, sinh con là Châu Hu.
十八年，州吁长，好兵，庄公使将。	Năm thứ mười tám, Châu Hu trưởng thành, thích việc quan binh, Trang công cho làm tướng.
不听。	[Trang công] không nghe.
桓公二年，弟州吁骄奢，桓公绌之，州吁出饹。	Hoàn công năm thứ hai, em là Châu Hu kiêu căng xa xỉ, bị Hoàn công bãi truất, Châu Hu chạy khỏi nước.
石碏乃 因桓公母家於陈，详为善州吁。	Thạch Thước bèn nhân mẹ của Hoàn công vốn nhà ở nước Trần, và kết thân với Châu Hu.
至郑郊，石碏与陈侯共谋，使右宰丑 进食，因杀州吁于濮， 而迎桓公弟晋於邢而立之， 是为宣公。	Đến ngoại vi nước Trịnh, Thạch Thước và Trần hầu cùng bàn mưu, sai Hữu tể Xú dâng thức ăn, thừa cơ giết Châu Hu ở đất Bộc, rồi đón em của Hoàn công là Tấn ở đất Hình về lập lên ngôi, đó là Tuyên công.
九年，宋督弑其君殇公，及孔父。	Năm thứ chín, Tống Đốc giết vua nước mình là Thương Công và [đại phu] Khổng Phủ.
