白起者，郿人也。 善用兵，事秦昭王。	Bạch Khởi Bạch Khởi người đất Mi, giỏi dùng binh, thờ Tần Chiêu vương.
前後斩首虏四十五万人。 赵人大震。	Trước sau chém và bắt sống bốn mươi lăm vạn người, người Triệu hết sức kinh sợ.
四十八年十月，秦复定上党郡。	Tháng Mười năm thứ bốn mươi tám, Tần lại bình định quận Thượng Đảng.
秦分军为二：王龁攻皮牢， 拔之；司马梗定太原。	Quân Tần chia làm hai cánh: Vương Hột tấn công Bì Lao, hạ được; Tư Mã Ngạnh bình định Thái Nguyên.
韩、赵 恐，使苏代厚币说秦相应侯曰：“武安君禽马服子 乎？”	Hàn và Triệu sợ, sai Tô Đại mang hậu lễ nói với Thừa tướng nước Tần là ứng hầu rằng: “Vũ An quân bắt Mã Phục tử rồi chăng?”
曰：“然。”	Đáp: “Phải.”
“赵亡则 秦王王矣，武安君为三公。武安君所为秦战胜攻取者七十馀城，南定 鄢、郢、汉中， 北禽赵括之军，虽周、召、吕望之功不益於此矣。今 赵亡，秦王王，则武安君必为三公，君能为之下乎？虽无欲为之下， 固不得已矣。秦尝攻韩，围邢丘， 困上党，上党之民皆反为 赵，天下不乐为秦民之日久矣。今亡赵，北地入燕，东地入齐，南地 入韩、魏，则君之所得民亡几何人。故不 如因而割之，无以为武安君功 也。”	Tô Đại nói: “Triệu mất, Tần vương xưng vương, Vũ An quân làm tam công. Vũ An quân lập công cho Tần, chiếm hơn bảy mươi thành, nam bình định đất Yên, Dĩnh, Hán Trung; bắc bắt quân của Triệu Quát, công lao của Chu công, Thiệu Công, Lã Vọng cũng không hơn được. Nay Triệu diệt vong, Tần vương xưng vương, Vũ An quân tất làm tam công, ngài có thể ở dưới không? Tuy không muốn ở dưới cũng không được. Tần từng đánh Hàn, bao vây Hình Khưu, vây khốn Thượng Đảng, dân Thượng Đảng đều phản để theo Triệu, thiên hạ không vui khi làm dân Tần lâu rồi. Nay diệt Triệu, đất bắc nhập vào Yên, đất đông nhập vào Tề, đất nam nhập vào Hàn và Ngụy, như thế với số dân lưu vong ấy chẳng được bao nhiêu. Cho nên, chẳng bằng nhân đó cắt đất [của Hàn và Triệu], không để biến thành công của Vũ An quân.”
於是应侯言於秦王曰：“秦兵劳，请许韩、赵之割地以和，且 休士卒。”	Thế là ứng hầu nói với Tần vương: “Quân Tần vất vả, xin cho Hàn và Triệu cắt đất giảng hòa, và cũng để quân sĩ ngơi nghỉ.”
王听之，割韩垣雍、 赵六城以 和。	Tần vương nghe theo, cắt đất Viên Ung của Hàn, sáu thành của Triệu rồi giảng hòa.
武安君闻之，由是与应侯有隙。	Vũ An quân biết chuyện, từ đấy sinh hiềm khích với ứng hầu.
其九月，秦复发兵，使五大夫王陵攻赵邯郸。	Tháng Chín năm ấy, Tần lại dấy binh, sai Ngũ đại phu Vương Lăng đánh Hàm Đan nước Triệu.
是时武安君病，不 任行。	Lúc này, Vũ An quân ốm, không đi được.
四十九年正月，陵攻邯郸，少利，秦益发 兵佐陵。	Tháng Giêng năm thứ bốn mươi chín, Lăng đánh Hàm Đan, thắng lợi không đáng kể, Tần lại phát binh hỗ trợ Lăng.
陵兵亡五校。	Quân của Lăng tổn thất năm đội.
武安君病愈，秦王欲使武安君代陵将。	Vũ An quân khỏi ốm, Tần vương muốn sai ông thay Lăng.
武安君 言曰：“邯郸实未易攻也。且诸侯救日至，彼诸侯怨秦之日久矣。今 秦虽破长平军，而秦卒死者过半，国内空。远绝河山而争人国都，赵 应其内，诸侯攻其外，破秦军必矣。不可。”	Vũ An quân nói: “Hàm Đan thực sự không dễ đánh. Vả quân chư hầu sẽ đến cứu, vì chư hầu oán nước Tần đã lâu. Nay Tần tuy phá được quân Trường Bình, nhưng quân Tần chết quá nửa, trong nước trống không. Đi xa tận núi Hà để tranh quốc đô của người, Triệu ở bên trong, chư hầu đánh ngoài vào, ắt phá được quân Tần. Không thể đánh được.”
秦王自命，不行；乃使 应侯请之，武安君终辞不肯行，遂称病。	Tần vương đích thân hạ lệnh, [Vũ An quân] không đi, bèn sai Ứng hầu đến thuyết phục, Vũ An quân trước sau từ chối không chịu đi, lấy cớ bị bệnh.
秦王使王龁代陵将，八九月围邯郸，不能拔。	Tần vương sai Vương Hột cầm quân thay Lăng, tháng Tám tháng Chín bao vây Hàm Đan, không hạ nổi.
楚使春申君及魏公 子将兵数十万攻秦军，秦军多失亡。	Sở sai Xuân Thân quân cùng công tử nước Ngụy đem mấy chục vạn binh đánh quân Tần, quân Tần tổn thất và thương vong vô số.
武安君言曰：“秦不听臣计，今 如何矣！”	Vũ An quân nói: “Tần vương không nghe kế của thần, giờ thì thế nào?”
秦王闻之，怒，彊起武安君，武安君遂 称病笃。	Tần vương nghe vậy, nổi giận, ép Vũ An quân phải đi, Vũ An quân thác mình bệnh nặng.
应侯请之，不起。	Ứng hầu thuyết phục, không dậy.
於是免武安君为士伍，迁之阴密。	Thế là giáng Vũ An quân làm lính, đày ra Âm Mật.
武安君病，未能行。	Vũ An quân ốm, chưa thể đi ngay.
居三月，诸侯攻秦军急，秦军数卻，使者日至。	Được ba tháng, chư hầu tấn công quân Tần rất kíp, quân Tần nhiều lần phải lui, hằng ngày sứ giả về báo.
秦王乃使人遣白起，不得留咸阳中。	Tần vương bèn sai người lệnh cho Bạch Khởi, không được lưu lại trong Hàm Dương.
武安君既行，出咸阳西门十里， 至杜邮。	Vũ An quân lên đường, ra khỏi cổng tây Hàm Dương mười dặm, đến Đỗ Bưu.
秦昭王与应侯群臣议曰：“白起之迁，其意尚怏怏不服，有馀 言。”	Tần Chiêu vương cùng Ứng hầu và quần thần bàn nghị: “Bạch Khởi bị biếm trích, trong lòng tấm tức không phục, có lời oán trách.”
秦王乃使使者赐之剑，自裁。	Tần vương bèn sai sứ giả ban cho kiếm, tự kết liễu.
武安君引剑将自刭，曰：“我何 罪于天而至此哉？”	Vũ An quân cầm kiếm tự vẫn, nói: “Ta mắc tội gì với trời mà đến nông nỗi này?”
良久，曰：“我固当死。长平之战，赵卒降者数 十万人，我诈而尽阬之，是足以死。”	Hồi lâu sau, nói: “Ta vốn đáng chết. Cuộc chiến ở Trường Bình, mấy chục vạn quân Triệu đã hàng, ta lừa chôn sống, thế đủ chết rồi.”
遂自杀。	Bèn tự sát.
武安君之死也，以秦 昭王五十年十一月。	Vũ An quân chết tháng Mười một năm Tần Chiêu vương thứ năm mươi.
死而非其罪，秦人怜之，乡邑皆祭祀焉。	Chết nhưng không có tội, người Tần thương tiếc, hương ấp thảy đều tế tự.
王翦者，频阳东乡人也。	Vương Tiễn Vương Tiễn người Đông Hương, Tần Dương.
少而好兵，事秦始皇。	Tuổi trẻ thích việc quân, thờ Tần Thủy hoàng.
始皇 十一年，翦将攻赵阏与，破之，拔九城，十八年，翦将攻 赵。	Thủy hoàng năm thứ mười một, Tiễn cầm quân đánh Át Dự của Triệu, phá được, hạ chín thành. Năm thứ mười tám, Tiễn dẫn quân đánh Triệu.
岁馀，遂拔赵，赵王降，尽定赵地为郡。	Hơn một năm, phá được Triệu, Triệu vương đầu hàng, bình định toàn bộ đất Triệu, đổi thành quận.
明年，燕使荆轲为贼於 秦，秦王使王翦攻燕。	Năm sau, Yên sai Kinh Kha làm giặc ở Tần, Tần vương sai Vương Tiễn đánh Yên.
燕王喜走辽东，翦遂定燕蓟而还。	Yên vương là Hỷ chạy đến Liêu Đông, Tiễn liền bình định Kế đô của Yên rồi rút về.
秦使翦子王贲击荆， 荆兵败。	Tần sai con trai Vương Tiễn là Vương Bôn đánh úp Sở, quân Sở thua.
还击魏，魏王降，遂定魏地。	Rút về đánh Ngụy, Ngụy vương đầu hàng, rồi bình định Ngụy.
秦始皇既灭三晋，走燕王，而数破荆师。	Tần Thủy hoàng đã diệt Tam Tấn, đuổi được Yên vương, nhiều lần phá quân Kinh.
李信 曰：“不过用二十万人。”	Lý Tin thưa: “Không quá hai mươi vạn.”
始皇问王翦，王翦曰：“非六十万人不 可。”	Thủy hoàng hỏi Vương Tiễn, Vương Tiễn nói: “Không có sáu mươi vạn sẽ không đánh được.”
遂使李信及蒙恬将二十万南伐荆。	Bèn sại Lý Tín cùng Mông Điềm đem hai mươi vạn quân tiến xuống phía nam đánh Sở.
王翦言不用，因谢病，归老於频阳。	Vương Tiễn nói [Thủy hoàng] không nghe, bèn thác bệnh, về dưỡng lão ở Tần Dường.
李信攻平与， 蒙恬攻寝， 大破荆军。	Lý Tín đánh Bình Dữ, Mông Điềm đánh đất Tẩm, đại phá quân Sở.
信又攻鄢郢， 破之，於是引兵而西，与蒙恬会城父。	Tín lại đánh Yên Dĩnh, phá được, thế rồi dẫn quân sang phía tây, cùng Mông Điềm hội quân ở Thành Phụ.
荆人因随之，三日 三夜不顿舍，大破李信军，入两壁，杀七都尉，秦军走。	Người Sở nhân đó bám theo, ba ngày ba đêm không ngừng nghỉ, đại phá quân Lý Tín, đánh vào hai bên doanh lũy, giết bảy Đô úy, quân Tần rút chạy.
始皇闻之，大怒，自驰如频阳，见谢王翦曰：“寡人以不用将军 计，李信果辱秦军。今闻荆兵日进而西，将军虽病，独忍弃寡人 乎！”	Thủy hoàng nghe tin, cả giận, đích thân chạy ngựa đến Tần Dương, tạ lỗi với Vương Tiễn rằng: “Quả nhân không theo kế của tướng quân, Lý Tín quả làm nhục quân Tần. Nay nghe tin quân Sở ngày càng tiến về phía tây, tướng quân tuy ốm, đành lòng bỏ quả nhân ư?”
王翦谢曰：“老臣罢病悖乱，唯大王更择 贤将。”	Vương Tiễn tạ lỗi nói: “Lão thần đau yếu hồ đồ, xin đại vương chọn hiền tướng khác.”
始皇谢曰：“已矣，将军勿复言！”	Thủy hoàng tạ lỗi: “Thôi, tướng quân chớ nói nữa?”
王翦曰：“大王必不得 已用臣，非六十万人不可。”	Vương Tiễn thưa rằng: “Đại vương bất đắc dĩ mới dùng thần, không có sáu mươi vạn quân không thể đánh được.”
始皇曰：“为听将军计耳。”	Thủy hoàng nói: “Xin theo kế của tướng quân.”
於是王翦 将兵六十万人，始皇自送至灞上。	Thế rồi Vương Tiễn đem sáu mươi vạn quân đi, Tần Thủy hoàng đích thân tiễn đến Bá Thượng.
王翦曰：“为大王将，有功终不得封 侯，故及大王之乡臣，臣亦及时以请园池为子孙业耳。”	Vương Tiễn nói: “Làm tướng cho đại vương, có công rốt cuộc không được phong hầu, nên nhân khi đại vương coi trọng thần, thần nhân cơ hội xin vườn, ao làm sản nghiệp cho con cháu.”
王翦既至关，使使还请善田者五辈。	Vương Tiễn đến biên giới, năm lần sai sứ về xin ruộng tốt.
或曰：“将军之乞贷，亦已甚 矣。”	Có người nói: “Tướng quân xin thưởng, thực quả lắm thay.”
王翦曰：“不然。夫秦王怚而不信人。 今空秦国甲士而专委於我， 我不多请田宅为子孙业以自坚，顾令秦王坐 而疑我邪？”	Vương Tiễn nói: “Không phải đâu. Bởi Tần vương thô bạo, không tin người khác. Nay đem giáp sĩ nước Tần ủy thác cho ta, ta không xin ruộng xin nhà nhiều lần làm sản nghiệp cho con cháu để tỏ lòng kiên trung, sẽ khiến Tần vương nghi ngờ ta sao?”
荆闻王翦益军而来，乃悉国中兵以拒秦。	Sở nghe tin Vương Tiễn đem thêm quân đến, bèn dốc hết quân binh trong nước để chống Tần.
王 翦至，坚壁而守之，不肯战。	Vương Tiễn đến, giữ vững thành lũy, không chịu đánh.
於是王翦 曰：“士卒可用矣。”	Thế rồi Vương Tiễn bảo: “Quân sĩ dùng được rồi.”
荆数挑战而秦不出，乃引而东。	Sở nhiều lần khiêu chiến mà Tần không ra, bèn dẫn quân về phía đông.
翦因举兵追 之，令壮士击，大破荆军。	Tiễn nhân đó cất quân đuổi theo, lệnh binh sĩ cường tráng ra đánh, đại phá quân Sở.
至蕲南，杀其将军项燕， 荆兵遂败走。	Đến phía nam đất Kỳ, giết được tướng quân Hạng Yên của Sở, quân Sở thua chạy.
秦因乘胜略定荆地城邑。	Tần thừa thắng chiếm và bình định thành ấp nước Sở.
岁馀，虏荆王负刍，竟平荆地 为郡县。	Hơn một năm, bắt sống vua Sở là Phụ Sở, bình định toàn bộ đất Sở, lập thành các quận huyện.
因南征百越之君。	Nhân đó tiến về nam chinh phạt Bách Việt.
秦始皇二十六年，尽并天下，王氏、蒙氏功为多，名施於後世。	Tần Thủy hoàng năm thứ hai mươi sáu, thôn tính thiên hạ, công của họ Vương và họ Mông lớn nhất, thanh danh lưu truyền hậu thế.
秦二世之时，王翦及其子贲皆已死，而又灭蒙氏。	Thời Tần Nhị thế, Vương Tiễn cùng con là Bôn đã chết, lại diệt họ Mông.
陈胜之反秦， 秦使王翦之孙王离击赵，围赵王及张耳钜鹿城。	Trần Thắng làm phản Tần, Tần sai cháu nội Vương Tiễn là Vương Ly đánh Triệu, vây Triệu vương cùng Trương Nhĩ tại thành Cự Lộc.
或曰：“王离，秦之名将也。今将彊秦之兵，攻新造之 赵，举之必矣。”	Có người nói: “Vương Ly là danh tướng nước Tần. Nay cầm quân Tần hùng mạnh, đánh Triệu mới được tạo lập, ắt hạ được.”
客曰：“不然。夫为将三世者必败。必败者何也？ 必其所杀伐多矣，其後受其不祥。今王离已三世将矣。”	Khách nói: “Không phải vậy. Xét lẽ, người ba đời làm tướng, ắt thua. Sao vậy? Bởi sát phạt quá nhiều, đời sau chẳng được may mắn. Nay Vương Ly đã là đời thứ ba.”
居无何，项 羽救赵，击秦军，果虏王离，王离军遂降诸侯。	Không bao lâu sau, Hạng Vũ cứu Triệu, đánh úp quân Tần, quả nhiên bắt sống Vương Ly, quân Vương Ly bèn đầu hàng chư hầu.
太史公曰：鄙语云“尺有所短，寸有所长”。	Thái sử công bàn rằng: Tục ngữ nói: “Thước có chỗ ngắn, tấc có chỗ dài.”
王翦为秦将，夷六国，当是 时，翦为宿将，始皇师之，然不能辅秦建德，固其根本，偷合取容， 以至筊身。	Vương Tiễn làm tướng nước Tần, san bằng sáu nước, đương khi ấy, Tiễn là lão tướng, Thủy hoàng coi như thầy, nhưng không thể giúp Tần lập đức, giữ vững phần gốc, chỉ lén đón ý lấy lòng, đến tận lúc chết.
其将军赵括出锐卒自搏战，秦军射 杀赵括。	Tướng quân Triệu Quát đem quân tinh nhuệ đích thân xông trận, bị quân Tần bắn chết.
又曰：“即围邯郸乎？”	Lại hỏi: “Liền bao vây Hàm Đan chăng?”
正月，皆罢兵。	Tháng Giêng, đều cho bãi binh.
秦将李信者，年少壮 勇，尝以兵数千逐燕太子丹至於衍水中，卒破得丹，始皇以为贤勇。	Tướng Tần là Lý Tín, tuổi trẻ cường tráng dũng cảm, từng dẫn mấy nghìn quân đuổi Thái tử Đan nước Yên đến tận Diễn Thủy, cuối cùng phá được Đan, Thủy hoàng cho là hiền năng, dũng mãnh.
於是始皇问李信：“吾欲攻取荆，於将军度用几何人而足？”	Tần Thủy hoàng hỏi Lý Tín: “Ta muốn đánh lấy Sở, tướng quân ước xem bao quân thì đủ?”
始皇曰：“王将军老矣，何怯也！李将军果势壮勇， 其言是也。”	Thủy hoàng nói: “Vương tướng quân già rồi, sao khiếp nhược thế! Lý tướng quân quả nhiên khí thế anh dũng, lời y rất phải.”
始皇 曰：“将军行矣，何忧贫乎？”	Thủy hoàng nói: “Tướng quân đi đi, lo chi nghèo khó?”
荆兵数出挑战，终不出。	Quân Sở nhiều lần khiêu chiến, [Vương Tiễn] quyết không ra.
王翦日休士洗 沐，而善饮食抚循之，亲与士卒同食。	Hằng ngày Vương Tiễn cho quân sĩ nghỉ ngơi tắm gội, cho ăn ngon để vỗ về, gần gũi cùng ăn với sĩ tốt.
久之，王翦使人问军中戏乎？	Lâu sau, Vương Tiễn sai người hỏi trong quân chơi trò gì?
而王翦子王贲，与李信破定燕、齐地。	Con trai Vương Tiễn là Vương Bồn cùng Lý Tín đánh phá, bình định Yên và Tề.
白起料敌合变，出 奇无穷，声震天下，然不能救患於应侯。	Bạch Khởi liệu thế địch, hợp với cơ biến, kế lạ khôn cùng, danh chấn thiên hạ, nhưng không thể cứu họa từ ứng hầu.
彼各有所短也。	Những người ấy đều có sở đoản vậy.
王翦行，请美田宅园池甚众。	Vương Tiễn lên đường, xin ban ruộng, nhà, vườn, ao rất nhiều.
始皇大笑。	Thủy hoàng cả cười.
王翦果代李信击荆。	Quả nhiên Vương Tiễn thay Lý Tín đánh Sở.
对曰：“方投石超距。”	Báo rằng: “Chơi ném đá và thi nhảy.”
