孟尝君名文，姓田氏。 文之父曰靖郭君田婴。	Mạnh Thường quân tên Văn, họ Điền, cha là Tĩnh Quách quân Điền Anh.
文曰：“人生受命於天乎？将受命於户邪？”	Văn nói: “Người ta sinh ra nhận mệnh ở trời ư? Hay nhận mệnh từ cái cửa?”
文曰：“必受命於天，君何忧焉。必受命於户，则可高其户耳，谁能 至者！”	Văn nói: “Nếu nhận mệnh từ trời, sao người phải lo. Còn nhận mệnh từ cửa, làm cho cửa cao lên, ai lớn bằng được.”
婴曰：“子休矣。”	Anh nói: “Mày im đi.”
久之，文承间问其父婴曰：“子之子为何？”	Lâu sau, Văn nhân lúc nhàn hỏi cha Anh rằng: “Con của con gọi là gì?”
曰：“为 孙。”	Đáp: “Là cháu.”
“孙之孙为何？”	Hỏi: “Cháu của cháu thì sao?”
曰：“为玄孙。”	Đáp: “Là chắt.”
“玄孙之孙为 何？”	Hỏi: “Chắt của chất gọi là gì?”
曰：“不能知也。”	Đáp: “Không thể biết được.”
文曰：“君用事相齐，至今三王矣，齐不加广而君私家富累万 金，门下不见一贤者。文闻将门必有将，相门必有相。今君後宫蹈绮 縠而士不得褐， 仆妾馀粱肉而士不厌糟(cid:0)。今君又尚厚积馀藏，欲以遗所不知何人， 而忘公家之事日损，文窃怪 之。”	Văn nói: “Người làm Tể tướng nước Tề, đến nay đã trải ba đời vua, Tề không rộng thêm, mà của riêng trong nhà người giàu vạn lượng vàng, môn hạ không thấy ai là người hiền cả. Văn nghe nói cửa nhà tướng võ ắt có tướng võ, cửa nhà tướng văn ắt có tướng văn. Nay thê thiếp của người mặc the lụa còn kẻ sĩ chẳng có đồ vải thô mà mặc, nô bộc của người thừa thãi cơm thịt mà kẻ sĩ không đủ tấm mẳn để ăn. Nay người lại coi trọng tích trữ dư thừa, muốn chu cấp nhưng không biết cho ai, lại quên rằng sự nghiệp quốc gia ngày một sút kém, Văn trộm lấy làm lạ.”
於是婴乃礼文，使主家待宾客。	Thế là Anh dùng lễ đối đãi với Văn, sai quản gia tiếp đãi các tân khách.
宾客日进，名声闻於诸侯。	Tân khách ngày ngày kéo đến, danh tiếng lẫy lừng chư hầu.
诸 侯皆使人请薛公田婴以文为太子，婴许之。	Chư hầu đều sai người đến xin Tiết công Điền Anh lập Văn làm Thái tử, Anh đồng ý.
婴卒，谥为靖郭君。	Anh chết, thụy là Tĩnh Quách quân.
而文果代立於薛，是为孟尝君。	Còn Văn quả nhiên thay cha ở đất Tiết, đó là Mạnh Thường quân.
孟尝君在薛，招致诸侯宾客及亡人有罪者，皆归孟尝君。	Mạnh Thường quân ở ấp Tiết, chiêu tập tân khách cùng kẻ mang tội bỏ trốn ở khắp các nước chư hầu, họ đều theo Mạnh Thường quân.
孟尝君 舍业厚遇之， 以故倾天下之士。	Mạnh Thường quân đem sản nghiệp hậu đãi họ, nên kẻ sĩ thiên hạ đều hướng về.
食客数千人，无贵贱一与 文等。	Thực khách lên đến mấy nghìn, không phân sang hèn, đều ngang hàng Văn.
客去，孟尝君已使使存问，献遗其亲戚。	Khách đi rồi, Mạnh Thường quân lại sai người hỏi han, chu cấp cho thân thích họ.
孟尝君曾待客夜 食，有一人蔽火光。	Mạnh Thường quân từng hầu khách ăn đêm, có một người che ánh đèn.
客怒，以饭不等，辍食辞去。	Khách giận, cho là ăn uống không ngang hàng nhau, bỏ ăn từ biệt ra đi.
孟尝君起，自持其 饭比之。	Mạnh Thường quân dậy, tự cầm đồ ăn để khách so sánh.
孟尝君客无所择，皆善遇 之。	Mạnh Thường quân không kén chọn khách, đều đối tốt như nhau.
人人各自以为孟尝君亲己。	Ai cũng tự cho Mạnh Thường quân thân thiết với mình.
秦昭王闻其贤，乃先使泾阳君为质於齐，以求见孟尝君。	Tần Chiêu vương nghe Mạnh Thường quân là người hiền, bèn sai Kinh Dương quân sang làm con tin ở Tề, để cầu kiến Mạnh Thường quân.
孟尝君 将入秦，宾客莫欲其行，谏，不听。	Mạnh Thường quân sắp sang Tần, tân khách không muốn ông đi, can ngăn, không nghe.
苏代谓曰：“今旦代从外来，见 木禺人与土禺人相与语。 木禺人曰：‘天雨，子将败 矣。’土禺人曰：‘我生於土，败则归土。今天雨，流子而行，未知 所止息也。’今秦，虎狼之国也，而君欲往，如有不得还，君得无为 土禺人所笑乎？”	Tô Đại nói: “Sáng nay, Đại từ ngoài tới, thấy tượng gỗ và tượng đất nói chuyện. Tượng gỗ nói: 'Trời mưa, ngươi sẽ nát thôi.' Tượng đất nói: 'Ta sinh từ đất, sẽ về với đất. Nay trời mưa, ngươi xuôi theo dòng, chưa biết dừng ở chỗ nào.' Nay Tần là nước hổ lang, ngài lại muốn qua, nếu không về được, chẳng phải ngài bị tượng đất kia cười cho ư?”
孟尝君乃止。	Mạnh Thường quân bèn thôi.
齐湣王二十五年，复卒使孟尝君入秦，昭王即以孟尝君为秦相。	Tề Mẫn vương năm thứ hai mươi lăm, lại sai Mạnh Thường quân sang Tần, Chiêu vương liền phong Mạnh Thường quân làm Tể tướng nước Tần.
人或说秦昭王曰：“孟尝君贤，而又齐族也，今相秦，必先齐而後 秦，秦其危矣。”	Có người nói với Tần Chiêu vương: “Mạnh Thường quân là người hiền, lại trong hoàng tộc của Tề. Nay làm Tể tướng nước Tần, ắt trước vì Tề, sau mới vì Tần, Tần sẽ nguy mất.”
於是秦昭王乃止。 囚孟尝君，谋欲杀之。	Thế là Tần Chiêu vương bèn bãi chức, bỏ tù Mạnh Thường quân, toan giết đi.
孟尝君使 人抵昭王幸姬求解。	Mạnh Thường quân sai người đến gặp cung phi được Chiêu vương sủng ái xin giải cứu.
幸姬 曰：“妾原得君狐白裘。”	Cung phi ấy nói: “Thiếp xin ngài ban tấm áo lông cáo trắng.”
此时孟尝君有一狐白裘，直千金，天下无双，入 秦献之昭王，更无他裘。	Bấy giờ Mạnh Thường quân có chiếc áo lông cáo trắng, đáng giá ngàn vàng, thiên hạ không có chiếc thứ hai, đã mang vào nước Tần dâng lên Chiêu vương, nên không còn chiếc nào khác.
孟尝君患之，遍问客，莫能对。	Mạnh Thường quân lo về việc đó, hỏi khắp môn khách, không nghĩ ra đối sách.
最下坐有能 为狗盗者，曰：“臣能得狐白裘。”	Cuối cùng có người có thể giả làm chó để đi ăn trộm, nói: “Thần có thể lấy chiếc áo lông cáo trắng đó.”
幸姬为言昭王，昭王释 孟尝君。	Sủng phi bèn nói với Chiêu vương, Chiêu vương liền thả Mạnh Thường quân.
孟尝君得出，即驰去，更封传，变名姓以出关。	Mạnh Thường quân vừa ra khỏi, cưỡi ngựa đi ngay, thay giấy chứng nhận qua cửa quan và đổi họ tên để ra khỏi quan ải nước Tần.
秦昭王後悔出孟尝君，求之已 去，即使人驰传逐之。	Tần Chiêu vương hối hận vì thả Mạnh Thường quân, tìm bắt thì đã đi, liền sai người phi ngựa đuổi theo.
孟尝君至关，关法鸡鸣而出客，孟尝君恐追 至，客之居下坐者有能为鸡鸣，而鸡齐鸣，遂发传出。	Mạnh Thường quân đến quan ải, theo quy định phải gà gáy khách mới được xuất quan, Mạnh Thường quân sự truy binh đuổi đến, có môn khách địa vị thấp có thể giả tiếng gà gáy, khiến gà bắt chước gáy ran, lính canh mở cửa cho xuất quan.
始孟尝君列此二人於宾客，宾客尽 羞之，及孟尝君有秦难，卒此二人拔之。	Hồi đầu, Mạnh Thường quân liệt hai người trên vào hàng tân khách, các tân khách khác cảm thấy bị sỉ nhục, khi Mạnh Thường quân gặp nạn ở Tần, nhờ hai người họ giải cứu.
自是之後，客皆服。	Từ đấy về sau, tân khách đều phục.
孟尝君过赵，赵平原君客之。	Mạnh Thường quân qua Triệu, Bình Nguyên quân nước Triệu đối đãi như khách.
赵人闻孟尝君贤，出观之，皆笑 曰：“始以薛公为魁然也，今视之，乃眇小丈夫耳。”	Người Triệu nghe nói Mạnh Thường quân hiền năng, kéo nhau ra xem, đều cười nói: “Nghe nói Tiết công là người đường bệ, nay nhìn, té ra chỉ là người đàn ông nhỏ thó.”
孟尝君闻之， 怒。	Mạnh Thường quân nghe vậy, nổi giận.
客与俱者下，斫击杀数百人，遂灭一县以去。	Tân khách đi cùng đều xuống xe, chém chết mấy trăm người, diệt một huyện rồi đi.
齐湣王不自得，以其 遣孟尝君。	Tề Mẫn vương tự cho mình vô đức, sai Mạnh Thường quân sang Tần.
孟尝君至，则以为齐相，任政。	Mạnh Thường quân về, liền phong làm Tể tướng nước Tề, phụ trách chính sự.
孟尝君怨秦，将以齐为韩、魏攻楚，因与韩、魏攻秦， 而借兵食於西周。	Mạnh Thường quân oán Tần, định đem Tề cùng Hàn và Ngụy tấn công Sở, nhân đó sẽ cùng Hàn và Ngụy đánh Tần, mượn quân lương của Tây Chu.
苏代为西周 谓曰：“君以齐为韩、魏攻楚九 年，取宛、叶以北以彊韩、魏， 今复攻秦以益之。韩、魏南无楚忧，西无秦 患，则齐危矣。韩、魏必轻齐畏秦，臣为君危之。君不如令敝邑深合 於秦，而君无攻，又无借兵食。君临函谷而无攻，令敝邑以君之情谓 秦昭王曰‘薛公必不破秦以彊韩、魏。其攻秦也，欲王之令楚王割东 国以与齐，而秦出楚怀王以为和’。君令敝邑 以此惠秦，秦得无破而以东国自免也，秦必欲之。楚王得出，必德 齐。齐得东国益彊，而薛世世无患矣。秦不大弱，而处三晋之西，三 晋必重齐。”	Tô Đại vì Tây Chu nói: “Ngài vì Hàn và Ngụy đem quân Tề đánh Sở chín năm, chiếm được đất Uyển và Diệp về phía bắc, làm mạnh thêm cho Hàn và Ngụy, nay lại đánh Tần để lợi cho họ. Hàn và Ngụy phía nam không lo về Sở, phía tây không lo về Tần, vậy Tề sẽ nguy. Hàn và Ngụy ắt khinh Tề sợ Tần, tôi thấy nguy thay cho ngài. Chẳng bằng ngài hãy giúp quan hệ nước tôi và Tần thêm thân thiết, ngài không tấn công, cũng không cần mượn quân lương. Ngài đến Hàm Cốc mà không đánh, khiến nước tôi đem ân tình của ngài nói với Tần Chiêu vương: 'Tiết công ắt không phá Tần để làm mạnh cho Hàn và Ngụy. Ông ấy đánh Tần, muốn đại vương lệnh cho Sở vương cắt đất phía đông đất nước cho Tề, còn Tần thả Sở Hoài vương để giảng hòa.' Ngài khiến nước tôi lấy đó tạo ơn huệ với Tần, Tần không bị đánh còn đem phía đông đất nước để tránh tai họa, Tần ắt nghe theo. Sở vương được thả, ắt mang ơn Tề. Tề được phía đông nước Tần sẽ càng mạnh thêm, còn ấp Tiết đời đời không phải lo. Tần không quá yếu, lại ở phía tây Tam Tấn, Tam Tấn ắt coi trọng Tề.”
薛公曰：“善。”	Tiết công nói: “Phải.”
因令韩、魏贺秦，使三国无攻，而不 借兵食於西周矣。	Nhân đó lệnh cho Hàn và Ngụy chúc mừng Tần, khiến ba nước không đánh nhau, cũng không mượn quân lương của Tây Chu nữa.
是时，楚怀王入秦，秦留之，故欲必出之。	Lúc này, Sở Hoài vương sang Tần, bị Tần giữ lại, nên [Tô Đại] muốn Tần thả ra.
秦不果 出楚怀王。	Tần cuối cùng không thả Sở Hoài vương.
孟尝君相齐，其舍人魏子 为孟尝君收邑入，三反而不致一入。	Mạnh Thường quân làm Tể tướng nước Tề, xá nhân Ngụy tử đến ấp phong thu thuế cho Mạnh Thường quân, đi lại ba lần không thu được gì.
孟尝君问 之，对曰：“有贤者，窃假与之，以故不致入。”	Mạnh Thường quân hỏi, đáp rằng: “Có người hiền năng, trộm mượn danh ngài ban cấp cho họ, cho nên không thu thuế khóa.”
孟尝君怒而退魏 子。	Mạnh Thường quân giận, sai Ngụy tử lui.
居数年，人或毁孟尝君於齐湣王曰：“孟尝君将为乱。”	Mấy năm sau, có người hủy báng Mạnh Thường quân trước Tề Mẫn vương: “Mạnh Thường quân sẽ làm loạn.”
及田甲 劫湣王，湣王意疑孟尝君，孟尝君乃奔。	Đến khi Điền Giáp uy hiếp Mẫn vương, Mẫn vương có ý ngờ Mạnh Thường quân, Mạnh Thường quân bèn chạy ra ngoài.
魏子所与粟贤者闻之，乃上书言孟尝君不作 乱，请以身为盟，遂自刭宫门以明孟尝君。	Người hiền được Ngụy tử chu cấp thóc khi trước nghe tin, bèn dâng thư nói Mạnh Thường quân không làm loạn, xin đem thân mình làm chứng, bèn cắt cổ chết ngoài cửa cung để thanh minh cho Mạnh Thường quân.
湣王乃惊，而踪迹验问， 孟尝君果无反谋，乃复召孟尝君。	Mãn vương kinh ngạc, sai truy xét căn nguyên, quả nhiên Mạnh Thường quân không mưu phản, bèn triệu Mạnh Thường quân về.
孟尝君因谢病，归老於薛。	Mạnh Thường quân nhân đó thác bệnh, về dưỡng lão ở ấp Tiết.
湣王许 之。	Mẫn vương đồng ý.
其後，秦亡将吕礼相齐，欲困苏代。	Về sau, tướng bỏ trốn của Tần là Lã Lễ làm Tể tướng nước Tề, muốn dồn Tô Đại vào cảnh nguy khốn.
代乃谓孟尝君曰：“周最於 齐，至厚也，而齐王逐之，而听亲弗 相吕礼者，欲取秦也。齐、秦合，则亲弗与吕礼重矣。有用，齐、秦 必轻君。君不如急北兵，趋赵以和秦、魏，收周最以厚行，且反齐王 之信， 又禁天下之变。 齐无秦，则天下集 齐，亲弗必走，则齐王孰与为其国也！”	Đại nói với Mạnh Thường quân: “Chu Tối ở Tề, rất đỗi trung hậu, nhưng Tề vương đuổi đi, còn nghe Thân Phất cho Lễ làm Tể tướng, muốn lấy lòng Tần vậy. Tề và Tần liên hợp, Thân Phất và Lã Lễ sẽ được trọng vọng. Họ được dùng, Tề và Tần ắt coi thường ngài. Chẳng bằng ngài mau chóng xuất binh phía bắc, tiến quân xuống Triệu, giảng hòa với Tần và Ngụy, triệu hồi Chu Tối, tỏ đức khoan hậu, làm thay đổi niềm tin của Tề vương, ngăn biến loạn trong thiên hạ. Tề không thân Tần, thiên hạ đồn về Tề, Thân Phất ắt chạy, vậy Tề vương cùng ai trị lý đất nước nữa!”
於是孟尝君从其计，而吕礼 嫉害於孟尝君。	Thế là Mạnh Thường quân theo kế đó, Lễ đố kỵ muốn hại Mạnh Thường quân.
孟尝君惧，乃遗秦相穰侯魏厓书曰：“吾闻秦欲以吕礼收齐， 齐，天下之彊国也，子必轻矣。齐秦相取以临三晋，吕礼必并相矣， 是子通齐以重吕礼也。若齐免於天下之兵，其雠子必深矣。子不如劝 秦王伐齐。齐破，吾请以所得封子。齐破，秦畏晋之彊，秦必重子以 取晋。晋国敝於齐而畏秦，晋必重子以取秦。是子破齐以为功，挟晋 以为重；是子破齐定封，秦、晋交重子。若齐不破，吕礼复用，子必 大穷。”	Mạnh Thường quân sợ, bèn gửi thư cho Tể tướng nước Tần là Nhương hầu Ngụy Nhiễm rằng: “Tôi nghe nói Tần muốn dùng Lã Lễ thu phục Tề. Tề là nước mạnh trong thiên hạ, ngài ắt bị coi thường thôi. Tề và Tần liên kết kéo xuống Tam Tấn, Lễ ắt làm Tể tướng hai nước, ấy là ngài kết giao Tề để khiến Lễ được trọng vậy. Nếu Tề tránh được quan binh thiên hạ, ông ta thù ngài sâu đậm. Chẳng bằng ngài khuyên Tần vương đánh Tề. Tề bị phá, tôi sẽ xin đất phong cho ngài. Tề bị phá, Tần sợ sự hùng mạnh của Tấn, ắt coi trọng ngài để chiếm Tấn. Tấn bị Tề đánh bại mà sợ Tần, Tấn ắt coi trọng ngài để lấy Tần. Vậy là ngài phá Tề để lập công, uy hiếp Tấn nhằm được trọng; ấy là phá Tề mà được phong đất, Tần và Tấn đều coi trọng ngài. Nếu không phá được Tề, Lễ lại được dùng, ngài ắt khốn quẫn.”
於是穰侯言於秦昭王伐齐，而吕礼亡。	Thế là Nhương hầu nói với Tần Chiêu vương đánh Tề, còn Lễ bỏ trốn.
後齐湣王灭宋，益骄，欲去孟尝君。	Sau, Tề Mẫn vương diệt Tống, càng kiêu, muốn trừ Mạnh Thường quân.
孟尝君恐，乃如魏。	Mạnh Thường quân sợ, bèn sang Ngụy.
魏昭王 以为相，西合於秦、赵，与燕共伐破齐。	Ngụy Chiêu vương cho làm Tể tướng, phía tây hòa hợp với Tần và Triệu, cùng Yên đánh phá Tề.
齐湣王亡在莒，遂死焉。	Tề Mẫn vương trốn đến ấp Cử, chết ở đó.
齐 襄王立，而孟尝君中立於诸侯，无所属。	Tề Tương vương lên thay, còn Mạnh Thường quân đứng trung lập giữa chư hầu, không lệ thuộc nước nào.
齐襄王新立，畏孟尝君，与 连和，复亲薛公。	Tề Tương vương mới lên ngôi, sợ Mạnh Thường quân, bèn giảng hòa, lại kết thân với Tiết công.
文卒，谥为孟尝君。 诸子争立，而齐魏共灭薛。	Văn chết, thụy Mạnh Thường quân, các con tranh nhau kế vị, Tề và Ngụy cùng diệt ấp Tiết.
孟 尝绝嗣无後也。	Mạnh Thường quân tuyệt tự, không người nối dõi.
初，冯驩 闻孟尝君好客，蹑蹻而见之。	Trước kia, Phùng Hoan nghe nói Mạnh Thường quân hiếu khách, đi guốc gỗ đến cầu kiến.
孟尝君曰；“先生远辱，何以教文 也？”	Mạnh Thường quân nói: “Tiên sinh từ xa hạ cố đến, có gì chỉ giáo cho Văn chăng?”
冯驩曰：“闻君好士，以贫身归於君。”	Phùng Hoan đáp: “Nghe ngài chuộng kẻ sĩ, nên đem thân nghèo về với ngài.”
孟尝君置传舍十日， 孟尝君问传舍长曰：“客何所为？”	Mạnh Thường quân sắp xếp cho ở khách xá mười ngày, rồi hỏi người đứng đầu khách xá: “Khách đó làm gì?”
答曰：“冯先生甚贫，犹有 一剑耳，又蒯缑。 弹其剑而歌曰‘长铗归来乎，食无鱼’。” 孟 尝君迁之幸舍，食有鱼矣。	Đáp rằng: “Phùng tiên sinh nghèo lắm, chỉ có thanh kiếm thôi, dùng cỏ quấn chuôi, gõ kiếm hát rằng 'Kiếm dài ơi về thôi, ăn không có cá'” Mạnh Thường quân chuyển ông lên khách xá hạng trung, bữa ăn có cá.
五日，又问传舍长。 答曰：“客复弹剑而 歌曰‘长铗归来乎，出无舆’。”	Được năm hôm, hỏi người phụ trách khách xá, đáp: “Khách lại gõ kiếm hát rằng 'Kiếm dài ơi về thôi, đi không có xe'”.
五日，孟尝君复问传舍长。 舍长答曰：“先生又尝弹剑而歌曰‘长铗 归来乎，无以为家’。”	Năm ngày sau, Mạnh Thường quân lại hỏi người phụ trách khách xa, đáp rằng: “Tiên sinh vẫn thường gõ kiếm hát rằng 'Kiếm dài ơi về thôi, không có gì cho gia đình'.”
孟尝君不悦。	Mạnh Thường quân không vui.
孟尝君时相齐，封万户於薛。	Khi Mạnh Thường quân làm Tể tướng nước Tề, được phong vạn hộ ở ấp Tiết.
其食客三千 人。 邑入不足以奉客，使人出钱於薛。	Thực khách có ba nghìn người, thu nhập ở ấp phong không đủ để cung dưỡng, sai người ra ấp Tiết lấy tiền lãi.
岁馀不入， 贷钱者多不能与其息，客奉将不给。	Hơn năm chưa thu được, người vay tiền phần nhiều không trả tiền lời, việc phụng dưỡng khách sắp không đủ chi cấp.
孟 尝君忧之，问左右：“何人可使收债於薛者？”	Mạnh Thường quân lo lắng, hỏi tả hữu: “Ai có thể thu tiền nợ ở ấp Tiết?”
孟尝君乃进冯驩而请之曰：“宾客不知文不肖，幸临文者三千 馀人，邑入不足以奉宾客，故出息钱於薛。薛岁不入，民颇不与其 息。今客食恐不给，原先生责之。”	Mạnh Thường quân bàn đến chỗ Phùng Hoan thỉnh cầu rằng: “Tân khách không biết đấy thôi, Văn này bất tài kém cỏi, có trên ba nghìn người hạ cố đến đây, thu từ ấp phong không đủ để phụng đãi tân khách, nên cần thu tiền lãi ở ấp Tiết. Ấp Tiết mùa màng thất bát, dân phần nhiều không trả lãi. Nay sợ không đủ cấp đồ ăn cho môn khách, xin tiên sinh đi thu giúp.”
冯驩曰；“诺。”	Phùng Hoan đáp: “Vâng.”
辞行，至薛， 召取孟尝君钱者皆会，得息钱十万。	Từ biệt lên đường, đến đất Tiết, triệu những người vay tiền của Mạnh Thường quân đến, được mười vạn tiền lời.
齐为 会，日杀牛置酒。	Mọi người tụ họp, hằng ngày giết trâu uống rượu.
酒酣，乃持券如前合之，能与息者，与为期；贫不 能与息者，取其券而烧之。 曰：“孟尝君所以贷钱者，为民之无者以 为本业也；所以求息者，为无以奉客也。今富给者以要期，贫穷者燔 券书以捐之。诸君彊饮食。有君如此，岂可负哉！”	Rượu mềm môi, bèn cầm khoán ước vay tiền đối chiếu lại trước mặt họ, ai trả được tiền lời thì hẹn thời hạn trả, ai nghèo không trả được thì đốt giấy nợ đi, nói: “Mạnh Thường quân sở dĩ cho vay tiền, để giúp dân không có sản nghiệp cũng có thể làm nghề nông, còn việc thu lời, vì không có gì phụng dưỡng môn khách đấy thôi. Nay, nhà nào sung túc thì hẹn thời gian trả, ai nghèo khó thì đốt giấy nợ xóa cho. Các vị gắng ăn uống đi. Có chủ nhân như thế, há nỡ phụ ru!”
孟尝君闻冯驩烧券书，怒而使使召驩。	Mạnh Thường quân nghe nói Phùng Hoan đốt giấy nợ, tức giận sai người đi gọi Hoan về.
驩至，孟尝君曰：“文食 客三千人，故贷钱於薛。文奉邑少， 而民尚多不以时与其息，客食恐不足，故请先生收责之。闻先生 得钱，即以多具牛酒而烧券书，何？”	Hoan về tới, Mạnh Thường quân nói: “Văn có đến ba nghìn thực khách, mới cho vay tiền ở ấp Tiết. Bổng lộc ở ấp phong nhỏ, dân phần nhiều không trả tiền lời đúng hạn, cái ăn cho khách e không đủ, nên thỉnh tiên sinh đi thu giúp. Nghe nói tiên sinh đã thu được tiền, nhưng lấy tiền mua nhiều trâu, rượu, còn đốt khế ước, sao lại thế?”
冯驩曰：“然。不多具牛酒即 不能毕会，无以知其有馀不足。有馀者，为要期。不足者，虽守而责 之十年，息愈多，急，即以逃亡自捐之。若急，终无以偿，上则为君 好利不爱士民，下则有离上抵负之名，非所以厉士民彰君声也。焚无 用虚债之券，捐不可得之虚计，令薛民亲君而彰君之善声也，君有何 疑焉！”	Phùng Hoan nói: “Đúng thế. Không mua nhiều trâu, rượu không thể hội họp tất cả, không lấy gì để biết họ dư dật hay thiếu thốn. Người dư dật sẽ hẹn thời gian trả. Người thiếu thốn tuy giữ giấy đó mà đòi mười năm, lợi tức càng nhiều, bí bách, sẽ bỏ trốn quỵt nợ. Nếu bí bách, chẳng lấy đâu ra để đền, trên thì ngài mang tiếng hám lợi không yêu sĩ dân, dưới thì họ mang tiếng bội bạc, chẳng bằng khích lệ sĩ dân, làm rạng danh cho ngài. Đốt giấy nợ vô dụng, bỏ thứ không thể đòi khiến dân ấp Tiết thân với ngài, ngài cũng tỏ được tiếng tốt, ngài còn ngờ gì nữa?”
孟尝君乃拊手而谢之。	Mạnh Thường quân bèn chắp tay tạ lỗi.
齐王惑於秦、楚之毁，以为孟尝君名高其主而擅齐国之权，遂废 孟尝君。	Tề vương nghi hoặc lời hủy báng của Tần và Sở, cho Mạnh Thường quân danh cao hơn chủ, chuyên quyền ở Tề, bèn phế truất Mạnh Thường quân.
诸客见孟尝君废，皆去。	Các môn khách thấy Mạnh Thường quân bị phế, đều bỏ đi.
冯驩曰：“借臣车一乘，可以入秦 者，必令君重於国而奉邑益广，可乎？”	Phùng Hoan nói: “Cho tôi mượn một cỗ xe, có thể sang Tần, ắt khiến ngài được trọng trong nước mà bổng lộc ở ấp phong cũng nhiều thêm, được chăng?”
秦王跽而问之曰：“何以使秦无为雌而 可？”	Tần vương quỳ xuống hỏi rằng: “Làm thế nào khiến Tần không suy yếu?”
冯驩曰：“王亦知齐之废孟尝君乎？”	Phùng Hoan đáp: “Đại vương biết việc Tề phế truất Mạnh Thường quân chăng?”
秦王曰：“闻之。”	Tần vương đáp: “Có nghe.”
