陈胡公满者，虞帝舜之後也。	Hồ công Mãn nước Trần là hậu duệ của đế Thuấn thời Ngu.
桓公病而乱作，国人分散，故再赴。	Hoàn công bị bệnh khiến loạn lạc nổi lên, người trong nước chia năm xẻ bảy, nên lại báo tang thêm lần nữa.
厉公二年，生子敬仲完。	Lệ công năm thứ hai, sinh con là Kính Trọng Hoàn.
厉公取蔡女，蔡女与蔡人乱，厉公数如蔡淫。	Lệ công lấy người con gái nước Sái, người con gái nước Sái dâm loạn với người Sái, Lệ công [cũng] nhiều lần sang Sái để dâm ô.
七年，厉公所杀桓 公太子免之三弟，长曰跃，中曰林，少曰杵臼，共令蔡人诱厉公以好 女，与蔡人共杀厉公而立跃，是 为利公。	Năm thứ bảy, ba người em trai của Thái tử của Hoàn công là Miễn, [Miễn] bị Lệ công giết trước đây, trưởng là Dược, giữa là Lâm, út là Chử Cữu, cùng lệnh cho người Sái dùng gái đẹp du Lệ công sang, sau đó cùng người Sái giết Lệ công, rồi lập Dược lên thay, đó là Lợi công.
利公者，桓公子也。	Lợi công là con của Hoàn công.
利公立五月卒，立中弟林，是为庄公。	Lợi công lên ngôi được năm tháng thì chết, lập người em giữa là Lâm lên thay, đó là Trang công.
庄公七年卒，少弟杵臼立，是为宣公。	Trang công năm thứ bảy thì chết, người em út là Chử Cữu lên thay, đó là Tuyên công.
宣公三年，楚武王卒，楚始彊。	Tuyên công năm thứ ba, Sở Vũ vương chết, nước Sở bắt đầu hùng mạnh.
十七年，周惠王娶陈女为后。	Năm thứ mười bảy, Chu Huệ vương lấy người con gái nước Trần làm vương hậu.
二十一年，宣公後有嬖姬生子款，欲立之，乃杀其太子御寇。	Năm thứ hai mươi mốt, sau khi Tuyên công có người phi tần được sủng ái sinh được con là Khoản, muốn lập Khoản, bèn giết Thái tử là Ngự Khấu.
御 寇素爱厉公子完，完惧祸及己，乃奔齐。	Ngự Khấu vốn yêu quý con của Lệ công là Hoàn, Hoàn sợ họa đến thân, bèn chạy sang nước Tề.
桓公使为工正。	Hoàn công cho làm quan Công chính.
三十七年，齐桓公伐蔡，蔡败；南侵楚，至召陵，还过陈。	Năm thứ ba mươi bảy, Tề Hoàn công thảo phạt nước Sái, nước Sái thua; [Tề Hoàn công] tiến xuống phía nam xâm lược nước Sở, đến Thiệu Lăng, trở về qua nước Trần.
东道恶，桓公怒，执陈辕涛涂。	Đường phía đông khó đi, Hoàn công tức giận, bắt Viên Đào Đồ nước Trần.
是岁，晋献公杀其太子申生。	Năm này, Tấn Hiến công giết Thái tử của mình là Thân Sinh.
四十五年，宣公卒，子款立，是为穆公。	Năm thứ bốn mươi lăm, Tuyên công chết, con là Khoản lên thay, đó là Mục công.
穆公五年，齐桓公卒。	Mục công năm thứ năm, Tề Hoàn công chết.
十六年，晋文公败楚师于城濮。	Năm thứ mười sáu, Tấn Văn công đánh bại quân Sở ở Thành Bộc.
是岁，穆公卒，子共公朔立。	Năm đó, Mục công chết, con là Cung công Sóc lên thay.
共公六 年，楚太子商臣弑其父成王代立，是为穆王。	Cung công năm thứ sáu, Thái tử nước Sở là Thương Thần giết vua cha là Thành vương rồi lên thay, đó là Mục vương.
十一年，秦穆公卒。	Năm thứ mười một, Tần Mục công chết.
十 八年，共公卒，子灵公平国立。	Năm thứ mười tám, Cung công chết, con là Linh công Bình Quốc lên thay.
灵公元年，楚庄王即位。	Năm Linh công thứ nhất, Sở Trang vương lên ngôi.
六年，楚伐 陈。	Năm thứ sáu, nước Sở thảo phạt nước Trần.
十年，陈及楚平。	Năm thứ mười, nước Trần và nước Sở giảng hòa.
十四年，灵公与其大夫孔宁、仪行父皆通於夏姬， 衷其衣以戏於朝。	Năm thứ mười bốn, Linh công cùng đại phu Khổng Ninh, Nghi Hành Phủ đầu tư thông với Hạ cơ, mặc áo lót của Hạ cơ để đùa vui trong triều.
灵公以告二子，二子请杀泄冶，公弗 禁，遂杀泄冶。	Linh công đem việc đó nói với hai người kia, hai người xin giết Tiết Dã, Linh công không cấm cản, họ bèn giết Tiết Dã.
十五年，灵公与二 子饮於夏氏。	Năm thứ mười lăm, Linh công cùng hai người uống rượu ở nhà họ Hạ.
孔宁、仪行父皆奔楚，灵公太 子午奔晋。	Khổng Ninh và Nghi Hành Phủ đều trốn sang nước Sở, Thái tử của Linh công là Ngọ chạy sang nước Tấn.
徵舒自立为陈侯。	Trưng Thư tự lập làm Trần hầu.
夏姬，御叔之妻， 舒之母也。	Hạ cơ là vợ của Ngự thúc, mẹ của Thư vậy.
成公元年冬，楚庄王为夏徵舒杀灵公，率诸侯伐陈。	Mùa đông năm Thành công thứ nhất, Sở Trang vương vì việc Hạ Trưng Thư giết Linh công, liền thống lãnh chư hầu thảo phạt nước Trần.
乃迎陈灵公太子午於晋而立之，复君陈如故，是为成 公。	Bèn đón Thái tử của Trần Linh công là Ngọ ở nước Tấn trở về rồi lập làm vua, khôi phục ngôi vua cho nước Trần như trước, đó là Thành công.
八年，楚庄王卒。 二十九年，陈倍楚盟。	Năm thứ [hai mươi] tám, Sở Trang vương chết. Năm thứ hai mươi chín, nước Trần phản bội minh ước với nước Sở.
三十年，楚共王伐陈。	Năm thứ ba mươi, Sở Cung công thảo phạt nước Trần.
是岁，成公卒，子哀公弱立。	Năm này, Thành công chết, con là Ai công Nhược lên thay.
哀公三年，楚围陈，复释之。	Ai công năm thứ ba, nước Sở bao vây nước Trần, rồi lại giải vây.
二十八年，楚公子围弑其君郏敖自 立，为灵王。	Năm thứ hai mươi tám, công tử nước Sở là Vi giết vua nước mình là Giáp Ngao rồi tự lập làm vua, đó là Linh vương.
三十四年，初，哀公娶郑，长姬生悼太子师，少姬生偃。	Năm thứ ba mươi tư, trước đây, Ai công lấy vợ người nước Trịnh, Trưởng cơ sinh Điệu Thái tử Sư, Thiếu cơ sinh ra Yển.
哀公病，三月，招杀悼 太子，立留为太子。	Ai công ốm, tháng Ba, Chiêu giết Điệu Thái tử, lập Lưu làm Thái tử.
四月，陈使使赴 楚。	Tháng Tư, nước Trần sai sứ giả sang nước Sở.
楚灵王闻陈乱，乃杀陈使者，使 公子弃疾发兵伐陈，陈君留奔郑。	Sở Linh vương nghe tin nước Trần rối loạn, bèn giết sứ giả nước Trần, sai công tử Khí Tật phát binh thảo phạt nước Trần, Trần quân là Lưu chạy sang nước Trịnh.
九月，楚围陈。	Tháng Chín, nước Sở bao vây nước Trần.
十一月，灭陈。 使 弃疾为陈公。	Tháng Mười một, diệt nước Trần, sai Khí Tật làm Trần công.
招之杀悼太子也，太子之子名吴，出奔晋。	Khi Chiêu giết Điệu Thái tử, con của Thái tử là Ngô chạy sang nước Tấn.
对曰：“陈，颛顼之族。 陈氏得政於齐，乃卒亡。 自幕至于瞽瞍，无违命。 舜重之以明德。至於遂， 世世守之。及胡公，周赐之姓， 使祀虞帝。且盛德之 後，必百世祀。虞之世未也，其在齐乎？”	Đáp rằng: “Trần là dòng dõi của Chuyên Húc. Họ Trần đã nắm chính sự ở nước Tề, đến cuối cùng mới bị diệt vong. Từ Mạc cho đến Cổ Tẩu đều không trái mệnh trời. Thuấn coi trọng mệnh trời để làm sáng đức của mình. Đến Toại, đời đời nối giữ mệnh trời ban cho. Cho đến Hồ công, nhà Chu ban họ, sai tế tự Ngu đế. Vả lại [nước Trần là] hậu duệ của bậc thịnh đức, ắt trăm đời được tế tự. Dòng dõi Ngu Thuấn chưa dứt, có lẽ là ở Tề chăng?”
楚灵王灭陈五岁，楚公子弃疾弑灵王代立，是为平王。	Năm năm sau khi Sở Linh vương diệt nước Trần, công tử nước Sở là Khí Tật giết Linh vương rồi lên thay, đó là Bình vương.
平王初 立，欲得和诸侯，乃求故陈悼太子师之子吴，立为陈侯，是为惠公。	Bình vương mới lên ngôi, muốn hòa hiếu với chư hầu, bèn tìm con trai Điệu Thái tử Sư nước Trần khi trước là Ngô, lập làm Trần hầu, đó là Huệ công.
惠公立，探续哀公卒时年而为元，空籍五岁矣。	Huệ công lên ngôi, truy về năm Ai công mất, coi đó là năm đầu thời Huệ công, trong thư tịch để trong năm năm thuộc nước Sở.
十年，陈火。	Năm thứ mười, nước Trần bị hỏa tai.
十五年，吴王僚使公子光伐陈，取胡、沈而去。	Năm thứ mười lăm, Ngô vương Liêu sai công tử Quang thảo phạt nước Trần, chiếm được đất Hồ, đất Thẩm rồi về.
是年，惠公卒，子怀公柳立。 怀公元年，吴破楚，在郢，召陈侯。	Năm đó, Huệ công chết, con là Hoài Công Liễu lên ngôi. Hoài công năm thứ nhất, nước Ngô phá nước Sở, tại Dĩnh đô, triệu kiến Trần hầu.
怀公乃以疾谢吴。	Hoài công bèn thác bệnh từ chối yêu cầu của nước Ngô.
四年，吴 复召怀公。	Năm thứ tư, Ngô vương lại triệu kiến Hoài công.
陈乃立怀 公之子越，是为湣公。	Nước Trần bèn lập con của Hoài công là Việt lên thay, đó là Mẫn công.
湣公六年，孔子適陈。	Mẫn công năm thứ sáu, Khổng tử đi sang nước Trần.
吴王夫差伐陈，取三邑而去。	Ngô vương Phù Sai thảo phạt nước Trần, chiếm được ba ấp rồi rút đi.
十三年，吴 复来伐陈，陈告急楚，楚昭王来救，军於城父，吴师去。	Năm thứ mười ba, quân Ngô lại đến thảo phạt nước Trần, nước Trần cấp báo với nước Sở, Sở Chiêu vương đến cứu, đóng quân Thành Phụ, quân Ngô rút đi.
是年，楚昭 王卒於城父。	Năm đó, Sở Chiêu vương chết ở Thành Phụ.
时孔子在陈。	Bấy giờ Khổng tử đang ở nước Trần.
十五年， 宋灭曹。	Năm thứ mười lăm, nước Tống diệt nước Tào.
十六年，吴王夫差伐齐，败之艾陵，使人召陈侯。	Năm thứ mười sáu, Ngô vương Phù Sai thảo phạt nước Tề, đánh bại quân Tề ở Ngải Lăng, [Ngô vương Phù Sai] sai người triệu kiến Trần hầu.
二十一年，齐田常弑其君简公。	Năm thứ hai mươi mốt, Điền Thường nước Tề giết vua nước mình là Giản công.
二十三年，楚之白公 胜杀令尹子西、子綦，袭惠王。	Năm thứ hai mươi ba, Bạch công Thắng nước Sở giết Lệnh doãn Tử Tây và Tử Kỳ, tập kích Huệ vương.
叶公攻败白公，白公自杀。	Diệp công đánh bại Bạch công, Bạch công tự sát.
二十四年，楚惠王复国，以兵北伐，杀陈湣公，遂灭陈而有之。	Năm thứ hai mươi tư, Sở Huệ vương phục quốc, đem quân bắc phạt, giết Trần Mẫn công, diệt nước Trần rồi chiếm lấy đất.
是岁，孔子卒。	Năm đó, Khổng tử chết.
杞东楼公者，夏后禹之後苗裔也。	* * * Đông Lâu công nước Kỷ là dòng dõi của vua Vũ nhà Hạ.
周 武王克殷纣，求禹之後，得东楼公，封之於杞， 以奉夏后氏祀。	Chu Vũ vương diệt vua Trụ nhà Ân, cho tìm hậu duệ của Hạ Vũ, tìm được Đông Lâu Công, phong cho đất Kỷ, để phụng thờ tế tự các vua nhà Hạ.
东楼公生西楼公，西楼公生题公，题公生谋 娶公。	Đông Lâu công sinh Tây Lâu công, Tây Lâu công sinh Đề công, Đề công sinh Mưu Tu công.
谋娶公 当周厉王时。	Mưu Tu công tương đương thời Chu Lệ vương.
谋娶公生武公。	Mưu Tu công sinh Vũ công.
武公立四十七年卒，子靖公立。 靖公二 十三年卒，子共公立。	Vũ công tại vị được bốn mươi bảy năm thì chết, con là Tĩnh công lên thay. Tĩnh công năm thứ hai mươi ba thì chết, con là Cung công lên thay.
共公八年卒，子德公立。 德公十八年卒，弟桓 公姑容立。	Cung Công năm thứ tám thì chết, con là Đức công lên thay. Đức công năm thứ mười tám thì chết, em là Hoàn công Cô Dung lên thay.
桓公十七年卒，子孝公匄 立。 孝公十七年卒，弟文公益姑立。	Hoàn công năm thứ mười bảy thì chết, con là Hiếu công Cái lên thay. Hiếu công năm thứ mười bảy thì chết, em là Văn công Ích Cô lên thay.
文公十四年卒，弟平公郁 立。	Văn công năm thứ mười bốn thì chết, em là Bình công Uất lên thay.
平公十八年卒，子悼公成立。 悼公十二年卒，子隐公乞立。	Bình công năm thứ mười tám thì chết, con là Điệu công Thành lên thay. Điệu công năm thứ mười hai thì chết, con là Ẩn công Khất lên thay.
七月，隐公弟遂弑隐公自立，是为釐公。	Tháng Bảy, em trai Ẩn công là Toại giết Ẩn công rồi tự lập làm vua, đó là Hy công.
釐公十九年卒，子湣公维 立。	Hy công năm thứ mười chín thì chết, con là Mẫn công Duy lên thay.
湣公十五年，楚惠王灭陈。	Mẫn công năm thứ mười lăm, Sở Huệ vương diệt nước Trần.
十六年，湣公弟阏路弑湣公代立，是 为哀公。	Năm thứ mười sáu, em trai Mẫn công là Át Lộ giết Mẫn công rồi lên thay, đó là Ai công.
哀公立十 年卒，湣公子敕立，是为出公。	Ai công tại vị được mười năm thì chết, con Mẫn công là Sắc lên ngôi, đó là Xuất công.
出 公十二年卒，子简公春立。	Xuất công năm thứ mười hai thì chết, con là Giản công Xuân lên thay.
立一年，楚惠王之四十四年，灭杞。	Tại vị được một năm, vào năm Sở Huệ vương thứ bốn mươi tư, [Sở Huệ vương] diệt nước Kỷ.
杞後 陈亡三十四年。	Nước Kỷ [bị diệt vong] sau nước Trần ba mươi tư năm.
舜之後，周武王封之陈，至楚惠王灭之，有世家言。	* * * Hậu duệ của Thuấn được Chu Vũ vương phong ở đất Trần, đến thời Sở Huệ vương thì bị diệt, đã nhắc tới trong phần Thế gia.
禹之後，周 武王封之杞，楚惠王灭之，有世家言。	Hậu duệ của Hạ Vũ được Chu Vũ vương phong ở đất Kỷ, [sau đó] bị Sở Huệ vương diệt, đã nói trong phần Thế gia.
契之後为殷，殷有本纪言。	Hậu duệ của ông Tiết là nhà Ân, nhà Ân đã nói ở phần Bản kỷ.
殷 破，周封其後於宋，齐湣王灭之，有世家言。	Nhà Ân bị diệt vong, nhà Chu phong cho con cháu nhà Ân đất Tống, [sau đó] bị Tề Mẫn vương diệt, có nói trong phần Thế gia.
后稷之後为周，秦昭王 灭之，有本纪言。	Hậu duệ của Hậu Tắc là Chu, bị Tần Chiêu vương diệt, có nói ở phần Bản kỷ.
皋陶之後，或封英、六， 楚穆王灭之，无谱。	Hậu duệ của Cao Dao có người được phong ở đất Anh, đất Lục, bị Sở Mục vương diệt, không có phả hệ ghi chép.
伯夷之後，至周武王复封於 齐，曰太公望，陈氏灭之，有世家言。 伯翳之後，至周平王时封为 秦，项羽灭之，有本纪言。	Hậu duệ của Bá Di, đến thời Chu Vũ vương lại được phong ở đất Tề, đó là Thái công Vọng, [sau đó] bị họ Trần diệt, có nói trong phần Thế gia. Hậu duệ của Bá Ế, đến thời Chu Bình vương được phong ở đất Tần, bị Hạng Vũ diệt, có nói trong phần Bản kỷ.
右十 一人者，皆唐虞之际名有功德臣也；其五人之後皆至帝王， 馀乃为显诸侯。	Mười một vị nói trên, đều là bề tôi nổi tiếng về công lao và đức độ thời Đường Ngu; hậu duệ của năm người đều làm đến đế vương, còn lại là các chư hầu hiển hách.
周武王时，侯伯尚千馀人。	Thời Chu Vũ vương, các bậc hầu, bá còn trên nghìn người.
及幽、厉之後，诸侯力攻相并。	Đến hậu duệ đời sau thời U vương, Lệ vương, chư hầu ra sức tấn công thôn tính lẫn nhau.
周太史过陈，陈厉公使以周易筮之，卦 得观之否： “是为观国之光，利用宾于王。 此其代陈 有国乎？不在此，其在异国？非 此其身，在其子孙。 若在异国，必姜姓。 姜姓，太岳之後。 物莫能两大，陈衰，此其昌乎？”	Quan Thái sử nhà Chu qua nước Trần, Trần Lệ công sai [Thái sử] đem Chu Dịch ra bói [cho Kính Trọng Hoàn], được quẻ Quán biến sang quẻ Bĩ, lời quẻ rằng: “Quẻ này là xem sự rạng rỡ của quốc gia, thuận lợi cho việc làm tân khách của nhà vua. Người này sẽ thay nước Trần rồi có nước chăng? Không ở nơi này thì ở nước khác chăng? Không ở bản thân người này thì ở con cháu chăng? Nếu ở nước khác, ắt là nước họ Khương. Họ Khương là hậu duệ của Thái Nhạc. Vật không thể cả hai cùng lớn, nước Trần suy thì người này sẽ hưng thịnh lên chăng?”
齐桓公欲使陈完为卿，完 曰：“羁旅之臣，幸得免负檐，君 之惠也，不敢当高位。”	Tề Hoàn công muốn cho Trần Hoàn làm quan khanh, Hoàn nói: “Kẻ bề tôi lữ khách, may được miễn còng lưng gánh nặng, là nhờ ơn huệ của nhà vua, không dám với nhận địa vị cao quý.”
齐懿仲欲妻陈敬仲，卜之，占曰：“是谓凤皇于飞，和鸣锵 锵。 有妫之後，将育于姜。 五世其昌，并于正卿。 八世之後，莫之与京。”	Ý Trọng nước Tề muốn gả con cho Kính Trọng nước Trần, bèn xem bói, quẻ bói rằng: “Quẻ này nói việc chim phượng và chim hoàng cùng bay, hót họa réo rắt. Người này là hậu duệ của Hữu Quy, trưởng thành ở nước họ Khương. Năm đời sẽ hưng thịnh, liệt vào hàng Chính khanh. Sau tám đời thì không ai mạnh bằng.”
陈大 夫辕涛涂恶其过陈，诈齐令出东道。	Đại phu nước Trần là Viên Đào Đồ ghét việc quân Tề qua nước Trần, mới lừa khiến quân Tề ra theo đường phía đông.
泄冶谏 曰：“君臣淫乱，民何效焉？”	Tiết Dã can [Linh công] rằng: “Vua tôi dâm loạn, dân biết noi ai?”
公戏二子曰：“徵舒似汝。”	Linh công đùa hai người rằng: “Trưng Thư giống các ngươi.”
二子曰：“亦似公。”	Hai vị đại phu nói: “Cũng giống nhà vua.”
徵舒怒。	Trưng Thư tức giận.
谓陈 曰：“无惊，吾诛徵舒而已。”	Báo cho người nước Trần rằng: “Đừng sợ, ta chỉ giết Trưng Thư thôi.”
申叔时使於齐来还，独不贺。	Riêng Thân Thúc Thời đi sứ sang nước Tề trở về là không chúc mừng.
庄 王问其故，对曰：“鄙语有之，牵牛径人田，田主夺之牛。径则有罪 矣，夺之牛，不亦甚乎？今王以徵舒为贼弑君，故徵兵诸侯，以义伐 之，已而取之，以利其地，则後何以令於天下！是以不贺。”	Trang vương hỏi nguyên do, [Thúc Thời] đáp rằng: “Tục ngữ có nói, dắt bò qua ruộng nhà người, chủ ruộng sẽ đoạt mất bò. Đi qua ruộng là có tội rồi, nhưng đoạt bò người ta, chẳng cũng quá đáng sao? Nay đại vương cho Trưng Thư là giặc giết vua, cho nên trưng dụng quân chư hầu, lấy danh nghĩa để thảo phạt y, xong rồi còn chiếm nước Trần, để được lợi về đất đai, vậy thì sau này lấy gì để hiệu lệnh thiên hạ! Vì thế nên [thần] không chúc mừng.”
庄王 曰：“善。”	Trang vương nói: “Phải lắm.”
孔子读史记至楚复陈，曰：“贤哉楚庄王！轻千乘之国而重一 言。”	Khổng tử đọc sử, đến đoạn nước Sở khôi phục nước Trần, bèn nói rằng: “Hiền thay Sở Trang vương! Xem nhẹ nước nghìn cỗ xe mà coi trọng một lời nói.”
留有宠哀公，哀公属之其弟司徒招。	Lưu được Ai công yêu quý, Ai công gửi gắm Lưu cho em trai [của người thiếp lớn] là Tư đồ Chiêu.
晋平公问太史赵 曰：“陈遂亡乎？”	Tấn Bình công hỏi Thái sử Triệu rằng: “Nước Trần có diệt vong không?”
二十八 年，吴王阖闾与子胥败楚入郢。	Năm thứ hai mươi tám, Ngô vương Hạp Lư cùng Tử Tư đánh bại quân Sở, tiến vào Dĩnh đô.
陈侯欲往，大夫曰：“吴新 得意；楚王虽亡，与陈有故，不可倍。”	Trần hầu muốn tới, quan đại phu nói rằng: “Nước Ngô mới được thỏa ý, Sở vương tuy bỏ trốn, nhưng trước đây vốn có qua lại với nước Trần, không thể phản bội được.”
怀公恐，如吴。 吴怒其前不往，留之，因卒吴。	Hoài công sợ, [nhưng vẫn phải] đi sang nước Ngô. Ngô vương giận Hoài công lần trước không sang, giữ Hoài công lại, vì thế [Hoài công] chết ở nước Ngô.
太史公曰：舜之德可谓至矣！	Thái sử công bàn rằng: Đức của đế Thuấn khá gọi là cùng cực vậy!
及楚灭陈，而田常得政於齐，卒为建国，百世不绝，苗裔兹兹，有土 者不乏焉。 至禹，於周则杞，微甚，不足数也。 楚惠王灭杞，其後越 王句践兴。 盛德之祀，必及百世。	Đến lúc nước Sở diệt nước Trần thì Điền Thường nắm quyền chính nước Tề, cuối cùng dựng nước, trăm đời không dứt, con cháu đông đúc, người có đất phong cũng không ít.
灵公罢酒出，徵舒伏弩厩门射 杀灵公。	Linh công uống xong đi ra, Trưng Thư cho quân cung nỏ mai phục ở cửa chuồng ngựa bắn chết Linh công.
哀公怒，欲诛招，招发兵围守哀公，哀公自经 杀。	Ai công nổi giận, định giết Chiêu, Chiêu bèn phát binh vây giữ Ai công, Ai công treo cổ tự sát.
垂、益、夔、龙，其後不知所封，不见也。	Hậu duệ của các ông Thùy, Ích, Quỳ, Long không biết được phong ở đâu, không thấy ghi chép.
滕、薛、 驺，夏、殷、周之间封也，小，不足齿列，弗论也。	Các nước Đằng, Tiết, Trâu được phong thời Hạ, Ân, Chu, là nước nhỏ, không đủ để liệt cùng chư hầu khác nên không bàn đến.
江、 黄、胡、沈 之属，不可胜数，故弗采著于传。	Những nước [nhỏ] như Giang, Hoàng, Hồ, Thẩm, nhiều không kể xiết, cho nên không chọn đưa vào sử truyện.
杞小微，其事不足称述。	Nước Kỷ nhỏ yếu, những việc liên quan không đáng để ghi chép.
