项籍者，下相人也， 字羽。 初起时，年二十 四。	Hạng Tịch, người Hạ Tương, tên tự là Vũ, khi mới khởi nghĩa, hai mươi tư tuổi.
陈婴母谓婴曰：“自我为汝家妇，未尝闻汝先古之有贵者。 今暴得大名，不祥。不如有所属，事成犹得封侯，事败易以亡，非世 所指名也。”	Mẹ Trần Anh nói với Anh rằng: “Từ khi mẹ về làm dâu nhà mày, chưa từng nghe thấy tổ tiên mày có ai quý hiển. Nay chợt có cái danh to là điểm không may. Chẳng thà phụ thuộc người khác, việc thành còn được phong hầu, việc bại cũng dễ bỏ trốn, không phải người mà ai cũng chỉ tên được.”
婴乃不敢为王。 谓其军吏曰：“项氏世 世将家，有名於楚。今欲举大事，将非其人，不可。我倚名族，亡秦 必矣。”	Trần Anh liền không dám làm vượng, bảo với quan quân rằng: “Họ Hạng đời đời làm tướng, có tiếng ở Sở. Nay muốn làm việc lớn, tướng lĩnh phi người ấy không ai làm được. Ta dựa vào danh gia vọng tộc, ắt diệt được Tần.”
於是众从其言，以兵属项梁。	Thế rồi mọi người nghe theo lời Trần Anh, đem quân lính quy phụ Hạng Lương.
凡六 七万人，军不邳。	Cả thảy sáu bảy vạn người, đóng ở Hạ Bi.
当是时，秦嘉已立景驹为楚 王，军彭城东， 欲距项梁。	Lúc bấy giờ, Tần Gia đã lập Cảnh Câu làm Sở vương, đóng quân ở phía đông Bành Thành, muốn chống Hạng Lương.
项梁谓 军吏曰：“陈王先首事，战不利，未闻所在。今秦嘉倍陈王而立景 驹，逆无道。”	Hạng Lương nói với quan quân rằng: “Trần vương khởi sự trước, song chinh chiến bất lợi, chưa biết ở đâu. Nay Tần Gia phản Trần vương mà lập Cảnh Câu, là đại nghịch vô đạo.”
乃进兵击秦嘉。	Đoạn bèn tiến quân đánh Tần Gia.
项梁已并秦嘉军，军胡陵，将引军而西。	Hạng Lương sau khi sáp nhập quân Tần Gia, liền đóng ở Hồ Lăng, định dẫn quân về phía tây.
项梁乃引兵入薛， 诛鸡石。	Hạng Lương bèn đưa quân vào đất Tiết, giết Kê Thạch.
项梁 前使项羽别攻襄城，襄城坚守不下。	Hạng Lương trước đó sai Hạng Vũ cầm một cánh quân riêng đánh Tương thành. Tương thành cố thủ không hạ được.
还报项梁。 项梁闻陈王定死，召诸别将会薛计事。	Hạng Lương nghe tin Trần vương chắc chắn đã chết, liền triệu tập các biệt tướng họp ở đất Tiết để bàn việc.
居鄛人范增， 年七十，素 居家，好奇计，往说项梁曰：“陈胜败固当。 夫秦灭六国，楚最无罪。自怀王入秦不反，楚人 怜之至今，故楚南公曰 ‘楚虽三户，亡秦必楚’也。 今陈胜首事，不立楚後而自立，其势不长。今君起江东， 楚蜂午之将 皆争附君者，以君世世楚将，为能复 立楚之後也。”	Người đất Cư Sào là Phạm Tăng, tuổi bảy mươi, vốn thường nhà, giỏi bày kế lạ, tới khuyên Hạng Lượng rằng: “Trần Thắng thua là phải. Xét Tần diệt sáu nước, Sở vô tội nhất. Từ khi Hoài vương vào đất Tần không về, người Sở thương xót đến tận giờ, vậy nên Sở Nam công nói: Sở dẫu còn ba hộ thì diệt Tần vẫn ắt là Sở. Nay Trần Thắng khởi sự trước tiên, không lập hậu duệ vua Sở mà lại tự lập, thế ấy không thể lâu dài. Nay ngài nổi dậy ở Giang Đông, tướng Sở như ong, tranh nhau quy phụ ngài, vì họ ngài đời đời là tướng Sở, có thể lập lại hậu duệ vua Sở lên ngôi vậy.”
於是项梁然其言，乃求楚怀王孙心 民间，为人牧羊，立以为楚怀王， 从民所望也。	Thế rồi Hạng Lương cho lời nói ấy là phải, bèn tìm cháu của Sở Hoài vương là Tâm trong dân gian, đang chăn dê cho người, lập làm Sở Hoài vương, theo nguyện vọng của dân vậy.
田荣即引兵归，逐其王 假。	Điền Vinh lập tức dẫn quân về, đuổi Tề vương là Giả.
田荣曰：“楚杀田假，赵 杀田角、田间，乃发兵。”	Điền Vinh nói: “Sở giết Điền Giả, Triệu giết Điền Giác, Điền Nhàn, (Tề) mới xuất quân.”
项梁曰：“田假为与国之王， 穷来从我，不忍杀之。”	Hạng Lương nói: “Điền Giả là vua của nước liên minh, vì đường cùng nên tới theo ta, ta không nỡ giết.”
齐遂不肯发兵助楚。	Tề bèn không chịu xuất quân giúp Sở.
项梁使沛公及项羽别攻城阳， 屠之。 西破秦军濮阳东， 秦兵收入濮阳。	Hạng Lương sai Bái Công và Hạng Vũ cầm quân riêng đánh Thành Dương, giết cả thành; đi về phía tây, phá quân Tần ở phía đông Bộc Dương. Quân Tần rút vào thành Bộc Dương.
项梁起东阿，西，至定陶，再破秦军，项羽等又斩李由，益轻 秦，有骄色。	Hạng Lương xuất phát từ Đông A đi về phía tây, gần tới Định Đào, lại phá quân Tần; Hạng Vũ thì chém được Lý Do, nên càng khinh Tân, có vẻ kiêu ngạo.
宋义乃谏项梁曰：“战胜而将骄卒惰者败。今卒少惰 矣，秦兵日益，臣为君畏之。”	Tống Nghĩa bèn khuyên Hạng Lương rằng: “Đánh thắng nhưng tướng kiêu quân nhác thì hỏng. Nay quân hơi trễ nhác rồi, quân Tần thì ngày một đông, tôi lo cho ngài.”
曰：“然。”	Đáp rằng: “Phải!”
秦果悉起兵益章 邯，击楚军，大破之定陶，项梁死。	Tần quả nhiên đem hết quân tăng viện cho Chương Hàm, đánh quân Sở, đại phá ở Định Đào, Hạng Lương chết.
沛公、项羽去外黄攻陈留，陈留 坚守不能下。	Bái công, Hạng Vũ rời Ngoại Hoàng đánh Trần Lưu. Trần Lưu cố thủ không hạ được.
沛公、项羽相与谋曰：“今项梁军破，士卒恐。”	Bái Công, Hạng Vũ cùng bàn rằng: “Nay quân Hạng Lương vỡ, binh sĩ đều sợ.”
乃与 吕臣军俱引兵而东。	Bèn cùng quân của Lã Thần tiến về phía đông.
章邯已破项梁军，则以为楚地兵不足忧，乃渡河击赵，大破之。	Chương Hàm sau khi phá vỡ quân của Hạng Lương thì nghĩ rằng quân của đất Sở không đáng lo, bèn vượt Hoàng Hà đánh Triệu, đại phá quân Triệu.
当此时，赵歇为王，陈馀为将，张耳为相，皆走入钜鹿城。	Lúc bấy giờ, Triệu Yết làm vua, Trần Dư làm tướng quân, Trương Nhĩ làm tướng quốc, đều chạy vào thành Cự Lộc.
陈馀为将，将卒数万人而军钜鹿之北，此所谓河北之军也。	Trần Dư làm tướng, đem mấy vạn quân đóng ở phía bắc Cự Lộc, đây gọi là quân Hà Bắc.
楚兵已破於定陶，怀王恐，从盱台之彭城，并项羽、吕臣军自将 之。 以吕臣为司徒，以其父吕青为令尹。	Quân Sở bị vỡ trận ở Định Đào, Hoài vương lo sợ, từ Hu Thai đi tới Bành Thành, gộp quân của Hạng Vũ, Lã Thần rồi tự thống lĩnh; cho Lã Thần làm Tư đồ, cho bố Thần là Lã Thanh làm Lệnh doãn.
以沛公为砀郡长， 封为武安侯，将砀郡兵。	Cho Bái công làm Đường quận trưởng, phong làm Võ An hầu, cầm quân Đường quận.
王召宋义与计事而大说之，因置以为上将军，项羽为鲁公，为 次将，范增为末将，救赵。	Sở vương triệu Tống Nghĩa tới cùng bàn việc, rất hài lòng, nhân cho làm thượng tướng quân; Hạng Vũ phong làm Lỗ công, làm thứ tưởng; Phạm Tăng làm mát tướng, để cứu Triệu.
项羽曰：“吾 闻秦军围赵王钜鹿，疾引兵渡河，楚击其外，赵应其内，破秦军必 矣。”	Hạng Vũ nói: “Tôi nghe quân Tần vây Triệu vương ở Cự Lộc, phải gấp đem quân vượt Hoàng Hà, Sở đánh bên ngoài, Triệu ứng bên trong, ắt phá được quân Tần.”
因下令军中曰：“猛如虎，很如羊，贪如 狼，彊不可使者，皆斩之。”	Nhân đó ra lệnh trong quân: “Kẻ nào mạnh như hùm, bướng như dê, tham như sói, cứng đầu không thể sai bảo đều phải chém hết.”
项羽晨朝上将军宋义，即其帐中 斩宋义头，出令军中曰：“宋义与齐谋反楚，楚王阴令羽诛之。”	Buổi sớm, Hạng Vũ vào chầu thượng tướng quân Tống Nghĩa, liền vào trong trường chém đầu Tống Nghĩa, ra lệnh trong quân rằng: “Tống Nghĩa cùng Tề âm mưu phản Sở, Sở vương ngầm lệnh cho Vũ ta giết hắn.”
当 是时，诸将皆慴服，莫敢枝梧。 皆曰：“首立楚者，将军家也。今将军诛乱。”	Lúc bấy giờ, các tướng đều sợ phục, không dám ho he, đều nói rằng: “Người đầu tiên lập lại nước Sở là nhà tướng quân. Nay tướng quân còn giết chết loạn thần.”
乃相与共立羽 为假上将军。 使人追宋义子，及之齐， 杀之。 使桓楚报命於怀王。	Đoạn cùng nhau lập Vũ làm thượng tướng quân lâm thời; sai người đuổi theo con Tống Nghĩa, bắt kịp ở Tề, rồi giết đi; sai Hoàn Sở báo tin với Hoài vương.
怀王因使项羽为上将军， 当阳君、蒲将军皆属项羽。	Hoài vương nhân đó cho Hạng Vũ làm thượng tướng quân. Đương Dương quân, Bồ tướng quân đều thuộc về Hạng Vũ.
战少利，陈馀复请兵。	Chiến sự ít thắng lợi, Trần Dư lại xin quân.
於是至则围王离，与秦军遇，九战，绝其甬道，大破之，杀 苏角，虏王离。	Thế rồi Vũ đến nơi, vây Vương Ly, gặp quân Tần, đánh chín trận. Cắt đứt đường ống, đại phá quân Tần, giết Tô Giác, bắt Vương Ly.
涉间不降楚，自烧杀。	Thiệp Nhàn không đầu hàng Sở, tự thiêu mà chết.
当是 时，楚兵冠诸侯。	Lúc bấy giờ, quân Sở đứng đầu chư hầu.
及楚击秦， 诸将皆从壁上观。	Kịp khi Sở đánh Tần, các tướng đều đứng trên tường theo dõi.
楚战士无不一以当十，楚兵呼声动天，诸侯军无不 人人惴恐。	Chiến binh Sở ai cũng lấy một chọi mười, tiếng hò reo động trời, quân chư hầu không ai không run sợ.
项羽由是始为诸侯上将军，诸侯皆 属焉。	Hạng Vũ từ đó bắt đầu làm thượng tướng quân của chư hầu, chư hầu đều dưới quyền ông.
章邯恐，使长史欣请事。	Chương Hàm sợ, sai Trưởng sử (Tư Mã) Hân về xin chỉ thị.
至咸阳，留司马门 三日，赵高不见， 有不信之心。	Tới Hàm Dương, ở lại cửa Tư Mã ba ngày, Triệu Cao không tiếp kiến, đem lòng ngờ vực.
长史欣恐，还走其军，不敢出故道，赵高 果使人追之，不及。	Trưởng sử Hân sợ, chạy về trong quân, không dám đi theo đường cũ. Triệu Cao quả nhiên sai người đuổi theo, nhưng không kịp.
欣至军，报曰：“赵高用事於中，下无可为者。 今战能胜，高必疾妒吾功；战不能胜，不免於死。原将军孰计 之。”	Hân về tới quân ngũ, báo rằng: “Triệu Cao chấp chính trong triều, người dưới quyền không làm gì được. Nay đánh mà thắng, Cao ắt đố kỵ với công của ta; đánh không thắng thì khó tránh khỏi tội chết. Mong tướng quân tính kỹ!”
项羽悉引 兵击秦军汙水上， 大破之。	Hạng Vũ đem tất cả binh sĩ đánh quân Tần trên sông Ô Thủy, đại phá quân Tần.
项羽召军吏谋曰：“粮少，欲听其 约。”	Hạng Vũ triệu quan quân lại bàn việc, nói rằng: “Lương ít, muốn chấp nhận giao ước của hắn.”
军吏皆曰：“善。”	Quan quân đều nói: “Phải?”
已盟，章邯见项羽而流涕，为言赵高。	Hội thề xong, Chương Hàm gặp Hạng Vũ mà chảy nước mắt, kể vụ Triệu Cao.
项羽乃立章邯为 雍王，置楚军中。 使长史欣为上将军，将秦军为前行。	Hạng Vũ bèn lập Chương Hàm làm Ung vương, sắp cho ở trong quân Sở; cho Trưởng sử Hân làm thượng tướng quân, dẫn quân Tần đi tiên phong.
诸侯微闻其计，以 告项羽。	Các tướng nghe phong thanh mưu tính của họ, đem báo Hạng Vũ.
项羽乃召黥布、蒲将军计曰：“秦吏卒尚众，其心不服，至 关中不听，事必危，不如击杀之，而独与章邯、长史欣、都尉翳入 秦。”	Hạng Vũ bèn triệu tập Kinh Bố, Bồ tướng quân mà bàn rằng: “Quân Tần còn đông, lòng chúng không phục, tới Quan Trung mà chúng không nghe lời, việc ắt nguy to, chẳng thà đánh giết chúng, chỉ cho Chương Hàm, Trưởng sử Hân, Đô úy Ế vào Tần thôi.”
於是楚军夜击阬秦卒二十馀万人新安城南。	Thế rồi quân Sở đương đêm giết chôn hơn hai mươi vạn quân Tần ở phía nam thành Tân An.
行略定秦地。 函谷关 有兵守关，不得入。	(Hạng Vũ) trên đường hành quân đánh dẹp đất Tần, cửa Hàm Cốc có lính giữ ải, không vào được.
又闻沛公已破咸阳，项 羽大怒，使当阳君等击关。	Lại nghe Bái công đã đánh Hàm Dương, Hạng Vũ nổi giận, sai bọn Đường Dương quân đánh cửa ải.
沛公军霸上，未得 与项羽相见。	Bái công đóng quân ở Bá Thượng, chưa có dịp gặp Hạng Vũ.
沛公左司马曹无伤使人言於项羽曰：“沛公欲王关中， 使子婴为相，珍宝尽有之。”	Quan tả tư mã của Bái công là Tào Vô Thương sai người nói với Hạng Vũ rằng: “Bái công muốn làm vua ở Quan Trung, cho Tử Anh làm tướng quốc, chiếm lấy hết của báu.”
项羽大怒，曰：“旦日飨士卒，为击破 沛公军！”	Hạng Vũ nổi giận, nói: “Sớm mai khao sĩ tốt, để đánh tan quân Bái công.”
当是时，项羽兵四十万，在新丰鸿门， 沛公兵十万，在霸上。	Lúc bấy giờ, quân Hạng Vũ bốn mươi vạn, đóng ở Hồng Môn đất Tân Phong, quân Bái Công mười vạn, đóng ở Ba Thượng.
楚左尹项伯者，项羽季父也，素善留 侯张良。 张良是时从沛公，项伯乃夜驰之沛公军，私见张良，具告以 事，欲呼张良与俱去。 曰：“毋从俱死也。”	Quan Tả doãn nước Sở là Hạng Bá, chú Hạng Vũ, xưa nay thân với Lưu hầu Trương Lương, Trương Lương bấy giờ theo Bái công, Hạng Bá chạy suốt đêm tới doanh trại của Bái công, gặp riêng Trương Lương, kể hết mọi việc, muốn bảo Trương Lương bỏ đi cùng, nói rằng: “Chớ theo Bái công, không là chết cả.”
张良曰：“臣为韩王送 沛公，沛公今事有急，亡去不义，不可不语。”	Trương Lương nói: “Tôi vì Hàn vương mà hộ tống Bái công, nay Bái công có việc nguy cấp, bỏ đi là bất nghĩa, không thể không nói năng gì.”
沛公大惊，曰：“为之柰何？”	Bái công cả kinh, nói: “Phải làm sao đây?”
张良曰：“谁为大 王为此计者？”	Trương Lương nói: “Ai bày kế này cho đại vương?”
曰：“鲰生 说我 曰‘距关，毋内诸侯，秦地可尽王也’。故听之。”	Đáp rằng: “Thằng bố láo ấy bảo ta giữ Quan Trung, chớ nhường chư hầu là có thể làm vua cả đất Tần, nên ta mới nghe.”
良曰：“料大王 士卒足以当项王乎？”	Lương nói: “Liệu quân lính của đại vương có đủ để ngăn Hạng vương không?”
沛公默然，曰：“固不如也，且为之柰 何？”	Bái công lặng im, rồi nói: “Cố nhiên không bằng vậy, nhưng làm sao bây giờ?”
张良曰：“请往谓项伯，言沛公不敢背项王也。”	Trương Lương nói: “Xin hãy tới nói với Hạng Bá, bảo rằng Bái công không dám phản Hạng vương vậy.”
沛公 曰：“君安与项伯有故？”	Bải công nói: “Sao ông lại có giao tình với Hạng Bá?”
张良曰：“秦时与臣游，项伯杀人，臣活 之。今事有急，故幸来告良。”	Trương Lương nói: “Hồi ở Tần chơi với tôi. Hạng Bá giết người, tôi cứu sống ông ta. Nay có việc gấp, nên đến báo tôi.”
沛公曰“孰与君少长？”	Bái công nói: “Ông ta với ông, ai lớn hơn?”
良曰：“长 於臣。”	Lương nói: “Ông ấy lớn hơn tôi”.
沛公曰“君为我呼入，吾得兄事之。”	Bái Công nói: “Ông bảo ông ấy vào đây giùm tôi, tôi sẽ tiếp ông ấy như đối với huynh trưởng.”
张良出，要项伯。	Trương Lương ra mời Hạng Bá.
项伯许诺。 谓沛公曰：“旦日不可不蚤自来谢项王。” 沛公 曰：“诺。”	Hạng Bá bằng lòng, bảo Bái Công rằng: “Sớm mai thế nào cũng phải tới tạ lỗi với Hạng vương.”
於是项伯复夜去，至军中，具以沛公言报项王。	Thế rồi Hạng Bả lại chạy đêm về, tới quân doanh, đem mọi lời của Bái công báo với Hạng vương.
因言 曰：“沛公不先破关中，公岂敢入乎？今人有大功而击之，不义也， 不如因善遇之。”	Nhân đó nói: “Bái công không đánh Quan Trung trước, ngài có dám vào không? Nay người ta có công to mà lại đánh người ta, thế là bất nghĩa, chẳng bằng nhân đó mà đối tốt với người ta.”
项王许诺。	Hạng vương bằng lòng.
沛公旦日从百馀骑来见项王，至鸿门，谢曰：“臣与将军戮力而 攻秦，将军战河北，臣战河南，然不自意能先入关破秦，得复见将军 於此。今者有小人之言，令将军与臣有卻。”	Sáng sớm hôm sau, Bái công đem theo hơn trăm kỵ binh tới gặp Hạng vương, đến Hồng Môn, tạ tội rằng: “Tôi cùng tướng quân hợp sức đánh Tần, tướng quân đánh Hà Bắc, tôi đánh Hà Nam, nhưng không ngờ tôi lại có thể vào Quan Trung trước để phá Tần, lại được gặp tướng quân ở đây. Nay có tiểu nhân đưa lời khiến tướng quân có hiềm khích với tôi.”
项王曰：“此沛公左司 马曹无伤言之；不然，籍何以至此。”	Hạng vương nói: “Ấy là tả tư mã Tào Vô Thương của Bái công nói vậy. Nếu không Tịch đâu đến nước này.”
亚父者，范增也。	Á phụ là Phạm Tăng vậy.
范增 起，出召项庄，谓曰：“君王为人不忍，若入前为 寿，寿毕，请以剑舞，因击沛公於坐，杀之。不者，若属皆且为所 虏。”	Phạm Tăng đứng dậy, ra gọi Hạng Trang, bảo rằng: “Quân vương là người không nhẫn tâm, người lên trên chúc thọ, chúc xong, hãy múa kiếm, thừa cơ đâm Bái công ở ngay chỗ ngồi mà giết đi. Bằng không, các ngươi đều sẽ bị hắn bắt.”
庄则入为寿，寿毕，曰：“君王与沛公饮，军中无以为乐，请 以剑舞。”	Trang liền vào chúc thọ. Chúc xong, nói rằng: “Quân vương uống cùng Bái công, trong quân không có gì lấy làm vui, xin cho tôi múa kiếm!”
项王曰：“诺。”	Hạng vương nói: “Được!”
项庄拔剑起舞，项伯亦拔剑起舞，常以 身翼蔽沛公，庄不得击。	Hạng Trang tuốt kiếm tung múa, Hạng Bá cũng tuốt kiếm tung múa, thường lấy mình che chở cho Bái công, Trang không đâm được.
良曰：“甚急。今者项庄拔剑舞，其意常在沛公 也。”	Lương đáp: “Rất nguy cấp. Nãy Hạng Trang tuốt kiếm múa, ý hắn thường nhằm vào Bái công.”
哙曰：“此迫矣，臣请入，与之同命。”	Khoái nói: “Vậy thì nguy rồi, để tôi xin vào liều mạng với hắn.”
项王按剑而 跽曰：“客何为者？”	Hạng vương chống kiếm, quy thẳng lưng, nói: “Khách làm gì vậy?”
张良曰：“沛公之参乘樊 哙者也。”	Trương Lương nói: “Đây là Tham thặng Phàn Khoái của Bái công vậy.”
项王曰：“壮士，赐之卮酒。”	Hạng vương nói: “Tráng sĩ! Ban cho chén rượu?”
哙拜谢， 起，立而饮之。	Khoái lạy tạ, đứng dậy mà uống.
项王曰：“赐之彘肩。”	Hạng vương nói: “Ban cho một vai lợn?”
项王曰：“壮士，能复饮乎？”	Hạng vương nói: “Tráng sĩ có uống được rượu nữa không?”
樊哙曰：“臣死且不避， 卮酒安足辞！夫秦王有虎狼之心，杀人如不能举，刑人如恐不胜，天 下皆叛之。怀王与诸将约曰‘先破秦入咸阳者王之’。今沛公先破秦 入咸阳，豪毛不敢有所近，封闭宫室，还军霸上，以待大王来。故遣 将守关者，备他盗出入与非常也。劳苦而功高如此，未有封侯之赏， 而听细说，欲诛有功之人。此亡秦之续耳，窃为大王不取也。”	Phan Khoái nói: “Tôi chết còn chẳng tránh, chén rượu đâu đáng từ! Tần vương lòng dạ hổ lang, giết người không thể kể xiết, dùng hình như sợ chưa đủ, thiên hạ đều phản Tần. Hoài vương cùng các tướng hẹn rằng: kẻ nào phá được Tần vào Hàm Dương trước thì sẽ phong vương. Nay Bái công phá được Tần, vào Hàm Dương trước, tơ hào không dám động chạm, niêm phong cung thất, quay ra đóng quân ở Bá Thượng, để đợi đại vương tới. Vậy nên sai tướng giữ ải, phòng bị trộm cắp ra vào cũng như việc bất thường. Bái công khó nhọc mà công to như vậy, nhưng chưa được ban thưởng phong hầu, Đại vương lại nghe lời gian tế, muốn giết người có công. Ấy là theo thói nhà Tần đã mất. Tôi trộm nghĩ đại vương sẽ không làm như vậy.”
项王 未有以应，曰：“坐。”	Hạng vương chưa có lời đáp lại, chỉ nói: “Ngồi đi!”
沛公曰：“今者出，未辞也，为之柰何？”	Bái Công nói: “Nãy đi ra chưa cáo từ, phải làm sao đây?”
於是 遂去。 乃令张良留谢。	Thế rồi liền bỏ đi, lệnh cho Trường Lương ở lại tạ tội.
良问曰：“大王来何操？”	Lương hỏi rằng: “Đại vương khi tới đây cầm theo vật gì vậy?”
