伍子胥者，楚人也，名员。	Ngũ Tử Tư người nước Sở, tên là Viên.
伍胥遂与胜独身步走，几不得脱。	Ngũ Tư phải cùng Thắng đi bộ mà trốn, suýt không thoát thân.
追者在 後。	Quân đuổi đến sau.
至江，江上有一渔父乘船，知伍胥之急，乃渡伍胥。	Tới bờ sông, trên sông có ông chài đang chèo thuyền, biết Ngũ Tư nguy cấp, bèn đưa sang sông.
伍胥既渡， 解其剑曰：“此剑直百金，以与父。”	Ngũ Tư sang đến bờ, cởi kiếm nói: “Kiếm này đáng giá trăm lượng vàng, xin trao tặng ông.”
父曰：“楚国之法，得伍胥者 赐粟五万石，爵执珪，岂徒百金剑邪！”	Người đó nói: “Theo pháp lệnh nước Sở, ai bắt được Ngũ Tư sẽ thưởng năm vạn thạch thóc, ban tước Chấp khuê, há chỉ bằng thanh kiếm trăm lạng vàng sao?”
不受。	nói rồi không nhận.
伍胥未至吴而疾，止 中道，乞食。	Ngũ Tư chưa đến Ngô thì ốm, phải dừng giữa đường xin ăn.
至 於吴，吴王僚方用事，公子光为将。	Đến Ngô, Ngô vương là Liêu đang nắm quyền, Công tử Quang làm Tướng quốc.
伍胥乃因公子光以求见吴王。	Ngũ Tư bèn thông qua công tử Quang cầu kiến Ngô vương.
久之，楚平王以其边邑锺离与吴边邑卑梁氏俱蚕，两女子争桑相 攻，乃大怒，至於两国举兵相伐。	Lâu sau, Sở Bình vương vì việc người ấp Chung Ly ở biên giới nước Sở và người ấp Ty Lương Thị ở biên giới nước Ngô đều nuôi tằm, phụ nữ hai bên tranh chấp đất trồng dâu, bèn cả giận, đến mức hai nước giao binh.
吴使公子光伐楚，拔其锺离、居巢 而归。	Nước Ngô sai công tử Quang đánh Sở, chiếm được Chung Ly và Cư Sào rồi rút về.
伍子胥说吴王僚曰：“楚可破也。原复遣 公子光。” 公子光谓吴王曰：“彼伍胥父兄为戮於楚，而劝王伐楚 者，欲以自报其雠耳。伐楚未可破也。”	Ngũ Tử Tư nói với Ngô vương Liêu: “Có thể phá được nước Sở, hãy sai công tử Quang tiếp tục cầm quân sang đánh.” Công tử Quang nói với Ngô vương: “Cha và anh của Ngũ Tư kia đều bị Sở vương giết nên khuyên bệ hạ đánh Sở, ý muốn báo thù riêng. Chứ đánh Sở chưa chắc phá được.”
伍胥知公子光有内志，欲杀 王而自立，未可说以外事，乃进专诸於公子 光，退而与太子建之子胜耕於野。	Ngũ Tư biết công tử Quang có dã tâm riêng, muốn giết vua để lên thay, nên chưa thể du thuyết việc khác, bèn tiến cử Chuyên Chư cho công tử Quang, rồi lui về cày ruộng cùng con thái tử Kiến là Thắng.
五年而楚平王卒。	Năm năm sau, Sở Bình vương chết.
初，平王所夺太子建秦女生子轸，及平王卒， 轸竟立为後，是为昭王。	Lúc trước, Bình vương cướp người con gái nước Tần định gả cho thái tử Kiến, sinh con là Chẩn, Bình vương qua đời, Chẩn được nối ngôi, đó là Chiêu vương.
吴王僚因楚丧，使二公子将兵往袭楚。	Ngô vương Liêu nhân nước Sở có tang, sai hai công tử đem quân đánh úp nước Sở.
楚发 兵绝吴兵之後，不得归。	Sở đem quân chặn hậu, quân Ngô không còn đường rút.
吴国内空，而公子光乃令专诸袭刺吴王僚而 自立，是为吴王阖庐。	Nước Ngô trống không, công tử Quang bèn lệnh cho Chuyên Chư bất ngờ hành thích Ngô vương, tự lập làm vua, đó là Ngô vương Hạp Lư.
阖庐既立，得志，乃召伍员以为行人，而与谋 国事。	Hạp Lư lên ngôi, đắc chí, bèn triệu Ngũ Viên, giao làm Hành nhân, cùng bàn việc nước.
前王僚所遣二公子将兵 伐楚者，道绝不得归。	Trước đây, hai công tử được Ngô vương Liêu sai đem quân đánh Sở, bị chặn đường không về được.
後闻阖庐弑王僚自立，遂 以其兵降楚，楚封之於舒。	Sau, nghe tin Hạp Lư giết Liêu, tự lập làm vua, bèn đem quân hàng Sở, được Sở phong cho đất Thư.
因欲至郢，将军孙武曰：“民劳，未可， 且待之。”	Nhân đó Hạp Lư định tiến đánh Dĩnh đô nước Sở, tướng quân Tôn Vũ nói: “Dân khó nhọc, chưa thể tiến, hãy chờ đã.”
乃归。	Bèn rút quân về.
四年，吴伐楚，取六与灊。	Hạp Lư năm thứ tư, nước Ngô đánh nước Sở, chiếm đất Lục và đất Tiềm.
六年，楚昭王使公子囊瓦 将兵伐吴。	Năm thứ sáu, Sở Chiêu vương sai công tử Nang Ngõa đem quân đánh Ngô.
吴使伍员迎击， 大破楚军於豫章， 取楚之居巢。	Ngô sai Ngũ Viện dẫn quân đón đánh, đại phá quân Sở tại Dự Chương, chiếm được Cư Sào của Sở.
九年，吴王阖庐谓子胥、孙武曰：“始子言郢未可入，今果何 如？”	Năm thứ chín, Ngô vương Hạp Lư bảo Tử Tư và Tôn Vũ: “Khi trước, các ngươi nói chưa thể tiến đánh Dĩnh đô, nay thì sao?”
二子对曰：“楚将囊瓦贪，而唐、蔡皆怨之。王必欲大伐之， 必先得唐、蔡乃可。”	Cả hai đáp: “Tướng Sở là Nang Ngõa tham lam, nước Đường và nước Sái đều hận, bệ hạ muốn cất đại quân tiến đánh, trước tiên cần được Đường, Sái ủng hộ.”
吴王之弟夫概将兵请从，王不听，遂以其属五千 人击楚将子常。	Em Ngô vương là Phu Khái dẫn tinh binh xin theo, nhà vua không cho, Phu Khái bèn kén năm nghìn quân đánh tướng Sở là Tử Thường.
子常败走，奔 郑。	Tử Thường đại bại, chạy đến nước Trịnh.
於是吴乘胜而前，五战，遂至郢。	Thế là quân Ngô thừa thắng xông lên, đánh liền năm trận, tiến đến tận Dĩnh đô.
己卯，楚昭王出奔。	Ngày Kỷ Mão, Sở Chiêu vương chạy trốn.
庚辰，吴王入郢。	Ngày Canh Thìn, Ngô vương vào Dĩnh đô.
昭王出亡，入云梦；盗击王，王走郧。	Chiêu vương trốn chạy, tiến vào đầm Vân Mộng; bị trộm cướp tấn công, phải chạy đến đất Vân.
郧公弟怀曰：“平王杀我父，我杀其子， 不亦可乎！”	Em của Vân công là Hoài nói: “Bình vương giết cha ta, ta giết con ông ấy, thế chẳng phải lẽ ư?”
郧公恐其弟杀王，与王奔随。	Vân công sợ em giết Sở vương, bèn cùng Sở vương chạy đến đất Tùy.
吴兵围随，谓随人曰：“周之子孙在汉川 者，楚尽灭之。”	Quân Ngô bao vây Tùy, nói với người Tùy rằng: “Con cháu nhà Chu ở Hán Xuyên đều bị Sở giết sạch.”
随人欲杀王，王子綦匿王，己自为王以当之。	Người Tùy chực giết Sở vương, con Sở vương là Kỳ liền giấu vua đi, tự nhận là Sở vương để thế thân.
随人 卜与王於吴，不吉，乃谢吴不与王。	Người Tùy bói quẻ về quan hệ giữa Sở vương với nước Ngô, điềm gở, bèn tạ lỗi nước Ngô vì đã không giao nộp Ngô vương.
始伍员与申包胥为交，员之亡也，谓包胥曰：“我必覆楚。”	Hồi đầu, Ngũ Viên và Thân Bao Tư giao du với nhau, khi Viên chạy trốn có nói với Bao Tư: “Ta nhất định lật đổ nước Sở.”
包 胥曰：“我必存之。”	Bao Tư nói: “Tôi nhất quyết bảo tồn nước Sở.”
及吴兵入郢，伍子胥求昭王。	Đến khi quân Ngô vào Dĩnh đô, Ngũ Tử Tư tìm Chiêu vương.
既不得，乃掘楚 平王墓，出其尸，鞭之三百，然後已。	Thế nhưng không thấy, bèn đào mả Sở Bình vương, quật xác lên đánh ba trăm roi mới thôi.
申包胥亡於山中，使人谓子胥 曰：“子之报雠，其以甚乎！吾闻之，人众者胜天，天定亦能破人。 今 子故平王之臣，亲北面而事之，今至於僇死人，此岂其无天道之极 乎！”	Thân Bao Tư chạy trốn vào trong núi, sai người nói với Tử Tư rằng: “Ông báo thù, thực quá lắm! Tôi nghe nói, người đông thì thắng trời, trời định cũng có thể phá được người. Nay ông vốn là bề tôi của Bình vương, thân ngoảnh về bắc mà xưng thần thờ vua, nay quá đến mức người chết rồi còn làm nhục, thế chẳng phải là không coi đạo trời ra gì sao?”
伍子胥曰：“为我谢申包胥曰，吾日莫途远，吾故倒行而逆施 之。”	Ngũ Tử Tư nói: “Ngươi hãy thay ta tạ lỗi với Thân Bao Tư, ta đường xa sớm tối, chỉ có thể theo cách trái lẽ thường như thế thôi.”
於是申包胥走秦告急，求救於秦。	Thế rồi Thân Bao Tư chạy sang báo tin nguy cấp và cầu cứu nước Tần.
秦不 许。	Tần không giúp.
包胥立於秦廷，昼夜哭，七日七夜不绝其声。	Thân Bao Tư đứng giữa sân đình nước Tần, ngày đêm khóc lóc, ròng rã bảy ngày đêm.
秦哀公怜之， 曰：“楚虽无道，有臣若是，可无存乎！”	Tần Ai công động lòng thương, nói: “Sở tuy vô đạo, nhưng có bề tôi như thế, há không bảo tồn nước Sở?”
会吴王久留楚求昭王，而阖庐弟 夫概乃亡归，自立为王。	Đúng lúc Ngô vương ở Sở tìm kiếm Chiêu vương đã lâu, còn Phu Khái, em của Hạp Lư lại trốn về tự lập làm vua.
阖庐闻之，乃释楚而归，击其弟夫概。	Hạp Lư nghe tin, liền bỏ Sở rút về đánh Phu Khái.
夫概 败走，遂奔楚。	Phu Khái thua chạy, trốn sang nước Sở.
楚昭王见吴有内乱，乃复入郢。 封夫概於堂谿， 为堂谿氏。	Sở Chiêu vương thấy Ngô có nội loạn, bèn trở lại Dĩnh đô, phong cho Phu Khái đất Đường Khê, xưng là Đường Khê thị.
楚复与吴战，败吴，吴王乃归。	Sở lại giao chiến với Ngô, đánh bại quân Ngô, Ngô vương liền rút quân về.
後二岁，阖庐使太子夫差将兵伐楚，取番。	Hai năm sau, Hạp Lư sai thái tử Phù Sai đem quân đánh Sở, chiếm được đất Bà.
楚惧吴复大来，乃去郢，徙於 鄀。	Sở sợ Ngô lại mang đại quân tiến sang, liền bỏ đất Dĩnh, dời sang đất Nhược.
其後四年，孔子相鲁。	Bốn năm sau, Khổng tử làm Tướng quốc nước Lỗ.
阖庐病创将死，谓太子夫差 曰：“尔忘句践杀尔父乎？”	Vết thương của Hạp Lư phát tác, ốm nặng sắp chết, liền bảo thái tử Phù Sai: “Mày có quên việc Câu Tiễn giết cha mày không?”
夫差对曰：“不敢忘。”	Phù Sai đáp: “Con không dám quên!”
是夕，阖庐 死。	Đêm ấy, Hạp Lư chết.
夫差既立为王，以伯嚭为太宰，习战射。	Phù Sai lên làm vua, dùng Bá Phỉ làm Tể tướng, sai tập trận, bắn cung.
吴王将许之。	Ngô vương định đồng ý.
伍子 胥谏曰：“越王为人能辛苦。今王不灭，後必悔之。”	Ngũ Tử Tư can rằng: “Việt vương là người có thể chịu đựng cay đắng, nay không diệt đi, sau ắt hối hận.”
吴王不听，用 太宰嚭计，与越平。	Ngô vương không nghe, theo kế Thái tể Bá Phỉ, giảng hòa với nước Việt.
伍子胥谏曰：“句践食不重味，吊死问疾，且欲有所用之也。此 人不死，必为吴患。今吴之有越，犹人之有腹心疾也。而王不先越而 乃务齐，不亦谬乎！”	Ngũ Tử Tư can rằng: “Câu Tiễn bữa không ăn hai món, điếu viếng người chết, han hỏi người ốm, là muốn có chỗ dùng họ vậy. Người này không chết, ắt thành mối họa cho Ngô. Nay Ngô còn nước Việt, như người có bệnh trong tim phổi, vậy mà bệ hạ không đánh nước Việt trước mà đi đánh Tề, thế chẳng phải sai lầm ư?”
吴王不听，伐齐，大败齐师於艾陵， 遂威邹鲁之君以 归。	Ngô vương không nghe, đánh Tề, cả phá quân Tề ở Ngải Lăng xong, uy hiếp vua Trâu và vua Lỗ rồi rút về.
太宰嚭既数受越赂，其爱信越殊甚，日夜 为言於吴王。	Bá Phỉ nhiều lần nhận hối lộ của nước Việt nên hết sức tin tưởng Câu Tiễn, ngày đêm nói tốt với Ngô vương.
吴王信用嚭之计。 伍子胥谏曰：“夫越，腹心之病，今 信其浮辞诈伪而贪齐。破齐，譬犹石田，无所用之。且盘庚之诰 曰：‘有颠越不恭，劓殄灭之，俾无遗育，无使易种于兹邑。’此商 之所以兴。原王释齐而先越；若不然，後将悔之无及。”	Ngô vương nghe theo kế của Bá Phỉ, Ngũ Tử Tư can gián: “Xét lẽ, nước Việt là bệnh trong tim phổi, nay tin theo những lời giả dối của họ, tham đánh Tề. Phá được Tề cũng như có mảnh ruộng đầy đá, dùng được vào việc gì. Vả thiên Bàn Canh chi cáo viết: 'Có kẻ ngả nghiêng không cung kính, phải trừ diệt đi, không để mầm mống, không cho giống lạ mọc ở ấp này.' Đó là lý do khiến nhà Thương hưng thịnh. Xin bệ hạ bỏ việc đánh Tề mà đánh Việt trước; bằng không, sau hối cũng không kịp.”
而吴王不 听，使子胥於齐。	Ngô vương không nghe, sai Tử Tư đi sứ nước Tề.
子胥临行，谓其子曰：“吾数谏王，王不用，吾今 见吴之亡矣。汝与吴俱亡，无益也。”	Tử Tư lên đường, nói với con rằng: “Ta can vua nhiều lần, vua đều không nghe, nay ta thấy nhà vua sắp bại vong. Con chết cùng nước Ngô, cũng vô ích thôi.”
乃属其子於齐鲍牧，而还报 吴。	Bèn gửi gắm con cho Bào Mục ở Tề, rồi về báo cáo tình hình cho Ngô vương.
吴太宰嚭既与子胥有隙，因谗曰：“子胥为人刚暴，少恩，猜 贼，其怨望恐为深祸也。前日王欲伐齐，子胥以为不可，王卒伐之而 有大功。子胥耻其计谋不用，乃反怨望。而今王又复伐齐，子胥专愎 彊谏，沮毁用事，徒幸吴之败以自胜其计 谋耳。今王自行，悉国中武力以伐齐，而子胥谏不用，因辍谢，详病 不行。王不可不备，此起祸不难。且嚭使人微伺之，其使於齐也，乃 属其子於齐之鲍氏。夫为人臣，内不得意，外倚诸侯，自以为先王之 谋臣，今不见用，常鞅鞅怨望。原王早图之。”	Thái tể Bá Phỉ vốn có hiềm khích với Tử Tư, nhân đó gièm pha: “Tử Tư là người cương cường tàn bạo, ít lòng nhân, hay ngờ vực, lòng oán hận của ông ta e thành đại họa. Ngày trước bệ hạ muốn đánh Tề, Tử Tư cho là không được, nhưng rốt cuộc bệ hạ lập được đại công. Tử Tư xấu hổ vì mưu kế không được dùng, bèn trở nên oán hận. Nay bệ hạ sắp đánh Tề, Tử Tư lại can ngăn quyết liệt, hủy báng việc đó, những mong nước Ngô thất bại để cho kế của mình cao minh. Nay bệ hạ thân chinh, đem hết quân binh trong nước đi đánh Tề, mà Tử Tư khuyên ngăn lại không nghe, nhân đó ông ta lấy cớ đau ốm không đi, bệ hạ không thể không phòng bị, dễ chừng dấy họa từ đó vậy. Vả Phỉ này ngầm sai người dò xét, ông ta đi sứ sang Tề, đã gửi con cho Bào Mục nước Tề rồi. Xét lẽ, làm phận bề tôi, trong lòng không như ý, bên ngoài lại dựa chư hầu, tự cho mình là mưu thần của tiên vương, nay không được dùng thì sinh oán thán. Xin bệ hạ sớm xử trí ông ta.”
吴王曰：“微子之 言，吾亦疑之。”	Ngô vương nói: “Không cần người nói, ta cũng nghi rồi.”
乃使使赐伍子胥属镂之剑，曰：“子 以此死。”	Bèn sai sứ ban cho Tử Tư thanh kiếm Chúc Lũ, nói: “Ngươi dùng kiếm này để tự kết liễu.”
伍子胥仰天叹曰：“嗟乎！谗臣嚭为乱矣，王乃反诛我。 我令若父霸。自若未立时，诸公子争立，我以死争之於先王，几不得 立。若既得立，欲分吴国予我，我顾不敢望也。然今若 听谀臣言以杀长者。”	Ngũ Tử Tư ngẩng lên trời mà than: “Hỡi ôi! Kẻ bề tôi sàm nịnh Bá Phỉ làm loạn nên nhà vua mới giết ta. Ta từng khiến cha ngươi làm nên nghiệp bá. Từ khi ngươi chưa được lập, các công tử tranh giành ngôi vị, ta cố chết tranh đấu trước tiên vương, ngươi thiếu chút nữa không được lập. Ngươi lên ngôi rồi, muốn chia một phần nước Ngô cho, ta đã không dám vọng tưởng rồi. Nhưng nay ngươi nghe lời bề tôi sàm nịnh mà giết bậc tôn trưởng sao?”
乃告其舍人曰：“必树吾墓上以梓，令可以为 器； 而抉吾眼县吴东门之上， 以观越寇之入灭吴也。”	Bèn nói với môn khách: “Hãy trồng trên mộ ta một cây tử, sau có thể lấy gỗ làm quan tài khoét mắt ta treo trên cửa đông nước Ngô, để ta tận mắt thấy quân Việt kéo vào diệt nước Ngô.”
乃自刭死。	Thế rồi cắt cổ tự tử.
吴王闻之大怒，乃取子 胥尸盛以鸱夷革， 浮之江中。	Ngô vương nghe nói cả giận, bèn đem xác Tử Tư cho vào túi da, vứt xuống sông Giang.
吴人怜之，为立祠於江上， 因命曰胥山。	Người Ngô thương xót Tử Tư, bèn lập miếu thờ bên sông, nhân thế gọi tên núi là Tư Sơn.
吴王既诛伍子胥，遂伐齐。 齐鲍氏杀其君悼公而立阳生。	Ngô vương giết Ngũ Tử Tư xong bèn đánh Tề. Họ Bào ở nước Tề giết vua là Điệu Công, lập Dương Sinh lên thay.
吴王欲 讨其贼，不胜而去。	Ngô vương muốn đem quân hỏi tội nhưng không thắng được, phải rút về.
其後二年，吴王召鲁卫之君会之橐皋。	Hai năm sau, Ngô vương triệu vua hai nước Lỗ và Vệ hội kiến ở Thác Cao.
其明年，因北大会诸侯於黄池， 以令周室。	Năm sau, nhân đã kéo lên phía bắc hội chư hầu tại Hoàng Trì, để ép nhà Chu.
越王句践袭杀吴太子，破吴兵。	Việt vương Câu Tiễn đánh úp giết Thái tử nước Ngô, phá tan quân Ngô.
吴王闻之，乃归，使使厚币与越平。	Ngô vương nghe tin, liền rút quân về, sai sứ mang hậu lễ đến nước Việt cầu hòa.
後九年，越王句践遂灭吴，杀王 夫差；而诛太宰嚭，以不忠於其君，而外受重赂，与己比 周也。	Chín năm sau, Việt vương Câu Tiễn liền diệt nước Ngô, giết vua Phù Sai, giết cả Thái tể Bá Phỉ vì cho Phỉ bất trung với vua của mình, còn nhận hối lộ của người ngoài, câu kết với nước Việt.
伍子胥初所与俱亡故楚太子建之子胜者，在於吴。	Trước đây, Thái tử Kiến cùng Ngũ Tử Tư trốn sang nước Sở, con là Thắng ở nước Ngô.
吴王夫差之 时，楚惠王欲召胜归楚。	Thời Ngô Vương Phù Sai, Sở Huệ vương muốn triệu Thắng về Sở.
叶公 谏曰：“胜好勇而阴求死士，殆有私乎！”	Diệp Công can rằng: “Thắng hiếu dũng mà ngầm cầu binh sĩ cảm tử, e có lòng riêng!”
惠王不听。 遂召 胜，使居楚之边邑鄢， 号为白公。	Huệ vương không nghe, bèn triệu Thắng tới, cho ở đất Yên tại biên giới nước Sở, gọi là Bạch công.
白公归楚 三年而吴诛子胥。	Bạch công về Sở được ba năm thì nước Ngô giết Tử Tư.
白公胜既归楚，怨郑之杀其父，乃阴养死士求报郑。	Bạch Công Thắng về Sở, oán Trịnh giết cha mình, bèn ngầm nuôi dưỡng binh sĩ cảm tử, toan báo thù Trịnh.
归楚五年， 请伐郑，楚令尹子西许之。	Về Sở được năm năm, liền đề nghị đánh Trịnh. Sở sai Lệnh doãn Tử Tây đi đánh.
兵未发而晋伐郑，郑请救於楚。	Quân Sở chưa xuất phát thì Tấn đã đánh Trịnh, Trịnh cầu cứu Sở.
楚使子西 往救，与盟而还。	Sở sai Tử Tây sang cứu, kết minh rồi về.
白公胜怒曰：“非郑之仇，乃子西也。”	Bạch công Thắng tức giận nói: “Không thù nước Trịnh, mà thù Tử Tây.”
胜自砺 剑，人问曰：“何以 为？”	Thắng đích thân mài kiếm, có người hỏi: “Mài kiếm làm gì?”
胜曰：“欲以杀子西。”	Thắng đáp: “Muốn giết Tử Tây.”
子西闻之，笑曰：“胜如卵耳，何能 为也。”	Tử Tây biết chuyện, cười nói: “Thắng như quả trứng, làm được trò gì.”
其後四岁，白公胜与石乞袭杀楚令尹子西、司马子綦 於朝。	Bốn năm sau, Bạch công Thắng cùng Thạch Khất tập kích giết Lệnh doãn Tử Tây và Tư mã Tử Kỳ ngay tại triều nước Sở.
石乞曰：“不杀王，不可。”	Thạch Khất nói: “Không giết vua, không được.”
乃劫王如高府。	Liền cướp vua đưa đến Cao Phủ.
白公之 徒败，亡走山中，自杀。	Bọn Bạch Công thua trận, chạy trốn vào trong núi rồi tự sát.
而虏石乞，而问白 公尸处，不言将亨。	Thạch Khất bị bắt làm tù binh, hỏi thi thể Bạch công ở đâu, không nói sẽ bị nấu chín.
石乞曰：“事成为卿，不成而亨，固其职 也。”	Thạch Khất nói: “Việc thành thì làm quan khanh, không thành thì bị nấu chín, đó vốn là chức phận vậy.”
终不肯告其尸处。	Rốt cuộc không chịu khai.
遂亨石乞，而求惠王复立之。	Diệp công cho nấu chín Thạch Khất rồi đi tìm hậu duệ của Huệ vương để lập làm vua.
