陈胜者，阳城人也， 字涉。 吴广者，阳夏人 也， 字叔。	Trần Thắng, người ở Dương Thành, tự là Thiệp. Ngô Quảng, người ở Dương Hạ, tự là Thúc.
卜者知其指意， 曰：“足下事皆成，有功。然足下卜之鬼乎！”	Thầy bói biết ý của họ, nói: “Việc của túc hạ đều thành, có công lao. Nhưng túc hạ bói xem ý quỷ thần chưa?”
陈胜、吴广喜，念鬼，曰：“此 教我先威众耳。”	Trần Thắng và Ngô Quảng mừng, nghĩ đến việc quỷ thần, nói: “Đó là dạy bọn ta trước tiên phải lập uy với dân chúng đã.”
卒皆夜惊恐。	Sĩ tốt ban đêm nghe tiếng đều kinh sợ.
吴广素爱人，士卒多为用者。	Ngô Quảng ngày thường vốn quý người khác, sĩ tốt phần nhiều đều tình nguyện dốc sức vì Quảng.
将尉 醉，广故数言欲亡，忿恚尉，令辱之， 以激怒其众。	Tướng úy uống rượu say, Quảng cố ý nhiều lần đánh tiếng muốn bỏ trốn, nhằm khiến Tướng úy nổi giận, ra lệnh hạ nhục mình, để khích nộ binh lính của mình.
尉剑挺， 广起，夺而杀尉。	Tướng úy tuốt kiếm, Quảng bật dậy, cướp lấy kiếm rồi giết y.
陈胜佐之，并杀两尉。	Trần Thắng hỗ trợ Quảng, giết luôn hai viên úy.
召令徒属 曰：“公等遇雨，皆已失期，失期当斩。藉弟令毋斩， 而戍死者固十 六七。且壮士不死即已，死即举大名耳，王侯 将相宁有种乎！”	[Trần Thắng] hạ lệnh cho bọn họ rằng: “Các ông gặp mưa, đều trễ kỳ hạn, trễ hẹn phải chém. Ví phỏng không bị chém thì đi lính thú cũng chết đến sáu bảy phần mười. Hơn nữa tráng sĩ không chết thì thôi, đã chết thì phải lập danh tiếng lớn, vương hầu, tướng Võ, tướng văn đâu cứ phải có dòng dõi!”
徒属皆曰：“敬受命。”	Bọn họ đều nói: “Kính cẩn vâng lệnh.”
乃诈称公子扶苏、项燕， 从民欲也。	Bèn vờ xưng là công tử Phù Tô và Hạng Yên, thuận theo mong muốn của dân chúng.
袒右，称大楚。	Để trần tay áo bên phải [làm dấu], xưng là Đại Sở.
为坛而盟，祭以尉首。	Dựng đàn ăn thề, dùng đầu của viên tướng úy để tế.
陈胜自立为将军， 吴广为都尉。	Trần Thắng tự lập làm Tướng quân, Ngô Quảng làm Đô úy.
攻大泽乡，收而攻蕲。	Đánh vào hương Đại Trạch, sau khi hạ được lại đánh thành Kỳ.
攻铚、酂、苦、柘、谯皆下之。	Tấn công các thành Thất, Tán, Khổ, Giá, Tiều, đều đánh hạ được.
行收兵。	Vừa đi vừa thu quân binh.
比至陈，车六七百 乘，骑千馀，卒数万人。	Đến khi tới đất Trần, có sáu bảy trăm cỗ xe, hơn ngàn quân kỵ, mấy vạn sĩ tốt.
弗胜，守丞死，乃 入据陈。	Quân đất Trần thua, quan thừa chết, bèn vào chiếm cứ đất Trần.
数日，号令召三老、豪杰与皆来会计事。	Mấy hôm sau, hạ lệnh triệu Tam lão, hào kiệt cùng đến nghị sự.
三老、豪杰皆 曰：“将军身被坚执锐，伐无道，诛暴秦，复立楚国之社稷，功宜为 王。”	Tam lão và các bậc hào kiệt đều nói: “Tướng quân mình mặc giáp bền, tay cầm vũ khí sắc bén, đánh kẻ vô đạo, diệt Tần bạo ngược, khôi phục xã tắc nước Sở, công ấy xứng đáng xưng vương.”
陈涉乃立为王，号为张楚。	Trần Thiệp bèn tự lập làm vua, hiệu là Trương Sở.
当此时，诸郡县苦秦吏者，皆刑其长吏，杀之以应陈涉。	Bấy giờ, những người chịu khổ vì quan lại nhà Tần ở các quận, huyện đều trị tội trưởng lại của mình, giết đi rồi hưởng ứng theo Trần Thiệp.
乃以吴 叔为假王，监诸将以西击荥阳。	Bèn phong Ngô Quảng làm giả vương, đôn đốc các tướng sang phía tây đánh Huỳnh Dương.
当此时，楚兵数千人为聚者，不可胜数。	Lúc ấy, quân Sở mấy nghìn người tụ tập lại, không sao kể xiết.
婴後闻陈王已立，因杀襄彊， 还报。	Sau khi Anh nghe tin Trần vương đã lên ngôi, nhân đó giết Tương Cường rồi về báo [với Trần vương].
至陈，陈王诛杀葛婴。	Đến đất Trần, Trần vương giết Cát Anh.
吴广围荥 阳。	Ngô Quảng bao vây Huỳnh Dương.
陈王徵 国之豪杰与计，以上蔡人房君蔡赐为上柱国。	Trần vương triệu các hào kiệt trong nước đến bàn kế sách, phong Phòng quân Sái Tứ người Thượng Sái làm Thượng trụ quốc.
周文，陈之贤人也，尝为项燕军视日， 事春申君，自 言习兵，陈王与之将军印，西击秦。	Chu Văn là người hiền năng đất Trần, từng phụ trách việc quan sát thiên tượng và coi bói cho quân Hạng Yên, phụng sự Xuân Thân quân, tự nói mình am hiểu việc quân, Trần vương ban cho ấn tướng quân, sai sang phía tây đánh Tần.
章邯击，大破之。	Chương Hàm truy kích, cả phá Chu Văn.
武臣到邯郸，自立为赵王，陈馀为大将军，张耳、召骚为左右丞 相。	Vũ Thần đến Hàm Đan, tự lập làm Triệu vương, Trần Dư làm Đại tướng quân, Trương Nhĩ, Thiệu Tao làm tả hữu Thừa tướng.
柱国曰：“秦未亡而诛赵王 将相家属，此生一秦也。不如因而立之。”	Trụ quốc [Sái Tử] nói: “Tần chưa bị diệt mà giết gia quyến tướng văn tướng võ của Triệu vương, đó là sinh thêm một nước Tần nữa, chẳng bằng nhân tiện lập y.”
赵王将相相与谋曰：“王王赵，非楚意也。楚已诛秦，必加兵於 赵。计莫如毋西兵，使使北徇燕地以自广也。赵南据大河，北有燕、 代，楚虽胜秦，不敢制赵。若楚不胜秦，必重赵。赵乘秦之弊，可以 得志於天下。”	Tướng văn tướng võ của Triệu vương cùng bàn mưu rằng: “Đại vương xưng vương ở Triệu, đó không phải ý của Sở. Sau khi Sở diệt được Tần, nhất định kéo quân đánh Triệu. Kế sách không gì bằng là chớ đem quân sang phía tây, hãy sai người lên phía bắc đánh lấy đất Yên để tự mở rộng địa bàn. Nước Triệu phía nam dựa vào Đại Hà, phía bắc có đất Yên đất Đại, Sở dẫu thắng được Tần cũng không dám chế phục Triệu. Nhược bằng Sở không thắng được Tần, ắt coi trọng Triệu. Triệu thừa cơ Tần mỏi mệt, có thể đắc chí trong thiên hạ.”
赵王以为然，因不西兵，而遣故上谷卒史韩广将兵北 徇燕地。	Triệu vương cho là phải, nhân đó không đem quân sang phía tây mà sai Hàn Quảng, vốn là viên Tốt lại ở Thượng Cốc đem quân lên phía bắc đánh chiếm đất Yên.
燕故贵人豪杰谓韩广曰：“楚已立王，赵又已立王。燕虽小，亦 万乘之国也，原将军立为燕王。”	Các bậc nguyên là quý tộc, hào kiệt cũ của nước Yên nói với Hàn Quảng rằng: “Sở đã lập vua, Triệu cũng đã lập vua. Nước Yên tuy nhỏ, cũng là nước vạn cỗ xe, xin tướng quân hãy lập làm Yên vương.”
韩广曰：“广母在赵，不可。”	Hàn Quảng nói: “Mẹ Quảng ở Triệu, không thể.”
燕 人曰：“赵方西忧秦，南忧楚，其力不能禁我。且以楚之彊，不敢害 赵王将相之家，赵独安敢害将军之家！”	Người nước Yên nói: “Triệu đang tây lo nước Tần, nam lo nước Sở, sức họ không thể ngăn được ta. Vả lại dựa vào sự hùng mạnh của Sở còn không dám hại đến gia quyến tướng văn tướng Võ của Triệu Dương, một mình Triệu sao dám hại đến gia quyến tướng quân được!”
韩广以为然，乃自立为燕 王。	Hàn Quảng cho là phải, bèn tự lập làm Yên vương.
当此之时，诸将之徇地者，不可胜数。	Bấy giờ, chư tướng đi đánh chiếm các đất nhiều không kể xiết.
时咎在陈王所，不得之魏。	Bấy giờ Cữu đang ở chỗ của Trần vương, không thể về được Ngụy.
使者五反，陈王乃立甯陵君咎为魏王，遣之国。	Sứ giả năm lần [đến chỗ Trần vương thỉnh cầu], Trần vương bèn lập Nịnh Lăng quân là Cữu làm Ngụy vương, sai về nước.
将军田臧等相与谋曰：“周章军已破矣，秦兵旦暮至，我围荥阳 城弗能下，秦军至，必大败。不如少遗兵，足 以守荥阳，悉精兵迎秦军。今假王骄，不知兵权，不可与计，非诛 之，事恐败。”	Bọn tướng quân Điền Tang cùng bàn mưu rằng: “Quân của Chu Chương đã bị đánh tan, quân Tần sớm muộn sẽ kéo đến, ta bao vây thành Huỳnh Dương mà không thể hạ được, quân Tần đến, ắt ta đại bại. Chi bằng chỉ để lại ít quân, đủ để vây giữ Huỳnh Dương, rồi đem hết tinh binh đón đánh quân Tần. Nay Giả vương kiêu ngạo, không biết binh quyền, không thể cùng mưu tính, nếu không giết đi, sợ việc thất bại.”
因相与矫王令以诛吴叔，献其首於陈王。	Nhân đó cùng giả lệnh của Trần vương để giết Ngô Quảng, dâng đầu lên Trần vương.
陈王使使赐 田臧楚令尹印，使为上将。	Trần vương sai sứ ban ấn Lệnh doãn nước Sở cho Điền Tang, sai làm Thượng tướng.
与战，田臧死，军破。	Cùng giao chiến [với quân Tần], Điền Tang chết, quân bị phá.
章邯进兵击李归等荥阳下， 破之，李归等死。	Chương Hàm tiến quân tấn công bọn Lý Quy dưới chân thành Huỳnh Dương, phá được, bọn Lý Quy chết.
陈王闻，乃使武平君畔为将军，监郯 下军。	Trần vương hay tin, bèn sai Vũ Bình quân là Bạn làm Tướng quân, đôn đốc quân dưới thành Đàm.
告军吏曰：“武 平君年少，不知兵事，勿听！”	[Do đó Gia mới] nói với các quan lại trong quân rằng: “Vũ Bình quân tuổi còn trẻ, không biết gì việc quân, chớ nghe!”
腊月， 陈王之汝阴，还至下城父， 其御庄贾杀以降 秦。	Tháng Chạp, Trần vương đến Nhữ Âm, về đến Hạ Thành Phủ, người đánh xe là Trang Giả giết Trần vương rồi đầu hàng Tần.
陈胜葬砀，谥曰隐王。	Trần Thắng được táng ở đất Đường, thụy là Ẩn vương.
陈王故涓人将军吕臣 为仓头军， 起新阳， 攻 陈下之，杀庄贾，复以陈为楚。	Viên Quyên nhân cũ của Trần vương là tướng quân Lã Thần lập đội quân đầu xanh (Thương đầu quân), nổi lên ở Tân Dương, đánh hạ được đất Trần, giết Trang Giả, lại đem đất Trần theo về Sở.
秦嘉等闻陈王军破出走，乃立景驹为楚王， 引兵之方与，欲击秦军 定陶下。	Bọn Tần Gia hay tin quân Trần vương tan chạy, bèn lập Cảnh Câu làm Sở vương, dẫn quân đến Phòng Dự, định tấn công quân Tần dưới thành Định Đào.
齐王 曰：“闻陈王战败，不知其死生，楚安得不请而立王！”	Tề vương nói: “Nghe nói Trần lương thua trận, không biết chết sống thế nào, sao Sở không thỉnh thị mà tự lập vua mới!”
公孙庆 曰：“齐不请楚而立王，楚何故请齐而立王！且楚首事，当令於天 下。”	Công Tôn Khánh nói: “Tề không thỉnh mệnh Sở mà đã lập lua, Sở có gì phải thỉnh thị Tề rồi mới lập vua! Vả lại Sở khởi sự đầu tiên, đáng được hiệu lệnh thiên hạ.”
秦左右校复攻陈，下之。	Tả hữu Hiệu úy nước Tần lại tấn công đất Trần, hạ được.
鄱盗 当阳君黥布之兵相收，复击秦左右校，破之青 波，复以陈为楚。	Cùng gom quân với Đường Dương quân Kình Bố, vốn là trộm cướp ở Bà Dương, lại tấn công Tả hữu Hiệu úy nước Tần, phá được quân Tần ở Thanh Ba, lại đem Trần theo về Sở.
会项梁立怀王孙心为 楚王。	Bấy giờ Hạng Lương lập cháu nội của Hoài vương là Tâm làm Sở vương.
陈胜王凡六月。	Trần Thắng xưng vương được sáu tháng.
其故人尝与庸耕者闻之，之陈， 扣宫门曰：“吾欲见涉。”	Những người quen cũ từng cùng Trần Thắng cày ruộng thuê nghe tin, đến đất Trần, gõ cửa cung nói: “Tôi muốn gặp Thiệp.”
陈王出，遮道而呼涉。	Trần vương ra ngoài, họ chặn đường gọi Thiệp.
陈王闻之，乃召见，载与俱 归。	Trần vương nghe thấy, bèn triệu kiến, cho ngồi cùng xe về cung.
楚 人谓多为夥，故天下传之，夥涉为王，由陈涉始。	Người Sở nói “khỏa” nghĩa là nhiều, cho nên thiên hạ truyền nhau việc đó, nói: “Khỏa Thiệp làm vua”, bắt đầu từ Trần Thiệp vậy.
或说陈王曰：“客愚无知，颛妄言，轻威。”	Có người nói với Trần vương rằng: “Khách ngu dốt không biết gì, nói năng bừa bãi, làm giảm cả uy nghiêm.”
陈王斩 之。	Trần vương chém khách đó.
诸陈王故人皆自引去，由是无亲陈王者。	Những người quen cũ của Trần vương đều tự ý bỏ đi, từ đấy không ai nói mình thân với Trần vương nữa.
诸将徇地，至，令之不是者，系而罪之，以苛察为 忠。	Các tướng đi chiếm đất, về đến, nếu không theo đúng lệnh sẽ bị bắt trói trị tội, coi sự giám sát hà khắc là cách thể hiện lòng trung thành.
其所不善者，弗下吏，辄自治之。	Ai bị họ cho là làm không tốt thì không cần đưa xuống quan chấp pháp, liền tự ý trị tội.
陈王信用之。	Trần vương tin dùng họ.
诸将以其故不亲附，此其所以 败也。	Các tướng vì thế không thân với Trần vương. Đó là nguyên nhân Trần vương thất bại vậy.
陈胜虽已死，其所置遣侯王将相竟亡秦，由涉首事也。	Tuy Trần Thắng đã chết, nhưng các vương hầu, tướng võ tướng văn do Trần Thắng phong lập, sai phái rốt cuộc diệt được Tần, mà Thiệp là người khởi đầu cho kết quả đó.
犹未足恃也。	Nhưng [những cái đó] chưa đủ để trông cậy.
夫先王以仁义为 本，而以固塞文法为枝叶，岂不然哉！	Xét lẽ, tiên vương lấy nhân nghĩa làm gốc, dựa vào đó để giữ vững biên tái, pháp luật chỉ là cành lá, há chẳng phải ư!
乃丹书帛曰“陈胜王”，置人所罾鱼腹中。	Bèn dùng son viết trên lụa trắng rằng “Trần Thắng làm vua”, cho vào trong bụng cá do người ta đánh lưới được.
卒买鱼烹食，得鱼腹 中书，固以怪之矣。	Rốt cuộc người mua cá về làm thịt ăn, thấy trong bụng cá có chữ, lấy làm lạ về việc đó.
又间令 吴广之 次所旁丛祠中， 夜篝火， 狐鸣呼曰“大楚兴，陈胜王”。	Lại ngầm sai Ngô Quảng đến bên ngôi miếu thờ cây cối rậm rạp, ban đêm đốt đèn lồng, giả tiếng cáo hô to rằng: “Đại Sở hưng khởi, Trần Thắng làm vua.”
蕲下，乃令符离 人葛婴将兵徇蕲 以东。	Thành Kỳ bị hạ, bèn lệnh Cát Anh người Phù Ly đem quân đánh lấy đất phía đông thành Kỳ.
攻陈， 陈守令皆不在， 独守丞与战谯门中。	Đánh đất Trần, các quan thú quan lệnh đều không ở trong thành, chỉ có quan thừa chỉ huy giao chiến trên chòi cổng.
令陈人武臣、张耳、陈馀徇赵地，令 汝阴人邓宗徇九江郡。	Sai Vũ Thần, Trương Nhĩ, Trần Dư người đất Trần đánh chiếm đất Triệu, lệnh cho Đặng Tông người Nhữ Âm đánh chiếm quận Cửu Giang.
葛婴至东城， 立襄彊为楚王。	Cát Anh đến Đông Thành, lập Tương Cường làm Sở vương.
陈王令魏人周市北徇魏地。	Trần vương lệnh cho Chu Thị người Ngụy lên phía bắc đánh chiếm đất Ngụy.
李由为三川守， 守荥阳，吴叔弗能下。	Lý Do làm Quận thú Tam Xuyên, giữ Huỳnh Dương, Ngô Quảng không thể đánh bại được.
行收兵至关，车千乘，卒数十 万，至戏，军焉。	Vừa đi vừa gom quân, khi đến cửa Hàm Cốc thì có nghìn cỗ chiến xa, mấy chục vạn sĩ tốt, kéo đến Đình Hý, đóng quân lại đó.
章邯追败之，复 走次渑池十馀日。	Chương Hàm đuổi theo đánh bại Chu Văn, Chu Văn lại chạy đến Mẫn Trì, đóng lại hơn chục ngày.
周文自 刭， 军遂不战。	Chu Văn cắt cổ tự vẫn, quân [của Chu Văn] không tái chiến được nữa.
陈王怒，捕系武臣等家室，欲诛之。	Trần vương tức giận, bắt trói người nhà bọn Vũ Thần, định giết họ.
陈王乃遣使者贺赵，而徙 系武臣等家属宫中，而封耳子张敖为成都君， 趣赵兵亟入关。	Trần vương bèn sai sứ đến chúc mừng Triệu vương, rồi giải gia thuộc của bọn Vũ Thần vào trong cung, phong con của Nhĩ là Trương Ngao làm Thành Đô quân, giục quân Triệu mau tiến vào cửa Hàm Cốc.
居数月，赵奉燕王母及家属归之燕。	Được mấy tháng, Triệu đưa mẹ và gia quyến của Yên vương trở về nước Yên.
魏地已定，欲相与立周市为魏王， 周市不肯。	Đất Ngụy đã yên định, quần chúng định cùng nhau lập Chu Thị làm Ngụy vương, Chu Thị không chịu.
陈王诛邓 说。	Trần vương giết Đặng Duyệt.
陈王初立时，陵人秦嘉、铚人董緤、 符离人硃鸡石、取虑 人郑布、徐人丁疾等皆特起，将兵围东海守庆於 郯。	Lúc Trần vương mới lên ngôi, bọn Tần Gia người đất Lăng, Đổng Tiết người đất Chất, Chu Kê Thạch người đất Phù Ly, Trịnh Bố người đất Thủ Lệ, Đinh Tật người đất Từ đều nổi dậy, đem quân bao vây Quận thú Đông Hải là Khánh ở thành Đàm.
秦嘉不受命，嘉自立为大司马，恶属武平君。	Tần Gia không chịu nghe lệnh, Gia tự lập làm Đại tư mã, ghét phải tòng thuộc Vũ Bình quân.
章邯又进兵击陈西张贺军。	Chương Hàm lại tiến quân đánh quân của Trương Hạ ở phía tây đất Trần.
陈王出监战，军破，张贺死。	Trần vương ra ngoài đốc chiến, quân bị đánh tan, Trương Hạ chết.
初，陈王至陈，令铚人宋留将兵定南阳，入武关。	Ban trước, Trần vương đến đất Trần, hạ lệnh cho Tống Lưu người đất Chất đem quân bình định Nam Dương, tiến vào Vũ Quan.
留已徇南阳， 闻陈王死，南阳复为秦。 宋留不能入武关，乃东至新蔡，遇秦军，宋 留以军降秦。	Sau khi Lưu chiếm được Nam Dương, nghe tin Trần vương chết, Nam Dương lại theo Tần, Tống Lưu không thể vào được Vũ Quan, bèn sang đông đến Tân Sái, gặp quân Tần, Tống Lưu đem quân hàng Tần.
秦传留至咸阳，车裂留以徇。	Quân Tần giải Lưu đến Hàm Dương, dùng xe xé xác Lưu để thị chúng.
田儋诛杀公孙庆。	Điền Đam giết Công Tôn Khánh.
吕将军走，收 兵复聚。	Lã tướng quân bỏ chạy, rồi lại thu gom quân lính, lực lượng tụ lại.
宫门令欲缚之。	Quan giữ cổng cung định lệnh trói họ lại.
入宫，见殿屋帷帐，客曰：“夥颐！涉之为王 沈沈者！”	Vào cung, trông thấy điện đường, màn trướng, khách nói: “Khỏa ghê! Thiệp làm vua, cung điện cao sâu hun hút!”
高祖时为 陈涉置守冢三十家砀，至今血食。	Thời Cao tổ, đặt ba mươi nhà ở đất Đường để trông coi mộ Trần Thiệp, tới nay vẫn được hưởng huyết thực.
褚先生曰： 地形险阻， 所以为固也；兵革刑法，所以为治也。	Chử tiên sinh bàn rằng: Địa hình hiểm trở, có thể dựa vào để giữ vững; quân đội và hình pháp, có thể dùng trị lý quốc gia.
