孔子曰“受业身通者七十有七人”， 皆异能之士也。	Khổng tử nói: “Học trò tinh thông có 77 người”, đều là những kẻ sĩ có tài lạ.
子路为季氏宰，季孙问曰：“子路可谓大臣与？”	Tử Lộ làm quan tể cho họ Quý Tôn, Quý Tôn hỏi Khổng tử: “Tử Lộ có thể coi là bậc đại thần không?”
孔子曰：“可 谓具臣矣。”	Khổng tử đáp: “Có thể gọi là thần tử.”
子路为蒲大夫，辞孔子。	Tử Lộ làm đại phu ấp Bồ, đến từ biệt Khổng tử.
初，卫灵公有宠姬曰南子。	Lúc trước, Vệ Linh công có thiếp yêu là nàng Nam tử.
郢不肯，曰：“亡人太子之子辄 在。”	Dĩnh không chịu, nói: “Con của Thái tử đã chạy trốn là Triếp hãy còn.”
子路为卫大夫孔悝之邑宰。	Tử Lộ làm đại phu nước Vệ, Khổng Lý làm ấp tể.
遇子羔出卫城门，谓子路曰：“出公去矣，而门已闭，子可还 矣，毋空受其祸。”	Gặp Tử Cao ra khỏi cổng thành nước Vệ, Tử Cao nói với Tử Lộ: “Xuất công chạy rồi, còn cổng đã đóng, ngài hãy về đi, nếu không sẽ tai vạ đấy.”
子路曰：“食其食者不避其难。”	Tử Lộ đáp: “Ăn bổng lộc của người thì không tránh họa nạn của người.”
有 使者入城，城门开，子路随而入。	Có sứ giả vào thành, cổng thành mở, Tử Lộ cũng theo vào.
子路 曰：“君焉用孔悝？请得而杀之。”	Tử Lộ nói: “Sao ngài dùng Khổng Lý? Hãy để tôi giết y”.
子路曰：“君子死而 冠不免。”	Tử Lộ nói: “Quân tử dẫu chết cũng không bỏ mũ.”
孔子闻卫乱，曰：“嗟乎，由死矣！”	Khổng tử hay tin nước Vệ có loạn, nói: “Ôi, trò Do chết rồi.”
故孔子 曰：“自吾得由，恶言不闻於耳。”	Nên Khổng tử nói: “Từ khi ta có trò Do, bên tai không nghe lời dữ.”
是时子贡为鲁使於齐。	Bấy giờ Tử Cống đang đại diện cho Lỗ đi sứ sang Tề.
子曰：“於汝安乎？”	Khổng tử đáp: “[Làm thế] trò thấy yên lòng chăng?”
曰：“安。”	Đáp: “Yên.”
宰我出，子曰：“予之不仁也！子 生三年然後免於父母之怀。 夫三年之丧，天下之通义也。”	Tể Ngã ra ngoài, Khổng tử bảo: “Dư thực bất nhân vậy! Con người ta ba năm sau sinh mới thôi ẵm bế. Xét lẽ, để tang ba năm, là nghĩa chung của thiên hạ vậy.”
宰予昼寝。 子曰：“朽木不可雕也， 粪土之墙不可圬也。”	Tể Dư ngủ ngày, Khổng tử nói: “Cây mục thì không chạm trổ được, tường đất lở thì không trát lại được vậy.”
宰我问五帝之德，子曰：“予非其人也。”	Tể Ngã hỏi về đức của Ngũ đế, Khổng tử đáp: “Con không nên hỏi đến các vị ấy.”
端沐赐，卫人，字子贡。 少孔子三十一岁。	Đoan Mộc Tứ Đoan Mộc Tứ người nước Vệ, tự Tử Cống, kém Khổng tử 31 tuổi.
问曰：“汝与回也孰愈？”	Khổng tử hỏi: “Con với Hồi ai hơn?”
对曰：“赐也何敢望回！回也闻一以知十，赐 也闻一以知二。”	Đáp rằng: “Tứ này đâu dám sánh với Hồi! Hồi nghe một biết mười, Tứ nghe một biết hai thôi.”
子贡既已受业，问曰：“赐何人也？”	Sau khi Tử Cống học xong, hỏi thầy: “Tứ này là người thế nào?”
孔子曰：“汝器也。”	Khổng tử đáp: “Con là đồ dùng”.
曰：“何器也？”	Hỏi: “Đồ gì ạ?”
曰：“瑚琏也。”	Đáp: “Là cái bát đựng đồ cúng trong tông miếu vậy.”
陈子禽问子贡曰：“仲尼焉学？”	Trần Tử Cầm hỏi Tử Cống: “Trọng Ni học ai?”
子贡曰：“文武之道未坠於 地，在人，贤者识其大者，不贤者识其小者，莫不有文武之道。夫子 焉不学， 而亦何常师之有！”	Tử Cống đáp: “Đạo của Văn vương, Vũ vương chưa rớt xuống đất, [đạo đó] ở người, người hiền năng thì biết nhiều, người kém thì biết ít, chẳng ai không có đạo của Văn vương, Vũ vương. Phu tử ở đâu chẳng học, há phải theo một thầy cụ thể nào!”
子贡曰：“夫子温良恭俭让以得之。夫子之求之也，其诸异乎 人之求之也。”	Tử Cống đáp: “Phu tử tôi lấy ôn, lương, cung, kiệm, nhượng để nghe những việc ấy, cách nghe của thầy tôi cũng khác người khác vậy.”
子贡问曰：“富而无骄，贫而无谄，何如？”	Tử Cống hỏi thầy: “Giàu mà không kiêu căng, nghèo mà không nịnh bợ, thế thì sao?”
孔子曰：“可也； 不如贫而乐道，富而好礼。”	Khổng tử đáp: “Được đấy, nhưng chẳng bằng nghèo mà vui với đạo, giàu mà chuộng lễ.”
子路请出，孔子止之。	Tử Lộ xin đi, Khổng tử ngăn lại.
子张、子石请 行，孔子弗许。	Tử Trương Tử Thạch xin đi, Khổng tử không cho.
子贡请行，孔子许之。	Tử Cống xin đi, Khổng tử đồng ý.
田常忿然作色曰：“子之 所难，人之所易；子之所易，人之所难：而以教常，何也？”	Điền Thường giận nói: “Cái ông cho là khó thì người khác thấy dễ, cái ông cho là dễ thì người khác thấy khó. Ông đem việc đó chỉ giáo tôi là ý làm sao?”
遂问子贡。	Rồi hỏi Tử Cống.
子贡不受， 遂行。	Tử Cống không nhận, lên đường.
子贡曰：“不可。夫空人之国，悉人之 众，又从其君，不义。君受其币，许其师，而辞其君。”	Tử Cống đáp: “Không được. Bởi nước Việt không người, ta đã tụ tập hết binh sĩ nước họ mà còn bắt Việt vương đi theo là bất nghĩa. Nhà vua đã nhận lễ vật của họ, hãy cho quân đội của họ đến, còn vua thì thôi.”
子贡曰：“修兵休卒 以待之。”	Tử Cống đáp: “Luyện quân nuôi lính để đợi họ.”
子贡去而之鲁。	Tử Cống lại đến nước Lỗ.
晋人击之，大败吴师。	Quân Tấn ra đánh, cả phá quân Ngô.
子贡好废举，与时转货赀。 喜扬人之美，不能匿人之过。	Tử Cống thích buôn bán, tùy lúc chuyển vận hàng hóa; thích tán dương điểm tốt của người nhưng lại không biết che đi lỗi lầm của người.
言偃，吴人， 字子游。 少孔子四十五岁。	Ngôn Yển Ngôn Yển người nước Ngô, tự Tử Du, kém Khổng tử 45 tuổi.
孔子过，闻弦歌之 声。 孔子莞尔而笑曰：“割鸡焉用牛 刀？”	Khổng tử đi qua, nghe tiếng đàn ca, mỉm cười nói: “Làm thịt gà cần gì dao mổ trâu?”
子游曰：“昔者偃闻诸夫 子曰，君子学道则爱人，小人学道则易使。”	Tử Du đáp: “Khi trước, Yển nghe phu tử bảo, người quân tử học đạo thì yêu người, kẻ tiểu nhân học đạo thì dễ sai khiến.”
孔子曰：“二三子， 偃之言是也。前言戏之耳。”	Khổng tử nói: “Này các trò, lời Yển nói đúng đấy. Trước ta chỉ đùa anh ta thôi.”
孔子以为子游习於文学。	Khổng tử cho Tử Du là người giỏi văn học.
卜商 字子夏。 少孔子四十四岁。	Bốc Thương Bốc Thương tự Tử Hạ, kém Khổng tử 44 tuổi.
子曰：“绘事後素。”	Khổng tử đáp: “Có nền trắng rồi mới điểm vẽ.”
曰：“礼後乎？”	Hỏi: “Lễ sau chăng?”
孔子曰：“商始可与言诗 已矣。”	Khổng tử đáp: “Trò Thương bắt đầu có thể nói về Thi rồi đấy.”
子贡问：“师与商孰贤？”	Tử Cống hỏi: “Sư và Thương ai giỏi hơn?”
子曰：“师也过，商也不及。”	Khổng tử đáp: “Sư còn mắc lỗi, Thương còn bất cập.”
“然则师愈与？”	Hỏi: “Thế Sư hơn chăng?”
曰：“过犹不及。”	Đáp: “Lỗi thì cũng như bất cập.”
子谓子夏曰：“汝为君子儒，无为小人儒。”	Khổng tử nói với Tử Hạ: “Con hãy làm nhà nho quân tử, chớ làm nhà nho tiểu nhân.”
颛孙师，陈人，字子 张。 少孔子四十八岁。	Chuyên Tôn Sư Chuyên Tôn Sư người đất Trần, tự Tử Trương, kém Khổng tử 48 tuổi.
孔子曰：“何哉，尔所谓达 者？”	Khổng tử đáp: “Cái mà con cho là thông đạt là như thế nào?”
曾参，南武城人， 字子舆。 少孔子四十六岁。	Tăng Sâm Tăng Sâm người Nam Vũ Thành, tự Tử Dư, kém Khổng tử 46 tuổi.
孔子以为能通孝道， 故授之业。	Khổng tử cho Tăng Sâm là người biết giữ đạo hiếu, cho nên truyền dạy.
死於鲁。	Chết ở nước Lỗ.
既已受业，退而修行，行 不由径，非公事不见卿大夫。	Sau khi thụ nghiệp, lui về tu dưỡng đức hạnh, không đi đường nhỏ, không phải việc công không gặp quan khanh đại phu.
孔子闻之，曰：“吾以言取人，失 之宰予；以貌取人，失之子羽。”	Khổng tử biết chuyện, nói: “Ta dựa lời nói để chọn người nên nhìn nhầm Tể Dư; theo dáng vẻ để chọn người mà nhầm mất Tử Vũ.”
宓不齐字子贱。 少孔子三十岁。	Mật Bất Tề Mật Bất Tề tự Tử Tiện, kém Khổng tử 30 tuổi.
子贱为单父宰， 反命於孔子， 曰：“此国有贤不齐者五人， 教不齐所以治者。”	Tử Tiện làm quan tể ấp Đan Phụ, về nói với Khổng tử: “Đất này có năm người hiền như Bất Tề, họ dạy Bất Tề về cách cai trị.”
孔子曰：“惜 哉不齐所治者小，所治者大则庶几矣。”	Khổng tử nói: “Tiếc thay Bất Tề cai trị vùng đất nhỏ, chỗ cai trị rộng lớn thì đáng kỳ vọng hơn vậy.”
子思问耻。 孔子曰：“国有道，穀。 国无道，穀，耻也。”	Tử Tư hỏi về sự hổ thẹn, Khổng tử đáp: “Nước có đạo thì làm quan hưởng lộc; nước vô đạo mà làm quan hưởng lộc, đó là hổ thẹn vậy.”
孔子曰：“可以为难 矣，仁则吾弗知也。”	Khổng tử đáp: “Như thế là khó lắm rồi, có phải nhân hay không thì ta không biết.”
子 贡耻之，曰：“夫子岂病乎？”	Tử Cống xấu hổ, nói: “Ôi, bác há lại khốn cùng đến thế này ư?”
原宪曰：“吾闻之，无财者谓之贫， 学道而不能行者谓之病。若宪，贫也，非病也。”	Nguyên Hiến đáp: “Tôi nghe nói, không có của cải gọi là nghèo, học đạo mà không thể thi hành gọi là khốn cùng. Như Hiến này là nghèo, không phải khốn cùng vậy.”
子贡惭，不怿而 去，终身耻其言之过也。	Tử Cổng thẹn, buồn bã ra về, trọn đời xấu hổ vì mình đã lỡ lời.
公冶长，齐人，字子长。	Công Dã Tràng Công Dã Tràng người nước Tề, tự Tử Trường.
孔子曰：“长可妻也，虽在累绁之中， 非其罪也。”	Khổng tử nói: “Có thể gả con cho Tràng, tuy bị trói buộc trong chốn ngục tù, đó cũng không phải tội của Tràng vậy.”
以其子妻之。	Thế rồi gả con gái cho.
孔子弗答。	Khổng tử không đáp.
容出，孔子曰：“君子哉若人！上德哉若人！”	Tử Dung đi ra, Khổng tử nói: “Người này quân tử thay! Người này chuộng đức thay!”
“国有道，不废； 国无道，免於刑戮。”	“Nước có đạo chẳng bị bỏ phế, nước vô đạo không bị sát hại.”
孔子曰：“天下无行，多为家臣，仕於都；唯季次未尝仕。”	Khổng tử nói: “Kẻ sĩ trong thiên hạ không có đức hạnh, phần nhiều làm gia thần hay làm quan ở các đô ấp; duy Quý Thứ là chưa từng làm quan.”
侍孔子，孔子曰：“言尔志。”	Tăng Điểm theo hầu Khổng tử, Khổng tử nói: “Hãy nói về chí của mình.”
孔子喟尔叹曰：“吾与■也！”	Khổng tử bùi ngùi nói: “Chí ta cũng giống trò Điểm vậy.”
路者，颜回父， 父子尝 各异时事孔子。	Lộ là cha của Nhan Hồi, cha con theo học Khổng tử vào các thời kỳ khác nhau.
颜回死，颜路贫，请孔子车以葬。	Nhan Hồi chết đi, Nhan Lộ nghèo khó, bèn xin Khổng tử bán xe đang đi lấy tiền mai táng.
孔子曰：“材不材，亦各言其子也。鲤也死，有棺而无椁，吾 不徒行以为之椁，以吾从大夫之後，不可以徒行。”	Khổng tử nói: “Có tài hay không cũng là con mình. Thằng Lý chết, có quan mà không có quách, ta không thể đi bộ để lấy tiền mua quách, vì ta từng làm quan đại phu, cho nên không thể đi bộ được.”
商瞿，鲁人，字子木。 少孔子二十九岁。	Thương Cù Thương Cù người nước Lỗ, tự Tử Mộc, kém Khổng tử 29 tuổi.
少孔子三十岁。	Cao Sài Cao Sài tự Tử Cao, kém Khổng tử 30 tuổi.
子羔长不盈五尺，受业孔子，孔子以为愚。	Tử Cao cao chưa đến năm thước, theo học Khổng tử, Khổng tử cho là tối dạ.
子路使子羔为费郈宰， 孔子曰：“贼夫人之子！”	Tử Lộ sai Tử Cao làm quan tể ở ấp Phí và ấp Hậu, Khổng tử nói: “Hai con em người ta đấy!”
子路曰：“有民人焉，有社稷焉，何必读书然後为 学！” 孔子 曰：“是故恶夫佞者。”	Tử Lộ thưa: “Có dân chúng ở đấy, có thần xã thần tắc ở đấy, đâu nhất thiết phải đọc sách mới là có học” Khổng tử nói: “Thế nên ta ghét kẻ xảo biện.”
孔子使开仕，对曰：“吾斯之未能信。”	Khổng tử sai Khai đi làm quan, đáp rằng: “Con chưa tự tin về việc ấy.”
公伯缭字子周。	Công Bá Liễu Công Bá Liễu tự Tử Chu.
周愬子路於季孙，子服景伯以告孔子，曰：“夫子固有惑志， 缭也，吾力犹能肆诸市朝。”	Chu gièm Tử Lộ với họ Quý Tôn, Tử Phục Cảnh Bá nói với Khổng tử, rằng: “Phu tử [Quý Tôn] vốn có ý ngờ Tử Lộ, với Liễu, tôi đủ sức bêu thây y giữa chợ hoặc triều đình.”
孔子曰：“道之将行，命也；道之将废，命也。公伯缭其 如命何！” 司马耕字子牛。	Khổng tử nói: “Đạo được thi hành do mệnh, đạo bị phế bỏ cũng do mệnh. Công Bá Liễu làm gì được mệnh” Tư Mã Canh Tư Mã Canh tự Tử Ngưu.
牛多言而躁。 问仁於孔子，孔子曰：“仁者其言也讱。”	Ngưu lắm lời mà nóng vội, hỏi Khổng tử về đức nhân, Khổng tử đáp: “Người nhân nói lời cẩn trọng.”
曰：“其言也讱，斯可谓之仁乎？”	Hỏi: “Lời nói cẩn trọng sao gọi là nhân?”
子曰：“为 之难，言之得无讱乎！”	Khổng tử đáp: “Làm được mới khó, lời nói có thể không cẩn trọng ư?”
问君子，子曰：“君子不忧不惧。”	Hỏi về quân tử, Khổng tử đáp: “Quân tử không lo không sợ.”
曰：“不忧不惧，斯可谓之 君子乎？”	Hỏi: “Không lo không sợ, sao gọi là quân tử?”
樊迟请学稼，孔子曰：“吾不如老农。”	Phàn Trì xin học làm ruộng, Khổng tử nói: “[Cái đó] ta không bằng lão nông.”
请学圃，曰：“吾不如 老圃。”	Xin học làm vườn, Khổng tử nói: “Ta không bằng ông lão làm vườn.”
樊迟问仁，子曰：“爱人。”	Phàn Trì hỏi về đức nhân, Khổng tử đáp: “Yêu người.”
问智，曰：“知人。”	Hỏi về đức trí, đáp: “Biết người.”
有若少孔子四十三岁。	Hữu Nhược Hữu Nhược kém Khổng tử 43 tuổi.
有若曰：“礼之 用，和为贵，先王之道斯为美。小大由之，有所不行；知和而和，不 以礼节之，亦不可行也。”	Hữu Nhược nói: “Chỗ dụng của lễ, lấy hòa làm quý, đạo của tiên vương coi đó là tốt đẹp. Lớn nhỏ đều theo đó, có điều không thi hành; biết hòa mà hòa, không dùng lễ tiết chế, thì không thi hành được.”
孔子既没，弟子思慕，有若状似孔子，弟子相与共立为师，师之 如夫子时也。	Khổng tử mất rồi, học trò thương nhớ, dung mạo Hữu Nhược giống Khổng tử, các học trò cùng tôn lên làm thầy, phụng thờ như khi phu tử còn sống.
弟子起 曰：“有子避之，此非子之座也！”	Học trò đứng dậy nói: “Hữu tử tránh ra, đây không phải chỗ anh ngồi đâu!”
公西赤字子华。 少孔子四十二岁。	Công Tây Xích Công Tây Xích tự Tử Hoa, kém Khổng tử 42 tuổi.
子华使於齐，厓有为其母请粟。 孔子曰：“与之釜。”	Tử Hoa đi sứ nước Tề, Nhiễm Hữu xin thóc cho mẹ Tử Hoa, Khổng tử nói: “Cho một phủ”.
请益，曰：“与之庾。”	Lại xin thêm, Khổng tử nói: “Cho một dữu.”
孔子曰：“赤之適齐也，乘肥马，衣轻裘。吾闻君子周急不继 富。”	Khổng tử nói: “Trò Xích đang ở nước Tề, cưỡi ngựa béo khỏe, mặc áo cừu nhẹ. Ta nghe quân tử giúp người khốn quẫn chứ không khiến người giàu thêm.”
孔子曰：“知礼。”	Khổng tử đáp: “Biết lễ.”
施以告 孔子，孔子曰：“丘也幸，苟有过，人必知之。臣不可言君亲之恶， 为讳者，礼也。”	Thi nói lại với Khổng tử, Khổng tử nói: “Khâu này thực may, nếu có lỗi ắt người nói cho biết. Bề tôi không thể nói ra lầm lỗi của vua, vì thế phải tránh, đó là lễ vậy.”
颜幸字子柳。 少孔子四十六岁。 厓孺字子鲁， 少孔子五十岁。	- Nhan Hạnh, tự Tử Liễu, kém Khổng tử 46 tuổi. - Nhiễm Nhụ, tự Tử Lỗ, kém Khổng tử 50 tuổi.
曹恤字子循。 少孔子五十岁。 伯虔字子析， 少孔子五十岁。	- Tào Tuất, tự Tử Tuần, kém Khổng tử 50 tuổi. - Bá Kiện, tự Tử Tích, kém Khổng tử 50 tuổi.
其四十有二 人，无年及不见书传者纪于左： 厓季字子产。	Ngoài ra, 42 người dưới đây không biết tuổi, cũng không thấy chép trong sách vở. - Nhiễm Quý, tự Tử Sản.
郑国字子徒。	- Trịnh Quốc, tự Tử Đồ.
孔忠。	- Khổng Trung.
回年二十九，发尽白，蚤死。	Năm Hồi 29 tuổi, tóc bạc hết, chết sớm.
不仕 大夫，不食汙君之禄。	[Mẫn Tổn] không làm quan đại phu, không ăn lộc của hôn quân.
仲弓问政，孔子曰：“出门如见大宾，使民如承大祭。 在邦无怨，在家无怨。”	Trọng Cung hỏi về chính sự, Khổng tử đáp: “Ra cổng như thấy khách quý, sai dân như thừa hành cuộc tế lớn. Trong nước không để ai oán, tại ấp phong không để ai oán”.
孔子曰：“犁牛之子骍且角，虽欲勿用，山川其 舍诸？”	Khổng tử nói: “Con của con trâu loang lổ mà lông lại thuần màu đỏ, hai sừng đều đặn, không muốn dùng để tế thì thần núi thần sông có bỏ nó không?”
曰：“千室之邑，百乘之家， 求也可使治其赋。仁则吾不知也。”	Đáp: “Ấp phong có ngàn hộ, gia tộc có trăm cỗ xe, có thể sai Cầu nắm việc quân sự. Còn như nhân hay không thì tôi không biết.”
求问曰：“闻斯行诸？”	Cầu hỏi: “Nghe rồi thì phải thi hành điều đã nghe chăng?”
孔子设礼稍诱子路， 子路後儒服委质， 因门人请为弟子。	Khổng tử dùng lễ dần dần dẫn dụ Tử Lộ. Sau, Tử Lộ khép mình theo đạo nho, rồi thông qua môn nhân xin làm học trò Khổng tử.
“衣敝缊袍 与衣狐貉者立而不耻者，其由也与！”	“Người mặc áo bào rách đứng chung với người mặc áo lông cáo mà không thấy xấu hổ, chỉ có trò Do thôi!”
孔子曰：“千乘之国可使治其赋，不 知其仁。”	Khổng tử đáp: “Nước có nghìn cỗ xe, có thể giao phụ trách quân đội, không biết Do có nhân hay không?”
及灵公卒而夫人欲立公子郢。	Khi Linh công chết, phu nhân muốn lập công tử Dĩnh.
於是卫立辄为君，是为出公。	Thế là nước Vệ lập Triếp làm vua, đó là Xuất công.
出公立十二年，其父蒉聩居外， 不得入。	Xuất công lên ngôi được mười hai năm, cha là Quỹ Khoái sống ở nước khác, không chịu trở về.
出公奔鲁，而 蒉聩入立，是为庄公。	Xuất công chạy sang Lỗ, thế rồi Quỹ Khoái về nước làm vua, đó là Trang công.
遂结缨而死。	Bèn buộc lại dải mũ rồi mới chết.
已而果死。	Quả nhiên chết thật.
既 受业，问：“三年之丧不已久乎？君子三年不为礼，礼必坏；三年不 为乐，乐必崩。旧穀既没，新穀既升，钻燧改火，期可已矣。”	Khi theo học Khổng tử, có hỏi: “Để tang [cha mẹ] ba năm, chẳng quá dài sao? Quân tử ba năm không tập lễ nghi, lễ tất bỏ phế; ba năm không tấu âm nhạc, nhạc ắt băng hoại. [Một năm] lúa cũ đã hết, lúa mới đã lên, cây dùi lấy lửa đã thay, [để tang] một năm là được rồi.”
“汝安则为之。君子居 丧，食旨不甘，闻乐不乐，故弗为也。”	“Trò thấy yên lòng thì cứ làm. Quân tử khi để tang thì ăn không thấy ngon, nghe nhạc không thấy vui, nên không làm như thế.”
宰我为临菑大夫， 与田常作乱，以夷其族，孔子耻之。	Tể Ngã làm quan đại phu ở Lâm Truy, cùng Điền Thường làm loạn, nhân đó bị diệt tộc, Khổng tử lấy làm xấu hổ.
又问曰：“孔子適是国必闻其政。求之与？抑与之与？”	Lại hỏi: “Khổng tử đến đâu ắt nghe chính sự nước đó, là tự tìm nghe hay có người nói cho biết?”
孔子 闻之，谓门弟子曰：“夫鲁，坟墓所处，父母之国，国危如此，二三 子何为莫出？”	Khổng tử hay tin, bảo các học trò: “Lỗ là chốn đặt mộ tổ tiên, là đất nước của cha mẹ, nước nguy như thế, các con sao không ai đi đi?”
