楚元王刘交者，高祖之同母 少弟也， 字游。	Sở Nguyên vương Lưu Giao là em út cùng mẹ với Cao tổ, tự là Du.
孝文帝即位二年，立遂弟辟彊，取赵 之河间郡为河间王，为文王。	Hiếu Văn đế lên ngôi được hai năm, lập em của Toại là Bích Cường, lấy đất quận Hà Gian nước Triệu phong cho làm Hà Gian vương, đó là Văn vương.
立十三年卒，子 哀王福立。	[Hà Gian vương Bích Cường] tại vị được mười ba năm thì chết, con là Ai vương Phúc lên thay.
一年卒，无子，绝後，国除，入于汉。	[Ai vương Phúc tại vị] được một năm thì chết, không có con, tuyệt hậu, nước phong bị phế, sáp nhập vào nhà Hán.
遂既王赵二十六年，孝景帝时坐晁错以適削赵王常山之郡。	Toại làm Triệu vương được hai mươi sáu năm, thời Hiếu Cảnh đế, do Triều Thố gièm pha, [Triệu vương] bị tước mất quận Thường Sơn.
吴楚 反，赵王遂与合谋起兵。	Ngô- Sở làm phản, Triệu vương bèn cùng họ hợp mưu dấy binh.
其相建德、 内史王悍谏，不听。	Quốc tướng [của Triệu vương] là Kiến Đức, Nội sử là Vương Hãn can ngăn, không nghe.
遂烧杀建德、王悍，发兵屯其西界，欲待吴与俱 西。	Toại thiêu chết Kiến Đức và Vương Hãn, phát binh đóng đồn ở biên giới phía tây [nước Triệu], định đợi quân Ngô rồi cùng sang tây.
汉使曲周侯郦寄击之。 赵王遂还，城守 邯郸，相距七月。	Nhà Hán sai Khúc Chu hầu là Lịch Ký tấn công, Triệu vương bèn rút về, giữ thành Hàm Đan, cự với quân Hán bảy tháng.
吴楚败於梁，不能西。	Ngô-Sở thua trận ở nước Lương, không thể sang tây.
栾布自破齐还，乃并兵引水灌赵城。	Loan Bố phá Tề trở về, bèn hợp quân [với Lịch Ký] dẫn nước xối vào đô thành nước Triệu.
赵城坏，赵王自杀，邯郸遂 降。	Thành nước Triệu bị sụt lở, Triệu vương tự sát, quân ở Hàm Đan đầu hàng.
赵幽王绝後。	Triệu U vương tuyệt hậu.
太史公曰：国之将兴，必有祯祥，君子用而小人退。	Thái sử công bàn rằng: Nước sắp hưng thịnh, ắt có điềm lành, quân tử được trọng dụng thì tiểu nhân bị đẩy lui.
国之将亡， 贤人隐，乱臣贵。	Nước sắp diệt vong, người hiền thoái ẩn, loạn thần hiển quý.
使楚王戊毋刑申公， 遵其言，赵任防与先生， 岂有篡杀之谋，为天下僇哉？	Giả sử Sở vương Mậu không hành hình Thân công, mà theo lời ông ta, Triệu vương biết trọng dụng Phòng Dự tiên sinh, há có âm mưu soán đoạt, rồi bị thiên hạ giết ư?
贤人乎，贤人乎！	Ôi hiền nhân, ôi hiền nhân!
北使匈奴，与连和攻汉。	Sai sứ đi Hung Nô ở phía bắc, cùng liên kết để tấn công nhà Hán.
匈奴闻之，亦止，不肯入汉 边。	Hung Nô nghe tin, cũng ngừng tiến quân, không chịu vào biên giới nhà Hán.
非质有其 内，恶能用之哉？	Không phải người có đức tốt, sao có thể trọng dụng được họ?
甚矣，“安危在出令，存亡在所任”，诚哉是言 也！ 汉封同姓，楚有令名。 既灭韩信，王於彭城。 穆生置醴， 韦孟作程。	Nhất là, “An hay nguy là do chính lệnh ban bố ra, còn hay mất là do việc trọng dụng [hiền tài]”, lời ấy thực xác đáng thay!
