管叔鲜、 蔡叔度者，周文王子而武王弟也。	Quản Thúc Tiên, Sái Thúc Độ là con của Chu Văn vương, em của Vũ vương.
悼侯 父曰隐太子友。	Cha của Điệu hầu là Ẩn Thái tử Hữu.
隐太子友者，灵侯之太子，平侯立而杀隐太子，故平 侯卒而隐太子之子东国攻平侯子而代立，是为悼侯。	Ẩn Thái tử Hữu là Thái tử của Linh hầu, sau khi Bình hầu lên ngôi liền giết Ẩn Thái tử, cho nên khi Bình hầu chết đi, con của Ẩn Thái tử là Đông Quốc mới tấn công con của Bình hầu để lên thay, đó là Điệu hầu.
昭侯十年，朝楚昭王，持美裘二，献其一於昭王而自衣其一。	Chiêu hầu năm thứ mười, triều kiến Sở Chiêu vương, đem hai chiếc áo cừu đẹp, dâng một chiếc cho Chiêu vương còn một chiếc mình mặc.
楚 相子常欲之，不与。	Tướng quốc nước Sở là Tử Thường muốn có chiếc áo đó, [Chiêu hầu] không cho.
蔡侯知之，乃献其裘 於子常；子常受之，乃言归蔡侯。	Sái hầu biết việc đó, bèn dâng áo cừu của mình cho Tử Thường; [sau khi] Tử Thường nhận áo, bèn nói [với Sở vương] cho Sái hầu về.
蔡侯归而之晋，请与晋伐楚。	Sái hầu về rồi sang nước Tấn, xin được cùng nước Tấn thảo phạt nước Sở.
蔡侯私於周苌弘以求长於卫； 卫使史䲡言康叔之功德，乃长卫。	Sái hầu ngầm xin Đại phu Tranh Hoằng nhà Chu cho [nước Sái] xếp trước nước Vệ; Vệ công sai Sử Ngư nói về công đức của [tổ của nước Vệ là] Khang thúc, nước Vệ liền được xếp trước.
蔡昭侯 使其子为质於吴，以共伐楚。	Sái Chiêu hầu sai con trai mình sang nước Ngô làm con tin, để cùng nhau thảo phạt nước Sở.
蔡怨子常，子常恐，奔郑。	Nước Sái oán Tử Thường, Tử Thường sợ, bèn chạy sang nước Trịnh.
十六 年，楚令尹为其民泣以谋蔡，蔡昭侯惧。	Năm thứ mười sáu, Lệnh doãn nước Sở vì dân khóc lóc [thỉnh cầu Sở vương] để mưu tính báo phục nước Sái, Sái Chiêu hầu sợ.
二十六年，孔子如蔡。	Năm thứ hai mươi sáu, Khổng tử đến nước Sái.
楚昭 王伐蔡，蔡恐，告急於吴。	Sở Chiêu vương thảo phạt nước Sái, nước Sái sợ, cấp báo với nước Ngô.
二十八年，昭侯将朝于吴，大夫恐其复迁，乃令贼利杀昭侯； 已而诛贼利以解过，而立昭侯子朔，是为成 侯。	Năm thứ hai mươi tám, Chiêu hầu định vào triều kiến nước Ngô, các đại phu sợ lại bị thiên chuyển, bèn sai đạo tặc là Lợi giết Chiêu hầu; xong việc liền giết Lợi để xóa tội, rồi lập con Chiêu hầu là Sóc lên thay, đó là Thành hầu.
成侯四年，宋灭曹。	Thành hầu năm thứ tư, nước Tống diệt nước Tào.
十九年，成侯卒，子声侯产立。 声侯十五年卒，子元侯立。	Năm thứ mười chín, Thành hầu chết, con là Thanh hầu Sản lên thay. Thanh hầu năm thứ mười lăm thì chết, con là Nguyên hầu lên thay.
伯邑考，其後不知所封。	Hậu duệ của Bá Ấp Khảo không biết được phong ở đâu.
武王发，其後为周，有本纪言。	Hậu duệ của Vũ vương Cơ Phát là nhà Chu, đã nói ở phần Bản kỷ.
管叔鲜 作乱诛死，无後。	Quản thúc Tiên làm loạn bị giết, không có hậu duệ.
周公旦，其後为鲁，有世家言。	Hậu duệ của Chu công Cơ Đán là nước Lỗ, đã nói ở phần Thế gia.
蔡叔度，其後为 蔡，有世家言。 曹叔振铎，有後为曹，有世家言。	Hậu duệ của Sái Thúc Độ là nước Sái, có nói trong phần Thế gia. Hậu duệ của Tào thúc Chấn Đạc là nước Tào, có nói trong phần Thế gia.
成叔武，其後世无 所见。	Hậu duệ của Thành Thúc Vũ không thấy ghi chép lại.
霍叔处，其後晋献公时灭霍。	Hậu duệ của Hoắc Thúc Xử là nước Hoắc, [nước Hoắc] bị diệt thời Tấn Hiến công.
康叔封，其後为卫，有世家言。	Hậu duệ của Khang thúc Phong là nước Vệ, có nói trong phần Thế gia.
厓季载，其後世无所见。	Hậu duệ của Nhiễm Quý Tải không thấy ghi chép lại.
太史公曰：管蔡作乱，无足载者。	Thái sử công bàn rằng: Quản, Sái làm loạn, không đáng để chép.
然周武王崩，成王少，天下既 疑，赖同母之弟成叔、厓季之属十人为辅拂，是以诸侯卒宗周，故附 之世家言。	Nhưng Chu Vũ vương băng hà, Thành vương còn nhỏ, thiên hạ vốn ngờ, do các em cùng mẹ là Thành thúc, Nhiễm Quý mười người phò tá, nhờ đó chư hầu rốt cuộc suy tôn Chu vương làm tông chủ, cho nên phụ chép vào phần Thế gia.
曹叔振铎者， 周武王 弟也。	Tào Thúc Chấn Đạc là em Chu Vũ vương.
武王已克殷纣，封叔振铎於曹。	Sau khi Vũ vương diệt vua Trụ nhà Ân, phân phong đất Tào cho Thúc Chấn Đạc.
叔振铎卒，子太伯脾立。 太伯卒，子仲君平立。	Thúc Chấn Đạc chết, con là Thái bá Tỳ lên thay. Thái bá chết, con là Trọng quận Bình lên thay.
仲君平卒，子宫 伯侯立。 宫伯侯卒，子孝伯云立。	Trọng quân Bình chết, con là Cung bá Hầu lên thay. Cung bá Hầu chết, con là Hiếu bá Vân lên thay.
孝伯云卒，子夷伯喜立。	Hiếu bá Vân chết, con là Di bá Hỷ lên thay.
夷伯二十三年，周厉王奔于彘。	Di bá năm thứ hai mươi ba, Chu Lệ vương chạy ra đất Trệ.
三十年卒，弟幽伯彊立。	[Di bá Hỉ] năm thứ ba mươi thì chết, em là U bá Cường lên thay.
幽伯九年，弟苏杀幽伯代立，是为戴 伯。	U bá năm thứ chín, em là Tô giết U bá rồi lên thay, đó là Đái bá.
戴伯元年，周宣王已立三岁。	Năm Đái bá thứ nhất, Chu Tuyên vương đã lên ngôi được ba năm.
三十年，戴伯卒，子惠伯兕立。	Năm thứ ba mươi, Đái bá chết, con là Huệ bá Hủy lên thay.
三十六，惠伯卒，子石甫立，其弟武杀之代立，是为缪公。	Năm thứ ba mươi sáu, Huệ bá chết, con là Thạch Phủ lên thay, [Thạch Phủ] bị em trai là Vũ giết rồi lên thay, đó là Mục Công.
缪公 三年卒，子桓公终生立。	Mục công năm thứ ba thì chết, con là Hoàn công Chung Sinh lên thay.
桓公三十五年，鲁隐公立。 四十五年，鲁弑其君隐公。	Hoàn công năm thứ ba mươi lăm, Lỗ Ẩn công lên ngôi. Năm thứ bốn mươi lăm, người Lỗ giết vua nước mình là Ẩn công.
四十六 年，宋华父督弑其君殇公，及孔父。	Năm thứ bốn mươi sáu, Hoa Phủ Đốc ở nước Tống giết vua nước mình là Thương công và Đại phu Khổng Phủ.
五十五年，桓公卒，子庄公夕姑 立。	Năm thứ năm mươi lăm, Hoàn công chết, con là Trang công Diệc Cô lên thay.
三十一年，庄公卒，子釐公夷立。	Năm thứ ba mươi mốt, Trang công chết, con là Hy công Di lên thay.
釐公九年卒，子昭公班立。	Hy công năm thứ chín thì chết, con là Chiêu công Ban lên thay.
九年，昭公卒，子共公襄立。	Năm thứ chín, Chiêu công chết, con là Cung công Tương lên thay.
二十五年，晋文公卒。	Năm thứ hai mươi lăm, Tấn Văn Công chết.
三十五年，共公卒，子文公寿立。	Năm thứ ba mươi lăm, Cung công chết, con là Văn công Thọ lên thay.
文公二 十三年卒，子宣公彊立。	Văn công năm thứ hai mươi ba thì chết, con là Tuyên công Cường lên thay.
宣公十七年卒，弟 成公负刍立。	Tuyên công năm thứ mười bảy thì chết, em trai là Thành công Phụ Sô lên thay.
成公三年，晋厉公伐曹，虏成公以归，已复释之。	Thành công năm thứ ba, Tấn Lệ công thảo phạt nước Tào, bắt sống Thành công đưa về nước Tấn, sau lại thả.
二十三年，成公卒，子武公胜立。	Năm thứ hai mươi ba, Thành công chết, con là Vũ công Thắng lên thay.
武公二十六年，楚公子弃疾 弑其君灵王代立。 二十七年，武公卒，子平公立。	Vũ công năm thứ hai mươi sáu, công tử nước Sở là Khí Tật giết vua nước mình là Linh vương rồi lên thay. Năm thứ hai mươi bảy, Vũ công chết, con là Bình công Tư lên thay.
平公四年卒，子悼 公午立。	Bình công năm thứ tư thì chết, con là Điệu Công Ngọ lên thay.
是岁，宋、卫、陈、郑皆火。	Năm đó, các nước Tống, Vệ, Trần, Trịnh đều bị hỏa tai.
悼公八年，宋景公立。	Điệu công năm thứ tám, Tống Cảnh công lên ngôi.
九年，悼公朝于宋，宋囚之；曹立其弟 野，是为声公。	Năm thứ chín, Điệu công sang triều kiến nước Tống, bị nước Tống cầm tù; nước Tào lập người em [của Điệu công] là Dã, đó là Thanh công.
声公五年，平公弟通弑声公代立，是为隐公。 隐公四年，声公弟露弑隐公代立，是为靖公。	Thanh công năm thứ năm, em trai của Bình công là Thông giết Thanh công rồi lên làm vua, đó là Ẩn công. Ẩn công năm thứ tư, em trai của Thanh công là Lộ giết Ẩn công rồi lên thay, đó là Tĩnh công.
靖公四年 卒，子伯阳立。	Tĩnh công năm thứ tư thì chết, con trai là Bá Dương lên thay.
梦 者之子乃亡去。	Con của người nằm mộng nọ bèn trốn khỏi nước Tào.
公孙彊言霸说於曹伯。	Công Tôn Cường nói về việc xưng bá để thuyết phục Tào bá.
十四年，曹伯从之，乃背晋干宋。	Năm thứ mười bốn, Tào bá nghe theo, bèn quay lưng với nước Tấn, xâm phạm đến nước Tống.
宋景公伐 之，晋人不救。	Tống Cảnh công liền thảo phạt nước Tào, người Tấn không cứu viện.
十五年，宋灭曹，执曹伯阳及公孙彊以归而杀之。	Năm thứ mười lăm, nước Tống diệt nước Tào, bắt Tào Bá Dương cùng Công Tôn Cường đưa về rồi giết chết.
曹 遂绝其祀。	Nước Tào dứt việc tế tự.
太史公曰：余寻曹共公之不用僖负羁，乃乘 轩者三百人， 知唯德之不建。 及振铎之梦，岂不欲引曹之祀者 哉？ 如公孙彊不脩厥政，叔铎之祀忽诸。 武王之弟，管、蔡及霍。	Thái sử công bàn rằng: Ta tìm hiểu về việc Tào Cung công không nghe lời can gián của Hy Phụ Ky, cho ba trăm mỹ nữ được ngồi xe mui cao buông màn dành cho đại phu, đủ biết không chuộng việc lập đức.
其子曰胡，胡乃改行，率德驯善。	Con của Độ là Hồ, Hồ bèn thay tính đổi nết, noi theo đức thành người cung thuận thiện lương.
武侯之时，周厉王失国，奔彘，共和行政， 诸侯多叛周。	Thời Vũ hầu, Chu Lệ vương mất nước, chạy đến đất Trệ, thi hành chính sự [theo thể chế] “Cộng hòa”, chư hầu phần nhiều phản lại nhà Chu.
釐侯三十九年，周幽王为犬戎所杀，周室卑而东徙。	Hy hầu năm thứ ba mươi chín, Chu U vương bị Khuyển Nhung giết, tông thất nhà Chu suy yếu rồi dời sang phía đông.
桓侯三年，鲁弑其君隐公。	Hoàn hầu năm thứ ba, [người] Lỗ giết vua nước mình là Ẩn công.
哀侯十一年，初，哀侯娶陈，息侯亦娶陈。	Ai hầu năm thứ mười một, ban trước, Ai hầu lấy vợ nước Trần, Tức hầu cũng lấy vợ nước Trần.
息侯怒，请楚文 王：“来伐我，我求救於蔡，蔡必来，楚因击之，可以有功。”	Tức hầu giận, đề nghị Sở Văn vương: “Đến thảo phạt nước tôi, tôi sẽ cầu cứu nước Sái, nước Sái ắt đến, nước Sở nhân đó đánh nước Sái, có thể thu được thắng lợi.”
哀侯留九岁，死於楚。	Ai hầu bị lưu lại nước Sở chín năm, rồi chết ở nước Sở.
齐桓公怒，伐蔡；蔡溃，遂虏缪侯， 南至楚邵陵。	Tề Hoàn công tức tối, thảo phạt nước Sái; quân Sái tan, liền bắt Mậu hầu làm tù binh, phía nam tiến đến Thiệu Lăng nước Sở.
已而诸侯为蔡谢齐，齐侯归蔡侯。	Rồi sau, chư hầu giúp nước Sái tạ lỗi với nước Tề, Tề hầu thả Sái hầu về nước.
庄侯三年，齐桓公卒。	Trang hầu năm thứ ba, Tề Hoàn công chết.
三十三年，楚庄王 即位。	Năm thứ ba mươi ba, Sở Trang vương lên ngôi.
十五年，楚围郑，郑降 楚，楚复醳之。	Năm thứ mười lăm, nước Sở bao vây nước Trịnh, nước Trịnh đầu hàng, nước Sở giải vây.
景侯元年，楚庄王卒。	Năm Cảnh hầu thứ nhất, Sở Trang vương chết.
四十九年，景侯为太子般娶妇於楚，而景 侯通焉。	Năm thứ bốn mươi chín, Cảnh hầu cưới vợ là người con gái nước Sở cho Thái tử Ban, rồi Cảnh hầu tư thông với người con gái ấy.
九年，陈司徒招 弑其君哀公。	Năm thứ chín, Tư đồ nước Trần là Chiêu giết vua nước mình là Ai công.
是年，楚亦复立陈。	Năm ấy, nước Sở cũng khôi phục lại nước Trần.
平侯九年卒，灵侯般之孙东国攻平侯子而自立，是为悼侯。	Bình hầu năm thứ chín thì chết, cháu nội của Linh hầu Ban là Đông Quốc tấn công con trai của Bình hầu rồi tự lên thay, đó là Điệu hầu.
悼侯三年卒，弟 昭侯申立。	Điệu hầu năm thứ ba thì chết, em trai là Chiêu hậu Thân lên thay.
子常谗蔡侯，留之楚三年。	Tử Thường sàm báng Sái hầu, khiến Sái hầu bị giữ lại ở nước Sở ba năm.
十三年春，与卫灵公会邵陵。	Mùa xuân năm thứ mười ba, cùng với Vệ Linh công hội minh Thiệu Lăng.
夏，为 晋灭沈，楚怒，攻蔡。	Mùa hạ, vì nước Tấn diệt nước Thẩm, Sở vương tức giận, tấn công nước Sái.
十四年，吴去而楚昭王复国。	Năm thứ mười bốn, quân Ngô rời khỏi [Dĩnh đô], Sở Chiêu vương về nước.
吴为蔡远，约迁以自近，易以相救；昭侯 私许，不与大夫计。	Nước Ngô cho rằng nước Sái xa xôi, bèn giao ước nước Sái chuyển đến gần nước Ngô để tiện bề ứng cứu; Chiêu hầu ngầm đồng ý, không bàn với các đại phu.
吴人来救蔡，因迁蔡于州来。	Người Ngô đến cứu nước Sái, nhân đó chuyển đô thành nước Sái đến Châu Lai.
十年，齐田常弑其君简公。	Năm thứ mười, Điền Thường nước Tề giết vua nước mình là Giản công.
十三年，楚灭 陈。	Năm thứ mười ba, nước Sở diệt nước Trần.
元侯 六年卒，子侯齐立。	Nguyên hầu năm thứ sáu thì chết, con là Hầu Tề lên thay.
侯齐四年，楚惠王灭蔡，蔡侯齐亡，蔡遂绝祀。	Hầu Tề năm thứ tư, Sở Huệ vương diệt nước Sái, Sái hầu Tề chạy trốn, nước Sái bèn dứt việc tế tự.
後陈灭三十三 年。	[Nước Sái bị] diệt sau nước Trần ba mươi ba năm.
惠伯二十五年，周幽王为犬戎所杀，因东徙，益卑，诸侯畔之。	Huệ bá năm thứ hai mươi lăm, Chu U vương bị Khuyển Nhung giết, nhân đó [nhà Chu] dời sang phía đông, [từ đó] ngày càng suy vi, chư hầu phản lại.
秦始列为诸侯。	Nước Tần bắt đầu được liệt vào hàng chư hầu.
庄公二十三年，齐桓公始霸。	Trang công năm thứ hai mươi ba, Tề Hoàn công bắt đầu xưng bá.
昭 公六年，齐桓公败蔡，遂至楚召陵。	Chiêu công năm thứ sáu, Tề Hoàn công đánh bại nước Sái, rồi tiến đến Thiệu Lăng nước Sở.
共公十六年，初，晋公子重耳其亡过曹，曹君无礼，欲观其骈 胁。	Cung công năm thứ mười sáu, trước đây, công tử nước Tấn là Trùng Nhĩ lưu vong qua nước Tào, Tào quân vô lễ, muốn xem xương sườn nối liền của Trùng Nhĩ.
釐 负羁谏，不听，私善於重耳。	Hy Phụ Ky can ngăn, [Tào quân] không nghe, [Hy Phụ Ky] ngầm giao hảo với Trùng Nhĩ.
二十一年，晋文 公重耳伐曹，虏共公以归，令军毋入釐负羁之宗族闾。	Năm thứ hai mươi mốt, Tấn Văn Công Trùng Nhĩ thảo phạt nước Tào, bắt sống Cung công đưa về nước Tấn, sai quân không được xâm phạm làng thuộc tông tộc Hy Phụ Ky.
或说晋文公 曰：“昔齐桓公会诸侯，复异姓；今君囚曹君，灭同姓，何以令於诸 侯？”	Có người nói với Tấn Văn công rằng: “Trước đây Tề Hoàn công hội họp chư hầu, khôi phục nước cho người khác họ; nay nhà vua bỏ tù Tào quân, diệt người cùng họ, biết lấy gì để hiệu lệnh chư hầu?”
晋乃复归共公。	Tấn Văn công bèn cho Cung công về nước.
五年，晋栾书、中行偃使程滑弑其君 厉公。	Năm thứ năm, Loan Thư, Trung Hàng Yển nước Tấn sai Trình Hoạt giết vua nước mình là Lệ công.
悼公死於宋，归葬。	Điệu công chết ở nước Tống, được đưa về táng.
伯阳三年，国人有梦众君子立于社宫， 谋欲亡曹；曹叔振铎止之，请待 公孙彊，许之。	Bá Dương năm thứ ba, có người trong nước mơ thấy chư vị quân tử đứng ở đàn tế thần xã, bàn mưu muốn diệt nước Tào; Tào Thúc Chấn Đạc ngăn họ lại, đề nghị đợi Công Tôn Cường chấp chính, họ đồng ý.
梦者戒其子曰：“我亡，尔闻 公孙彊为政，必去曹，无离曹祸。”	Người nằm mộng mới răn con mình rằng: “Sau khi ta chết, con mà nghe Công Tôn Cường chấp chính, nhất định phải bỏ nước Tào, chớ để mắc vào tai họa của nước Tào.”
六年，曹野人公孙彊亦好田弋，获白雁而献之， 且言田弋之说，因访政事。	Năm thứ sáu, một người ở vùng thôn dã nước Tào tên là Công Tôn Cường cũng thích săn bắn, bắt được chim nhạn trắng rồi dâng lên Bá Dương, còn nói về thuyết săn bắn, nhân đó [Bá Dương] hỏi về chính sự.
冬，与吴王阖闾遂破楚入 郢。	Mùa đông, cùng với Ngô vương Hạp Lư đánh phá nước Sở, tiến vào Dĩnh đô.
