周后稷，名弃。	Chu Hậu Tắc tên là Khí.
民皆歌乐之，颂其德。	Dân đều đàn hát, ca tụng đức ngài.
古公有长子曰太伯，次曰虞仲。	Cổ Công Có người con trưởng tên là Thái Bá, con thứ tên là Ngu Trọng.
古公 曰：“我世当有兴者，其在昌乎？”	Cổ Công nói: “Con cháu ta có người hưng khởi cơ nghiệp, ấy là Xương chăng?”
公季卒，子昌立，是为西伯。	Công Quý mất, con là Xương nối dõi. Đây là Tây Bá.
礼下贤者， 日中不暇食以待士，士以此多归之。	Dùng lễ đối đãi người hiền, giữa trưa không rảnh ăn để đợi kẻ sĩ, kẻ sĩ vì vậy phần đông đến quy phụ.
於是虞、芮之人 有狱不能决，乃如周。	Bấy giờ có người của hai nước Ngu, Nhuế có việc kiện tụng không thể giải quyết, bèn đến nước Chu.
入界，耕者皆让畔，民俗皆让长。	Vào địa phận, thấy người cày thì đều nhường bờ ruộng, thói tục dân gian thì đều nhường người lớn tuổi.
虞、芮 之人未见西伯，皆惭，相谓曰：“吾所争，周人所耻，何往为，祇取 辱耳。” 遂还，俱让而去。	Hai người nước Ngu, Nhuế chưa gặp Tây Bá mà cũng thấy xấu hổ, nhìn nhau nói rằng: “Việc ta đôi co, người Chu cười cho, tới đó mà làm gì, chỉ chuốc nhục mà thôi”, đoạn bèn quay về, đều nhường nhau mà đi.
诸侯闻之，曰“西伯盖受命之君”。	Chư hầu nghe chuyện, nói: “Tây Bá chừng là bậc quân vương được nhận mệnh trời vậy.”
殷之祖伊闻之，惧，以告帝纣。	Tổ Y nhà Ân nghe ẳ chuyện, sợ hãi, đem kể với Đế Trụ.
纣曰：“不有天命乎？是 何能为！”	Trụ nói: “Chẳng phải có mệnh trời sao? Làm gì được nào?”
明年，伐邘。	. Năm sau nữa, Tây Bá thảo phạt thành Vu.
後十年而崩， 谥为文王。	Mười năm sau thì băng, thụy là Văn vương.
师尚父号曰：“总尔众庶，与尔舟 楫，後至者斩。”	Sư Thượng Phụ hô hào: “Hãy tập hợp bộ hạ, cung cấp thuyền bè, ai đến sau sẽ chém.”
是时，诸侯不期而会盟津者八百诸 侯。	Bấy giờ, có tám trăm chư hầu không hẹn mà tụ họp ở bến Mạnh Tân.
曰：“远矣西土之人！”	Nói: “Hỡi những người đến từ miền Tây xa xôi.”
纣师虽众，皆无战之心，心欲武王亟入。	Quân Trụ tuy nhiều, song đều không có tinh thần chiến đấu, lòng muốn Võ vương vào thật nhanh.
已而至纣之嬖妾二女，二女皆经自杀。	Xong xuôi liền đến chỗ hai ái thiếp của Trụ, hai cô đều thắt cổ tự sát.
武王追思先圣王，乃襃封神农之後於焦， 黄帝之後於祝， 帝尧之後 於蓟，帝舜之後於陈， 大禹之後於杞。	Võ vương tưởng nhớ các bậc tiên thánh vương, bèn phong cho hậu duệ của Thần Nông ở đất Tiêu, hậu duệ của Hoàng Đế ở đất Chúc, hậu duệ của Đế Nghiêu ở đất Kế, hậu duệ của Đế Thuấn ở đất Trần, hậu duệ của Đại Vũ ở đất Kỷ.
於是封功臣谋士，而师尚父为首封。	Thế rồi lại phong thưởng công thần mưu sĩ, Sư Thượng Phụ được phong đầu tiên.
封尚父於营丘，曰 齐。 封弟周公旦於曲阜，曰鲁。	Phong Thượng Phụ ở Doanh Khưu, gọi là đất Tề. Phong em là Chu công Đán ở Khúc Phụ, gọi là đất Lỗ.
周公旦即王所， 曰：“曷为不寐？”	Chu công Đán tới chỗ vua nói: “Sao người không ngủ?”
後而崩， 太子诵代立， 是为成王。	Võ vương bệnh thêm nặng, sau đó băng. Thái tử Tụng lên thay. Đây chính Thành vương.
晋唐叔得嘉穀， 献之成王，成王以归周公于兵所。	Tấn Đường Thúc có được giống lúa tốt, hiến cho Thành vương. Thành vương ban cho Chu Công ở quân doanh.
周公行政七年，成王长， 周公反政成王，北面就群臣之位。	Chu Công nhiếp chính bảy năm thì Thành vương trưởng thành, Chu Công trả lại triều chính cho Thành vương, ngoảnh mặt hướng bắc, trở lại phận vị bề tôi.
曰：“此天下之中，四方入贡道里均。” 作召诰、洛 诰。	Ông nói: “Nơi đây nằm chính giữa thiên hạ, dặm đường bốn phương vào triều cống bằng nhau”, đoạn viết thiên Thiệu cáo, Lạc cáo.
成王自奄归，在宗周，作多方。	Thành vương từ nước Yểm trở về, ở đất Tông Chu, viết thiên Đa phương.
太子钊遂立，是为康王。	Thái tử Chiêu nối ngôi. Đây là Khang vương.
故成康之际，天下安宁，刑错 四十馀年不用。	Vậy nên vào thời Thành – Khang, thiên hạ bình yên, hình phạt hơn bốn mươi năm không dùng.
康王卒，子昭王瑕立。	Khang vương mất, con là Chiêu vương Hà lên ngôi.
其卒不赴告，讳之也。	Vua chết, không phát cáo phó, vì kiêng giấu vậy.
王遂征之，得四 白狼四白鹿以归。	Vua vẫn chinh phạt, bắt được bốn con sói trắng, bốn con hươu trắng đem về.
共王 游於泾上，密康公从， 有三女饹 之。	Cung vương du ngoạn trên sông Kinh, Mật Khang công theo hầu.
懿王之时，王 室遂衰，诗人作刺。	Thời Ý vương, vương thất dần suy, thi nhân làm thơ châm biếm.
召公谏曰： “民不堪命矣。”	Thiệu công can rằng: “Dân không chịu nổi chính lệnh nữa rồi.”
王怒，得卫巫， 使监谤者， 以告则杀之。	Vua nổi giận, tìm thầy đồng cốt nước Vệ, sai coi dò những kẻ chỉ trích, đem bẩm lại để giết.
王不听。	Vua không nghe.
乃以其子代王太子，太子竟得脱。	Đoạn đem con mình thay thế thái tử, thái tử mới được thoát.
召公、周公二相行政，号曰“共和”。	Hai vị quốc tướng là Thiệu Công, Chu Công cùng nhiếp chính, gọi là “Cộng Hòa”.
太子静长於召公家，二相乃共立之为王，是为宣王。	Thái tử Tĩnh lớn lên ở nhà Thiệu Công, hai vị bèn cùng lập lên làm vua. Đây là Tuyên vương.
宣王即位， 二相辅之，脩政，法文、武、成、康之遗风，诸侯复宗周。	Tuyên vương lên ngôi, hai thừa tưởng phò rập, sửa sang chính trị, noi theo di phong của Văn, Võ, Thành, Khang. Chư hầu lại tôn phu nhà Chu.
十二年， 鲁武公来朝。	Năm thứ mười hai, Lỗ Võ công đến chầu.
仲山甫谏 曰： “民不可料也。”	Trọng Sơn Phủ can gián nói: “Dân không thể tính được”.
宣王不听， 卒料民。	Tuyên vương không nghe, cuối cùng vẫn tính số dân.
四十六年，宣王崩， 子幽王宫湦立。	Năm thứ bốn mươi sáu, Tuyên vương băng, con là U vương Cung Sinh lên ngôi.
幽王二年，西周三川皆震。	U vương năm thứ hai, ba sông vùng Tây Chu đều có động đất.
太子母申侯女，而为后。	Mẹ thái tử là con gái của Thân hầu, làm vương hậu.
後幽王得襃姒，爱之，欲废申 后，并去太子宜臼，以襃姒为后，以伯服为太子。	Về sau U vương có được Bao Tự, yêu chuộng ả, muốn phế Thân hậu, đồng thời bỏ thái tử Nghi Cữu, lập Bao Tự làm vương hậu, Bà Phục làm thái tử.
周太史伯阳读史记 曰：“周亡矣。”	Quan Thái sử nhà Chu là Bá Dương đọc sử, nói: “Nhà Chu mất rồi”.
昔自夏后氏之衰 也，有二神龙止於夏帝庭而言曰：“余，襃之二君。”	Xưa từ khi họ Hạ Hậu suy vi, có đôi rồng thần giáng xuống sân của vua Hạ, nói rằng: “Chúng tôi là hai vua nước Bao”.
於 是布币而策告之，龙亡 而漦在，椟而去之。	Thế rồi bày vải lụa, viết giản sách để tấu cáo, rồng biến mất để lại nước dãi, đem đóng hộp cất đi.
後宫之 童妾既龀而遭之，既笄而 孕，无 夫而生子，惧而弃之。	Đứa nô tỳ trong hậu cung ở tuổi thay răng đụng phải, đến tuổi cập kê thì có thai, không chồng mà sinh con, sợ hãi vất bỏ.
逃於道，而见乡者 後宫童妾所弃妖子出於 路者， 闻其夜啼，哀而收之，夫妇遂亡，饹於襃。	Họ tháo chạy trên đường thì gặp đứa con yêu nghiệt bị nô tỳ trong cung vất ở bên đường không lâu. Nghe tiếng khóc đêm, liền thương xót nhận nuôi. Hai vợ chồng đều thoát, chạy đến đất Bao.
襃人有罪，请入童妾 所弃女子者於王 以赎罪。	Người đất Bao có tội, xin đem đứa con gái bị nô tỳ vất bỏ đưa vào cho vua để chuộc tội.
当幽王三年，王之後宫 见而爱之，生子伯服，竟废申后及太子，以襃姒为后，伯服为太子。	Vào thời U vương, năm thứ ba, vua đến hậu cung gặp rồi yêu ả, sinh ra con trai là Bá Phục, sau rốt phế Thân hậu và thái tử, lập Bao Tự làm vương hậu, Bá Phục làm thái tử.
幽王说之，为数举烽火。	U vương thích thú, đốt lửa thêm mấy lần.
又废申后，去太子也。	Vua dùng hắn, lại phế Thân hậu, bỏ thái tử.
五十一年，平王崩，太子洩父蚤死，立其子林，是为 桓王。	Năm thứ năm mươi mốt, Bình vương bằng, thái tử Duệ Phụ chết sớm, lập con là Lâm lên ngôi, đây là Hoàn vương.
二十三年，桓王崩，子庄王佗立。	Năm thứ hai mươi ba, Hoàn vương băng, con là Trang vương Đà lên ngôi.
惠王二年。 初，庄王嬖姬姚，生子 穨，穨有宠。	Huệ vương năm thứ hai, ban đầu nàng thiếp họ Diêu được Trang vương sủng ái, sinh con trai tên Đồi.
二十五年，惠王崩，子襄王郑立。	Năm thứ hai mươi lăm, Huệ vương băng, con là Tương vương Trịnh lên ngôi.
襄王母蚤死，後母曰惠后。	Mẹ của Tương vương chết sớm, mẹ kế là Huệ hậu.
九年，齐桓公卒。	Năm thứ chín, Tề Hoàn công mất.
十二年，叔带复 归于周。	Năm thứ mười hai, Thúc Đái lại về đất Chu.
富辰谏曰： “凡我周之东徙，晋、郑焉依。子穨之乱，又 郑之由定，今以小怨弃之！”	Phú Thần can gián nói: “Nhà Chu ta dời về đông là nhà nước Tấn, nước Trịnh. Tử Đồi làm loạn, cũng lại do nước Trịnh dẹp yên. Nay lại vì thù oán nhỏ mà ruồng bỏ người ta sao?”
十五年，王降翟师以伐郑。	Năm thứ mười lăm, vua lệnh cho quân Địch đánh nước Trịnh.
王 德翟人，将以其女为后。	Vua cảm kích người Địch, định lấy con gái họ làm vương hậu.
富辰曰：“吾数谏不从。如是不 出，王以我为懟乎？”	Phú Thần nói: “Tôi can gián mấy lần mà không nghe, nếu tôi không ra mặt, vua lại cho là tôi oán hận thì sao?”
初，惠后欲立王子带，故以党开翟人，翟人遂入周。	Ban đầu, Huệ hậu muốn lập vương tử Đái, nên đem bè đảng đón người Địch. Người Địch bèn vào đất Chu.
二十四年，晋文公卒。	Năm thứ hai mươi bốn, Tấn Văn công mất.
三十一年，秦穆公卒。	Năm thứ ba mươi mốt, Tần Mục Công mất.
三十二年，襄王崩，子顷王壬臣立。	Năm thứ ba mươi hai, Tương vương băng, con là Khoảnh vương Nhâm Thần lên ngôi.
十六年，楚庄王卒。	Năm thứ mười sáu, Sở Trang vương mất.
二十一年，定王崩，子简王夷立。	Năm thứ hai mươi mốt, Định vương băng, con là Giản vương Di lên ngôi.
简王十三年，晋杀其君厉公， 迎子周於周，立为悼公。	Giản vương năm thứ mười ba, người nước Tấn giết vua là Lệ công, đón Tử Chu ở đất Chu về, lập làm Điệu công.
十四年，简王崩，子灵王泄心立。	Năm thứ mười bốn, Giản vương băng, con là Linh vương Tiết Tâm lên ngôi.
二十七年，灵王崩， 子景王贵 立。	Năm thứ hai mươi bảy, Linh vương băng, con là Cảnh vương Quý lên ngôi.
景王十八年，后太子圣而蚤卒。	Cảnh vương năm thứ mười tám, thái tử Thọ do vương hậu sinh chết sớm.
二十年， 景王爱子朝，欲立之， 会崩， 子丐之党与争立， 国人立长子猛为王，子朝攻杀猛。	Năm thứ hai mươi, Cảnh vương yêu Tử Triêu, muốn lập làm thái tử, đúng lúc đó thì băng. Bè đảng của Tử Cái cùng (Tử Triêu) tranh giành ngôi vị. Người trong nước lập con trưởng là Mãnh làm vua. Tử Triêu đánh giết Mãnh.
晋人攻子朝而立丐，是 为敬王。	Người Tấn đánh Tử Triêu mà lập Cái lên ngôi. Đây là Kính vương.
敬王元年，晋人入敬王，子朝自立，敬王不得入，居泽。	Kính vương năm đầu, người Tấn đưa Kinh vương về nước. Tử Triệu tự lập làm vua. Kính vương không về nước được, đành ở ấp Trạch.
四十一年，楚灭陈。	Năm thứ bốn mươi mốt, Sở diệt nước Trần.
孔子卒。	Khổng Tử mất.
四十二年，敬王崩， 子元王仁立。	Năm thứ bốn mươi hai, Kính vương băng, con là Nguyên vương Nhân lên ngôi.
元王 八年，崩，子定王介立。	Nguyên vương năm thứ tám, vua băng, con là Định vương Giới lên ngôi.
二十八年，定王崩， 长子去疾立，是为哀王。	Năm thứ hai mươi tám, Định vương băng con trưởng là Khứ Tật lên ngôi. Đây là Ai vương.
桓公卒，子威公代立。	Hoàn công mất, con là Uy công lên thay.
威公 卒，子惠公代立，乃封其少子於巩 以奉王，号东周惠 公。	Uy công mất, con là Huệ công lên thay, bèn phong cho con út ở đất Củng, để phụng thờ vua, gọi là Đông Chu Huệ công.
二十四年，崩， 子安王骄立。	Năm thứ hai mươi tư, vua băng, con là An vương Kiêu lên ngôi.
安王立二十六年，崩，子 烈王喜立。	An vương ở ngôi hai mươi sáu năm thì băng, con là Liệt vương Hỷ lên ngôi.
烈王二年，周太史儋 见秦献公曰： “始周与秦国合 而别，别五百载复合， 合十七 岁而霸王者出焉。”	Liệt vương năm thứ hai, Thái sử Đảm nhà Chu gặp Tần Hiến công nói: “Ban đầu nhà Chu và nước Tần hợp rồi chia, chia năm trăm năm rồi lại hợp, hợp mười bảy năm sẽ xuất hiện bá vương.”
十年，烈王崩，弟扁立，是为显王。	Năm thứ mười, Liệt vương băng, em là Biển lên ngôi, đây là Hiển vương.
二十五年，秦会 诸侯於周。	Năm thứ hai mươi lăm, Tần họp chư hầu ở đất Chu.
二十六年，周致伯於秦孝公。	Năm thứ hai mươi sáu, nhà Chu phong bá cho Tần Hiếu công.
四十四年，秦惠王称王。	Năm thứ bốn mươi bốn, Tần Huệ vương xưng vương.
其後诸侯皆为王。	Về sau chư hầu đều xưng vương.
四十八年，显王崩，子慎靓王定立。	Năm thứ bốn mươi tám, Hiển vương băng, con là Thận Tịnh vương Định lên ngôi.
西周武公 之共太子死，有五庶子，毋適立。	Thái tử Cộng của Võ công nhà Tây Chu chết, có năm con thứ, không có con đích để lập.
司马翦 谓楚王曰：“不如以地资公子咎，为请太子。”	Tư Mã Tiễn nói với Sở vương: “Chẳng bằng đem đất giúp Công tử Cữu, xin làm thái tử”.
左成曰： “不可。周不听，是公之知困而交疏於周也。 不如请周君孰欲立，以微告 翦，翦请令楚之以地。”	Tả Thành nói: “Không được. Nhà Chu không nghe thì kế của ông khó thành mà quan hệ với nhà Chu lại xa cách vậy. Chẳng bằng hỏi ý vua Chu xem muốn lập ai, rồi ngầm bảo Tiễn. Tiễn lại xin Sở đem đất giúp cho.”
果立公子咎为太子。	Quả nhiên, lập Công tử Cữu làm thái tử.
八年，秦攻宜阳， 楚救之。	Năm thứ tám, Tần đánh Nghi Dương, Sở ứng cửu.
而楚以周为秦故，将伐之。	Mà Sở thì cho rằng Chu giúp Tần nên định đánh Chu.
苏 代为周说楚王曰：“何以周为秦之祸也？ 言 周之为秦甚於楚者，欲令周入秦也，故谓‘周秦’也。 周知其不可解，必入 於秦，此为秦取周之精者也。 为王计者，周於秦因 善之，不於秦亦言善之，以疏之於秦。 周绝於秦，必入於 郢矣。”	Tô Đại vì Chu mà nói với Sở vương rằng: “Tại sao cho rằng Chu thân với Tần là họa của nước Sở? Bảo Chu thân với Tần còn hơn thân với Sở, là muốn khiến Chu quy phụ Tần, nên mới nói là Chu Tần vậy. Chu biết không thể tránh được, ắt sẽ quy phụ Tần. Ấy là diệu kế khiến Tần lấy được nhà Chu. Tôi bày kế cho ngài thế này, Chu dựa vào Tần thì đối xử tốt với Chu, không dựa vào Tần thì cũng đối xử tốt với Chu, để khiến Chu xa cách Tần. Chu tuyệt giao với Tần, ắt sẽ quy phụ Sở.”
或为东周说韩王曰： “西周故天子之国， 多名器重宝。王案兵毋出，可以德东周， 而西周之宝必可以尽矣。”	Có kẻ vì Đông Chu mà nói với Hàn vương rằng: “Tây Chu vốn là nước của thiên tử, có nhiều vật báu của lạ. Vương cứ án binh bất động, vừa có thể ra ơn với Đông Chu mà báu vật của Tây Chu ắt có thể lấy hết vậy.”
周君曰：“子苟能，请以国听子。”	Vua Chu nói: “Nếu ngươi có thể làm vậy, ta xin đem cả nước ra nghe ngươi.”
韩 相国曰：“善。使者已行矣。”	Tướng quốc nước Hàn nói: “Phải lắm. Sứ giả đã lên đường”.
相国曰：“善。”	Tướng quốc nói: “Phải lắm”.
四十二年，秦破华阳约。	Năm thứ bốn mươi hai, Tần hủy điều ước Hoa Dương.
马犯谓周君曰：“请令梁城周。”	Mã Phạm nói với vua Chu rằng: “Xin khiến Lương xây thành cho Chu?”
梁王 曰：“善。”	Lương vương nói: “Được”.
又谓梁王曰： “周王病甚矣，犯请後可 而复之。 今王使卒之周，诸侯皆生心，後举事且不信。 不若令卒为周城，以匿事端。”	Mã Phạm lại nói với Lương vương rằng: “Vua Chu bệnh nặng lắm rồi. (Việc trao chín đỉnh) Phạm tôi xin để sau, khi nào được sẽ bẩm lại. Nay vương sai quân lính tới đất Chu, chư hầu đều sinh ngờ, sau này hành sự sẽ thất tín. Chẳng bằng vương sai quân xây thành cho nhà Chu, để che giấu sự việc.”
梁王曰：“善。” 遂使城周。	Lương vương nói: “Được”, đoạn sai xây thành cho nhà Chu.
四十五年，周君之秦客谓周曰：“公 不若誉秦王之孝，因以应为太后养地， 秦王必喜，是公有秦交。交善，周君必 以为公功。交恶，劝周君入秦者必有罪矣。”	Năm thứ bốn mươi lăm, vua Chu tới Tần. Có kẻ nói với Chu Tụ rằng: “Ông chẳng thà khen Tần vương hiếu thuận, nhân xin đem đất Ứng làm đất dưỡng lão cho thái hậu. Tần vương ắt vui. Thế là ông có mối quan hệ với Tần. Quan hệ tốt, vua Chu ắt cho là công của ông. Quan hệ xấu, ông khuyên vua Chu rằng người Chu vào đất Tần ắt đã gây tội rồi.”
秦攻 周，而周勣谓秦王曰：“为王计者不攻周。攻周，实不足以利，声畏 天下。天下以声畏秦，必东合於齐。兵弊於周。合天下於齐，则秦不 王矣。天下欲弊秦，劝王攻周。秦与天下弊，则令不行矣。”	Tần đánh Chu, Chu Tu nói với Tần vương rằng: “Tính kế cho vương mà nói thì không nên đánh Chu. Đánh Chu thực ra không có lợi gì đáng kể, mà tiếng tăm lại khiến thiên hạ sợ. Thiên hạ nghe tiếng sợ Tần, ắt sẽ họp với Tề ở phía đông. Quân tiêu hao ở Chu, mà thiên hạ lại hợp với Tề, thế thì Tần không làm vương được. Thiên hạ muốn Tần hao tổn nên khuyên vương đánh Chu. Tần bị thiên hạ làm cho hao tổn thì mệnh lệnh không thể thi hành được nữa.”
周令其相国之秦，以秦之轻也，还其行。	Nhà Chu sai tướng quốc tới Tần, bị Tần coi khinh, bèn quay trở về.
秦受其 献，归其君於周。	Tần nhận dâng hiến, trả vua về Chu.
周君、王赧卒， 周民遂 东亡。	Vua Chu là Noãn vương mất, dân Chu bèn chạy sang đông.
太史公曰：学者皆称周伐纣，居洛邑，综其实不然。	Thái sư công bàn rằng: Học giả đều nói rằng Chu thảo phạt Trụ rồi định đô Lạc Ấp, kỳ thực không phải vậy.
秦灭周。	Tần diệt nhà Chu.
汉兴九十有馀载，天子将封泰山，东巡 狩至河南，求周苗裔，封其後嘉三十里地，号曰周子南君， 比列侯，以奉其先祭祀。	Nhà Hán thành lập hơn chín mươi năm, thiên tử tế trời ở núi Thái Sơn, tuần thú miền Đông tới Hà Nam, tìm dòng dõi của nhà Chu, phong cho hậu duệ là Gia ba mươi dặm đất, hiệu là Chu Tử Nam Quân, sánh với chư hầu, để coi giữ việc thờ phụng tổ tiên.
亚圉卒，子公叔祖类立。	Á Ngữ mất, con là Công Thức Tổ Loại nối dõi.
公叔祖类卒，子古公亶父立。	Công Thức Tổ Loại mất, con là Cổ Công Đản Phủ nối dõi.
古公亶父 复脩后稷、公刘之业，积德行义，国人皆戴之。	Cổ Công Đản Phủ khôi phục công nghiệp của Hậu Tắc, Công Lưu, tích đức làm việc nghĩa, người trong nước đều ủng hộ.
薰育戎狄攻之，欲得 财物，予之。	Rợ Huân Dục tấn công, muốn đoạt của cải, ngài liền cho.
乃与私属 遂去豳，度漆、沮，逾 梁山， 止於岐下。	Đoạn bèn cùng gia thuộc rời đất Bân, vượt sông Tất, sông Thư, qua Lương Sơn, dừng ở dưới chân núi Kỳ.
豳人举国扶老携弱， 尽复归古公於岐下。	Người Bân trong cả nước dìu già dắt trẻ, tất cả quy phụ Cổ Công ở dưới chân núi Kỳ.
於是古公乃贬戎 狄之俗，而营筑城郭室屋，而邑别居之。 作五官有司。	Thế rồi Cổ Công thay đổi thói tục của Nhung địch, xây dựng thành quách nhà cửa, phân chia thôn ấp cho dân ở; lập ra năm quan hữu ty.
太姜生少子季历， 季历娶太任， 皆贤妇人， 生昌，有圣瑞。	Bà Thái Khương sinh con út tên là Quý Lịch. Quý Lịch lấy Thái Nhâm, đều là người vợ hiền, sinh ra Xương, có điềm lành của thánh nhân.
长子太伯、虞仲知古公欲立季历 以传昌，乃二人亡如荆蛮， 文身断发， 以让季历。	Con trưởng Thái Bá và Ngu Trọng biết Cổ Công muốn lập Quý Lịch để trao quyền cho Xương, hai người bèn chạy tới đất Kinh Man, xăm mình cắt tóc, để nhường Quý Lịch.
古公卒，季历立，是为公季。	Cổ Công mất, Quý Lịch nối dõi. Đây là Công Quý.
公季脩古公遗道，笃於行义，诸侯 顺之。	Công Quý sửa sang đường lối Cổ Công để lại, dốc lòng làm việc nghĩa, chư hầu thuận theo.
西 伯曰文王， 遵后 稷、公刘之业，则古公、公季之法，笃仁，敬老，慈少。	Tây Bá còn gọi là Văn vương, nối đức nghiệp của Hậu Tắc, Công Lưu, noi phép tắc của Cổ Công, Công Quý. Dốc lòng nhân, kính cụ già, yêu con trẻ.
伯夷、叔齐在孤竹， 闻西伯善养老，盍往归之。	Bá Di, Thúc Tề ở Cô Trúc, nghe nói Tây Bá giỏi nuôi dưỡng người già, nên tới quy phụ.
太颠、闳夭、 散宜生、鬻子、辛甲大夫之徒皆往归之。	Bọn Thái Điên, Hoành Yểu, Tán Nghi Sinh, Chúc Tử, Tân Giáp Đại Phu đều tới quy phụ.
崇侯虎谮西伯於殷纣曰：“西伯积善累德，诸侯皆乡之，将不利 於帝。”	Sùng Hầu Hổ nói xấu Tây Bá với Ân Trụ rằng: “Tây Bá tu nhân tích đức, chư hầu đều hưởng ứng theo, sẽ bất lợi cho nhà vua.”
纣大说，曰：“此一物足以释西伯， 况其多乎！”	Trụ cả mừng, nói: “Một thứ này thôi đã đủ thả Tây Bá rồi, huống hồ nhiều thế này?”
西伯乃献 洛西之地，以请纣去砲格之刑。	Tây Bá hiến vùng đất phía tây sông Lạc để xin Trụ bỏ hình phạt Bào Lạc.
明年，伐崇侯虎。 而作丰邑， 自岐下而徙都丰。	Năm sau nữa, thảo phạt Sùng Hầu Hổ, lập nên ấp Phong, dời đô từ dưới chân núi Kỳ tới ấp Phong.
明年，西伯崩， 太 子发立，是为武王。	Năm sau nữa, Tây Bá băng, thái tử Phát nối ngôi. Đây là Võ vương.
