张廷尉释之者，堵阳人也， 字 季。	Trương Thích Chi Đình úy Trương Thích Chi, người Đổ Dương, tự là Quý.
释之前进曰：“使其中有可欲者，虽锢南山犹有郄； 使其 中无可欲者，虽无石椁，又何戚焉！”	Thích Chi tiến lên rằng: “Nếu bên trong có thứ người ta muốn, dẫu kiên cố như núi Nam vẫn có kẽ hở; nếu bên trong không có thứ người ta muốn, dẫu không có đá có quách, sao phải lo?”
文帝称善。	Văn để khen phải.
其後拜释之为廷 尉。 顷之，上行出中渭桥， 有 一人从穚下走出，乘舆马惊。	Rồi sau, phong Thích Chi làm Đình úy Thời gian sau, Hoàng thượng xuất hành qua cầu Trung Vị, có người từ dưới cầu chạy ra, khiến ngựa kéo xe kinh sợ.
释之治问。 曰：“县人来，闻跸，匿桥下。久之，以 为行已过，即出，见乘舆车骑，即走耳。”	Thích Chi thẩm vấn, hắn nói: “Tôi người huyện này, đến đây, nghe lệnh cấm đường, ẩn mình dưới cầu. Hồi lâu, cho là vua đã đi qua, liền chạy ra, thấy xe ngựa kỵ mã, vội bỏ chạy.”
廷尉秦当，一人犯跸，当 罚金。	Đình úy tâu lên, một người phạm lệnh cấm đường, đáng phạt tiền.
文帝怒曰：“此人亲惊吾马，吾马赖柔 和，令他马，固不败伤我乎？而廷尉乃当之罚金！”	Văn đế giận nói: “Người này làm ngựa của ta kinh sợ, may ngựa của ta thuần tính nhu hòa, nếu ngựa khác, chẳng phải đã làm tổn thương đến ta sao? Thế mà Đình úy xử tội phạt tiền?”
释之曰：“法者 天子所与天下公共也。今法如此而更重 之，是法不信於民也。且方其时，上使立诛之则已。今既下廷尉，廷 尉，天下之平也，一倾而天下用法皆为轻重，民安所措其手足？唯陛 下察之。”	Thích Chi nói: “Pháp luật, thiên tử và thiên hạ đều tuân thủ như nhau. Nay pháp luật quy định như thế mà xử nặng thêm, dân sẽ không tin nữa. Vả lại lúc ấy, Hoàng thượng giết ngay thì thôi. Nay đã giao cho Đình úy, Đình úy là cán cân công bằng thiên hạ, nếu nghiêng một bên, thiên hạ dùng pháp luật đều biến nhẹ thành nặng, dân biết đặt chân tay vào đâu nữa? Xin bệ hạ xét kỹ cho.”
良久，上曰：“廷尉当是也。”	Lâu sau, Hoàng thượng nói: “Đình úy xử thế là phải.”
其後有人盗高庙坐前玉环，捕得，文帝怒，下廷尉治。	Về sau, có người trộm vòng ngọc trước bệ thờ Cao miếu, bị bắt, Văn đế tức giận, giao Đình úy trị tội.
上大怒曰：“人之无道，乃盗先帝 庙器，吾属廷尉者，欲致之族，而君以法奏之， 非吾所以共承宗庙意也。”	Hoàng thượng cả giận nói: “Người này vô đạo, dám trộm đồ tông miếu tiên đế, ta giao Đình úy, là muốn xử cả họ y, vậy mà ông dựa pháp luật tấu lên, đó không phải tỏ ý sùng kính tông miếu của ta.”
释之免冠顿首谢曰：“法如是足 也。且罪等， 然以逆顺为差。今盗宗庙器而族 之，有如万分之一，假令愚民取长陵一抔土， 陛下何以加其法乎？”	Thích Chi cởi mũ dập đầu tạ tội: “Theo luật xử thế là đủ. Và cũng tội chết, nhưng chia ra nghịch thuận khác nhau. Nay trộm đồ trong tông miếu mà giết cả họ, vạn nhất có ngu dân nào lấy ít đất ở Trường Lăng, bệ hạ lấy gì xử nặng thêm được?”
久之，文帝与太后 言之，乃许廷尉当。	Hồi lâu, Văn đế và Thái hậu mới lên tiếng, cho Đình úy xử lý thỏa đáng.
是时，中尉条侯周亚夫与梁相山都侯王恬开 见 释之持议平，乃结为亲友。	Bấy giờ, quan Trung úy Điều hầu Chu Á Phu và Tướng quốc nước Lương là Sơn Đô hầu Vương Điềm Khai thấy Thích Chi chấp pháp công bằng, bèn kết làm bạn thân.
张廷尉由此天下称之。	Trương Đình úy nhờ đó được thiên hạ khen ngợi.
後文帝崩，景帝立，释之恐， 称病。	Sau, Văn đế băng hà, Cảnh đế lên ngôi, Thích Chi sợ, thác bệnh.
欲免去，惧大诛至；欲见谢，则未知 何如。	Muốn từ chức về nhà, sợ bị giết đến nơi; định yết kiến tạ tội nhưng chưa biết làm cách nào.
用王生计，卒见谢，景帝不过也。	Theo kế của Vương Sinh, rốt cục được yết kiến tạ tội, Cảnh đế không bắt lỗi.
王生者，善为黄老言，处士也。	Vương Sinh giỏi về học thuyết Hoàng-Lão, là ẩn sĩ.
尝召居廷中，三公九卿尽会立， 王生老人，曰“吾穇解”，顾谓张廷 尉：“为我结穇！”	Sinh từng được triệu vào triều, tam công Cửu khanh đều đông đủ, Vương Sinh cao tuổi, nói: “Giày tôi tuột”, quay lại bảo Trương Đình úy: “Buộc giày giúp tôi?”
释之跪而结之。	Thích Chi quỳ xuống buộc dây giày cho.
既已，人 或谓王生曰：“独柰何廷辱张廷尉，使跪结穇？”	Sau, có người bảo Vương Sinh: “Sao ông làm nhục Trương đình úy giữa triều đình, sai quỳ buộc dây giày thế?”
王生曰：“吾老且 贱，自度终无益於张廷尉。张廷尉方今天下名臣，吾故聊辱廷尉，使 跪结穇，欲以重之。”	Vương Sinh đáp: “Tôi già cả lại hèn hạ, tự xét trọn đời cũng chẳng ích gì cho Trương Đình úy. Nay Trương Đình úy là danh thần thiên hạ, tôi cố ý làm nhục Đình úy, khiến quỳ buộc dây giày, muốn làm ông ấy được coi trọng đó.”
诸公闻之，贤王生而重张廷尉。	Các công khanh biết chuyện đó, cho Vương Sinh hiền năng, lại càng coi trọng Trương Đình úy.
张廷尉事景帝岁馀，为淮南王相，犹尚以前过也。	Trương Đình úy thờ Cảnh đế hơn năm, làm Tướng quốc cho Hoài Nam vương, do trước có lỗi với Cảnh đế.
久之，释之 卒。 其子曰张挚，字长公，官至大夫，免。	Lâu sau, Thích Chi chết, con là Trương Chí, tự Trưởng Công, làm quan đến Đại phu, bị bãi chức.
以不能取容当世，故终身 不仕。	Do không thể làm vui lòng người quyền quý đương triều, nên trọn đời không làm quan nữa.
冯唐者，其大父赵人。	Phùng Đường Phùng Đường, ông nội là người Triệu.
父徙代。	Cha sang ở đất Đại.
汉兴徙安陵。	Nhà Hán nổi lên lại rời đến An Lăng.
唐以孝著，为中郎 署长， 事文帝。	Đường nổi tiếng hiếu thuận, làm Trung lang thị trưởng, thờ Văn đế.
文帝辇过，问唐 曰：“父老何自为郎？ 家安在？”	Văn đế đi xe qua, hỏi Đường rằng: “Cụ sao còn làm quan Lang? Nhà cụ ở đâu?”
唐具以实对。	Đường cứ tình thực trả lời.
文帝 曰：“吾居代时，吾尚食监高袪数为我言赵将李齐之贤，战於钜鹿 下。今吾每饭，意未尝不在钜鹿也。 父知之乎？”	Văn đế nói: “Lúc ta ở đất Đại, quan coi việc ăn uống cho ta là Cao Khư nhiều lần nói về sự hiền năng của tướng quân nước Triệu là Lý Tề, từng đánh trận dưới thành Cự Lộc. Nay mỗi khi ta dùng cơm, tâm ý không lúc nào không để ở Cự Lộc. Cụ biết người đó không?”
唐对曰：“尚不如廉颇、李牧之为将 也。”	Đường đáp rằng: “Cũng chưa bằng Liêm Pha, Lý Mục làm tướng đâu.”
上曰：“何以？”	Hoàng thượng hỏi: “Tại sao?”
唐曰：“臣大父在赵时，为官将， 善李牧。臣父故为代相，善赵将李齐，知其 为人也。”	Đường đáp: “Ông thần lúc làm quan ở Triệu, thống lãnh các tướng, thân với Lý Mục. Cha thần vốn là Tướng quốc nước Đại, thân với tướng Triệu là Lý Tề, do đó biết ông ta là người thế nào.”
上既闻廉颇、李牧为人，良 说，而搏髀曰：“嗟乎！吾独不得廉颇、李牧时为吾将，吾岂 忧匈奴哉！”	Hoàng thượng từng nghe nói về Liêm Pha, Lý Mục là người thế nào, rất thích thú, liền vỗ đùi nói: “Ôi chao! Riêng ta không có được Liêm Pha, Lý Mục làm tướng, nếu có, ta há lo giặc Hung Nô ư?”
唐曰：“主臣！ 陛下虽得廉颇、李牧，弗能用 也。”	Đường nói: “Bệ hạ dẫu có Liêm Pha, Lý Mục cũng không thể dùng được đâu.”
上怒，起入禁中。	Hoàng thượng nổi giận, đứng dậy đi vào trong cung.
良久，召唐让曰：“公柰何众辱我，独无间 处乎？”	Lâu sau, triệu Đường đến trách: ”Sao ông làm nhục ta trước đám đông, không có chỗ khác để nói à?”
唐谢曰：“鄙人不知忌讳。”	Đường tạ lỗi rằng: “Kẻ bỉ lậu này không biết kiêng kỵ.”
上以胡寇为意，乃 卒复问唐曰：“公何以知吾不能用廉颇、李牧也？”	Hoàng thượng lo lắng về việc giặc Hồ, cuối cùng hỏi Đường: “Sao ông biết ta không thể dùng được Liêm Pha, Lý Mục?”
唐对曰：“臣闻 上古王者之遣将也，跪而推毂，曰阃以内者， 寡人 制之；阃以外者，将军制之。军功爵赏皆决於外，归而奏之。此非虚 言也。臣大父言，李牧为赵将居边，军市之租皆自用飨士， 赏赐决於外，不从中扰也。委任而责成 功，故李牧乃得尽其智能，遣选车千三百乘， 彀骑万三千，百金之 士十万， 是以北逐单于，破东胡， 灭澹林， 西抑彊秦，南支韩、 魏。当是之时，赵几霸。其後会赵王迁立，其母倡也。 王迁立， 乃用郭开谗，卒诛李牧， 令颜聚代之。 是以兵破士北，为秦所禽灭。今臣窃闻魏尚为云中守， 其 军市租尽以飨士卒，私养钱， 五日一椎牛，飨宾客军吏舍人，是以匈奴远 避，不近云中之塞。虏曾一入，尚率车骑击之，所杀其众。夫士卒尽 家人子，起田中从军，安知尺籍伍符。 终日力战，斩首捕虏，上功莫府， 一言不 相应，文吏以法绳之。其赏不行而吏奉法 必用。臣愚，以为陛下法太明，赏太轻，罚太重。且云中守魏尚坐上 功首虏差六级，陛下下之吏，削其爵，罚作之。由此言之，陛下虽得 廉颇、李牧，弗能用也。 臣诚愚，触忌讳，死罪死罪！”	Đường đáp rằng: “Thần nghe nói vương giả thời thượng cổ khiển tướng, quỳ gối đẩy xe, nói rằng việc trong triều quả nhân xử trí, việc ngoài triều tướng quân xử trí. Việc quân công tước thưởng đều quyết định bên ngoài, về mới tâu. Đó không phải nói suông vậy. Ông nội thần nói, Lý Mục làm tướng nước Triệu ở biên giới, thuế thu được từ chợ trong quân đều nuôi quân sĩ, việc ban thưởng do tướng bên ngoài quyết định, triều đình không can thiệp. Giao trọng trách và đòi hỏi thành công, nên Lý Mục mới được dốc hết trí tuệ, chọn lấy một nghìn ba trăm cỗ xe, một vạn ba nghìn kỵ binh giỏi cung nỏ, mười vạn quân sĩ thiện chiến, để phía bắc truy kích Thiền vu, phá Đông Hồ, diệt Đạm Lâm, phía tây khống chế Tần hùng mạnh, phía nam trợ giúp Hàn, Ngụy. Lúc bấy giờ, Triệu như muốn xưng bá. Về sau, Triệu vương Thiên lên ngôi, mẹ là con hát. Triệu vương Thiên lên ngôi, liền nghe sàm tấu của Quách Khai, chém chết Lý Mục, sai Nhan Tụ thay thế. Cho nên quân tan tướng chạy, bị Tần bắt giết. Nay thần trộm nghe Ngụy Thượng làm Quận thú Vân Trung, tô thuế ở chợ trong quân lấy hết nuôi quân sĩ, xuất bổng lộc riêng, năm ngày giết một con trâu, thết đãi tân khách cùng quân lại và xá nhân, khiến Hung Nô lánh xa, không dám gần biên giới Vân Trung. Giặc từng xâm nhập một lần, Thượng thống lãnh xa kỵ tiến đánh, giết được rất nhiều. Xét sĩ tốt đều là con em dân thường, xuất thân đồng ruộng rồi tòng quân, đâu biết sổ sách ghi quân lệnh quân công là gì. Suốt ngày ra sức chiến đấu, chém đầu giặc bắt tù binh, dâng công lên quan tướng, một lời không phù hợp, bọn văn lại dùng pháp luật chế ước. Đáng thưởng không thưởng, lại tin dùng bọn quan lại dùng phép tắc chế ước. Thần ngu muội, cho là pháp lệnh của bệ hạ quả nghiêm minh, thưởng quá ít, phạt quá nặng. Vả lại Quận thú Vân Trung là Ngụy Thượng báo công vì thiếu sáu thủ cấp địch, bệ hạ giao quan xử lý, bỏ tước phong, xử một năm lao dịch. Từ đó mà nói, bệ hạ dẫu có Liêm Pha, Lý Mục, cũng không thể dùng được. Thần thực ngu muội, phạm chỗ cấm kỵ tội chết, tội chết!”
文 帝说。	Văn đế rất vui.
是日令冯唐持节赦魏尚，复以为云中守，而拜唐为车骑都尉， 主中尉及郡国车士。	Ngay hôm ấy, lệnh cho Phùng Đường cầm phù tiết xá tội cho Ngụy Thượng, phục chức Quận thú Vân Trung, phong Đường làm Xa kỵ đô úy, quản các Trung úy và quân chiến xa các quận trong nước.
七年，景帝立，以唐为楚相，免。	Bảy năm sau, Cảnh đế lên ngôi, phong Đường làm Tướng quốc nước Sở, rồi lại bãi chức.
武帝立，求贤良，举冯唐。	Vũ đế lên ngôi, cầu người hiền lương, cất cử Phùng Đường.
唐 时年九十馀，不能复为官，乃以唐子冯遂为郎。	Đường bấy giờ đã trên chín mươi tuổi, không thể làm quan được nữa, bèn lấy con trai Đường là Phùng Toại làm quan Lang.
遂字王孙，亦奇士， 与余善。	Toại tự là Vương Tôn, cũng là kỳ sĩ, bạn thân của ta.
太史公曰：张季之言长者，守法不阿意；冯公之论将率，有味 哉！ 有味哉！	Thái sử công bàn rằng: Trương Quý bàn về trưởng giả, giữ pháp độ không dua theo ý nhà vua; Phùng công luận việc khiến tướng, rất có ý vị, rất có ý vị!
语曰“不知其人，视其友”。	Ngạn ngữ nói: “Không biết người nào, hãy xem bạn họ.”
二君之所称诵，可著廊 庙。	Việc hai người được xưng tụng, có thể khiến triều đình rạng rỡ.
书曰“不偏不党，王道荡荡；不党不偏，王道便便”。	Kinh Thư viết: “Không thiên tư không kết đảng, đạo của nhà vua rộng rãi, không kết đảng không thiên tư, đạo của nhà vua công bằng.”
张季、冯公近之矣。	Trương Quý, Phùng công gần được thế vậy.
使慎夫人鼓瑟，上自倚瑟而歌， 意惨凄悲怀，顾谓群臣曰：“嗟乎！以北山石 为椁，用纻絮 斫陈，蕠漆其间， 岂可动哉！”	Sai Thận phu nhân đánh đàn sắt, Hoàng thượng nương tiếng đàn mà hát, tình ý thảm đạm bị thương, quay lại bảo quần thần rằng: “Ôi chao! Lấy đá núi phía bắc làm quách, dùng sợi gai sợi tơ để lót, dùng sơn chít các khe, há có thể động vào được?”
释之案律 盗宗庙服御物者为奏，奏当弃市。	Thích Chi chiếu theo luật xử tội trộm đồ phục sức ở tông miếu, tâu tội đáng chém giữa chợ.
当是之时，匈奴新大入朝(cid:0)， 杀北地 都尉卬。	Lúc bấy giờ, Hung Nô mới kéo đại quân vào Triều Na, giết Đô úy Bắc Địa là Ngang.
