樗里子者，名疾，秦惠王之弟也， 与惠王异母。	Sư Lý tử Sư Lý tử tên Tật, là em khác mẹ với Tần Huệ vương.
甘茂曰：“请之魏，约以伐韩，而令向寿 辅行。”	Cam Mậu nói: “Cho thần đến Ngụy, hẹn họ đánh Hàn, rồi lệnh Hướng Thọ theo giúp.”
甘茂至，谓向寿曰：“子归，言之於王曰‘魏听 臣矣，然原王勿伐’。事成，尽以为子功。”	Cam Mậu đến, nói với Hướng Thọ: “Ngài về nói với vua rằng: Nước Ngụy đã theo lời tôi, nhưng xin đại vương đừng đánh? Việc thành, thảy đều là công của ngài.”
向寿归，以告王，王迎 甘茂於息壤。	Hướng Thọ trở về, bảo với Tần vương, vua đón Cam Mậu ở Tức Nhưỡng.
甘茂至，王问其故。	Cam Mậu tới, vua hỏi nguyên do.
对曰：“宜阳，大县也，上 党、南阳积之久矣。 名曰县，其实郡也。今王倍数险， 行千里攻之，难。昔曾参之处 费，鲁人有与曾参同姓名者杀人，人告其母曰‘曾参杀 人’，其母织自若也。顷之，一人又告之曰‘曾参杀人’，其母尚织 自若也。顷又一人告之曰‘曾参杀人’，其母投杼下机，逾墙而走。 夫以曾参之贤与其母信之也，三人疑之，其母惧焉。今臣之贤不若曾 参，王之信臣又不如曾参之母信著参也，疑臣者非特三人，臣恐大王 之投杼也。始张仪西并巴蜀之地，北开西河之外，南取上庸，天下不 以多张子而以贤先王。魏文侯令乐羊将而攻中山，三年而拔之。乐羊 返而论功，文侯示之谤书一箧。乐羊再拜稽首曰：‘此非臣之功也， 主君之力也。’今臣，羁旅之臣也。樗里子、公孙奭 二人者挟韩而议之，王必听之，是王欺魏王 而臣受公仲侈之怨也。”	Mậu nói: “Nghi Dương là huyện lớn, Thượng Đảng và Nam Dương tích trữ đã lâu. Danh nghĩa là huyện, thực lại là quận. Nay đại vương xiết bao nguy hiểm, đi xa ngàn dặm để đánh, khó lắm! Xưa Tăng Sâm ở đất Phí, người Lỗ có kẻ cùng họ tên Tăng Sâm giết người, có người báo với mẹ Tăng Sâm rằng 'Tăng Sâm giết người'. Bà điềm nhiên ngồi dệt vải. Lát sau, người khác lại báo 'Tăng Sâm giết người'. Bà mẹ vẫn điềm nhiên ngồi dệt. Lại sau đó có người đến báo 'Tăng Sâm giết người'. Mẹ Tăng Sâm ném con thoi, trèo tường mà trốn. Xét lẽ, Tăng Sâm là người hiền, mẹ ông tin tưởng thế, có ba người nghi ngờ, mà mẹ cũng kinh sợ. Nay thần hiển năng không bằng Tăng Sâm, đại vương tin thần chẳng bằng mẹ Tăng Sâm tin Tăng Sâm, người nghi ngờ thần không chỉ có ba, thần sợ đại vương ném con thoi thôi. Trước đây Trương Nghi phía tây thôn tính đất Ba và Thục, phía bắc khai mở vùng ngoài Tây Hà, nam lấy Thượng Dung, thiên hạ không khen Trương Nghi mà cho tiên vương hiền năng. Ngụy Văn hầu sai Lạc Dương cầm quân đánh Trung Sơn, ba năm thì hạ được. Lạc Dương trở về luận công, Văn hầu đưa cho hòm thư gièm pha. Lạc Dương với hai lần, dập đầu nói: 'Đó không phải công của thần, mà là sức của chúa công.' Nay thần, bề tôi ở đợ. Hai vị Sư Lý tử và Công Tôn Thích cậy Hàn nên bàn nghị điều gì, đại vương ắt nghe theo, là đại vương dối Ngụy vương còn thần bị Công Trọng Xỉ oán vậy.”
王曰：“寡人 不听也，请与子盟。”	Tần vương nói: “Quả nhân không nghe họ đâu, xin lập ước thề với ông.”
卒使丞相甘茂将兵伐宜阳。	Sau sai Thừa tướng Cam Mậu cầm quân đánh Nghi Dương.
五月而不拔，樗里 子、公孙奭果争之。	Năm tháng không hạ được, Sư Lý tử và Công Tôn Thích quả nhiên tranh nhau.
武王召甘茂，欲罢兵。	Vũ vương triệu Cam Mậu về, muốn bãi binh.
甘茂曰：“息壤在 彼。”	Cam Mậu nói: “Tức Nhưỡng còn kia.”
王曰：“有之。”	Vua nói: “Có đó.”
因大悉 起兵，使甘茂击之。	Nhân đấy dốc hết quân binh, sai Cam Mậu đi đánh.
斩首六万，遂拔宜阳。	Chém được sáu vạn thủ cấp, hạ được Nghi Dương.
韩襄王使公仲侈入谢，与 秦平。	Hàn Tương vương sai Công Trọng Xỉ vào tạ lỗi, xin hòa với Tần.
武王竟至周，而卒於周。	Sau Vũ vương tới Chu, rồi chết ở đó.
其弟立，为昭王。	Em lên thay, là Chiêu vương.
王母宣太后，楚女也。	Mẹ Chiêu vương là Tuyên thái hậu, người Sở.
楚怀王怨前秦败楚於丹阳而 韩不救，乃以兵围韩雍氏。	Sở Hoài vương oán vì trước đây Tần đánh bại Sở ở Đan Dương mà Hàn không cứu viện, bèn mang quân bao vây đất Ung Thị của Hàn.
韩使 公仲侈告急於秦。	Hàn sai Công Trọng Xỉ cáo cấp với Tần.
秦昭王新立，太后楚人，不肯救。	Tần Chiêu vương mới lên ngôi, Thái hậu là người Sở, nên không cứu.
公仲因甘茂，茂 为韩言於秦昭王曰：“公仲方有得秦救，故敢扞楚也。今雍氏围，秦 师不下殽，公仲且仰首而不朝，公叔且以国南合於楚。楚、韩为一， 魏氏不敢不听，然则伐秦之形成矣。不识坐而待伐孰与伐人之 利？”	Công Trọng nhờ Cam Mậu, Cam Mậu vì Hàn nên nói với Tần Chiêu vương: “Công Trọng cho là sẽ được nước Tần cứu mới dám chống Sở. Nay Ung Thị bị bao vây, quân Tần không xuống đất Hào, Công Trọng đang ngẩng đầu mà không vào chầu, Công Thúc sẽ đem phía nam đất nước liên hợp với Sở. Sở và Hàn hợp nhất, Ngụy không dám không nghe, theo đó cái thế đánh Tần đã hình thành. Không biết ngồi đợi bị đánh với việc đem quân đi đánh, đằng nào lợi hơn?”
秦王曰：“善。”	Tần vương đáp: “Phải.”
楚兵去。	Quân Sở rút lui.
秦使向寿平宜阳，而使樗里子、甘茂伐魏皮氏。	Tần sai Hướng Thọ bình định Nghi Dương, rồi sai Sư Lý tử và Cam Mậu đánh Bì Thị nước Ngụy.
向寿者，宣太后 外族也，而与昭王少相长，故任用。	Hướng Thọ có quan hệ đằng ngoại với Tuyên thái hậu, lớn lên cùng Chiêu vương, nên được trọng dụng.
向寿为秦守宜阳，将以 伐韩。	Hướng Thọ vì Tần giữ đất Nghi Dương, định đánh nước Hàn.
韩公仲使苏代谓向寿曰：“禽困覆车。 公破韩，辱公仲，公仲收国复事秦，自以为必可以 封。今公与楚解口地， 封小令尹以杜阳。 秦楚合，复攻韩，韩必 亡。韩亡，公仲且躬率其私徒以阏於秦。 原公孰虑之也。”	Công Trọng nước Hàn sai Tô Đại nói với Hướng Thọ: “Cầm thú nguy khốn làm lật úp xe. Ngài phá nước Hàn, làm nhục Công Trọng, Công Trọng nắm quốc sự sẽ lại thờ Tần, tự cho ắt được gia phong. Nay ngài dâng đất Giải Khẩu cho Sở, lấy đất Đỗ Dương phong cho tên Lệnh doãn nhỏ. Tần và Sở liên hợp, lại đánh Hàn, Hàn ắt mất. Hàn mất, Công Trọng sẽ thống suất người của mình để chống Tần. Xin ngài nghĩ cho kỹ.”
向寿曰：“吾合秦楚 非以当韩也，子为寿谒之公仲， 曰秦韩之交可合也。”	Hướng Thọ nói: “Ta liên hợp Tần, Sở không phải để chống Hàn, ngài vì Thọ này yết kiến Công Trọng, nói: Tần, Hàn có thể liên hợp.”
苏代对曰：“原有谒 於公。 人曰贵其所以贵者贵。王之爱习公也，不如公孙奭；其智能公也，不 如甘茂。今二人者皆不得亲於秦事，而公独与王主断於国者何？彼有 以失之也。 公孙奭党於韩，而甘茂 党於魏，故王不信也。今秦楚争彊而公党於楚，是与公孙奭、甘茂同 道也，公何以异之？ 人皆言楚之善变也，而公必亡之，是自为责 也。公不如与王 谋其变也，善韩以备楚，如 此则无患矣。韩氏必先以国从公孙奭而後委国於甘茂。韩，公之雠 也。今公言善韩以备楚，是外 举不僻雠也。”	Tô Đại đáp: “Xin được thưa với ngài, người ta nói: quý cái mình cho là quý mới thực là quý. Tần vương tin yêu ngài, không bằng Công Tôn Thích; trí tuệ của ngài, không bằng Cam Mậu. Nay hai người này đều không đích thân nắm chính sự Tần, còn riêng ngài được chúa thượng cho quyết việc nước, sao vậy? Vì họ đều không được tín nhiệm. Công Tôn Thích kết đảng với Hàn, Cam Mậu kết đảng với Ngụy, cho nên đại vương không tin. Nay Tần, Sở tranh cường mà ngài kết đảng với Sở, thế là chung đường với Công Tôn Thích và Cam Mậu, ngài khác gì họ đâu? Người ta đều nói Sở giỏi ứng biến, ngài ắt bại trong tay họ, là trách nhiệm ngài tự gánh. Chi bằng ngài cùng đại vương mưu tính sự ứng biến của Sở, thân Hàn để phòng Sở, như thế thì chẳng lo nữa. Người Hàn ắt trước đem nước theo Công Tôn Thích, sau ủy thác nước cho Cam Mậu, Hàn là cừu địch của ngài. Nay ngài nói thân Hàn để phòng Sở, là làm ngoại giao thì không tránh kẻ thù.”
向寿曰：“然，吾甚欲韩合。”	Hướng Thọ nói: “Đúng, ta rất muốn liên kết với Hàn.”
对曰：“甘茂许公仲 以武遂，反宜阳之民， 今公徒收 之，甚难。”	Đáp rằng: “Cam Mậu đồng ý đem đất Vũ Toại cho Công Trọng, đưa dân trở về Nghi Dương, nay ngài nhận lại, việc đó rất khó.”
向寿曰：“然则奈何？武遂终不可得也？”	Hướng Thọ nói: “Thế phải làm sao? Rốt cuộc không thể được Vũ Toại ư?”
对曰：“公 奚不以秦为韩求颍川於楚？ 此韩之寄地也。公求而得之，是 令行於楚而以其地德韩也。公求而不得，是韩楚之怨不解 而交走秦也。秦楚争彊，而公 徐过楚以收韩，此利於秦。”	Đáp rằng: “Sao ngài không lấy danh nghĩa Tần xin đất Dĩnh Xuyên ở Sở cho Hàn? Đó là đất mà Hàn gửi vậy. Ngài xin được, là lệnh được thi hành ở Sở rồi dùng đất đó tạo đức với Hàn. Ngài xin không được, oán hận giữa Hàn và Sở không giải, sẽ tranh nhau chạy sang Tần. Tần, Sở tranh cường, còn ngài thong thả qua Sở để thu phục Hàn, đó là lợi cho Tần.”
向寿曰：“柰 何？”	Hướng Thọ nói: “Phải làm sao?”
对曰：“此善事也。甘茂欲以魏取齐，公孙奭欲以韩取齐。今 公取宜阳以为功，收楚韩以安之，而诛齐魏之罪， 是以公孙奭、甘茂无事 也。”	Đáp rằng: “Đây là việc tốt. Cam Mậu muốn dùng Ngụy để lấy Tề, Công Tôn Thích muốn dùng Hàn để lấy Tề. Nay ngài chiếm Nghi Dương, lấy đó làm công, tiếp nhận Sở, Hàn để vỗ yên họ, rồi xử tội Tề, Ngụy, như thế Công Tôn Thích và Cam Mậu không còn chuyện gì nữa.”
甘茂竟言秦昭王，以武遂复归之韩。	Rốt cuộc Cam Mậu nói với Tần Chiêu vương, đem đất Vũ Toại trả lại cho Hàn.
茂惧，辍伐魏蒲阪，亡去。	Mậu sợ, bỏ việc đánh Bồ Bản của Ngụy mà chạy.
樗里子与魏讲，罢兵。	Sư Lý tử và Ngụy giảng hòa, bãi binh.
甘茂之亡秦奔齐，逢苏代。	Cam Mậu trốn khỏi Tần chạy sang Tề, gặp Tô Đại.
代为齐使於秦。	Đại thay mặt Tề đi sứ sang Tần.
甘茂曰：“臣得罪於 秦，惧而遯逃，无所容迹。臣闻贫人女与富人女会绩，贫人女 曰：‘我无以买烛，而子之烛光幸有馀，子可分我馀光，无损子明而 得一斯便焉。’今臣困而君方使秦而当路矣。茂之妻子在焉，原君以 馀光振之。”	Cam Mậu nói: “Thần đắc tội với Tần, sợ nên bỏ trốn, không chỗ nương thân. Thần từng nghe cô gái nhà nghèo và cô gái nhà giàu cùng dệt vải, cô nhà nghèo nói: 'Tôi không có tiền mua nến, còn cô, nến thắp sáng có thừa, có thể chia cho tôi ít ánh sáng, như thế cô không mất ánh sáng mà tôi cũng được chút tiện.' Nay thần khốn đốn, còn ngài đương đi sứ Tần lại đang nắm quyền. Vợ con Mậu ở Tần, xin ngài cho chút ánh sáng thừa để cứu vớt.”
遂致使於秦。	Rồi đi sứ sang Tần.
已，因说秦王曰：“甘茂，非 常士也。其居於秦，累世重矣。自殽塞及 至鬼谷，其地形险易皆明知之。彼以齐约韩 魏反以图秦，非秦之利也。”	Việc xong, Đại nhân đó nói với Tần vương: “Cam Mậu là kẻ sĩ phi thường. Ông ta ở Tần, nhiều đời được trọng. Từ Hào Tái đến cửa Quỷ Cốc, địa hình hiểm yếu ra sao đều biết rõ. Ông ta mà lấy danh nghĩa Tề để ước định với Hàn, Ngụy quay lại đánh Tần, việc đó bất lợi cho Tần vậy.”
秦王曰：“然则柰何？”	Tần vương nói: “Thế phải làm sao?”
苏代曰：“王 不若重其贽，厚其禄以迎之，使彼来则置之鬼谷， 终身勿出。”	Tô Đại đáp: “Chẳng bằng đại vương hãy dùng lễ trọng, trao lộc hậu để nghênh đón, ông ta về rồi, an trí ở Quỷ Cốc, suốt đời không rời khỏi.”
秦 王曰：“善。”	Tần vương nói: “Phải.”
即赐之上卿，以相印迎之於齐。	Bèn cho Cam Mậu làm thượng khanh, đem ấn Tướng quốc sang Tề nghênh đón.
甘茂不往。	Cam Mậu không đi.
苏代谓齐 湣王曰：“夫甘茂，贤人也。今秦赐之上卿，以相印迎之。甘茂德王 之赐，好为王臣，故辞而不往。今王何以礼之？”	Tô Đại nói với Tề Mẫn vương: “Ôi, Cam Mậu là người hiền. Nay Tần ban chức thượng khanh, dùng ấn Tướng quốc đón về. Cam Mậu cảm đức đại vương ban tặng, muốn làm bề tôi đại vương, cho nên từ chối không về, sao đại vương không dùng lễ đối đãi?”
齐王 曰：“善。”	Tề vương nói: “Phải.”
秦因复甘茂之 家以市於齐。	Tần nhân đó khôi phục gia tộc Cam Mậu, ganh đua với Tề.
齐使甘茂於楚，楚怀王新与秦合婚而驩。	Tề sai Cam Mậu đi sứ nước Sở, Sở Hoài vương mới thông hôn với Tần nên rất vui.
而秦闻甘茂在楚，使人谓楚王曰：“原送甘茂於 秦。”	Nhưng Tần nghe tin Cam Mậu tới Sở, bèn sai người nói với Sở vương: “Xin hãy đưa Cam Mậu về Tần.”
楚王问於范蜎 曰：“寡人欲置 相於秦，孰可？”	Sở vương hỏi Phạm Quyên: “Quả nhân muốn đặt chức Thừa tướng Tần, ai đảm đương được?”
对曰：“臣不足以识之。”	Phạm Quyên đáp: “Thần không đủ khả năng để biết ai được.”
楚王曰：“寡人欲相甘 茂，可乎？”	Sở vương nói: “Quả nhân muốn phong Cam Mậu, được chăng?”
对曰：“不可。夫史举，下蔡之监门也，大不为事君， 小不为家室，以苟贱不廉闻於世，甘茂事之顺焉。故惠王之明，武王 之察，张仪之辩，而甘茂事之，取十官而无罪。茂诚贤者也，然不可 相於秦。夫秦之有贤相，非楚国之利也。，且王前尝用召滑於越， 而内行章义之难， 越国乱，故楚南塞厉门 而郡江东。计 王之功所以能如此者，越国乱而楚治也。今王知用诸越而忘用诸秦， 臣以王为钜过矣。然则王若欲置相於秦，则莫若向寿者可。夫向寿之 於秦王，亲也，少与之同衣，长与之同车，以听事。王必相向寿於 秦，则楚国之利也。”	Đáp rằng: “Không được. Xét lẽ, bọn gác cổng như Sử Cử, Hạ Thái, chuyện lớn không đủ thờ đại vương, chuyện nhỏ không đủ giúp gia đình, kẻ cẩu thả ti tiện không thể có tiếng liêm khiết ở đời, Cam Mậu lại đối đãi rất cung thuận. Cho nên Huệ vương trí sáng suốt, Vũ vương giỏi xét đoán, Trương Nghi tài biện bác, Cam Mậu phụng sự họ, làm mười chức quan mà không hề phạm lỗi. Mậu thực hiền năng, nhưng không thể làm Thừa tướng nước Tần. Bởi Tần có tướng hiền, bất lợi cho Sở. Và trước đây đại vương từng dùng Triệu Hoạt nước Việt, Hoạt ngầm gây họa Chương Nghĩa, khiến Việt rối loạn, cho nên Sở phía nam vây khốn Lệ Môn, biến Giang Đông thành quận ấp. Xét công của đại vương chính là Việt loạn thì Sở yên vậy. Nay đại vương biết dùng người ở Việt mà quên việc dùng người ở Tần, thần cho là sai lầm của đại vương vậy. Nếu đại vương muốn đặt chức Thừa tướng ở Tần, không ai bằng Hướng Thọ. Bởi Hướng Thọ là chỗ thân thích với Tần vương, lúc nhỏ mặc chung áo, lớn lên ngồi chung xe, được nghe bàn chính sự. Đại vương phải để Hướng Thọ làm Thừa tướng nước Tần, mới có lợi cho Sở.”
於是使使请秦相向寿於秦。	Thế là Sở phái sứ sang đề nghị Tần cho Hướng Thọ làm Thừa tướng.
而甘 茂竟不得复入秦，卒於魏。	Còn Cam Mậu sau không được về Tần, chết ở Ngụy.
甘茂有孙曰甘罗。	Cam Mậu có cháu nội là Cam La.
甘罗者，甘茂孙也。	Cam La Cam La, cháu nội Cam Mậu.
茂既死後，甘罗年十二，事秦相文信侯吕不 韦。	Sau khi Mậu chết, Cam La mới mười hai tuổi, phụng sự Thừa tướng nước Tần là Văn Tín hầu Lã Bất Vi.
秦始皇帝使刚成君蔡泽於燕，三年而燕王喜使太子丹入质於秦。	Tần Thủy hoàng đế sại Cương Thành quân là Sái Trạch sang Yên, ba năm sau, Yên vương là Hỷ sai Thái tử Đan sang Tần làm con tin.
秦使张唐往相燕，欲与燕共伐赵以广河间之地。	Tần sai Trương Đường sang làm Thừa tướng nước Yên, muốn cùng Yên đánh Triệu để mở rộng đất Hà Gian.
张唐谓文信侯 曰：“臣尝为秦昭王伐赵，赵怨臣，曰：‘得唐者与百里之地。’今 之燕必经赵，臣不可以行。”	Trương Đường nói với Văn Tín hầu: “Tôi từng cùng Tần Chiêu vương đánh Triệu, Triệu oán tôi, nói: 'Ai bắt được Đường thưởng trăm dặm đất'. Nay sang Yên tất phải qua Triệu, tôi không thể đi được.”
甘罗 曰：“君侯何不快之甚也？”	Cam La hỏi: “Quân hầu sao không vui thế?”
甘罗曰：“臣请行之。”	Cam La nói: “Tôi xin thuyết phục ông ta.”
於是甘罗见张卿曰：“卿之功孰 与武安君？”	Thế rồi Cam La yết kiến Trường khanh, hỏi: “Công của ngài so với Vũ An quân, ai hơn?”
卿曰：“武安君南挫彊楚，北威燕、赵，战胜攻取，破 城堕邑，不知其数，臣之功不如也。”	Trương khanh đáp: “Vũ An quân nam thắng Sở hùng mạnh, bắc ra oai với Yên, Triệu, chiến thắng lập công, phá thành bạt ấp, không biết bao nhiêu, công của ta không bằng được.”
甘罗曰：“应侯之 用於秦也，孰与文信侯专？”	Cam La hỏi: “Ứng hầu được trọng dụng ở Tần, so với Văn Tín hầu, ai quyền hơn?”
甘罗 曰：“卿明知其不如文信侯专与？”	Cam La hỏi: “Ngài biết rõ mình không có quyền hành như Văn Tín hầu chăng?”
曰：“知之。”	Đáp: “Biết chứ.”
张唐曰：“请因孺子行。”	Trương Đường nói: “Xin theo lời chú bé mà lên đường.”
行有日，甘罗谓文信侯曰：“借臣车五乘，请为张唐先报 赵。”	[Trương Đường] đi được vài ngày, Cam La nói với Văn Tín hầu: “Cho tôi mượn năm cỗ xe, xin vì Trương Đường đến báo trước cho Triệu.”
文信侯乃入言之於始皇曰：“昔甘茂之孙甘罗，年少耳，然名 家之子孙，诸侯皆闻之。今者张唐欲称疾不肯行，甘罗说而行之。今 原先报赵，请许遣之。”	Văn Tín hầu bèn vào cung nói với Thủy hoàng: “Cháu nội Cam Mậu là Cam La tuổi còn nhỏ, nhưng là con cháu danh gia, chư hầu đều biết tiếng. Nay Trương Đường muốn thác bệnh không chịu đi, Cam La đã thuyết phục ông ta lên đường. Nay [Cam La] xin đi báo trước cho Triệu, hãy phái y đi.”
赵襄王郊迎甘罗。	Triệu Tương vương ra ngoài thành đón Cam La.
甘罗说赵王曰：“王闻燕太子丹入质秦欤？”	Cam La nói với Triệu vương: “Đại vương nghe việc Thái tử Đan nước Yên sang Tần làm con tin chưa?”
曰：“闻 之。”	Đáp: “Nghe rồi.”
曰：“闻张唐相燕欤？”	Hỏi: “Nghe Trương Đường sang làm Thừa tướng nước Yên chưa?”
曰：“闻之。”	Đáp: “Nghe rồi.”
“燕太子丹入秦者， 燕不欺秦也。张唐相燕者，秦不欺燕也。燕、秦不相欺者，伐赵，危 矣。燕、秦不相欺无异故，欲攻赵而广河间。王不如赍臣五城 以广河间，请归燕太子，与彊 赵攻弱燕。”	Cam La nói: “Việc Thái tử Đan nước Yên sang Tần, là Yên không dối Tần vậy. Việc Trương Đường sang làm Thừa tướng nước Yên, là Tần không dối Yên vậy. Việc Yên và Tần không dối nhau, cùng đánh Triệu, nguy đấy. Yên và Tần không dối nhau chẳng có nguyên do nào khác, muốn đánh Triệu để mở rộng vùng Hà Gian. Chẳng bằng đại vương ban cho thần năm thành để mở rộng vùng Hà Gian, cho Thái tử nước Yên trở về, cùng Triệu mạnh tấn công Yên yếu.”
