湣王时，单为临菑市掾， 不见知。	Thời Mẫn vương, Đan làm viên coi chợ tại Lâm Truy, không ai biết đến.
田单闻之，乃纵反间於 燕，宣言曰：“齐王已死，城之不拔者二耳。乐毅畏诛而不敢归，以 伐齐为名，实欲连兵南面而王齐。齐人未附，故且缓攻即墨以待其 事。齐人所惧，唯恐他将之来，即墨残矣。”	Điền Đan biết chuyện, bèn tung phản gián sang Yên, rêu rao rằng: “Tề vương đã chết, chỉ còn hai thành chưa hạ được. Nhạc Nghị sợ bị giết nên không dám về, lấy danh nghĩa đánh Tề, thực tâm muốn liên kết quân đội quay mặt về nam làm vua Tề. Người Tề chưa theo, nên chưa đánh Tức Mặc đợi họ quy thuận. Điều người Tề sợ chỉ là tướng khác đến thay, Tức Mặc sẽ bị phá.”
燕王以为然，使骑劫代 乐毅。	Yên vương cho là phải, sai Kỵ Kiếp thay Nhạc Nghị.
乐毅因归赵，燕人士卒忿。	Nhạc Nghị nhân đó về Triệu, quân sĩ nước Yên bất bình.
而田单乃令城中人食必祭其先祖於 庭，飞鸟悉翔舞城中下食。	Điền Đan bèn lệnh người trong thành khi ăn phải cúng tế tiên tổ ở sân, khiến chim bay trên trời thảy liệng vào thành để kiếm thức ăn.
燕人怪之。	Người Yên lấy làm lạ.
田单因宣言曰：“神来下教 我。”	Điền Đan nhân đó tung tin: “Thần xuống dạy ta.”
乃令城中人曰：“当有神人为我师。”	Bèn hạ lệnh người trong thành nói: “Sẽ có thần nhân xuống làm thầy ta.”
有一卒曰：“臣可以为 师乎？”	Một tên lính hỏi: “Tôi có thể làm thầy không?”
因反走。	Nói rồi quay đầu bỏ chạy.
田单乃起，引还，东乡坐，师事之。	Điền Đan đứng lên, dẫn trở lại, cho ngôi hướng đông, tôn làm thầy.
卒曰：“臣欺 君，诚无能也。”	Tên lính nói: “Tôi lừa ngài thôi, thực ra tôi không có tài cán gì.”
田单曰：“子勿言也！”	Điền Đan nói: “Ông chớ nói nữa!”
因师之。	Nhân đó tôn làm thầy.
每出约束，必称 神师。	Mỗi khi ban ra hiệu lệnh, đều xưng chủ ý của “thần sư”.
乃宣言曰：“吾唯惧燕军之劓所得齐卒，置之前行， 与我战，即墨败矣。”	Rồi rêu rao rằng: “Ta chỉ sợ quân Yên cắt mũi lính nước Tề, bắt đi lên hàng đầu, rồi đánh ta, Tức Mặc thua mất.”
燕人闻之，如其言。	Quân Yên nghe vậy, làm đúng như thế.
城中人见齐诸降者尽 劓，皆怒，坚守，唯恐见得。	Người trong thành thấy hàng quân Tề đều bị cắt mũi, thảy nổi giận, giữ thành vững, chỉ sợ bị bắt.
单又纵反间曰：“吾惧燕人掘吾城外冢 墓，僇先人，可为寒心。”	Đan lại tung phản gián nói: “Ta sợ người Yên quật mả tổ bọn ta ở ngoài thành, làm nhục tổ tiên, thực đáng sợ thay!”
燕军尽掘垄墓，烧死人。	Quân Yên đào hết mồ mả, thiêu đốt xác.
即墨人从城上望 见，皆涕泣，俱欲出战，怒自十倍。	Người Tức Mặc từ trên thành trông ra, thảy đều khóc, muốn ra đánh, giận gấp mười lúc trước.
田单知士卒之可用，乃身操版插， 与士卒分功，妻妾编於行伍之间，尽散饮 食飨士。	Điền Đan biết quân sĩ đã dùng được, bèn đích thân cầm thuổng cuốc, chịu nhọc cùng quân sĩ, biên thê thiếp vào quân ngũ, phát tán đồ ăn thức uống cho quân sĩ.
令甲卒皆伏，使老弱女子乘城，遣使约降於燕，燕军皆呼万 岁。	Lệnh lính mặc giáp núp kín, sai người già yếu, đàn bà con trẻ lên thành, sai sứ hẹn hàng nước Yên, quân Yên đều hô vạn tuế.
田单又收民金，得千溢，令即墨富豪遗燕将，曰：“即墨即降， 原无虏掠吾族家妻妾，令安堵。”	Điền Đan thu vàng của dân, được nghìn dật, lệnh các nhà giàu ở Tức Mặc tặng tưởng Yên, nói: “Tức Mặc sắp hàng, xin đừng bắt cướp thê thiếp gia tộc chúng tôi, để họ được yên.”
燕将大喜，许之。	Tướng Yên cả mừng, đồng ý.
田单乃收城中得千馀牛，为绛缯衣，画以五彩龙文，束兵刃於其 角，而灌脂束苇於尾，烧其端。	Điền Đan thu hơn nghìn con trâu trong thành, dùng lụa đỏ choàng làm áo, thảy vẽ hình rồng năm màu, gắn mũi nhọn ở sừng, buộc lau nhúng dầu ở đuôi, đốt đằng sau.
凿城数十穴，夜纵牛，壮士五千人随 其後。	Khoét mấy chục lỗ ở thành, đêm lùa trâu ra, năm nghìn tráng sĩ theo sau.
牛尾热，怒而奔燕军，燕军夜大惊。	Trâu đuôi nóng, lồng lộn phóng sang quân Yên, quân Yên ban đêm cả sợ.
燕军大骇，败走。	Quân Yên cả sợ, thua chạy.
齐人遂夷杀其将骑 劫。	Người Tề bèn đuổi giết tướng Yên là Kỵ Kiếp.
燕军扰乱奔走，齐人追亡逐北，所过城邑皆畔燕而归田单，兵日 益多，乘胜，燕日败亡，卒至河上， 而齐七十馀城皆复为齐。	Quân Yên rối loạn chạy trốn, người Tề đuổi theo, qua thành ấp nào cũng phản Yên theo Điền Đan, quân ngày một nhiều, thừa thắng, quân Yên ngày càng tan vỡ, cuối cùng chạy đến bên sông Hoàng Hà, hơn bảy mươi thành của Tề đều trở lại Tề.
乃迎襄王於莒，入临菑而听政。	Thế rồi [Điền Đan] đón Tương vương ở đất Cử về Lâm Truy nắm chính sự.
襄王封田单，号曰安平君。	Tương vương gia phong cho Điền Đan, phong hiệu là An Bình quân.
太史公曰：兵以正合，以奇胜。	Thái sử công bàn rằng: Dùng binh, một mặt là đánh chính diện, một mặt là dùng kỳ binh để thủ thắng.
善之者，出奇无穷。	Người giỏi dùng binh, xuất kỳ binh biến hóa khôn lường.
奇正还相生， 如环之无端。	Kỳ và chính chuyển hóa lẫn nhau, như vòng tròn không có đầu mối.
夫始如处女， 適人开户； 後如脱兔，適不 及距： 其 田单之谓邪！	Ban đầu e ấp như xử nữ, khiến địch mở cửa, sau nhanh như thỏ chạy thoát thân, địch không chống kịp. Điền Đan chính là thế chăng?
初，淖齿之杀湣王也，莒人求湣王子法章，得之太史嬓之家， 为人灌园。	Hồi đầu, Náo Xỉ giết Tề Mẫn vương, người đất Cử tìm con Mẫn vương là Pháp Chương, thấy ở nhà Thái sử Kiểu, làm người tưới cây trong vườn.
及莒人共立法章为齐王，以莒距燕，而太史氏女遂为后，所 谓“君王后”也。	Đến khi người đất Cử cùng lập Pháp Chương làm Tề vương, đem đất Cử chống Yên, con gái quan Thái sử được làm vương hậu, gọi là “Quân vương hậu”.
燕之初入齐，闻画邑人王蠋贤， 令军中曰“环画邑三十里无入”， 以王蠋之故。	Lúc Yên mới vào Tề, nghe nói ấp Hoạch có Vương Xúc hiền năng, lệnh trong quân rằng: “Trong vòng ba mươi dặm quanh ấp Hoạch, không ai được vào”, vì có Vương Xúc.
已而使人谓蠋曰：“齐人多高子之义，吾以子为将，封 子万家。”	Rồi sai người nói với Xúc rằng: “Người Tề phần nhiều coi trọng nghĩa khí của ông, ta cho ông làm tướng, phong cho vạn nhà.”
燕人曰：“子不听，吾引三军而屠画邑。”	Người Yên nói: “Ông không nghe, ta dẫn ba quân làm cỏ ấp Hoạch.”
王蠋 曰：“忠臣不事二君，贞女不更二夫。齐王不听吾谏，故退而耕於 野。国既破亡，吾不能存；今又劫之以兵为君将，是助桀为暴也。与 其生而无义，固不如烹！”	Vương Xúc nói: “Tôi trung thành không thờ hai vua, gái trinh liệt không lấy hai chồng. Tề vương không nghe lời ta can ngăn, nên ta lui về cày ruộng. Nước đã mất, ta chẳng thể bảo tồn, nay lại ép ta làm tướng, là giúp Kiệt làm điều bạo. Sống mà bất nghĩa, chẳng bằng bị nấu chết.”
齐亡大夫闻之， 曰：“王蠋，布衣也，义不北面於燕，况在位食禄者乎！” 乃相聚如 莒，求诸子，立为襄王。 军法以正，实尚奇兵。 断轴自免，反间先行。	Các đại phu lưu vong của Tề biết việc, nói: “Vương Xúc là kẻ áo vải, vì nghĩa không chịu xưng thần nước Yên, huống hồ những kẻ giữ chức ăn lộc!”
燕军由此益懈。	Quân Yên từ đó càng thêm trễ nải.
牛尾炬火光明炫燿，燕军 视之皆龙文，所触尽死伤。	Đuốc lửa sau đuôi trâu sáng rực, quân Yên trông thấy thảy là hình rồng, ai bị húc đều chết hoặc bị thương.
五千人因衔枚击之，而城中鼓譟从之，老 弱皆击铜器为声，声动天地。	Năm nghìn quân nhân đó ngậm tăm xông đánh, trong thành đánh trống hò hét trợ oai, người già yếu gõ vật dụng bằng đồng, tiếng vang động trời đất.
嬓女怜而善遇之。	Con gái Kiểu thương xót đối tốt với Pháp Chương.
後法章私以情告女，女遂 与通。	Sau, Pháp Chương đem cảnh ngộ nói cho biết, cô ta bèn tư thông với Chương.
遂经其颈於树枝，自 奋绝脰而死。	Bèn lấy dây treo cổ lên cành cây, tự thít cổ mà chết.
