吕不韦者，阳翟 大贾 人也。 往来贩贱卖贵， 家累千金。	Lã Bất Vi là nhà buôn lớn ở Dương Địch, qua lại các nơi mua rẻ bán đắt, nhà có ngàn vàng.
子楚乃顿首曰：“必如君策，请 得分秦国与君共之。”	Tử Sở bèn dập đầu nói: “Được như kế của ông, xin cùng ông chung hưởng nước Tần.”
吕不韦乃以五百金与子楚，为进用，结宾客；而复以五百金买奇 物玩好，自奉而西游秦，求见华阳夫人姊，而皆以其物献华阳夫人。	Lã Bất Vi bèn đưa cho Tử Sở năm trăm cân vàng, để tiêu dùng và kết giao tân khách; lại lấy năm trăm vàng mua của báu vật lạ, đích thân tây du mang sang Tần, cầu kiến chị của Hoa Dương phu nhân, đem các vật đó dâng lên Hoa Dương phu nhân.
因言子楚贤智，结诸侯宾客遍天下，常曰“楚也以夫人为天，日夜泣 思太子及夫人”。	Nhân đó nói Tử Sở tài trí hiền năng, kết giao tân khách chư hầu khắp thiên hạ, thường nói: “Sở này coi phu nhân là trời, ngày đêm khóc nhớ thái tử và phu nhân.”
夫人大喜。	Phu nhân cả mừng.
不韦因使其姊说夫人 曰：“吾闻之，以色事人者，色衰而爱弛。今夫 人事太子，甚爱而无子，不以此时蚤自结於诸子中贤孝者，举立以为 適而子之， 夫在则重尊，夫百岁之後，所 子者为王，终不失势，此所谓一言而万世之利也。不以繁华时树本， 即色衰爱弛後，虽欲开一语，尚可得乎？今子楚贤，而自知中男也， 次不得为適，其母又不得幸，自附夫人，夫人诚以此时拔以为適，夫 人则竟世有宠於秦矣。”	Bất Vi nhân đó nhờ người chị nói với phu nhân rằng: “Ta nghe nói, lấy sắc thờ người, sắc phai thì sủng ái giảm. Nay phu nhân thờ thái tử, rất được yêu nhưng lại không có con, không nhân lúc này chọn người con hiền tài hiếu thuận, lập làm đích tử, coi như con ruột, như thế chồng được trọng được tôn, sau khi chồng trăm tuổi, con đó làm vua, trọn đời không thất thế, đó gọi là một lời nói lợi muôn đời vậy. Không nhân lúc thịnh thời chăm gốc, đợi khi sắc phai, sủng ái giảm, tuy muốn mở miệng nói một lời, liệu có được không? Nay Tử Sở hiền năng, tự biết trong số các con trai, thứ không được làm đích, mẹ lại không được sủng ái, muốn dựa vào phu nhân, lúc này phu nhân cất nhắc làm đích, trọn đời phu nhân sẽ được trọng vọng ở Tần.”
华阳夫人以为然，承太子间，从容 言子楚质於赵者绝贤，来往者皆称誉之。	Hoa Dương phu nhân cho là phải, nhân lúc thư thả nói với thái tử, Tử Sở làm con tin ở Triệu rất mực hiền năng, kẻ qua người lại ai cũng khen ngợi.
乃因涕泣 曰：“妾幸得充後宫，不幸无子，原得子楚立以为適嗣，以讬妾 身。”	Rồi nhân đó khóc nói: “Thiếp may được vào hậu cung, bất hạnh không con, cầu xin thái tử lập Tử Sở làm con thừa tự, để thiếp gửi gắm thân này.”
安国君许之，乃与夫人刻玉符，约以为適嗣。	An Quốc quân đồng ý, rồi cùng phu nhân cho khắc ngọc phù, hẹn lập làm con đích tôn thừa tự.
安国君及夫人因 厚餽遗子楚，而请吕不韦傅之，子楚以此名誉益盛於诸侯。	An Quốc quân cùng phu nhân nhân đó cho Tử Sở nhiều của, nhờ Lã Bất Vi làm thầy. Vì thế, Tử Sở ngày càng có tăm tiếng chư hầu.
吕不韦取邯郸诸姬绝好善舞者与 居，知有身。	Lã Bất Vi lấy người vợ xinh đẹp, giỏi múa tại Hàm Đan, ở cùng, biết đã có mang.
子楚从不韦饮，见而说之，因起为寿，请之。	Tử Sở đến nhà Lã Bất Vi uống rượu, trông thấy rất thích, nhân đứng dậy chúc thọ, liền xin.
吕不韦 怒，念业已破家为子楚，欲以钓奇， 乃遂献其姬。	Lã Bất Vi giận, nghĩ mình đã phá tán gia sản vì Tử Sở, muốn câu món lạ, bèn hiến người vợ đó.
姬自匿有身，至大期时， 生 子政。 子楚遂立姬为夫人。	Người vợ giấu việc có mang, đến kỳ sinh nở, sinh ra Chính, Tử Sở bèn lập nàng làm phu nhân.
秦昭王五十年，使王齮围邯郸，急，赵欲杀子楚。	Tần Chiêu vương năm thứ năm mươi, sai Vương Ỷ vây Hàm Đan, nguy cấp, Triệu định giết Tử Sở.
子楚与吕不韦 谋，行金六百斤予守者吏，得脱，亡赴秦军，遂以得归。	Tử Sở cùng Lã Bất Vi bàn mưu, đem sáu trăm cân vàng cho viên lại trông giữ, trốn thoát, chạy đến chỗ quân Tần, rồi trở về được.
赵欲杀子楚 妻子，子楚夫人赵豪家女也，得匿，以故母子竟得活。	Triệu muốn giết vợ con Tử Sở, vợ Tử Sở là con gái hào phủ nước Triệu, được che giấu, nên mẹ con đều sống.
秦昭王五十六 年，薨，太子安国君立为王，华阳夫人为王后，子楚为太子。	Tần Chiêu vương năm thứ năm mươi sáu, qua đời, thái tử An Quốc quân lên làm vua, Hoa Dương phu nhân làm hoàng hậu, Tử Sở làm thái tử.
赵亦奉 子楚夫人及子政归秦。	Triệu cũng đưa vợ Tử Sở cùng con là Chính về nước Tần.
秦王立一年，薨，谥为孝文王。	Tần vương lên ngôi được một năm thì chết, thụy là Hiếu Văn vương.
太子子楚代立，是为庄襄王。	Thái tử Tử Sở nối ngôi, đó là Trang Tương vương.
庄 襄王所母 华阳后为华阳太后，真母夏姬尊以为夏太后。	Mẹ nuôi Trang Tương vương là Hoa Dương hoàng hậu làm Hoa Dương thái hậu, mẹ đẻ là Hạ Cơ được tôn làm Hạ thái hậu.
庄襄王元年，以吕不韦 为丞相， 封 为文信侯，食河南雒阳 十万户。	Trang Tương vương năm đầu, phong Lã Bất Vi làm Thừa tướng, phong tước Văn Tín hầu, hưởng mười vạn hộ ở Hà Nam, Lạc Dương.
庄襄王即位三年，薨，太子政立为王， 尊吕不韦为相国，号称“仲父”。	Trang Tương vương lên ngôi được ba năm thì chết, thái tử Chính lên làm vua, tôn Lã Bất Vi làm Trưởng quốc, xưng là “Trọng phụ”.
秦王年少，太后时时窃私通吕不韦。	Tần vương tuổi nhỏ, thái hậu thường lén tư thông với Lã Bất Vi.
不韦家僮万 人。	Nhà Lã Bất Vi có vạn nô bộc.
吕不韦以秦之彊，羞不如，亦招致 士，厚遇之，至食客三千人。	Lã Bất Vi xấu hổ, cho Tần hùng mạnh mà mình không bằng họ, cũng chiêu tập kẻ sĩ, đãi ngộ rất hậu, thực khách lên đến ba nghìn.
吕不韦乃使其客人人著所闻，集论以为八览、六论、十二纪， 二十馀万言。 以为备天地万物古今之 事，号曰吕氏春秋。 布咸阳 市门，悬千金其上，延诸侯游士宾客有能增 损一字者予千金。	Lã Bất Vi bèn sai môn khách viết ra những điều mình hiểu biết, tập hợp thành 8 lãm, 6 Luận, 12 kỷ, hơn hai mươi vạn chữ, cho rằng hội đủ các việc về trời đất, muôn vật, xưa nay, gọi là Lã thị xuân thu, ban bố ở cổng thành Hàm Dương, treo ngàn vàng bên trên, mời các du sĩ, tân khách chư hầu đến, ai thêm bớt một chữ được tặng ngàn vàng.
太后闻，果欲私得之。	Thái hậu hay tin, quả muốn có riêng Giao Ái.
吕不韦乃进嫪 毐，诈令人以腐罪告之。	Lã Bất Vi bèn dâng Giao Ái, vờ sai người tố cáo Ái phạm tội bị xử thiến.
不韦又阴谓太后 曰：“可事诈腐，则得给事中。”	Bất Vi Lại ngầm nói với thái hậu: “Có thể vờ thiến, cho làm Cấp sự trung.”
太后私与通，绝爱之。	Thái hậu cùng y tư thông, vô cùng yêu quý.
嫪毐家僮数千人，诸 客求宦为嫪毐舍人千馀人。	Nhà Giao Ái có mấy nghìn người hầu, khách đến chỗ Giao Ái cầu quan và môn hạ đến hơn nghìn người.
始皇七年，庄襄王母夏太后薨。	Thủy hoàng năm thứ bảy, mẹ Trang Tương vương là Hạ thái hậu chết.
夏太后子庄襄王 葬芷阳， 故夏 太后独别葬杜东， 曰“东望吾子，西望吾夫。後百年，旁当有万家邑”。	Con của Hạ thái hậu là Trang Tương vương táng ở Chỉ Dương, do đó Hạ Thái hậu táng riêng phía đông đất Đỗ, nói: “Đông trông con ta, tây nhìn chồng ta. Trăm năm sau, bên cạnh có ấp muôn nhà.”
与太后谋曰“王即薨，以子为後”。	Giao Ái bàn mưu với thái hậu: “Nhà vua chết, đưa con chúng ta lên thay.”
於是秦王下吏治，具得情实，事连相国吕不韦。	Vì thế Tần vương hạ lệnh quan lại tra xét, đều biết sự thực, việc liên quan Tướng quốc Lã Bất Vi.
诸嫪毐舍人皆没其 家而迁之蜀。	Các môn khách của Giao Ái đều bị thu gia sản rồi đày ra đất Thục.
秦王十年十月，免相国吕不韦。	Tần vương năm thứ mười, tháng Mười, bãi chức Tướng quốc của Lã Bất Vi.
及齐人茅焦说秦王，秦王乃迎太 后於雍，归复咸阳，而出文信侯就国河南。	Khi Mao Tiều người Tề thuyết phục Tần vương, Tần vướng bèn đón thái hậu ở đất Ung về Hàm Dương, rồi trục xuất Văn Tín hầu ra đất phong ở Hà Nam.
岁馀，诸侯宾客使者相望於道，请文信侯。 秦王恐其为变，乃赐 文信侯书曰：“君何功於秦？秦封君河南，食十万户。君何亲於秦？ 号称仲父。其与家属徙处蜀！”	Hơn năm sau, tân khách và sứ giả của chư hầu qua lại trên đường, thăm hỏi Văn Tín hầu, Tần vương sợ sinh biến, bèn ban thư cho Văn Tín hầu: “Ông có công gì với nước Tần? Tần phong cho ông ở Hà Nam, hưởng mười vạn hộ. Ông thân thích gì với nước Tần? Xưng là Trọng phụ? Ông và người nhà hãy rời đến đất Thục!”
吕不韦自度稍侵，恐诛，乃饮酖而 死。	Lã Bất Vi tự thấy bị bức ép, sợ bị giết, liền uống thuốc độc chết.
太史公曰：不韦及嫪毐贵，封号文信侯。	Thái sử công bàn rằng: Bất Vi cùng Giao Ái đều hiển quý, được phong Văn Tín hầu.
而吕不韦由此绌矣。	Còn Lã Bất Vi vì thế bị phế.
孔子之所谓“闻”者，其 吕子乎？ 不韦钓奇，委质子楚。 华阳立嗣，邯郸献女。 及封河南， 乃号仲父。	Cái Khổng tử gọi là “tiếng tăm” là chỉ hạng người như Lã tử chăng?
子楚心知所谓，乃引与坐，深语。	Tử Sở hiểu ý, bèn đưa vào ngồi cùng nói chuyện.
当是时，魏有信陵君， 楚有春申君，赵有平原君，齐有孟尝君， 皆下士喜宾客以相倾。	Bấy giờ, Ngụy có Tín Lăng quân, Sở có Xuân Thân quân, Triệu có Bình Nguyên quân, Tề có Mạnh Thường quân, đều khiêm hạ với kẻ sĩ, thích thâu nạp tân khách, cùng nhau đua tranh.
是时诸侯多辩士，如荀卿之徒，著书布 天下。	Khi ấy chư hầu có nhiều biện sĩ, như bọn Tuấn Khanh, viết sách truyền khắp thiên hạ.
吕不韦恐觉祸及己，乃私求大阴人嫪 毐以为舍人，时纵倡乐，使毐以其阴关桐轮而行， 令太后闻之，以啗太后。	Lã Bất Vi sợ việc bị phát giác thì họa đến mình, bèn ngầm tìm kẻ có dương vật lớn là Giao Ái, cho làm xá nhân, thường hát múa mua vui, sai Ái lấy dương vật tra vào bánh xe làm bằng gỗ cây đồng mà quay, khiến thái hậu biết chuyện, nhằm nhử thái hậu.
太后乃阴厚赐主腐者吏，诈论之， 拔其须眉为宦者，遂得侍太后。	Thái hậu bèn lén đưa nhiều bạc cho viên lại coi việc thiến, vờ luận tội, nhổ râu và lông mày cho làm hoạn quan, rồi được hầu thái hậu.
有身，太后恐 人知之，诈卜当避时，徙宫居雍。	Có mang, thái hậu sợ người khác biết, vờ bói quẻ cho là lúc nên tránh, dời cung ra đất Ung.
嫪毐常从，赏赐甚厚，事皆决於嫪毐。	Giao Ái thường đi theo, được thưởng rất hậu, mọi việc đều do Giao Ái quyết định.
孝文王后曰华阳太后，与孝文王 会葬寿陵。	Hiếu Văn hoàng hậu là Hoa Dương thái hậu, cùng Hiếu Văn vương hợp táng tại Thọ Lăng.
始皇九年，有告嫪毐实非宦者，常与太后私乱，生子二人，皆匿 之。	Thủy hoàng năm thứ chín, có người tố cáo Giao Ái thực sự không phải hoạn quan, thường tư thông với thái hậu, sinh được hai con, đều đem đi giấu.
九 月，夷嫪毐三族，杀太后所生两子，而遂迁太后於雍。	Tháng Chín, tru di ba họ Giao Ái, giết hai con do thái hậu sinh ra, rồi đầy thái hậu ra đất Ung.
王欲诛相 国，为其奉先王功大，及宾客辩士为游说者众，王不忍致法。	Tần vương định giết Tướng quốc, nhưng vì Lã Bất Vi phụng sự tiên vương lập nhiều công lớn, lại thêm tân khách, biện sĩ nhiều người thuyết phục, Tần vương không đành xử trí.
秦王所加 怒吕不韦、嫪毐皆已死，乃皆复归嫪毐舍人迁蜀者。	Những người Tần vương giận là Lã Bất Vi, Giao Ái đều đã chết, vua Tần bèn cho phép môn khách của Giao Ái bị đày đến đất Thục được trở về.
始皇十九年，太后薨，谥为帝太后， 与庄襄王会葬茝阳。	Thủy hoàng năm thứ mười chín, thái hậu chết, thụy là Đế thái hậu, chôn cùng Trang Tương vương ở Thần Dương.
始皇帝益壮，太后淫不止。	Tần Thủy hoàng dần lớn, thái hậu dâm loạn không thôi.
上之雍 郊，毐恐祸起，乃与党谋，矫太后玺发卒以反蕲年宫。 发吏攻毐，毐败亡走，追斩之好畤， 遂灭其宗。	Vua đến đất Ung tế giao, Ái sợ sinh họa, bèn mưu cùng đồ đảng, trộm ngọc tỷ của thái hậu, làm phản ở cung Kỳ Niên, Tần vương phái binh đánh Ái, Ái thua bỏ chạy, bị đuổi chém ở Hảo Chỉ, rồi giết cả họ.
秦王验左右，未发。	Tần vương hỏi tả hữu để kiểm chứng, chưa vạch tội trạng.
