陈丞相平者，阳武户牖乡人也。	Thừa tướng Trần Bình người hưởng Hộ Dũ, Dương Vũ.
陈平曰：“项王为人，恭敬爱人，士之廉节好礼者多归之。至 於行功爵邑，重之，士亦以此不附。今大王慢而少礼，士廉节者不 来；然大王能饶人以爵邑，士之顽钝嗜利 无耻者亦多归汉。诚各去其两短，袭其两长，天下指麾则定矣。然大 王恣侮人，不能得廉节之士。顾楚有可乱者，彼项王骨鲠之臣亚父、 锺离眛、龙且、周殷之属，不过数人耳。大王诚能出捐数万斤金，行 反间，间其君臣，以疑其心，项王为人意忌信谗，必内相诛。汉因举 兵而攻之，破楚必矣。”	Trần Bình đáp: “Hạng lương là người cung kính yêu người, kẻ sĩ thanh liêm khí tiết ham lễ phần nhiều theo ông ta. Nhưng [Hạng vương] lại coi trọng việc thưởng công, ban tước, phong ấp, kẻ sĩ cũng vì thế không quy thuận. Nay đại vương ngạo mạn mà ít trọng lễ, kẻ sĩ thanh liêm tiết tháo không theo, nhưng đại vương có thể rộng lòng ban tước vị, ấp phong cho người, kẻ sĩ có tài nhưng kém bề phẩm cách, hám lợi vô sỉ lại phần nhiều theo Hán. Nếu các bên bỏ hai điều sở đoản, theo hai điều sở trường, chỉ cần phất cờ là bình định được thiên hạ. Song đại vương tự ý khinh người, không thể có được những kẻ sĩ thanh liêm tiết tháo. Xét thấy có thể gây loạn cho Sở, những bề tôi cứng cỏi khí cốt dưới trướng Hạng vương kia chỉ có đám Á phụ, Chung Ly Muội, Long Thư, Chu Ân, không quá mấy người. Nếu đại vương có thể bỏ ra mấy vạn cân vàng, thi hành kế phản gián, ly gián vua tôi họ, để họ có bụng ngờ nhau, Hạng vương là người hay ngờ, tin lời gièm pha, ắt bên trong sẽ giết nhau. Hán thừa cơ cất quân tiến đánh, ắt phá được Sở.”
汉王以为然，乃出黄金四万斤，与陈平，恣 所为，不问其出入。	Hán vương cho là phải, bèn bỏ ra bốn vạn cân vàng, giao cho Trần Bình, để mặc ý sử dụng, không hỏi xem chi tiêu thế nào.
陈平既多以金纵反间於楚军，宣言诸将锺离眛等为项王将，功多 矣，然而终不得裂地而王，欲与汉为一，以灭项氏而分王其地。	Sau khi Trần Bình được nhiều vàng liền tung phản gián sang quân Sở, rêu rao rằng các tướng như bọn Chung Ly Muội làm tướng cho Hạng vương, công nhiều mà rốt cuộc không được cắt đất phong vương, muốn hợp nhất với Hán, để diệt họ Hạng rồi chia đất xưng vương.
项王既疑之，使使至汉。	Sau khi Hạng vương đã nghi ngờ họ, liền sai sứ đến nhà Hán.
汉王为太牢具，举进。	Hán vương làm cỗ Thái lao dâng lên.
见楚使，即详惊曰：“吾以为亚父使，乃项王使！”	[Hán vương] thấy sứ giả của Sở vương, liền vờ kinh ngạc nói: “Ta tưởng sứ giả của Á phụ, thì ra là sứ giả của Hạng vương!”
楚使归，具以报项王。	Sứ giả nước Sở trở về, hồi báo mọi chuyện với Hạng vương.
亚父欲急攻下荥阳城，项王不信，不肯听。	Á phụ muốn đánh hạ thành Huỳnh Dương thật gấp, Hạng vương không tin, không chịu nghe theo.
亚父闻项王疑之， 乃怒曰：“天下事大定矣，君王自为之！原请骸骨归！”	Á phụ thấy Hạng vương ngờ mình, bèn giận nói: “Việc thiên hạ gần xong cả rồi, quân vương hãy tự liệu lấy! Xin mang nắm xương tàn trở về!”
归未至彭 城，疽发背而死。	Về chưa đến Bình Thành, phát nhọt trên lưng mà chết.
陈平乃夜出女子二千人荥阳城东门，楚因击之，陈 平乃与汉王从城西门夜出去。	Trần Bình nhân ban đêm cho hai nghìn phụ nữ ra cổng phía đông thành Huỳnh Dương, Sở bèn đánh vào cửa đông, Trần Bình liền cùng Hán vương ban đêm chạy ra từ cửa tây.
其明年，淮阴侯破齐，自立为齐王，使使言之汉王。	Năm sau, Hoài Âm hầu [Hàn Tín] phá được Tề, tự lập làm Tề vương, sai sứ giả nói với Hán vương.
汉王大怒而 骂，陈平蹑汉王。	Hán vương cả giận mắng chửi, Trần Bình hích chân Hán vương.
汉王亦悟，乃 厚遇齐使，使张子房卒立信为齐王。	Hán vương hiểu ra, bèn khoản đãi hậu hĩnh cho sứ Tề, sai bọn Trương Tử Phòng [Trương Lương] lập Tín làm Tề vương.
常以护军中尉从定燕王臧荼。	[Bình] từng lấy thân phận Hộ quân trung úy theo [Hán vương] bình định Yên vương Tang Đồ.
问陈平，平固辞谢，曰：“诸将云 何？”	Hỏi Trần Bình, Bình cố từ tạ, hỏi: “Các tướng nói sao?”
陈平曰：“人之上书言信反，有知之者 乎？”	Trần Bình hỏi: “Có ai biết việc có người dâng thư nói Tín làm phản chưa?”
曰：“未有。”	Đáp: “Chưa có.”
曰：“信知之乎？”	Hỏi: “Tín có biết việc ấy không?”
曰：“不知。”	Đáp: “Không biết.”
陈平 曰：“陛下精兵孰与楚？”	Trần Bình hỏi: “Quân của bệ hạ có tinh nhuệ bằng Sở không?”
上曰：“不能过。”	Hoàng thượng đáp: “Không hơn được.”
平曰：“陛下将用兵 有能过韩信者乎？”	Bình hỏi: “Trong các tướng của bệ hạ có ai dùng binh hơn được Hàn Tín không?”
上曰：“莫及也。”	Hoàng thượng đáp: “Không ai bằng được.”
平曰：“今兵不如楚精，而 将不能及，而举兵攻之，是趣之战也，窃为陛下危之。”	Bình nói: “Nay quân không tinh nhuệ bằng Sở, tướng không giỏi bằng mà cất quân đánh [Tín], đó là thúc [Tín] phải đánh, trộm thấy nguy thay cho bệ hạ.”
上曰：“为 之柰何？”	Hoàng thượng hỏi: “Phải làm thế nào?”
平曰：“古者天子巡狩，会诸侯。南方有云梦，陛下弟出 伪游云梦，会诸侯於陈。 陈，楚之西界， 信闻天子以好出游，其势必无事而郊迎谒。谒，而陛下因禽之， 此特一力士之事耳。”	Bình đáp: “Thời xưa, thiên tử đi tuần thú, hội họp chư hầu. Phương nam có đầm Vân Mộng, bệ hạ hãy vờ ra du ngoạn đầm Vân Mộng, hội chư hầu ở đất Trần. Trần nằm ở biên giới phía tây nước Sở, Tín nghe tin thiên tử cao hứng xuất du, theo tình thế đó ắt cho là vô sự rồi ra ngoài nghinh đón. [Khi Tín] yết kiến, bệ hạ thừa cơ bắt lấy, việc này chỉ cần một lực sĩ thôi.”
高帝以为然，乃发使告诸侯会陈，“吾将南游 云梦”。	Cao đế cho là phải, bèn sai sứ báo với chư hầu hội họp ở đất Trần, báo rằng “Ta sẽ du ngoạn đến đầm Vân Mộng ở phương nam”.
上因随以行。	Hoàng thượng nhân đó lên đường.
行未至陈，楚王信果郊迎道中。	Đi chưa đến đất Trần, Sở vương Hàn Tín quả nhiên ra ngoài nghinh đón trên đường.
高帝豫具武 士，见信至，即执缚之，载後车。	Cao đế chuẩn bị sẵn võ sĩ, thấy Tín đến, liền bắt trói ngay, chở ở xe sau.
信呼曰：“天下已定，我固当 烹！”	Tín hô lên rằng: “Thiên hạ đã bình định, ta vốn đáng bị nấu!”
高帝顾谓信曰：“若毋声！而反，明矣！”	Cao đế quay lại bảo Tín: “Mày chớ kêu! Mày phản, rõ ràng rồi!”
武士反接之。	Võ sĩ trói quặt tay Tín.
遂会诸侯于陈，尽定楚地。	Rồi hội chư hầu ở đất Trần, bình định hết đất Sở.
於是与平剖符，世世勿绝，为户牖侯。	Thế rồi chẻ lệnh phủ ban cho Bình, đời đời không dứt, làm Hộ Dũ hầu.
平辞曰：“此非臣之功 也。”	Bình từ tạ rằng: “Đó không phải công của thần vậy.”
上曰：“吾用先生谋计，战胜剋敌，非功而何？”	Hoàng thượng nói: “Ta dùng mưu kế của tiên sinh, đánh thắng quân địch, không công thì là gì?”
平曰：“非 魏无知臣安得进？”	Bình nói: “Không có Ngụy Vô Tri, sao thần được tiến cử?”
上曰；“若子可谓不背本矣。”	Hoàng thượng nói: “Như ông có khá gọi là không quên gốc đấy.”
乃复赏魏无知。	Bèn lại ban thưởng cho Ngụy Vô Tri.
其明年，以护军中尉从攻反者韩王信於代。	Năm sau, lấy thân phận Hộ quân trung úy theo đi đánh Hàn vương Tín làm phản ở đất Đại.
卒至平城，为匈奴所围， 七日不得食。	Rốt cuộc đến Bình Thành, bị Hung Nô vây khốn, bảy ngày không được ăn.
高帝用陈平奇计，使单于阏氏， 围以得开。	Cao đế dùng kế lạ của Trần Bình, sai sứ đến gặp Yên chi của Thiền vu, nhờ đó được mở vây.
高帝南过曲逆， 上其城，望见其屋室甚大，曰：“壮哉县！吾行天下，独见洛阳 与是耳。”	Cao đế xuống phía nam qua Khúc Nghịch, lên thành, trông thấy nhà cửa rất lớn, nói: “Huyện này tráng lệ thay! Ta đi khắp thiên hạ, chỉ thấy Lạc Dương là nơi này thôi.”
顾问御史曰：“曲逆户口几何？”	Quay lại hỏi Ngự sử rằng: “Khúc Nghịch hộ khẩu bao nhiêu?”
对曰：“始秦时三万馀 户，间者兵数起，多亡匿，今见五千户。”	Thưa rằng: “Ban trước hồi nhà Tần có trên ba vạn hộ, gần đây chiến tranh liên miên, phần lớn trốn đi ẩn náu, hiện có năm nghìn hộ.”
於是乃诏御史，更以陈平 为曲逆侯，尽食之，除前所食户牖。	Thế là bèn hạ chiếu cho Ngự sử, đổi phong Trần Bình làm Khúc Nghịch hầu, hưởng toàn bộ thuế khóa trong huyện, bỏ ấp phong trước đây ở Hộ Dũ.
其後常以护军中尉从攻陈豨及黥布。	Về sau, [Trần Bình] thường lấy thân phận Hộ quân trung úy theo đánh Trần Hy và Kình Bố.
奇计或颇祕，世莫能闻也。	Kế lạ có khi rất bí mật, trên đời không ai biết được.
高帝怒曰：“哙见吾病，乃冀 我死也。”	Cao đế giận nói: “Khoái thấy ta ốm, bèn mong ta chết.”
二人既受诏，驰传未至军，行计之 曰：“樊哙，帝之故人也，功多，且又乃吕后弟吕嬃之夫，有亲且 贵，帝以忿怒故，欲斩之，则恐後悔。宁囚而致上，上自诛之。”	Sau khi hai người nhận chiếu, cùng nhau phóng ngựa trạm, còn chưa đến trong quân, thì trên đường đi mới bàn với nhau rằng: “Phàn Khoái là bạn cũ của Hoàng đế, công nhiều, hơn nữa lại là chồng của em gái Lã hậu là Lã Tu, đã thân lại sang, Hoàng đế chỉ vì tức giận, muốn chém Khoái, sợ sau hối lại. Chẳng thà bỏ tù rồi đưa về cho hoàng thượng, để hoàng thượng tự giết Khoái.”
未 至军，为坛，以节召樊哙。	Còn chưa đến trong quân, lên đàn, dùng phù tiết triệu Phàn Khoái.
平行闻高帝崩，平恐吕太后及吕嬃谗怒，乃驰传先去。	Trên đường trở về Bình nghe tin Cao đế băng hà, Bình sợ Lã Thái hậu và Lã Tu nghe lời gièm pha giận mình, bèn phóng ngựa trạm đi trước.
逢使者诏 平与灌婴屯於荥阳。	Gặp sứ giả truyền chiếu cho Bình và Quán Anh đồn quân ở Huỳnh Dương.
平受诏，立复驰至宫，哭甚哀，因奏事丧前。	Bình nhận chiếu, lập tức lại phóng ngựa đến cung, khóc lóc rất đau đớn, nhân đó tâu việc liên quan đến Phàn Khoái trước đám tang.
吕 太后哀之，曰：“君劳，出休矣。”	Lã Thái hậu thương xót, nói: “Ông vất vả rồi, hãy ra ngoài nghỉ ngơi đi.”
平畏谗之就，因固请得宿卫中。	Bình sợ bị gièm pha, nhân đó cố xin làm Túc vệ trong cung.
太后乃以为郎中令，曰：“傅教孝惠。”	Thái hậu bèn cho làm Lang trung lệnh, nói: “Hãy phụ giúp, dạy bảo Hiếu Huệ.”
是後吕嬃谗乃不得行。	Từ đấy về sau Lã Tu không gièm pha được nữa.
孝惠帝六年，相国曹参卒，以安国侯王陵为右丞相， 陈平为左丞相。	Hiếu Huệ đế năm thứ sáu, Tướng quốc Tào Tham chết, lấy An Quốc hầu Vương Lăng làm Hữu thừa tướng, Trần Bình làm Tả thừa tướng.
王陵者，故沛人，始为县豪，高祖微时，兄事陵。	Vương Lăng vốn người huyện Bái, trước đây là nhà phú hào trong huyện. Cao tổ lúc còn hàn vi, đối đãi với Lăng như anh.
及高祖起沛，入至咸阳，陵亦自聚党数千人，居南阳， 不肯从沛公。	Đến khi Cao tổ nổi dậy ở đất Bái, vào đến Hàm Dương, Lăng cũng tự tụ tập được mấy nghìn đồng đảng, đóng ở Nam Dương, không chịu theo Bái công.
及汉王之还攻项籍，陵乃以兵属汉。	Đến khi Hán vương về đánh Hạng Tịch, Lăng bèn đem quân theo Hán.
项羽取陵母置军 中，陵使至，则东乡坐陵母，欲以招陵。	Hạng Vũ bắt được mẹ Lăng an trí ở trong quân, sứ của Lăng tới, cho mẹ Lăng ngồi quay về hướng đông, định để gọi Lăng đến.
陵母既私送使者，泣 曰：“为老妾语陵，谨事汉王。汉王，长者也，无以老妾故，持二 心。妾以死送使者。”	Mẹ Lăng khi tiễn riêng sứ giả, khóc nói: “Xin vì mụ già này nói với Lăng, cẩn trọng phụng thờ Hán vương. Hán vương là bậc trưởng giả, đừng vì mụ già này mà hai lòng. Già này xin lấy cái chết để tiễn sứ giả.”
遂伏剑而死。	Bèn đâm kiếm rồi chết.
项王怒，烹陵母。	Hạng vương giận, nấu mẹ Lăng.
陵卒从汉王定 天下。	Lăng rốt cuộc theo Hán vương bình định thiên hạ.
高后欲立诸吕为王，问王 陵，王陵曰：“不可。”	Cao hậu muốn lập những người họ Lã làm vương, hỏi Vương Lăng, Vương Lăng nói: “Không được.”
问陈平，陈平曰：“可。”	Hỏi Trần Bình, Trần Bình nói: “Được.”
陵怒，谢疾免，杜门竟不朝请，七年而 卒。	Lăng giận, các bệnh từ quan, rốt cuộc đóng cửa không vào chầu, được bảy năm thì chết.
陵之免丞相，吕太后乃徙平为右丞相，以辟阳侯审食其为左丞 相。	Sau khi Lăng thôi giữ chức Thừa tướng, Lã Thái hậu bèn đổi phong Bình làm Hữu thừa tướng, phong Tịch Dương hầu Thẩm Dị Cơ làm Tả thừa tướng.
左丞相不治，常给事於中。	Tả thừa tướng không giải quyết công việc [tại phủ], thường lo việc trong cung.
其後从破项籍为侯，幸於吕太后。	Về sau theo đi đánh phá Hạng Tịch, được phong tước hầu, được Lã Thái hậu tin yêu.
及为相，居中，百官 皆因决事。	Đến khi làm Thừa tướng, ở trong cung, việc của trăm quan đều thông qua Dị Cơ để quyết định.
吕嬃常以前陈平为高帝谋执樊哙，数谗曰：“陈平为相非治事， 日饮醇酒，戏妇女。”	Lã Tu thường đem việc trước đây Trần Bình vì Cao đế bàn mưu bắt Phàn Khoái, nhiều lần gièm pha rằng: “Trần Bình làm Thừa tướng mà không lo công việc, hằng ngày uống rượu ngon, chơi đùa với đàn bà.”
陈平闻，日益甚。	Trần Bình nghe vậy, càng làm quá hơn.
吕太后闻之，私独喜。	Lã Thái hậu nghe nói thế thì mừng thầm.
面质 吕嬃於陈平曰：“鄙语曰‘兒妇人口不可用’，顾君与我何如耳。无 畏吕嬃之谗也。”	[Lã hậu] nói với Trần Bình trước mặt Lã Tu rằng: “Ngạn ngữ nói: 'Miệng đàn bà con trẻ, không thể tin được', chỉ cốt ông với ta thế nào thôi. Đừng sợ lời gièm pha của Lã Tu.”
吕太后立诸吕为王，陈平伪听之。	Lã Thái hậu lập những người họ Lã làm vương, Trần Bình vờ nghe theo.
孝文帝立，以为太尉勃亲以兵诛吕氏，功多；陈平欲让勃尊位， 乃谢病。	Hiếu Văn đế lên ngôi, cho rằng Thái úy Chu Bột đích thân cầm quân giết họ Lã, có nhiều công lao; Trần Bình muốn nhường Chu Bột vị trí cao, bèn cáo bệnh.
平曰：“高祖时，勃功不如臣 平。及诛诸吕，臣功亦不如勃。原以右丞相让勃。”	Bình nói: “Thời Cao tổ, công của Bột không bằng Bình. Đến khi giết người họ Lã, công thần không bằng Bột. Xin đem chức Hữu thừa tướng nhường cho Bột.”
於是孝文帝乃以 绛侯勃为右丞相，位次第一；平徙为左丞相，位次第二。	Thế là Hiếu Văn đế bèn phong Giáng hầu Chu Bột làm Hữu thừa tướng, đứng vị trí thứ nhất; Bình chuyển làm Tả thừa tướng, đứng vị trí thứ hai.
赐平金千 斤，益封三千户。	Tặng cho Bình nghìn cân vàng, phong thêm ba nghìn hộ.
居顷之，孝文皇帝既益明习国家事，朝而问右丞相勃曰：“天下 一岁决狱几何？”	Không lâu sau, Hiếu Văn Hoàng đế đã quen dần với chính sự quốc gia, lâm triều hỏi Hữu thừa tướng Chu Bột rằng: “Thiên hạ một năm xét xử bao nhiêu vụ hình ngục?”
勃谢曰：“不知。”	Bột tạ lỗi rằng: “Không biết.”
问：“天下一岁钱穀出入几 何？”	Hỏi: “Thiên hạ một năm tiền thóc xuất ra nhập vào bao nhiêu?”
於是上亦问左丞相平。	Thế rồi hoàng thượng cũng hỏi Tả thừa tướng Trần Bình.
平 曰：“有主者。”	Bình nói: “Có người chủ quản việc đó.”
上曰：“主者谓谁？”	Hoàng thượng hỏi: “Ai chủ quản?”
上曰：“苟各有主者，而君所主者何 事也？”	Hoàng thượng hỏi: “Nếu việc gì cũng có chủ quản, vậy ông chủ về việc gì?”
