绛侯周勃者，沛人也。 其先卷人， 徙沛。	Giáng hầu Chu Bột là người huyện Bái. Tổ tiên là người huyện Khuyên, [sau] rời đến huyện Bái.
以前至武泉， 击胡 骑，破之武泉北。	Đi trước đến Vũ Tuyền, đánh kỵ binh người Hồ, phá được quân Hồ ở phía bắc Vũ Tuyền.
转攻韩信军铜鞮， 破之。	Chuyển sang đánh quân của Hàn vương Tín ở Đồng Đề, phá được.
还，降太原六 城。	Trở về, hàng phục sáu thành ở Thái Nguyên.
击韩信胡骑晋阳下，破之， 下晋阳。	Đánh kỵ binh người Hồ của Hàn vương Tín dưới thành Tấn Dương, phá được, hạ thành Tấn Dương.
後击韩信军於硰石， 破之，追北八十里。	Sau, lại đánh quân Hàn vương Tín ở Sa Thạch, phá được, đuổi theo lên phía bắc tám mươi dặm.
还攻楼烦 三城，因击胡骑平城 下，所将 卒当驰道为多。	Trở về tấn công ba thành của Lâu Phiền, thừa thế đánh kỵ binh người Hồ dưới Bình Thành, các tướng lĩnh, sĩ tốt của Chu Bột phóng ngựa trên đường, lập nhiều chiến công.
勃迁为太尉。	Bột được thăng làm Thái úy.
击陈豨，屠马邑。	Tiến đánh Trần Hy, làm cỏ cả Mã ấp.
定雁门郡十七县，云中郡十二县。	Bình định mười bảy huyện ở quận Nhạn Môn, mười hai huyện ở quận Vân Trung.
因复 击豨灵丘， 破之，斩豨，得豨丞相程纵、将军陈武、都 尉高肆。	Nhân đó lại đánh quân của Trần Hy ở Linh Khâu, phá được, chém Hy, bắt được Thừa tướng của Hy là Trình Tung, Tướng quân Trần Vũ, Đô úy Cao Tứ.
定代郡九县。	Bình định chín huyện ở Đại Quận.
破绾军上兰， 复击破绾军沮阳。	Phá quân của Oản ở Thượng Lan, lại đánh phá quân của Oản ở Trở Dương.
追至长城， 定上谷十二县，右北平十 六县，辽西、辽东二十九县，渔阳二十二县。	Đuổi đến Trường Thành, bình định mười hai huyện ở Thượng Cốc, mười sáu huyện ở Hữu Bắc Bình, hai mươi chín huyện ở Liêu Tây và Liêu Đông, hai mươi hai huyện ở Ngư Dương.
最从高帝 得相国一人，丞相二人，将军、二 千石各三人；别破军二，下城三，定郡五，县七十九，得丞相、大将 各一人。	Công lớn nhất là theo Cao đế bắt được một Tướng quốc, hai Thừa tướng, Tướng quân và quan trật Nhị thiên thạch mỗi hạng ba người; bản thân phá được hai cánh quân, hạ ba thành, bình định năm quận, bảy mươi chín huyện, bắt được một Thừa tướng và một Đại tướng.
勃为人木彊敦厚，高帝以为可属大事。	Bột là người thẳng thắn, đôn hậu, Cao đế cho là có thể giao phó việc lớn.
勃既定燕而归，高祖已崩矣，以列侯事孝惠帝。	Sau khi Bột bình định nước Yên trở về, Cao tổ đã băng hà, lấy thân phận liệt hầu thờ Hiếu Huệ đế.
十岁，高后崩。	Mười năm sau, Cao hậu băng hà.
勃 为太尉，不得入军门。	Bột làm Thái úy, không được vào cửa quân doanh.
岁馀，丞相平卒，上复以勃为丞相。	Được hơn năm, Thừa tướng Trần Bình chết, hoàng thượng lại phong Bột làm Thừa tướng.
岁馀，每河东守尉行县至绛，绛侯勃自畏恐诛，常被甲，令家人 持兵以见之。	[Đến đất phong] được hơn một năm, mỗi khi Quận thú, Quận úy Hà Đông đến huyện Giang, Giáng hầu Bột tự sợ bị giết, thường mặc giáp, sai gia nhân cầm binh khí để gặp họ.
其後人有上书告勃欲反， 下廷尉。	Về sau, có người dâng thư lên hoàng thượng tố cáo Bột định làm phản, [hoàng thượng] giao cho Đình úy xử lý.
廷尉下其事长安，逮捕勃治之。	Đình úy giao việc đó xuống cho Trường An phụ trách, rồi bắt Bột trị tội.
及系急，薄昭为言薄太后，太后亦以为无反 事。	Đến khi bị giam cầm nguy cấp, Bạc Chiêu nói với Bạc Thái hậu, Thái hậu cũng cho là không có việc [Bột] làm phản.
於是使使持节赦绛侯，复爵邑。	Thế rồi sai sứ mang phù tiết đến xá miễn cho Giáng hầu, khôi phục tước vị và ấp phong.
绛侯复就国。	Giáng hầu lại về nước phong.
孝文帝十一年卒，谥为武侯。	Năm Hiếu Văn đế thứ mười một, Bột chết, thụy là Vũ hầu.
子胜之代侯。	Con là Thắng Chi kế thừa tước hầu.
六岁， 尚公主，不相中，坐杀人，国除。	Được sáu năm, phụng sự Công chúa, không hòa thuận với nhau, mắc tội giết người, nước phong bị phế.
绝 一岁，文帝乃择绛侯勃子贤者河内守亚夫，封为条侯， 续 绛侯後。	Tước vị bị tước một năm, Văn đế bèn chọn một người con hiền năng trong các con của Giáng hầu Bột là Á Phu cho làm Quận thú Hà Nội, phong làm Điều hầu, kế tục tước vị của Giáng hầu.
居三岁，其兄绛侯胜之有罪，孝文帝择绛 侯子贤者，皆推亚夫，乃封亚夫为条侯，续绛侯後。	Được ba năm, người anh của Á Phu là Giáng hầu Thắng Chi có tội, Hiếu Văn đế chọn con hiền năng của Giáng hầu, thảy đều tiến cử Á Phu, bèn phong Á Phu làm Điều hầu, kế tục tước phong của Giáng hầu.
天子先驱至，不得入。	Đội dẫn đầu của thiên tử đến nơi, không được vào.
称善者久之。	Tấm tắc khen ngợi hồi lâu.
月馀，三军皆罢。	Hơn tháng sau, ba cánh quân đều bãi bỏ.
乃拜亚夫为中尉。	Bèn phong Á Phu làm Trung úy.
文 帝崩，拜亚夫为车骑将军。	Văn đế băng hà, [Hiếu Cảnh đế] phong Á Phu làm Xa kỵ tướng quân.
亚夫以中尉为太尉， 东击吴楚。	Á Phu lấy thân phận Trung úy làm Thái úy sang phía đông đánh Ngô, Sở.
太尉既会兵荥阳，吴方攻梁，梁急，请救。	Sau khi Thái úy hội quân ở Huỳnh Dương, quân Ngô đang tấn công nước Lương, nước Lương nguy cấp, xin cứu viện.
夜，军中惊，内相攻击扰乱，至於太尉帐 下。	Ban đêm, quân doanh có động, trong quân đánh nhau náo loạn, kéo đến dưới trướng Thái úy.
顷之，复定。	Lát sau, lại yên.
太尉出精兵追击，大破之。	Thái úy đem tinh binh đuổi đánh, cả phá được.
月 馀，越人斩吴王头以告。	Hơn tháng sau, người nước Việt chém được đầu Ngô vương đem đến trình báo.
由此梁孝王与太尉有卻。	Từ đó Lương Hiếu vương nảy sinh hiềm khích với Thái úy.
归，复置太尉官。	Trở về, lại giữ chức Thái úy.
五岁，迁为丞相，景帝甚重之。	Năm năm sau, thăng làm Thừa tướng, Cảnh đế rất coi trọng ông.
其後匈奴王徐卢等五人降，景帝欲侯之以劝後。	Về sau, [thuộc hạ của] vua Hung Nô là bọn Duy Từ Lô năm người đến hàng, Cảnh đế định phong hầu cho họ để khuyến khích người sau.
乃悉封徐卢等为列侯。	Bèn phong tước hầu cho cả bọn Duy Từ Lô.
顷之，景帝居禁中，召条侯，赐食。	Một thời gian sau, Cảnh đế triệu kiến Điều hầu vào cung cấm, ban ăn.
初，吏捕条侯，条侯欲自杀，夫人止之，以故不得死，遂入廷尉。	Ban đầu, Đình úy bắt Điều hầu, Điều hầu định tự sát, phu nhân ngăn lại, vì thế không chết, rồi bị đưa vào ngục của Đình úy.
绝一岁，景帝乃更封绛侯勃他子坚为平曲侯，续绛侯後。	Đứt quãng một năm, Cảnh đế bèn đổi phong cho con khác của Giáng hầu Bột là Kiên làm Bình Khúc hầu, kế thừa tước hầu của Giáng hầu.
十九年 卒，谥为共侯。	Được mười chín năm thì chết, thụy là Cung hầu.
死後，景帝乃封王信为盖侯。	Sau khi chết, Cảnh đế bèn phong Vương Tín làm Cái hầu.
攻颍阳、缑氏，绝河津。	Tấn công Dĩnh Dương, Câu Thị, chặn bến Hoàng Hà.
攻槐里、好畤， 最。	Tấn công Hòe Lý, Hảo Chỉ, công lao lớn nhất.
击韩信、陈豨、赵利军於楼烦，破 之。	Đánh quân của Hàn vương Tín, Trần Hy, Triệu Lợi ở Lâu Phiền, phá được.
得豨将宋最、雁门守■。	Bắt được tướng của Hy là Tống Tối và Quận thú Nhạn Môn là Hỗn.
燕王卢绾反，勃以相国代樊哙将，击下蓟，得绾大将抵、丞相 偃、守陉、太尉弱、御史大夫施， 屠浑都。	Yên vương Lư Oản làm phản, Bột lấy thân phận Tướng quốc thay Phàn Khoái cầm quân, đánh hạ huyện Kế, bắt được Đại tướng của Oản là Đế, Thừa tướng là Yển, Quận thú là Hình, Thái úy là Nhược, Ngự sử đại phu là Thi, làm cỏ cả Hồn Đô.
孝惠帝六年，置 太尉官， 以勃为太尉。	Hiếu Huệ đế năm thứ sáu, thiết lập chức Thái úy, phong Bột làm Thái úy.
吕 禄以赵王为汉上将军，吕产以吕王为汉相国，秉汉权，欲危刘氏。	Lã Lộc lấy thân phận là Triệu vương làm Thượng tướng quân nhà Hán, Lã Sản lấy thân phận là Lã vương làm Tướng quốc nhà Hán, nắm quyền bính triều Hán, muốn gây nguy hại cho họ Lưu.
陈平为丞相，不得任事。	Trần Bình làm Thừa tướng, không được xử lý chính sự.
文帝既立，以勃为右丞相，赐金五千斤，食邑万户。	Sau khi Văn đế lên ngôi, phong Bột làm Hữu thừa tướng, ban tặng năm nghìn cân vàng, thực ấp vạn hộ.
文帝之後六年，匈奴大入边。	Sáu năm sau khi Văn đế lên ngôi, Hung Nô đem đại quân vào biên giới.
乃以宗正刘礼为将军，军霸上； 祝兹 侯徐厉为将军，军棘门； 以河内守亚夫为将军，军细柳： 以备胡。	Bèn phong quan Tông chính Lưu Lễ làm Tướng quân, đóng quân ở Bá Thượng; Chúc Tư hầu Từ Lệ làm Tướng quân, đóng quân ở Các Môn; phong Quận thú Hà Nội là Á Phu làm Tướng quân, đóng quân ở Tế Liễu, để phòng bị giặc Hồ.
至霸 上及棘门军，直驰入，将以下骑送迎。	Đến quân doanh ở Bá Thượng cho tới Cức Môn, cưỡi ngựa phóng thẳng vào, các tướng cùng quan lại cấp dưới đều cưỡi ngựa đưa đón.
居无何，上 至，又不得入。	Lát sau, hoàng thượng đến, cũng không được vào.
孝景三年，吴楚反。	Hiếu Cảnh đế năm thứ ba, Ngô, Sở làm phản.
太尉引兵东北走昌 邑，深壁而守。	Thái úy dẫn quân sang phía đông bắc, tiến nhanh đến Xương Ấp, lũy cao hào sâu phòng thủ.
後吴奔壁东南陬， 太尉使备西北。	Sau đó, quân Ngô kéo đến góc phía đông nam phòng lũy, Thái úy sai phòng bị mạn tây bắc.
已而其精兵果奔西 北，不得入。	Thế rồi tinh binh [nước Ngô] quả nhiên phóng đến góc tây bắc, không phạm vào được.
凡相攻守三月，而 吴楚破平。	Cả thảy hai bên đánh, giữ trong ba tháng, rồi Ngô, Sở bị dẹp tan.
於是诸将乃以太尉计谋为是。	Bấy giờ các tướng mới cho mưu kế của Thái úy là đúng đắn.
景帝废栗太 子，丞相固争之，不得。	Cảnh đế phế truất Lật Thái tử, Thừa tướng cố can ngăn, không được.
景帝中三年，以病免相。	Trong ba năm thời Cảnh đế, [Á Phu] vì đau ốm nên miễn chức Thừa tướng.
上起，条侯因趋出。	Hoàng thượng đứng lên, Điều hầu nhân đó rảo bước ra ngoài.
子建德代侯，十三年，为太子太傅。	Con là Kiến Đức kế tục tước hầu, được mười ba năm, làm Thái phó cho Thái tử.
条侯果饿死。	Điều hậu quả nhiên chết đói.
因转攻得云 中守(cid:0)、 丞相箕肆、将勋。	Thừa thế chuyển sang tấn công bắt được Quận thú Vân Trung là Tốc, Thừa tướng là Cơ Tứ, tướng là Huân.
勃不好文学，每召诸生说 士，东乡坐而责之： “趣为我语。”	Bột không thích văn học, mỗi lần triệu các nho sinh, các kẻ sĩ du thuyết đến, Bột ngồi ngoảnh mặt về phía đông mà yêu cầu họ: “Mau nói ta nghe.”
於是勃与平谋，卒诛 诸吕而立孝文皇帝。	Thế là Bột cùng Bình bàn mưu, rốt cuộc giết những người họ Lã rồi lập Hiếu Văn Hoàng đế.
其语在吕后、孝文事中。	Việc này đã chép trong phần Lã hậu [bản kỷ] và Hiếu Văn [đế bản kỷ].
居月馀，人 或说勃曰：“君既诛诸吕，立代王，威震天下，而君受厚赏，处尊 位，以宠，久之即祸及身矣。”	Được hơn tháng, có người nói với Bột rằng: “Ngài đã giết người họ Lã, lập Đại vương lên ngôi, oai lừng thiên hạ, mà ngài nhận thưởng hậu hĩnh, ở vị trí cao, được sủng ái, lâu ngày sẽ mang họa vào thân đấy.”
勃惧，亦自危，乃谢请归相印。	Bột sợ, cũng tự thấy nguy hiểm, bèn từ tạ xin trả ấn Thừa tướng.
十馀月，上曰：“前日吾诏 列侯就国，或未能行，丞相吾所重，其率先之。”	Hơn mười tháng sau, hoàng thượng nói: “Trước đây ta hạ chiếu cho liệt hầu về nước phong, có người vẫn chưa đi, Thừa tướng là người ta xem trọng, ông hãy dẫn đầu việc này.”
勃恐，不知置辞。	Bột sợ, không biết biện bạch thế nào.
文帝朝，太后以冒絮提文帝， 曰：“绛侯绾皇帝玺， 将兵於北军，不以此时反，今居一小 县，顾欲反邪！”	Văn đế thiết triều, Thái hậu cởi khăn đội đầu ném Văn đế, nói: “Giáng hầu đeo ngọc tỷ của Hoàng đế, thống lãnh binh lính ở Bắc quân, không nhân lúc đó làm phản, nay ở một huyện cỏn con, lại muốn làm phản ư!”
文帝既见绛侯狱辞，乃谢曰：“吏方验而出 之。”	Văn đế đã xem lời khai trong ngục của Giáng hầu, bèn tạ lỗi rằng: “Ngục lại đang tra rõ, sắp thả ra.”
条侯亚夫自未侯为河内守时，许负相之， 曰：“君後三岁而侯。侯八岁为将相，持国秉，贵重矣， 於人臣无两。其後九岁而君饿死。”	Khi Điều hầu Á Phu chưa được phong hầu, còn làm Quận thú Hà Nội, Hứa Phụ xem tướng cho Á Phu, bảo rằng: “Ba năm nữa ngài được phong hầu. Được phong hầu tám năm thì làm tướng võ tướng văn, nắm quyền bính quốc gia, quyền cao chức trọng, trong các bề tôi không có người thứ hai [được như ngài]. Chín năm sau thì ngài chết đói.”
亚夫笑曰：“臣之兄已代父侯 矣，有如卒，子当代，亚夫何说侯乎？然既已贵如负言，又何说饿 死？指示我。”	Á Phu cười nói: “Anh tôi đã kế thừa tước hầu của cha, như có mất đi thì con sẽ thay, đâu đến lượt Á Phu này? Mà nếu đã hiển quý như ông nói, sao lại bảo sẽ chết đói? Xin chỉ tôi rõ.”
军门都尉曰：“将军令曰‘军中闻将军令，不 闻天子之诏’。”	Đô úy giữ cửa quân nói: “Tướng quân lệnh rằng trong quân nghe lệnh Tướng quân, không nghe chiếu của thiên tử.”
於是上乃使使持节诏将军：“吾欲入劳军。”	Thế là hoàng thượng bèn sai sứ cầm phù tiết đến hạ chiếu cho Tướng quân rằng: “Ta muốn vào úy lạo quân đội.”
壁门士吏谓从属车骑曰：“将军约，军中不得驱 驰。”	Quan binh giữ cửa quân doanh bảo với ngựa xe tùy tòng hoàng thượng rằng: “Tướng quân quy định, trong quân không được phóng ngựa.”
至营，将军亚夫持兵揖曰：“介胄之士 不拜，请以军礼见。”	Đến đại doanh, tướng quân Á Phu cầm binh khí vái nói: “Tướng sĩ mặc giáp trụ thì không lạy, xin dùng nghi lễ trong quân để tham kiến.”
使人称谢：“皇帝敬劳将军。”	Sai người truyền rằng: “Hoàng đế kính ý úy lạo Tướng quân.”
既出军门，群臣皆惊。	Ra khỏi cửa quân doanh, quần thần đều kinh ngạc.
文帝曰：“嗟乎，此真将军矣！曩者霸 上、棘门军，若兒戏耳，其将固可袭而虏也。至於亚夫，可得而犯 邪！”	Văn đế nói: “Ôi chao, đây mới là Tướng quân đích thực! Bữa trước ở quân doanh Bá Thượng và Các Môn, như trò đùa trẻ con thôi, tướng hai chỗ ấy dễ bị đánh úp rồi bị bắt làm tù binh vậy. Còn như Á Phu, có thể phạm vào được ư!”
梁日使使请太尉，太尉守便宜，不肯往。	Nước Lương hằng ngày sai sứ xin Thái úy [cứu viện], Thái úy tiện bề phòng giữ, không chịu đi cứu.
太尉终卧不起。	Thái úy rốt cuộc vẫn không dậy.
景帝由此疏之。	Cảnh đế từ đấy xa lánh Á Phu.
而梁孝王每朝，常与太后言 条侯之短。	Còn Lương Hiếu vương mỗi khi vào triều, thường nói với Thái hậu về khuyết điểm của Điều hầu.
窦太后曰：“皇后兄王信可侯也。”	Đậu Thái hậu nói: “Anh của Hoàng hậu là Vương Tín đáng được phong hầu.”
景帝让曰：“始南皮、章武 侯先帝不 侯，及臣即位乃侯之。信未得封也。”	Cảnh đế nhún nhường rằng: “Ban trước, Nam Bì hầu, Chương Vũ hầu không được tiên đế phong hầu, đến khi thần lên ngôi mới phong hầu cho họ. Tín vẫn chưa nên phong.”
窦太后曰：“人主各以时行 耳。 自窦长君在时，竟不得侯，死後乃其子彭祖顾得侯。 吾甚恨之。帝趣侯信也！”	Đậu Thái hậu nói: “Mỗi bậc nhân chủ đều theo thời mà hành sự. Đậu Trưởng quân lúc còn sống, rốt cuộc không được phong hầu, sau khi chết con là Bành Tổ lại được phong hầu. Ta rất hối hận về việc đó. Hoàng đế hãy sớm phong hầu cho Tín!”
景帝曰：“请得 与丞相议之。”	Cảnh đế nói: “Xin được bàn việc này với Thừa tướng.”
丞相议之，亚夫曰：“高皇帝约‘非刘氏不得王，非 有功不得侯。不如约，天下共击之’。今信虽皇后兄，无功，侯之， 非约也。”	Nghị bàn với Thừa tướng, Á Phu nói: “Cao Hoàng đế quy định 'Không phải người họ Lưu không được phong vương, không phải người có công không được phong hầu. Không theo quy định, thiên hạ cùng đánh kẻ đó'. Nay Tín tuy là anh của Hoàng hậu, nhưng không có công, phong hầu cho Tín là không đúng quy định.”
丞相亚夫 曰：“彼背其主降陛下，陛下侯之，则何以责人臣不守节者乎？”	Thừa tướng Á Phu nói: “Họ phản bội chúa mình theo hàng bệ hạ, bệ hạ phong hầu cho họ, thì dựa vào đâu đòi hỏi bề tôi phải giữ tiết nghĩa?”
景 帝曰：“丞相议不可用。”	Cảnh đế nói: “Lời bàn của Thừa tướng không dùng được.”
亚夫因谢病。	Á Phu nhân đó thác bệnh.
独置大胾， 无切肉，又 不置櫡。	[Cảnh đế] chỉ đặt một tảng thịt lớn, không có đồ để cắt, lại cũng không bày đũa.
景帝视而笑曰：“此 不足君所乎？”	Cảnh đế nhìn rồi cười hỏi: “Thế này với ông vẫn chưa đủ ư?”
书既闻上，上下 吏。 吏簿责条侯，条侯不对。	Thư được gửi lên hoàng thượng, hoàng thượng giao việc đó cho các viên lại xử lý. Quan lại chiếu theo thư tố cáo, xét hỏi Điều hầu, Điều hầu không trả lời.
景帝骂之 曰：“吾不用也。”	Cảnh đế mắng Điều hầu rằng: “Ta không dùng [ngươi].”
廷尉责 曰：“君侯欲反邪？”	Đình úy xét hỏi: “Quân hầu định làm phản ư?”
吏曰：“君侯纵不反地上，即欲反地下耳。”	Đình úy nói: “Dẫu trên mặt đất Quân hầu không phản, nhưng cũng muốn làm phản dưới âm ty thôi.”
因 不食五日，呕血而死。	Nhân đó năm ngày không ăn, nôn ra máu mà chết.
坐酎金不善，元 鼎五年，有罪，国除。	Do dâng vàng cung phụng việc cúng tế ở Thái miếu không tốt, đến năm Nguyên Đỉnh thứ năm, bị phán tội, nước phong bị phế.
及 从高祖定天下，在将相位，诸吕欲作乱，勃匡国家难，复之乎正。	Đến khi theo Cao tổ bình định thiên hạ, ở vị trí tướng võ tướng văn, những người họ Lã định làm loạn, Bột gánh vác nguy nan của quốc gia, khôi phục rường mối chính thống.
足己而不学， 守节不逊， 终以穷困。	Tự thỏa mãn với mình mà không học, giữ khí tiết mà không biết nhún thuận, rốt cuộc lâm vào cảnh khốn cùng.
勃以千金与狱吏，狱吏乃书牍背示之， 曰“以公主为证”。	Bột đem ngàn vàng luồn lót cho ngục lại, ngục lại bèn viết vào mặt sau tấm thẻ cho bột xem, viết rằng “Có Công chúa làm chứng”.
公主者，孝文帝女也，勃太子胜之 尚之，故狱吏教引为证。	Công chúa, tức con gái của Hiếu Văn đế, con trai cả của Bột là Thắng Chi phụng sự Công chúa, cho nên ngục lại xui Bột đưa Công chúa làm chứng.
绛侯既出，曰：“吾尝将百万 军，然安知狱吏之贵乎！”	Sau khi ra khỏi ngục, [Bột] nói: “Ta từng cầm trăm vạn quân, nhưng đâu hay sự tôn quý của lũ ngục lại!”
许负指其口曰：“有从理入口， 此饿死法也。”	Hứa Phụ trỏ vào miệng Á Phu nói: “Có vết dọc vào trong miệng, đó là tướng chết đói vậy.”
已而之细柳军，军士吏被甲， 锐兵刃，彀弓弩，持满。	Thế rồi đến quân doanh Tế Liễu, quan binh trong quân mặc giáp, cầm binh khí sắc nhọn, giương cung kéo nỏ sẵn sàng.
先 驱曰：“天子且至！”	Đội dẫn đầu nói: “Thiên tử sắp đến!”
亚夫乃 传言开壁门。	Á Phu bèn truyền lời mở cổng quân doanh.
於是天子乃按辔徐行。	Thế là thiên tử bèn cầm cương đi từ từ.
孝文且崩时，诫太子曰：“即有缓急，周亚夫真可任将兵。”	Lúc Hiếu Văn đế sắp băng hà, răn Thái tử rằng: “Nếu có việc nguy cấp, Chu Á Phu đích thực có thể giao làm Tướng quân.”
因自请上曰：“楚兵剽轻， 难与争锋。原以梁委之， 绝其粮道，乃可制。”	Nhân đó đích thân thỉnh cầu hoàng thượng rằng: “Quân Sở hung mãnh nhanh nhẹn, khó có thể tranh hơn. Xin đem nước Lương giao cho chúng, cắt đứt đường tải lương, mới khống chế được.”
梁上书言景 帝，景帝使使诏救梁。 太尉不奉诏，坚壁不出，而使轻骑兵弓高侯等 绝吴楚兵後食道。	Lương dâng thư nói với Cảnh đế, Cảnh đế sai sứ mang chiếu hạ lệnh cứu viện nước Lương, Thái úy không vững chiếu, giữ vững phòng lũy không ra, rồi sai quân khinh kỵ là bọn Cung Cao hầu chặn đường tiếp lương phía sau quân Ngô, Sở.
吴兵乏粮， 饥，数欲挑战，终不出。	Quân Ngô thiếu lương, đói, nhiều lần muốn khiêu chiến, rốt cuộc [Thái úy] vẫn không ra đánh.
吴兵既饿，乃引而去。	Quân Ngô bị đói, bèn dẫn binh rút đi.
吴王 濞弃其军，而与壮士数千人亡走，保於江南丹徒。 汉兵因乘胜，遂尽虏之，降其兵，购吴王千金。	Ngô vương Tỵ bỏ quân đội, cùng mấy nghìn tráng sĩ chạy trốn, chạy đến giữ ở Đan Đồ, Giang Nam, Quân Hán thừa thắng, bèn bắt sống hết, hàng phục quân Ngô, treo thưởng ngàn vàng cho ai chém được Ngô vương.
景帝默然而止。	Cảnh đế không nói gì rồi dừng việc đó.
