孝武皇帝者， 孝景中子也。	Hiếu Vũ hoàng đế là con giữa của Hiếu Cảnh hoàng đế.
一元曰建元， 二元以长星曰元光，三元以郊得一角兽曰元狩云。	Niên hiệu đầu tiên là Kiến Nguyên, niên hiệu thứ hai do có sao dài xuất hiện nên gọi là Nguyên Quang, niên hiệu thứ ba do khi tế Giao bắt được thu một sừng nên gọi là Nguyên Thú.
其明年冬，天子郊雍，议曰：“今上帝朕亲郊，而后土毋祀，则 礼不答也。”	Mùa đông năm sau, thiên tử tế Giao ở đất Ung, bàn với quần thần rằng: “Nay thượng đế thì trẫm đã đích thân tế Giao, còn Hậu Thổ thì chưa tế, như vậy lễ chưa đúng vậy.”
上亲望拜，如上 帝礼。	Vua đích thân vái vọng, như lễ tế thượng đế.
礼毕，天子遂至荥阳而还。	Lễ xong, thiên tử bèn tới Huỳnh Dương rồi trở về.
其春，乐成侯 上 书言栾大。	Mùa xuân năm ấy, Lạc Thành hầu dâng thư tiến cử Loan Đại.
栾大，胶东宫人，故尝与文成将 军同师，已而为胶东王尚方。	Loan Đại là người trong cung của nước Giao Đông, trước từng học cùng thầy với tướng quân Văn Thành, không lâu sau thì làm thày thuốc cho Giao Đông vương.
而乐成侯姊为康王后， 毋子。	Chị của Lạc Thành hầu là vương hậu của Khang vương, không có con trai.
康王死，他姬子立为王。	Khang vương chết, con của phi tần được lập làm vương.
而康后有淫行， 与王不相中，相危以法。	Khang hậu có hành vi dâm loạn, không vừa ý tân vương, đôi bên tìm đủ cách hại nhau.
大为人长美，言多方略，而敢为大言，处之不疑。	Đại thân hình cao đẹp, lời lẽ nhiều mưu lược, lại dám nói khoác, khiến người nghe không nghi ngờ.
赐列侯甲第，僮千 人。	Ban cho phủ đệ hạng nhất dành cho liệt hầu và một ngàn tôi tớ.
天子亲如五利之第。	Thiên tử đích thân tới phủ tướng quân Ngũ Lợi.
自大 主将相以 下，皆置酒其家，献遗之。	Từ trở Thái xuống, đều đặt rượu thịt gửi tới nhà y để biếu xén.
而佩“天道”者，且为天子道天神也。	Người đeo ấn Thiên Đạo tức là thay thiên tử dẫn dắt thần tiên vậy.
於是五利常夜祠其家，欲 以下神。	Thế rồi Ngũ Lợi thường cúng tế ở nhà vào ban đêm, muốn xin thần tiên hạ phàm.
神未至而百鬼集矣，然颇能使之。	Song thần tiên chưa giáng mà trăm thứ ma quỷ đã tụ tập, song y rất biết sai khiến chúng.
其後治装行，东入海，求 其师云。	Sau này, y chuẩn bị hành trang đi về phía đông ra biển, tìm thày của y.
大见数月，佩六印，贵振天下，而海上燕齐之间，莫不搤捥 而自言有禁方，能 神仙矣。	Đại gặp vua có mấy tháng, mà đeo sáu ấn, sang hiển lừng thiên hạ, vùng duyên hải Yên – Tề, không ai không níu tay bảo rằng mình có bí thuật, có thể với thần tiên.
天子使使验问巫锦 得鼎无奸诈，乃以礼祠，迎鼎至甘泉，从行，上荐之。	Thiên tử phái sứ giả tới kiểm chứng, hỏi thày đồng Cẩm về việc tìm được chiếc đỉnh, không có điều gian trá, bèn dùng để tế lễ, rước đỉnh tới cung Cam Tuyền, trăm quan đi theo, vua hiến tế.
至长安，公卿大夫皆议请尊宝鼎。	Tới Trường An, công khanh đại phu đều bàn về việc vua tôn thờ đỉnh báu.
制 曰：“可。” 入海求蓬莱者，言蓬莱不 远，而不能至者，殆不见其气。	Lời chế viết: “Được” Người ra biển tìm đảo Bồng Lai nói rằng Bồng Lai không xa, song không thể tới là vì không thấy được khí lành.
其秋，上幸雍，且郊。 或曰“五 帝，泰一之佐也。宜立泰一而上亲郊之”。	Mùa thu năm ấy, vua tới đất Ung, tế Giao, Có người nói: “Ngũ đế trợ giúp cho thần Thái Nhất, nên lập thần vị Thái Nhất rồi vua đích thân tế Giao, cùng ngài.”
上疑未定。	Vua ngờ không quyết.
齐人公孙卿 曰：“今年得宝鼎，其冬辛巳朔旦冬至，与黄帝时等。”	Người nước Tề là Công Tôn Khanh nói: “Năm nay được đỉnh báu, ngày Tân Tỵ mùa đông là ngày mồng một giao tiết Đông chí, giống thời của Hoàng Đế.”
上大说，召问卿。	Vua mừng rỡ, cho vời hỏi Khanh.
乃拜卿为郎， 东使候神於太室。	Đoạn bèn bái Khanh làm quan lang, phái y đi về phía đông chầu chực thần ở núi Thái Thất.
五帝坛环居其下， 各如其方，黄帝西南，除八通鬼道。	Đàn Ngũ để chạy vòng ở phía dưới, đều đặt theo phương vị, đàn tế của Hoàng Đế ở phía tây nam, sửa tám đường cho quỷ thần lui tới.
已祠，胙馀皆燎之。	Cúng xong, thịt tế thừa đem thiêu hóa.
其牛色 白，鹿居其中，彘在鹿中，水而洎之。	Trâu cúng dùng trâu trắng, hươu đặt trong lòng trâu, lợn đặt trong lòng hươu, rồi dùng nước ngâm.
五帝各如其色，日赤，月白。	Tế Ngũ đế mặc theo màu sắc của từng ngài. Tế mặt trời mặc áo đỏ, tế mặt trăng mặc áo trắng.
而衣上 黄。	Nhà vua vận áo tế màu vàng.
为兵祷，则太史奉以指所伐国。	Khi cầu khấn cho việc binh thì quan Thái sử cầm cờ chỉ về phía nước phải thảo phạt.
而五利将军使不敢入海，之泰山祠。	Còn tướng quân Ngũ Lợi được phái đi, không dám ra biển, lại đi tới Thái Sơn cúng tế.
五利妄言见其师，其方尽，多不雠。	Ngũ Lợi nói bậy là gặp thầy mình, phương thuật đã hết, phần nhiều không linh ứng.
上乃诛五利。	Vua bèn giết Ngũ Lợi.
其冬，公孙卿候神河南，见仙人迹缑氏城上，有物若雉，往来城 上。	Mùa đông năm ấy, Công Tôn Khanh chầu chực thần tiên ở Hà Nam, thấy dấu vết của thần tiên trên thành Câu Thị, có vật thần như chim trĩ, qua lại trên thành.
其年，既灭南越，上有嬖臣李延年以好音见。	Năm ấy, diệt vong Nam Việt, vua có kẻ sủng thần là Lý Diên Niên dùng nhạc hay dâng hiến.
公卿 曰：“古者祀天地皆有乐，而神祇可得而礼。”	Công khanh nói: “Thời cổ tế trời đất đều có nhạc, nên thần linh mới nhận được lễ cúng.”
其来年冬，上议曰：“古者先振兵泽旅， 然後封禅。”	Mùa đông năm sau, vua bàn rằng: “Thời xưa chỉnh đốn binh bị, khao quân trước, sau đó phong thiện.”
自得宝鼎，上与公卿诸生议封禅。	Từ khi có được đỉnh báu, vua cùng các công khanh, Nho sinh bàn việc phong thiện.
封禅用希旷绝，莫知其仪礼，而 群儒采封禅尚书、周官、王制之望祀射牛 事。	Phong thiện do ít cử hành, (thời Hoàng Đế) lại cách quá xa, nên không ai biết nghi lễ thế nào, còn Nho sinh thì muốn đem các việc như tế vọng, bắn trâu chép trong Thượng Thư, Chủ quan, Vương chế vào lễ phong thiện.
齐人丁公年九十馀，曰：“封者，合不死之名也。秦皇帝 不得上封。陛下必欲上，稍上即无风雨，遂上封矣。”	Người đất Tề là Đinh Công, hơn chín mươi tuổi, nói: “Phong thiện là để lưu lại danh tiếng bất hủ… Tần Thủy Hoàng không lên được Thái Sơn phong thiện. Bệ hạ nhất định muốn lên thì gắng leo cao một chút sẽ không có mưa gió, như vậy có thể lên núi phong thiện vậy.”
上於是乃令诸 儒习射牛，草封禅仪。	Thế rồi vua bèn lệnh cho các Nho sinh tập bắn trâu, thảo ra nghi lễ phong thiện.
数年，至且行。	Vài năm sau, đến dịp cử hành.
天子 既闻公孙卿及方士之言，黄帝以上封禅，皆致怪物与神通，欲放黄帝 以尝接神仙人蓬莱士，高世比德於九皇， 而颇采儒术以文之。	Thiên tử nghe được lời của Công Tôn Khanh và đám phương sĩ, nói rằng từ Hoàng Đế trở về trước mỗi khi phong thiện đều tìm lấy vật quái dị để cảm thông với thần, nên muốn bắt chước Hoàng Đế trước đây từng tiếp sứ giả của thần tiên là phương sĩ Bồng Lai, sinh đức với Cửu hoàng thời viễn Cổ, rồi lại rộng dùng Nho thuật để tu sức.
群儒既 以不能辩明封禅事，又牵拘於诗书古文而不敢骋。	Đám Nho sinh đã không thể phân biệt rõ việc phong thiện, lại câu nệ vào sách cổ văn Kinh Thi, Kinh Thư, không dám thỏa sức phát huy.
问上，上不言；问下，下不言。	Hỏi người trên núi, người trên núi nói rằng không hô; hỏi phía dưới, phía dưới cũng nói không hô.
东 上泰山，山之草木叶未生，乃令人上石立之泰山颠。	Đi tiếp về phía đông lên núi Thái Sơn, cây cối trên núi chưa mọc lá, bèn sai người chuyển bia đá đặt trên đỉnh Thái Sơn.
上遂东巡海上，行礼祠八神。	Vua lại tiếp tục về phía đông, đi tuần trên biển, làm lễ cúng tám thần.
齐人之上疏言神怪奇方者以万数，然无 验者。	Người đất Tề dâng sớ nói về những chuyện thần tiên kỳ quái có đến hàng vạn, song không ai ứng nghiệm.
群臣有言见一老父牵狗，言“吾欲见巨公”， 已忽不见。	Quần thần có người kể từng gặp một ông lão dắt chó, bảo rằng “ta muốn gặp thiên tử”, xong bỗng không thấy đâu.
上既见大迹，未信，及群臣有 言老父，则大以为仙人也。	Vua thấy vết chân lớn, chưa tin, khi nghe quần thần có người kể về ông lão thì tin chắc là tiên vậy.
四月，还至奉高。 上念诸儒及方士言封禅人人殊，不经，难施 行。	Tháng Tư, về tới huyện Phụng Cao, Vua suy nghĩ đến lời bàn của Nho sinh và phương sĩ về lễ phong thiện, mỗi người một phách, không có căn cứ, khó thể thi hành.
乙卯，令侍中儒者皮弁荐绅，射牛行 事。	Ngày Ất Mão, lệnh cho các Nho sinh làm quan Thị trung đội mũ Bì biền, mặc quân phục giắt hốt, đích thân vua bắn trâu làm lễ.
其事皆禁。	Những việc này đều cấm truyền ra ngoài.
明日，下阴道。	Ngày hôm sau, xuống núi theo đường phía bắc.
天子皆亲 拜见，衣上黄而尽用乐焉。	Thiên tử đều đích thân lạy tế, mặc áo vàng, tất cả đều dùng nhạc.
五色土益杂封。	Dùng đất bùn ngũ sắc đắp đầy đàn tế.
皆至泰山然后去。	Rồi tất cả trở về Thái Sơn sau đó mới rời đi.
天子从封禅还，坐明堂， 群臣更上寿。	Thiên tử làm lễ phong thiện trở về, ngồi ở Minh đường, quần thần thay nhau chúc thọ.
又下诏曰：“古者天子五载一巡狩，用事泰山，诸侯有朝 宿地。其令诸侯各治邸泰山下。”	Lại xuống chiếu viết: “Thời cổ thiên tử năm năm đi tuần thú một lần, cúng tế ở Thái Sơn, chư hầu đến châu có chỗ nghỉ. Nay lệnh cho chư hầu dựng phủ đệ của mình dưới núi Thái Sơn.”
五月，返至甘泉。	Tháng Năm, về đến Cam Tuyền.
有司言 宝鼎出为元鼎，以今年为元封元年。	Quan hữu ty nói đỉnh báu xuất hiện thì đặt niên hiệu năm đó là Nguyên Đỉnh, đặt năm ấy là năm Nguyên Phong đầu tiên.
其春，公孙卿言见神人东莱山，若云“见天子”。	Mùa xuân năm ấy, Công Tôn Khanh nói gặp thần tiên ở núi Đông Lai, dường như nghe thấy thần nói muốn “gặp thiên tử”.
天子於是幸缑 氏城，拜卿为中大夫。	Thế rồi thiên tử tới thành Câu Thị, bái Khanh làm Trung đại phu.
遂至东莱，宿留之数日，毋所见，见大人迹。	Rồi tới Đông Lai, ở lại mấy ngày, không gặp được ai, chỉ thấy vết chân lớn.
是岁旱。	Năm ấy hạn hán.
还至瓠子， 自临塞决河， 留二日，沈祠而去。	Trở về tới Hồ Tử, đích thân chỉ huy lấp chỗ để bị vỡ Hoàng Hà, ở lại hai ngày, thả đồ tế xuống nước rồi rời đi.
是时既灭南越，越人勇之乃言“越 人俗信鬼，而其祠皆见鬼，数有效。昔东瓯王敬鬼，寿至百六十岁。 後世谩怠，故衰秏”。	Bấy giờ đã diệt Nam Việt, người đất Việt là Dũng Chi bèn nói: “Tục người Việt tin ma quỷ, mà khi họ cúng tế đều nhìn thấy ma quỷ, nhiều lần ứng nghiệm. Xưa vua Đông Âu tôn kính ma quỷ, nên thọ đến một trăm sáu mươi tuổi. Đời sau khinh nhờn, nên suy tổn.”
公孙卿曰：“仙人可见，而上往常遽，以故不见。今陛下可为 观，如缑氏城，置脯枣，神人宜可致。且 仙人好楼居。”	Công Tôn Khanh nói: “Thần tiên có thể gặp, song bệ hạ tới tìm thường sốt sắng, bởi vậy không gặp được. Nay bệ hạ có thể dựng đạo quán, như ở thành Câu Thị, bày thịt khô và táo, thần tiến hẳn sẽ tới. Vả lại thần tiên thích ở lầu cao.”
其明年，伐朝鲜。	Sang năm sau, đánh Triều Tiên.
夏，旱。	Mùa hè, hạn hán.
公孙卿曰：“黄帝时封则天旱，乾封 三年。”	Công Tôn Khanh nói: “Thời Hoàng Đế, hễ tế trời là trời hạn liền ba năm, đàn tế khô.”
上乃下诏曰：“天 旱，意乾封乎？其令天下尊祠灵星焉。” 其明年，上郊雍，通回中道，巡之。	Vua bèn xuống chiếu rằng: “Trời hạn, ý chừng làm khô đàn tế chăng? Nay lệnh cho thiên hạ kính thờ sao thiêng” Sang năm sau, vua tế Giao ở đất Ung, tuần hành qua đường Hồi Trung.
其明年冬，上巡南郡，至江陵而东。	Mùa đông năm sau, vua đi tuần Nam Quận, tới Giang Lăng rồi về đông.
四月 中，至奉高脩封焉。	Giữa tháng Tư, tới huyện Phụng Cao, làm lễ phong thiện.
初，天子封泰山，泰山东北阯古时有明堂处，处险不敞。	trên Trường Giang, thuyền Ban đầu, thiên tử phong thiện ở Thái Sơn, di chỉ phía đông bắc Thái Sơn là chỗ Minh đường thời cổ, thế hiểm không rộng.
上欲治 明堂奉高旁，未晓其制度。	Vua muốn dựng Minh đường cạnh Phụng Cao, nhưng không rõ quy mô hình thức.
及五年脩封，则祠泰一、五帝於明堂上坐，令高皇帝 祠坐对之。 祠后土於下房，以二十太牢。	Năm năm sau cử hành phong thiện, thờ thần Thái Nhất, Ngũ đế ở vị trí trên nhất trong Minh đường, sai thờ Cao hoàng đế ở vị trí đối diện, Cúng Hậu Thổ ở phòng dưới, dùng hai mươi cỗ thái lao.
礼毕，燎堂下。	Lễ xong, đốt củi dưới chính đường.
而泰山下祠五 帝，各如其方，黄帝并赤帝，而有司侍祠焉。	Sau đó tế Ngũ để ở dưới Thái Sơn, vị nào tế theo phương nấy, Hoàng Đế và Xích Đế cùng một phương, quan hữu ty bồi tế.
其後二岁，十一月甲子朔旦冬至，推历者以本统。	Hai năm sau đó, tháng Mười một, ngày Giáp Tý, sáng sớm mồng một giao tiết Đông chí, người xem lịch lấy làm ngay chính thống.
十二月甲午 朔，上亲禅高里，祠后土。 临渤 海，将以望祠蓬莱之属，冀至殊庭焉。 上还，以柏梁灾故，朝受计甘泉。 公孙卿曰：“黄帝就 青灵台，十二日烧，黄帝乃治明 庭。明庭，甘泉也。”	Lời khấn rằng: “Trời gia ban cho hoàng đế sách thần Thái Nguyên, xoay vòng nối tiếp. Hoàng đế xin kính lạy thần Thái Nhất Thiên tử lại đi về động ra tới biển, khảo tra những kẻ ra biển và đàm phương sĩ đi tìm thần tiên, không có ai ứng nghiệm, song vẫn điều thêm người đi, mong gặp được. Ngày Ất Dậu, tháng Mười một, đài Bách Lương hỏa hoạn. Ngày mồng một, tức ngày Giáp Ngọ, tháng Mười Hai, vua đích thân cử hành lễ tế ở núi Cao Ly để tế Hậu Thổ. Sau đó, vua ra Bột Hải, tế vọng các thần ở Bồng Lai, để mong tới được cõi lạ. Vua về kinh, do đài Bách Lương bị hỏa hoạn, nên đổi nơi tiếp nhận sổ sách sang cung Cam Tuyền, Công Tôn Khanh nói: “Hoàng Đế cất xong đài Thanh Linh, mười hai ngày sau bị cháy, Hoàng Đế bèn xây Minh đình, Minh đình là cung Cam Tuyền vậy.”
方士多言古帝王有都甘泉者。	Phương sĩ có nhiều kẻ nói đế vương thời cổ đóng đô ở Cam Tuyền.
其後天子又朝诸 侯甘泉，甘泉作诸侯邸。	Từ đó về sau, thiên tử lại cho các chư hầu vào chầu ở Cam Tuyền, xây phủ đệ cho chư hầu ở Cam Tuyền.
前殿度高未央，其东则凤阙，高二 十馀丈。	Tiền điện cao hơn cung Vị Ương. Phía đông là Phượng khuyết, cao hơn hai mươi trượng.
其南有玉堂、 璧门、大鸟之属。	Phía nam có Ngọc đường, Bích môn cùng các tượng chim lớn.
乃立神明台、 井幹楼， 度五十馀 丈，辇道相属焉。	Đoạn bèn lập đài Thần Minh, lầu Tỉnh Can, cao hơn năm chục trượng, giữa các lầu đài có đường nối liền nhau cho xe loan lui tới.
夏，汉改历，以正月为岁首，而色上黄，官名 更印章以五字。 因为太初元年。	Mùa hè, nhà Hán đổi lịch, lấy tháng Giêng làm tháng đầu năm, chuộng màu vàng, ấn chương ghi tên quan đổi thành năm chữ. Nhân đổi niên hiệu thành Thái Sơ năm đầu tiên.
其明年，有司言雍五畤无牢熟具，芬芳不备。	Năm sau, quan hữu ty nói đàn Ngũ chỉ ở huyện Ung, cỗ cúng không có thịt chín, quả phẩm thơm tho không đủ.
其明年，东巡海上，考神仙之属，未有验者。	Năm sau, đi về đông tuần du trên biển, khảo tra việc tìm thần tiên, đều chưa có ai ứng nghiệm.
方士有言“黄帝时 为五城十二楼， 以候神人於执期，命曰迎 年”。	Phương sĩ có kẻ nói: “Thời Hoàng Đế, cho dựng năm thành mười hai lầu, để chờ đón thần tiên ở Chấp Kỳ, đặt tên là đền Nghênh Niên.”
上亲礼祠上帝，衣上黄焉。	Vua đích thân tới tế lễ thượng đế, mặc áo màu vàng.
其後五年，复至泰山脩封， 还过祭常山。	Năm năm sau đó, lại tới Thái Sơn tế trời, khi về qua tế ở Thường Sơn.
今天子所兴祠，泰一、后土，三年亲郊祠，建汉家封禅，五年一 脩封。	Nay những đền thờ thiên tử dựng lên như đền thờ Thái Nhất, đền thờ Hậu Thổ, thì, ba năm vua đích thân tế Giao ở đó một lần. Lễ phong thiện do nhà Hán đặt định thì năm năm tế một lần.
凡六祠，皆 太祝领之。	Có sáu đền thờ đều do quan Thái chúc cai quản.
至如八神诸神，明年、凡山他名祠，行过则祀，去则已。	Đến như các thần trong tám vị thần, cùng các đền nổi tiếng khác như Minh Niên, Phàm Sơn, nếu thiên tử tuần hành ngang qua thì tế, rời đi thì thôi.
方士所兴祠，各自主，其人终则已，祠官弗主。	Các đền do phương sĩ dựng lên, ai quản đền nấy, chết thì thôi, quan cúng tế không quản.
今上 封禅，其後十二岁而还，遍於五岳、四渎矣。	Đức kim thượng phong thiện, sau đó mười hai năm mới quay lại tế hết năm núi bốn sông.
而公孙卿之候神者，犹以大人迹为解，无其 效。	Những kẻ chầu thần như Công Tôn Khanh, còn đem vết chân người khổng lồ lấy cớ giải trình, cũng không hiệu quả.
自此之 後，方士言祠神者弥众，然其效可睹矣。	Từ đó về sau, đám phương sĩ bàn việc thờ thần ngày một nhiều, song hiệu quả của nó có thể ngẫm mà biết vậy.
太史公曰：余从巡祭天地诸神名山川而封禅焉。	Thái sử công bàn rằng: Ta đi theo nhà vua tuần hành tế lễ trời đất, các thần cùng núi sông danh thắng mà tham dự phong thiện ở đó.
是 时上求神君， 舍之上林中氾氏观。	Bấy giờ vua cầu được một vị thần quân, an trí ở quán Đề Thị trong vườn Thượng Lâm.
宛若祠之其室，民多 往祠。	Uyển Nhược đem thờ trong nhà, dân chúng nhiều người tới cùng bái.
人闻其能使物及不死，更馈遗之，常馀金钱帛衣食。	Mọi người nghe y có thể đuổi ma và bất tử, bèn biếu xén quà cáp, nên thường dư dả tiền vàng, lụa là, ăn mặc.
少君资好方，善为巧发 奇中。	Thiếu Quân tình thích phương thuật, giỏi dùng xảo ngôn nói trúng việc lạ.
尝从武安侯 饮，坐中有年九十馀老人， 少君乃言与其大父游射处，老人为兒时从其大父行，识其处，一坐尽 惊。	Từng theo Vũ An hầu uống rượu, trong tiệc có ông già tuổi hơn chín mươi, Thiếu Quân liền kể về nơi từng cùng ông nội ông ta tới săn bắn. Ông già hồi bé từng đi theo ông nội mình, biết chỗ đó, cả tiệc đều kinh ngạc.
少君见上，上有故铜器，问少君。	Thiếu Quân yết kiến vua, vua có đồ đồng Cổ, hỏi Thiếu Quân.
少君曰：“此器齐桓公十年陈 於柏寝。”	Thiếu Quân nói: “Vật này vào năm Tề Hoàn công thứ mười, được đặt ở Bách Tẩm.”
少君言於上曰：“祠灶则致物，致物而丹沙可化为黄金，黄金成 以为饮食器则益寿，益寿而海中蓬莱仙者可见，见之以封禅则不死， 黄帝是也。臣尝游海上，见安期生， 食臣枣，大如瓜。安期生仙者，通蓬莱中，合则见人，不合 则隐。”	Thiếu Quân nói với vua rằng: “Thờ thần Táo thì sẽ mang lại vật thần dị, có vật thần dị thì đan sa sẽ hóa thành vàng, dùng vàng làm đồ đựng thức ăn nước uống sẽ tăng tuổi thọ, tuổi thọ tăng có thể gặp tiên ở Bồng Lai, gặp tiền rồi phong thiện thì sẽ bất tử, Hoàng Đế làm được như vậy. Thần từng ngao du trên biển, gặp An Kỳ Sinh, An Kỳ Sinh cho thần ăn táo, to như quả dưa. An Kỳ Sinh là tiên, qua lại chốn Bồng Lai, hợp thì cho gặp, không hợp thì ẩn.”
於是天子始亲祠灶，而遣方士入海求蓬莱安期生之属，而事 化丹沙诸药齐为黄金矣。	Thế rồi thiên tử bắt đầu đích thân thờ cúng thần Táo, rồi phải phương sĩ ra biển tìm loại người như An Kỳ Sinh ở Bồng Lai, rồi theo việc biến các loại thuốc như đan sa thành vàng.
