汲黯字长孺，濮阳人也。	Cấp Ảm Cấp Ảm tự Trường Nhụ, người ở Bộc Dương.
其治，责大指而已，不苛小。	Ảm coi chính sự chỉ xét các việc lớn thôi, không chú ý đến việc nhỏ.
黯多病，卧闺閤内不出。	Ảm nhiều bệnh, nằm trong phòng nghỉ không ra ngoài.
岁 馀，东海大治。	Được hơn năm, Đông Hải vô cùng yên trị.
上闻，召以为主爵都尉，列於九卿。	Hoàng thượng biết chuyện, triệu về giao làm Chủ tước đô úy, liệt vào hàng cửu khanh.
治务在无 为而已，弘大体，不拘文法。	Cấp Ảm cai trị chuộng ở vô vi mà thôi, phát dương đại thể, không câu nệ định chế pháp độ.
黯为人性倨，少礼，面折，不能容人之过。	Ẩm tính tình ngạo mạn, ít chú trọng lễ tiết, hay bắt bẻ người khác, không thể chấp nhận lỗi lầm của người khác.
合己者善待之，不合 己者不能忍见，士亦以此不附焉。	Ai hợp mình thì đối đãi tốt, ai không hợp mình thì không chịu gặp, kẻ sĩ cũng vì thế không nương dựa ông ta.
然好学，游侠，任气节，内行脩 絜，好直谏，数犯主之颜色，常慕傅柏、袁盎之为人也。	Nhưng ham học, thích hành hiệp, trọng chí khí và tiết tháo, ở nhà thì đoan chính, liêm khiết, thích can gián thẳng thắn, nhiều lần mạo phạm chúa, hâm mộ những người như Phó Bách và Viên Áng.
善灌夫、郑当时及宗正刘弃。	Là bạn thân của Quán Phu, Trịnh Đường Thời và quan Tông chính Lưu Khí.
亦以数直谏，不得久居位。	Cũng vì nhiều lần can gián thẳng thắn, không được giữ chức vị lâu.
当是时，太后弟武安侯蚡为丞相，中二千石来拜谒，蚡不为礼。	Bấy giờ, em trai Thái hậu, Vũ An hầu là Phần làm Thừa tướng, quan viên bậc Trúng nhị thiên thạch đến bái yết, Phần không đáp lễ.
然黯见蚡未尝拜，常揖之。	Nhưng Ảm gặp Phần chưa từng bái lạy, chỉ vái chào.
天子方招文学儒者，上曰吾欲云云， 黯对曰：“陛下内多欲而外施仁义，柰 何欲效唐虞之治乎！”	Thiên tử đang chiêu tập nhà nho có văn chương học vấn, hoàng thượng nói ta muốn thế này, thế này. . . Ảm đáp rằng: “Bệ hạ trong thì nhiều ham muốn còn ngoài thì thi hành nhân nghĩa, muốn bắt chước cách cai trị của Đường Ngu sao được?”
上默然，怒，变色而罢朝。	Hoàng thượng lặng thinh, giận biến sắc rồi bãi triều.
公卿皆为黯惧。	Công khanh đều sợ thay cho Ảm.
上 退，谓左右曰：“甚矣，汲黯之戆也！”	Hoàng thượng thoái triều, bảo tả hữu rằng: “Cấp Ảm thẳng thắn quá đáng!”
群臣或数黯，黯曰：“天子置公卿辅弼之臣，宁令从谀承意，陷主於 不义乎？且已在其位，纵爱身，柰辱朝廷何！”	Quần thần có người trách Ảm, Ảm nói: “Thiên tử đặt ra bề tôi công khanh phụ bật, chẳng lẽ bắt họ a dua theo mình, rồi hãm chúa vào chỗ bất nghĩa ư? Huống hồ đã ở địa vị của mình, nếu tiếc thân, nhục cho triều đình thì sao?”
黯多病，病且满三月，上常赐告者数， 终不愈。	Ảm nhiều bệnh, ốm gần ba tháng, hoàng thượng từng nhiều lần ban cho được nghỉ, cuối cùng vẫn không khỏi.
最後病，庄助为请告。	Lần cuối cùng phát bệnh, Trang Trợ xin cho nghỉ ngơi.
上曰：“汲黯何如人哉？”	Hoàng thượng nói: “Cấp Ảm là người thế nào?”
助曰：“使黯任职居官，无 以逾人。 然至其辅少主，守城深坚，招之不来，麾之不去，虽自谓贲 育亦不能夺之矣。”	Trợ đáp: “Sai Ảm nhận chức làm quan, không có chỗ nào hơn người. Nhưng nói đến việc phò trợ chúa nhỏ, giữ thành rất vững, vời cũng không đến, vẫy cũng không đi, dẫu tự ví như Mạnh Bôn, Hạ Dục cũng không thể làm cho thay đổi vậy.”
上曰：“然。古有社稷之臣，至如黯，近之 矣。”	Hoàng thượng nói: “Phải. Bề tôi xã tắc thuở xưa, đến như Ảm, gần theo kịp họ rồi.”
大将军青侍中，上踞厕而视之。	Đại tướng quân Vệ Thanh hầu trong cung, hoàng thượng ngồi xổm bên giường triệu kiến.
丞相弘燕见，上或时不冠。	Thừa tướng Công Tôn Hoằng vào yết kiến riêng, hoàng thượng có lúc không đội mũ.
至如黯 见，上不冠不见也。	Còn Cấp Ảm vào yết kiến, hoàng thượng không đội mũ thì không tiếp kiến.
上尝坐武帐中， 黯前奏事，上不冠，望见黯，避帐中，使人可其奏。	Hoàng thượng từng ngồi trong trướng võ, Ảm tâu việc ở phía trước, do hoàng thượng không đội mũ, trông thấy Ảm từ xa, liền tránh vào trong trướng, sai người khác nhận tấu chương.
其见敬礼 如此。	Ảm được kính lễ đến như thế đấy.
张汤方以更定律令为廷尉，黯数质责汤於上前，曰：“公为正 卿，上不能襃先帝之功业，下不能抑天下之邪心，安国富民，使囹圄 空虚，二者无一焉。非苦就行，放析就功，何乃取高皇帝约束纷更之 为？公以此无种矣。”	Trương Thang mới đổi định luật lệnh, được làm Đình úy, Ảm nhiều lần vặn hỏi Thang trước mặt hoàng thượng, nói: “Ông là chính khanh, trên không thể phát dương công nghiệp của tiên đế, dưới không thể kiềm chế lòng tà vạy của thiên hạ, giữ yên đất nước, làm giàu cho dân, khiến ngục tù trống vắng, hai việc đó không làm được một. Lại làm việc không liên quan, tùy tiện phá bỏ luật lệnh cũ để lập công, sao lại lấy luật lệnh của Cao hoàng đế sửa đổi loạn lên làm gì? Ông vì việc ấy sẽ không còn dòng giống nữa đâu.”
黯时与汤论议，汤 辩常在文深小苛，黯伉厉守高不能屈，忿发骂曰：“天下谓刀笔吏不 可以为公卿，果然。必汤也，令天下重足而立，侧目而视矣！”	Bấy giờ Ảm cùng Thang tranh biện, khi tranh biện Trường Thang thường đi sâu vào điều khoản tiểu tiết, còn Cấp Ảm thì cứng rắn, giữ chí khí cao, không chịu nhún nhường, tức giận chửi rằng: “Thiên hạ bảo bọn văn thư tiểu lại không thể làm công khanh, quả là thế. Cứ như Thang sẽ khiến thiên hạ nhón chân mà đứng, nghiêng mắt mà nhìn thôi!”
是时，汉方征匈奴，招怀四夷。	Bấy giờ, nhà Hán đang chinh phạt Hung Nô, vỗ về Tứ di.
黯务少事，乘上间，常言与胡和 亲，无起兵。	Ảm chuộng ít việc, thừa lúc hoàng thượng rảnh rỗi, thường nói việc hòa thân với người Hồ, đừng dấy binh.
上方向儒术，尊公孙弘。	Hoàng thượng đang hướng về nho thuật nên tôn sùng Công Tôn Hoằng.
及事益多，吏民巧弄。	Đến khi việc ngày càng nhiều, quan dân khéo léo trốn tránh pháp luật.
而黯常毁 儒，面触弘等徒怀诈饰智以阿人主取容，而刀笔吏专深文巧诋， 陷人於罪，使不得反其真，以胜为功。	Còn Ảm thường hủy báng nhà nho, trực tiếp xúc phạm bọn Hoằng, cho là trong lòng dối trá bề ngoài tỏ ra sáng láng, a dua lấy lòng vua, bọn văn thư tiểu lại chuyên đi sâu vào điều khoản luật lệnh, khéo léo hủy báng, hãm người ta vào tội, khiến không thể khôi phục được chân tướng, coi thắng được người là công lao.
上愈益贵弘、汤， 弘、汤深心疾黯，唯天子亦不说也，欲诛之以事。	Hoàng thượng ngày càng quý trọng Công Tôn Hoằng và Trương Thang, Hoằng và Thang trong bụng ghét Ảm, ngay thiên tử cũng không thích, muốn viện cớ để giết đi.
弘为丞相，乃言上 曰：“右内史界部中多贵人宗室，难治，非素重臣不能任，请徙黯为 右内史。”	Hoằng làm Thừa tướng, bèn nói với hoàng thượng rằng: “Khu vực Hữu nội sử phụ trách có nhiều quý nhân trong tông thất, khó trị lý, không phải bậc trọng thần thì không thể gánh vác được, xin chuyển Ảm làm Hữu nội sử.”
为右内史数岁，官事不废。	Ảm làm Hữu nội sử được mấy năm, việc quan không bị bỏ bê.
人或说黯曰：“自天 子欲群臣下大将军，大将军尊重益贵，君不可以不拜。”	Có người nói với Ảm: “Từ khi thiên tử muốn quần thần khiêm hạ với đại tướng quân, đại tướng quân được tôn trọng và ngày càng hiển quý, ngài không thể không vái lạy.”
黯曰：“夫 以大将军有揖客，反不重邪？”	Ảm nói: “Đại tướng quân được khách chắp tay hành lễ, nay lại không muốn được kính trọng nữa ư?”
大将军闻，愈贤黯，数请问国家朝廷 所疑，遇黯过於平生。	Đại tướng quân nghe nói việc đó, càng cho Ảm là hiền năng, nhiều lần hỏi ý kiến về các việc nan giải của triều đình quốc gia, đãi ngộ với Ảm hơn người khác.
淮南王谋反，惮黯，曰：“好直谏，守节死义，难惑以非。至如 说丞相弘，如发蒙振落耳。”	Hoài Nam vương mưu phản, sợ Ảm, nói: “Thích can gián thẳng, giữ tiết tháo, chết vì nghĩa, khó lòng dùng điều sai trá mê hoặc được. Còn nói đến Thừa tướng Công Tôn Hoằng, chỉ như xòe lọng ra che, lay cây rụng lá thôi.”
天子既数征匈奴有功，黯之言益不用。	Thiên tử nhiều lần chinh phạt Hung Nô, lập nên công tích, lời Ảm nói ngày càng không nghe.
始黯列为九卿，而公孙弘、张汤为小吏。	Ban đầu Ảm được liệt vào hàng cửu khanh, còn Công Tôn Hoằng, Trương Thang làm tiểu lại.
及弘、汤稍益贵，与黯 同位，黯又非毁弘、汤等。	Đến khi Hoằng, Thang dần được hiển quý, chức vị ngang Ảm, Ảm lại hủy báng gièm pha bọn Hoằng, Thang.
已而弘至丞相，封为侯；汤至御史大夫； 故黯时丞相史皆与黯同列，或尊用过之。	Thế rồi Hoằng làm đến Thừa tướng, được phong tước hầu; Thang làm đến Ngự sử đại phu; các viên thừa, sử là thuộc lại của Ảm trước đây đều được thăng ngang hàng Ảm, có người còn được trọng dụng hơn.
黯褊心，不能无少望，见 上，前言曰：“陛下用群臣如积薪耳，後来者居上。”	Ảm lòng dạ hẹp hòi, không thể không có lòng oán, tiếp kiến hoàng thượng, tiến lên trước nói: “Bệ hạ dùng quần thần như tích củi vậy, người đến sau thì ở trên.”
上默然。	Hoàng thượng lặng thinh.
有间 黯罢，上曰：“人果不可以无学，观黯之言也日益甚。”	Lát sau, Ảm lui rồi, hoàng thượng nói: “Người ta không thể không học, xét lời của Ảm ngày càng quá đáng.”
县官无钱，从民 贳马。	Huyện quan không tiền, phải mượn ngựa của dân.
民或匿马，马不具。	Dân có người giấu ngựa đi, ngựa không đủ số.
上 怒，欲斩长安令。	Hoàng thượng giận, định chém Huyện lệnh Trường An.
黯曰：“长安令无罪，独斩黯，民乃肯出马。且匈 奴畔其主而降汉，汉徐以县次传之，何至令天下骚动，罢弊中国而以 事夷狄之人乎！”	Ảm nói: “Huyện lệnh Trường An vô tội, chém một mình Ảm, dân sẽ chịu giao ngựa ra. Vả lại Hung Nô phản chúa mình để hàng nhà Hán, nhà Hán thư thả lần lượt theo các huyện đưa họ đi, làm gì đến mức khiến cho thiên hạ xao động, khiến Trung nguyên mỏi mệt để phụng sự cho di địch ư?”
及浑邪至，贾人与市者，坐当死者五百馀 人。	Đến khi Hồn Da tới, thương nhân buôn bán với người Hung Nô trên năm trăm người bị khép tội chết.
黯请间，见高门， 曰：“夫匈奴攻当路塞，绝和亲，中国兴兵诛之，死伤者不可 胜计，而费以巨万百数。臣愚以为陛下得胡人，皆以为奴婢以赐从军 死事者家；所卤获，因予之，以谢天下之苦，塞百姓之心。今纵不 能，浑邪率数万之众来降，虚府库赏赐，发良民侍养，譬若奉骄子。 愚民安知市买长安中物而文吏绳以为阑出财物于边关乎？ 陛下纵不能得匈奴之资以谢天下，又 以微文杀无知者五百馀人，是所谓‘庇其叶而伤其枝’者也，臣窃为 陛下不取也。”	Cấp Ảm xin gặp hoàng thượng, yết kiến tại điện Cao Môn, nói: “Xét, Hung Nô tấn công các đường quan ải, cắt đứt minh ước hòa thân, Trung nguyên dấy binh diệt chúng, thương vong không sao kể xiết, phí tổn đến hàng trăm vạn. Thần ngu muội cho là bệ hạ thu được người Hồ, đều đem làm nô tỳ ban cho các nhà có người tòng quân chết trận; của cải thu được cũng ban cho họ, để bù đắp nỗi nhọc nhằn của thiên hạ, thỏa tâm nguyện của trăm họ. Nay nếu không thể làm vậy, Hồn Da đem mấy vạn bộ chúng đến hàng, vét hết kho lẫm để ban thưởng, huy động của cải dùng để cấp dưỡng cho lương dân, giống như đem cho con cưng. Dân ngu đâu biết mua bán vật phẩm trong thành Trường An mà cũng bị pháp quan khép tội tự ý mua bán tài vật để đưa khỏi quan ải? Nếu bệ hạ không lấy của cải của Hung Nô để úy lạo thiên hạ, lại dùng điều khoản mập mờ giết hơn năm trăm kẻ vô tri, đó gọi là che cho lá mà làm tổn thương đến cành vậy. Thần trộm vì bệ hạ cho là không thể.”
上默然，不许，曰：“吾久不闻汲黯之言，今又复妄 发矣。”	Hoàng thượng im lặng, không đồng ý, nói: “Ta lâu nay không nghe lời Cấp Ảm, nay lại phát ngôn hàm hồ.”
後数月，黯坐小法，会赦免官。	Mấy tháng sau, Ảm phạm phải tội nhỏ, gặp dịp đại xá thiên hạ nên bị bãi chức.
於是黯隐於田园。	Thế rồi Ảm ẩn cư với cảnh ruộng vườn.
上以为淮阳，楚地之郊，乃召拜黯为淮阳太守。	Hoàng thượng cho Hoài Dương là vùng ngoài địa giới đất Sở, bèn triệu Ảm phong làm Thái thú Hoài Dương.
诏召见黯，黯为上泣曰：“臣自 以为填沟壑，不复见陛下，不意陛下复收用之。臣常有狗马病，力不 能任郡事，臣原为中郎，出入禁闼，补过拾遗，臣之原也。”	Hạ chiếu triệu kiến Ảm, Ảm khóc trước mặt hoàng thượng, nói: “Thần tự cho thây này vứt nơi ngòi rãnh, không gặp được bệ hạ nữa, chẳng ngờ bệ hạ lại thu dụng thần. Thần thường có bệnh, sức không gánh được việc ở quận, thần xin làm Trung lang, vào ra nơi cung cấm, để bổ cứu chỗ còn thiếu sót, khiếm khuyết, là tâm nguyện của thần vậy.”
上 曰：“君薄淮阳邪？吾今召君矣。顾 淮阳吏民不相得，吾徒得君之重，卧而治之。”	Hoàng thượng nói: “Ông xem nhẹ quận Hoài Dương ư? Nay ta đã triệu ông đến. Xét thấy quận Hoài Dương, quan lại dân chúng không hòa được nhau, ta muốn chuyển ông, người có uy vọng, chỉ cần nằm ở phủ để trị lý công việc.”
黯既辞行，过大行李 息，曰：“黯弃居郡，不得与朝廷议也。然御史大夫张汤智足以拒 谏，诈足以饰非，务巧佞之语，辩数之辞，非肯正为天下言，专阿主 意。主意所不欲，因而毁之；主意所欲，因而誉之。好兴事，舞文 法，内怀诈以御主心，外挟贼吏以为威 重。公列九卿，不早言之，公与之俱受其僇矣。”	Sau khi Ảm từ biệt lên đường, qua chỗ quan Đại hành Lý Tức, nói: “Ảm bị bỏ ở quận ngoài, không được thương nghị cùng triều đình nữa. Nhưng Ngự sử đại phu Trương Thang, trí tuệ đủ để chống cự lời khuyên ngăn, gian trá đủ để tô điểm chỗ sai lầm, chuộng lời khéo léo nịnh bợ, những lời chỉ trích, không chịu nói lời chính đáng vì thiên hạ, a dua theo ý chúa. Điều gì ý chúa không muốn, nhân đó hủy báng thêm; điều gì ý chúa muốn, nhân đó khen thêm vào. Thích dựng chuyện, bóp méo pháp độ, trong thì ôm lòng dối trá để đón ý chúa, ngoài thì cấu kết quan lại sâu mọt để thêm phần uy thế. Ông là quan cửu khanh, không sớm nói với hoàng thượng, ông và ông ta sẽ đều bị giết đấy.”
黯居郡如故治，淮阳政清。	Ảm ở quận, vẫn theo cách trị lý cũ, chính sự ở Hoài Dương được yên bình.
令黯以诸侯相秩居淮阳。	Chiếu ban cho Ảm được phẩm trật của quốc tướng chư hầu, vẫn cai trị ở Hoài Dương.
七岁而卒。	Được bảy năm thì chết.
卒後，上以黯故，官其弟汲仁至九卿，子汲偃至诸侯相。	Sau khi chết, hoàng thượng vì việc của Ảm, phong em trai Ảm là Cấp Nhân làm đến cửu khanh, con là Cấp Yển làm đến quốc tướng của chư hầu.
黯姑姊 子司马安亦少与黯为太子洗马。	Con trai cô họ của Ảm là Tư Mã An lúc trẻ cũng từng làm thái tử tẩy mã với Ảm.
安文深巧善宦，官四至九卿，以河南 太守卒。	An hiểu biết sâu sắc về luật lệnh, khéo làm quan, làm đến cửu khanh, chết khi đang làm Thái thú Hà Nam.
昆弟以安故，同时至二千石者十人。	Anh em nhờ An, cùng lúc có mười người làm đến hàng quan hai nghìn thạch.
濮阳段宏 始事盖侯信，信任 宏，宏亦再至九卿。	Đoàn Hoành ở Bộc Dương ban đầu phụng sự Cái hầu là Tín, Tín nhậm dụng Hoành, Hoành cũng làm đến cửu khanh.
然卫人仕者皆严惮汲黯，出其下。	Nhưng người ở đất Vệ đều rất sợ Cấp Ảm, chịu hàng dưới ông ta.
郑当时者，字庄，陈人也。	Trịnh Trang Trịnh Đương Thời, tự là Trang, người đất Trần.
其先郑君 尝为项籍将；籍死，已而属汉。	Tiên tổ là Trịnh Quân từng làm tướng võ cho Hạng Tịch; Tịch chết, Trịnh Quân quy phục nhà Hán.
诏尽拜名籍者为大夫，而逐郑君。	Hạ chiếu cho những người gọi thẳng tên của Tịch làm đại phu, rồi đuổi Trịnh Quân đi.
郑君死孝文时。	Trịnh Quân chết thời Hiếu Văn đế.
孝景时，为太子舍人。	Thời Hiếu Cảnh đế, Trịnh Trang làm Thái tử xá nhân.
庄好黄 老之言，其慕长者如恐不见。	Trang thích học thuyết Hoàng-Lão, kính mộ bậc trưởng giả như sợ không được gặp.
年少官薄，然其游知交皆其大父行，天 下有名之士也。	Tuổi trẻ làm quan nhỏ, nhưng giao du quen biết đều là hàng ông cha và kẻ sĩ có danh tiếng trong thiên hạ.
武帝立，庄稍迁为鲁中尉、济南太守、江都相，至九 卿为右内史。	Vũ đế lên ngôi, Trang dần được thăng lên làm Trung úy nước Lỗ, Thái thú Tế Nam, Giang Đô tướng, làm đến cửu khanh giữ chức Hữu nội sử.
以武安侯魏其时议，贬秩为詹事，迁为大农令。	Do bị Vũ An hầu, Ngụy Kỳ hầu chỉ trích, bị giáng cấp làm Chiêm sự, rồi thăng làm Đại nông lệnh.
庄为太史，诫门下：“客至，无贵贱无留门者。”	Trang làm quan Thái sử, răn môn hạ rằng: “Khách đến, bất kể sang hèn đều không được để họ chờ ngoài cổng.”
执宾主之礼， 以其贵下人。	Khi Trang giữ lễ chủ khách, lấy sự sang quý của mình khiêm hạ với người dưới.
每朝，候上之间，说未尝 不言天下之长者。	Hằng sáng, nhân cơ hội trình tấu hoàng thượng, chưa từng không nói về bậc trưởng giả trong thiên hạ.
其推毂士及官属丞史，诚有味其言之也，常引以为 贤於己。	Tiến cử kẻ sĩ và thuộc quan thừa, sử, Trang đều nói lời tốt đẹp, thường viện dẫn họ hiền năng hơn mình.
未尝名吏，与官属言，若恐伤之。	Chưa từng gọi thẳng tên thuộc lại, nói chuyện với quan lại dưới quyền, như sợ làm tổn thương họ.
闻人之善言，进之上，唯 恐後。	Nghe những lời tốt đẹp của người khác, liền tấu lên hoàng thượng, chỉ sợ dây dưa lỡ việc.
山东士诸公以此翕然称郑庄。	Kẻ sĩ và trưởng giả ở phía đông Hào Sơn vì thế đều cùng khen ngợi Trịnh Trang.
郑庄使视决河，自请治行五日。	Trịnh Trang được phải đi thị sát việc vỡ đê sông Hoàng Hà, xin năm ngày chuẩn bị hành trang.
上曰：“吾闻‘郑庄行，千里不赍粮’，请治行者何也？”	Hoàng thượng nói: “Ta nghe Trịnh Trang xuất hành, đi ngàn dặm không mang lương thực, sao lại phải xin chuẩn bị hành trang?”
然 郑庄在朝，常趋和承意，不敢甚引当否。	Nhưng ở trong triều, Trịnh Trang thường xu phụ, đón ý vua, không dám nói rõ đúng sai.
及晚节，汉征匈奴，招四 夷，天下费多，财用益匮。	Đến khi tuổi cao, nhà Hán chinh phạt Hung Nô, chiêu tập Tứ di, thiên hạ tổn phí rất nhiều, của cải chi dùng thiếu thốn.
司马安为淮阳太守，发其事，庄以此陷罪，赎为庶人。	Tư Mã An làm Thái thú Hoài Dương cáo giác việc đó, vì thế Trang mắc tội, được chuộc tội làm dân thường.
顷之，守长史。	Không lâu sau, làm Trưởng sử.
上以为老，以庄为汝南太 守。	Hoàng thượng cho Trang đã già, phong Trang làm Thái thú Nhã Nam.
数岁，以官卒。	Được mấy năm, chết khi đang giữ chức.
郑庄、汲黯始列为九卿，廉，内行脩絜。	Trịnh Trang, Cấp Ảm ban đầu làm cửu khanh, thanh liêm, khi ở nhà giữ mình trong sạch.
此两人中废，家贫，宾 客益落。	Hai người giữa chừng bị bãi chức, nhà nghèo, tân khách bỏ đi dần.
及居郡，卒後家无馀赀财。	Lúc làm quan ở quận, sau khi chết trong nhà không có của dư.
庄兄弟 子孙以庄故，至二千石六七人焉。	Anh em con cháu Trang, nhờ Trang mà sáu bảy người làm quan đến hàng hai nghìn thạch.
太史公曰：夫以汲、郑之贤，有势则宾客十倍，无势则否，况众 人乎！	Thái sử công bàn rằng: Xét lẽ, dựa vào tài năng của Cấp Ảm, Trịnh Trang, khi có quyền thế thì tân khách đông gấp mười, đến khi hết quyền thế thì chẳng còn ai, huống chi là người bình thường!
翟公复为廷尉，宾客欲往，翟公乃人署其 门曰：“一死一生，乃知交情。一贫一富，乃知交态。一贵一贱，交 情乃见。” 汲、郑亦云，悲夫！ 河南矫制，自古称贤。 淮南卧理，天子伏焉。	Địch công được phục chức Đình úy, tân khách muốn đến, Địch công bèn viết lên cổng rằng: “Một chết một sống, mới hay giao tình. Nghèo hèn, giàu có, liền hay thực giả. Một sang một hèn, giao tình hiện rõ.”
大将军青既益尊，姊为皇后，然黯与亢礼。	Đại tướng quân Vệ Thanh sau khi đã được tôn quý, chị làm Hoàng hậu, nhưng Ảm giữ lễ ngang hàng.
居无何，匈奴浑邪王率众来降，汉发车二万乘。	Không lâu sau, Hồn Da vương ở Hung Nô đem bộ chúng đến hàng, nhà Hán phát động hai vạn chiến xa đón.
息畏汤，终不敢 言。	Tức sợ Thang, rốt cuộc không dám nói.
後张汤果败，上闻黯与息言，抵息 罪。	Sau, quả nhiên Trương Thang thân bại danh liệt, hoàng thượng biết những lời Ảm nói với Tức, xử tội Tức.
下邽 翟公有言，始翟公为廷尉，宾客阗 门；及废，门外可设雀罗。	Địch công ở Hạ Khuê có nói, ban đầu Địch công làm Đình úy, tân khách đầy cổng; tới khi bị bãi chức, ngoài cổng có thể giăng lưới bắt chim sẻ.
居数年，会更五铢钱，民多盗 铸钱，楚地尤甚。	Được mấy năm, gặp dịp đổi tiền ngũ thù, dân nhiều người đúc trộm tiền, nhiều nhất là đất Sở.
黯 伏谢不受印，诏数彊予，然後奉诏。	Ảm lạy tạ không nhận ấn tín, nhiều lần hạ chiếu ép nhận, sau mới vâng chiếu.
高祖令诸故项籍臣名籍，郑君 独不奉诏。	Cao tổ lệnh cho các bề tôi cũ của Hạng Tịch gọi thẳng tên của Tịch, riêng Trịnh Quân không vâng chiếu.
每五日洗沐，常置驿马 安诸郊， 存诸故人，请谢宾客，夜以继日，至其明旦，常恐不遍。	Cứ năm ngày được nghỉ một ngày, thường chuẩn bị ngựa ở các dịch trạm bên ngoài Trường An, thăm hỏi bè bạn, nghinh đón tân khách, thông đêm đến sáng hôm sau, vẫn lo không được chu tất.
