万石君名奋，其父赵人 也，姓石氏。	Thạch Phấn, Thạch Kiến Vạn Thạch quân tên là Phấn, cha người nước Triệu, họ Thạch.
内史庆醉归，入外门不下车。	Nội sử Khánh say rượu về nhà, đến cổng ngoài không xuống xe.
万石君闻之，不食。	Vạn Thạch quân hay chuyện, bỏ ăn.
庆恐，肉袒请罪，不许。	Khánh sợ, để trần xin nhận tội, không cho.
举宗及兄建肉袒，万石 君让曰：“内史贵人，入闾里，里中长老皆走匿，而内史坐车中自 如，固当！”	Cả họ tộc cùng anh là Kiến đều cởi trần thỉnh tội, Vạn Thạch quân trách rằng: “Nội sử là người sang quý, vào cổng làng, trưởng lão trong làng đều chạy đi ẩn, thế mà Nội sử nghênh ngang ngồi xe, phạt thế thỏa đáng!”
庆及诸子弟入里门，趋至家。	Khánh cùng các con em vào cổng làng, chạy vội về nhà.
万石君以元朔五年中卒。	Năm Nguyên Sóc thứ năm, Vạn Thạch quân mất.
长子郎中令建哭泣哀思，扶杖乃能行。	Con trưởng là Lang trung lệnh Kiến khóc lóc đau đớn, chống gậy mới đi nổi.
岁馀，建亦死。	Hơn năm sau, Kiến cũng chết.
诸子孙咸孝，然建最甚，甚於万石君。	Các con cháu đều hiếu thuận, nhưng Kiến hiếu nhất, hơn cả Vạn Thạch quân.
建为郎中令，书奏事，事下，建读之，曰：“误书！‘马’者与 尾当五，今乃四，不足一。 上谴死矣！”	Kiến làm Lang trung lệnh, dâng thư tâu việc, được phê chuẩn rồi chuyển xuống, Kiến đọc bản tấu, nói: “Viết nhầm rồi! Chữ 'mã' (⾺) cùng phần đuôi đáng lẽ năm nét, nay viết bốn nét, thiếu một nét, Hoàng thượng trách tội chết mất!”
甚惶恐。	Vô cùng sợ sệt.
其为谨慎，虽他皆如是。	Ông tính cẩn thận, với việc khác cũng như thế.
万石君少子庆为太仆，御出，上问车中几马，庆以策数马毕，举 手曰：“六马。”	Thạch Khánh Con út Vạn Thạch quân là Khánh làm chức Thái bộc, khi ngự giá ra ngoài, Hoàng thượng hỏi trước xe có mấy con ngựa, Khánh cầm roi trỏ từng con xong, giơ tay đáp: “Sáu con ngựa.”
庆於诸子中最为简易矣， 然犹如此。	Trong số các con, Khánh ít cẩn trọng nhất, mà còn như thế.
为齐相，举齐国皆慕其家行，不言而齐国 大治，为立石相祠。	[Khánh] làm Tướng quốc nước Tề, cả nước Tề đều ngưỡng mộ đức hạnh gia đình ông, không cần nói mà Tề rất yên trị, lập đền thờ gọi là Thạch tướng từ.
元狩元年，上立太子，选群臣可为傅者，庆自沛守为太子太傅， 七岁迁为御史大夫。	Năm Nguyên Thú thứ nhất, Hoàng thượng lập Thái tử, chọn bề tôi có thể làm Thái phó, Khánh từ Quận thủ quận Bái phong lên làm Thái tử Thái phó, được bảy năm thăng làm Ngự sử đại phu.
元鼎五年秋，丞相有罪，罢。	Năm Nguyên Đỉnh thứ năm, mùa thu, Thừa tướng có tội, bị bãi chức.
制诏御史：“万石君先帝尊之，子孙孝，其以御史大夫庆为丞 相，封为牧丘侯。”	Hạ chiếu cho Ngự sử: “Vạn Thạch quân là người được tiên đế tôn trọng, con cháu hiếu thảo, nay lấy Ngự sử đại phu Khánh làm Thừa tướng, phong làm Mục Khâu hầu.”
在位九岁，无能有所匡言。	Tại vị được chín năm, không nói được gì về việc khuông phò.
尝欲请治上近臣所忠、九卿咸 宣罪，不能服，反受其过，赎罪。	Thạch Khánh từng muốn xin trị tội cận thần Sở Trung và quan Cửu khanh là Hàm Tuyên, không thể khiến họ nhận tội, trái lại còn bị trách lỗi, phải chuộc tội.
元封四年中，关东流民二百万口，无名数者四十万， 公卿议欲请徙流民於边以適之。	Trong năm Nguyên Phong thứ tư, Quan Đông có hai trăm vạn lưu dân, người không có hộ tịch tới bốn mươi vạn, công khanh bàn nghị, muốn xin dời lưu dân đến biên giới, như bị biếm trích.
上以为 丞相老谨，不能与其议，乃赐丞相告归，而案御史大夫以下议为请 者。	Hoàng thượng cho rằng Thừa tướng cao tuổi cẩn trọng, không thể cùng bàn nghị, bèn cho Thừa tướng cáo lão hồi hương, rồi xem xét đề nghị của Ngự sử đại phu.
丞相惭不任职，乃上书曰：“庆幸得待罪丞相，罢驽无以辅治， 城郭仓库空虚，民多流亡，罪当伏斧质，上不忍致法。原归丞相侯 印，乞骸骨归，避贤者路。”	Thừa tướng hổ thẹn vì không được bổ nhậm, bèn dâng thư: “Khánh may được làm Thừa tướng để đợi tội, như con ngựa hèn chẳng biết lấy gì giúp cuộc trị lý, thành quách kho lẫm trống không, dân phần nhiều lưu vong, đáng tội búa rìu, Hoàng thượng không nỡ lòng xử tội. Xin trả lại ấn Thừa tướng, ấn phong hầu, đem bộ xương tàn về quê, tránh đường cho người hiền tài.”
天子曰：“仓廪既空，民贫流亡，而君 欲请徙之，摇荡不安，动危之，而辞位，君欲安归难乎？”	Thiên tử nói: “Kho lương đã trống, dân nghèo lưu vong, ông lại muốn dời đi, khiến họ lay động không yên, chấn động nguy cấp, mà lại từ chức, ông muốn đổ cái khó cho ai đây?”
以书让庆，庆甚惭，遂复视事。	Hạ chiếu trách Khánh, Khánh rất hổ thẹn, bèn quay lại xử lý chính sự.
庆文深审谨，然无他大略，为百姓言。	Khánh văn nghĩa sâu xa, thẩm xét cẩn thận, nhưng không có mưu lược lớn, không nói được gì cho trăm họ.
後三岁馀，太初二年中， 丞相庆卒，谥为恬侯。	Hơn ba năm sau, trong năm Thái Sơ thứ hai, Thừa tướng Khánh chết, thụy là Điềm hầu.
庆中子德，庆爱用之，上以德为嗣，代侯。	Con giữa của Khánh là Đức, được Khánh tin yêu coi trọng, Hoàng thượng lấy Đức thừa tự, thay Khánh nối tiếp tước hầu.
後 为太常，坐法当死，赎免为庶人。	Sau làm quan Thái thường, phạm pháp bị xử chết, được chuộc tội, bị giáng làm dân thường.
庆方为丞相，诸子孙为吏更至二千 石者十三人。	Khánh đương làm Thừa tướng, các con cháu có mười ba người làm quan đến hạng hai nghìn thạch.
及庆死後，稍以罪去，孝谨益衰矣。	Sau khi Khánh chết, một số bị tội bãi chức, sự hiếu thuận cẩn trọng ngày một suy.
建陵侯卫绾者，代 大陵人也。	Vệ Oản Kiến Lăng hầu Vệ Oản, người Đại Lăng đất Đại.
绾以戏 车为郎， 事文帝，功次迁为中郎将，醇谨无他。	Oản nhờ tài điều khiển xe ngựa được làm quan Lang, thờ Văn đế, xét công lao được thăng lên Trung lang tướng, thuần hậu cẩn trọng, chẳng còn gì khác.
孝景为太子 时，召上左右饮，而绾称病不行。	Hiếu Cảnh đế khi làm Thái tử, triệu thân cận của Hoàng thượng đến uống rượu, còn Oản thác bệnh không đi.
文帝且崩时，属孝景曰：“绾长者，善遇之。”	Lúc Văn đế sắp mất, dặn Cảnh đế rằng: “Oản là bậc trưởng giả, hãy đối xử tốt với ông ta.”
及文帝 崩，景帝立，岁馀不噍呵 绾，绾日以谨力。	Đến khi Văn đế băng hà, Cảnh đế lên ngôi, hơn năm không trách mắng Oản, Oản ngày càng cẩn trọng.
景帝幸上林，诏中郎将参乘，还而问曰：“君知所以得参乘 乎？”	Cảnh đế ra chơi vườn Thượng Lâm, hạ chiếu Trung lang tướng ngồi cùng xe, trở về hỏi rằng: “Ông biết tại sao được ngồi cùng xe không?”
绾曰：“臣从车士幸得以功次迁为中郎将，不自知也。”	Oản đáp: “Thần từ kẻ đánh xe, may được xét công thẳng lên làm Trung lang tướng, không biết nguyên nhân thế nào.”
上问 曰：“吾为太子时召君，君不肯来，何也？”	Hoàng thượng hỏi: “Lúc ta làm Thái tử có triệu ngươi, ngươi không chịu đến là cớ làm sao?”
对曰：“死罪，实 病！”	Đáp rằng: “Tội thần đáng chết, thần thực bị ốm!”
上赐之剑。	Hoàng thượng ban kiếm.
绾曰：“先帝赐臣剑凡六，剑不敢奉诏。”	Oản nói: “Tiên đế ban cho thần sáu thanh kiếm, thần không dám vâng chiếu nhận thêm.”
上 曰：“剑，人之所施易， 独至今乎？”	Hoàng thượng nói: “Kiếm, người ta mua đi bán lại, riêng người giữ đến nay chăng?”
绾曰：“具 在。”	Oản đáp: “Còn đủ.”
郎官有谴，常蒙其罪，不与 他将争；有功，常让他将。	Quan Lang có lỗi, thường phải chịu tội, không được đổ thừa cho tướng quan khác; nếu có công, hay nhường tướng khác.
上以为廉，忠实无他肠， 乃拜绾为河间王太傅。	Hoàng thượng cho là liêm chính, trung thực, không có lòng khác, bèn phong Oản làm Thái phó cho Hà Gian vương.
三岁，以军功，孝景前六年中封绾 为建陵侯。	Được ba năm, nhờ quân công, trong năm Tiền Nguyên thứ sáu thời Cảnh đế, phong Oản làm Kiến Lăng hầu.
其明年，上废太子，诛栗卿之属。	Năm sau, Hoàng thượng phế truất Thái tử, giết thuộc quan Lật Khanh.
上以 为绾长者，不忍，乃赐绾告归，而使郅都治捕栗氏。	Hoàng thượng cho Oản là bậc trưởng giả, không nỡ trị tội, bèn ban cho Oản cáo lão về quê, rồi sai Chất Đô bắt họ Lật trị tội.
既已，上立胶东 王为太子，召绾，拜为太子太傅。	Xong xuôi, Hoàng thượng lập Giao Đông vương làm Thái tử, triệu Oản về, phong làm Thái tử Thái phó.
久之，迁为御史大夫。	Lâu sau, thăng làm Ngự sử đại phu.
五岁，代桃 侯舍为丞相，朝奏事如 职所奏。	Được năm năm, thay vào hầu Lưu Xá làm Thừa tướng, vào triều tâu việc theo đúng chức trách.
然自初官以至丞相， 终无可言。	Nhưng từ khi mới làm quan đến lúc làm Thừa tướng, trước sau không có gì đáng nói.
天子以为敦厚，可相少主，尊宠之，赏赐甚多。	Thiên tử cho là người đôn hậu, có thể giúp thiếu chúa, tôn sùng ông ta, ban thưởng rất nhiều.
为丞相三岁，景帝崩，武帝立。	Oản làm Thừa tướng được ba năm, Cảnh đế băng hà, Vũ đế lên ngôi.
建元年中，丞相以景帝疾时诸官 囚多坐不辜者，而君不任职，免之。	Trong niên hiệu Kiến Nguyên, Thừa tướng nhân lúc Cảnh đế bị bệnh, tù nhân của đám quan thư nhiều người bị tội lụy, nên bị coi không xứng với chức vị, bị bãi quan.
其後绾卒，子信代。 坐酎金失 侯。	Sau đó Oản chết, con là Tín lên thay, dâng vàng làm tế khí sai lễ chế, bị phế tước hầu.
塞侯 直不疑者，南阳人也。	Trực Bất Nghi Tái hầu Trực Bất Nghi là người Nam Dương.
为郎，事文帝。	Làm quan Lang, thờ Văn đế.
而告归者来而归金，而前郎亡金者大惭，以此称为长 者。	Người cáo lão về quê trở lại trả vàng, viên quan Lang mất vàng trước đây rất hổ thẹn, nhân đó khen Bất Nghi là trưởng giả.
文帝称举，稍迁至太中大夫。	Văn đế khen ngợi, từng bước thăng đến Thái trung đại phu.
朝廷见，人或毁曰：“不疑状貌 甚美，然独无柰其善盗嫂何也！”	Hội kiến ở triều đình, có người hủy báng: “Bất Nghi tướng mạo rất đẹp, nhưng không hiểu sao khéo trộm cả chị dâu!”
不疑闻， 曰：“我乃无兄。”	Bất Nghi nghe được, nói: “Tôi không có anh trai.”
然终不自明也。	Cuối cùng chẳng tự thanh minh.
吴楚反时，不疑以二千石将兵击之。	Khi Ngô, Sở làm phản, Bất Nghi đang làm quan hạng hai nghìn thạch, cầm quân tiến đánh.
景帝後元年，拜为御史大 夫。	Thời Cảnh đế năm Hậu Nguyên thứ nhất, phong làm Ngự sử đại phu.
天子修吴楚时功，乃封不疑为塞侯。	Thiên tử xét công người tham gia dẹp loạn Ngô, Sở, bèn phong Bất Nghi làm Tái hầu.
武帝建元年中，与丞相绾俱 以过免。	Thời Vũ đế, niên hiệu Kiến Nguyên, cùng Thừa tướng Oản đều vì mắc lỗi nên bị bãi miễn.
不疑学老子言。 其所临，为官如故，唯恐人知其为吏迹也。	Bất Nghi học theo Lão tử, đến chỗ nào cũng làm như các quan thời xưa, chỉ sợ người ta biết sự tích làm quan của mình.
不好 立名称，称为长者。	Không muốn lập danh tiếng, được khen là trưởng giả.
孙望，坐酎金失侯。 郎中令周文者，名仁，其先故任城人也。	Cháu nội là Vọng, dâng vàng làm tế khí sai lễ chế, bị mất tước hầu. Chu Nhân Lang trung lệnh Chu Văn, tên là Nhân, tổ tiên vốn người Nhậm Thành.
景帝为太子时，拜为舍人，积功稍迁，孝文帝时至太中大夫。	Cảnh đế khi là Thái tử, cho làm Xá nhân, tích công thăng dần, đến thời Hiếu Văn đế làm tới Thái trung đại phu.
景帝初即位，拜仁为郎中令。	Cảnh đế mới lên ngôi, phong Nhân làm Lang trung lệnh.
景帝入卧内，於後宫祕 戏，仁常在旁。	Cảnh đế vào hậu cung, bí mật đùa cợt với cung tần, Nhân thường ở bên.
至景帝崩，仁尚为郎中 令，终无所言。	Đến khi Cảnh đế băng hà, Nhân vẫn làm Lang trung lệnh, cũng chẳng có gì đáng nói.
上时问人，仁 曰：“上自察之。”	Có lần Hoàng thượng hỏi về người khác, Nhân đáp: “Hoàng thượng tự xét xem.”
然亦无所毁。	Cũng không hề hủy báng.
以此景帝再自幸其家。	Vì thế Cảnh đế hai lần đến nhà.
家徙阳陵。	Gia đình Nhân chuyển đến Dương Lăng.
上所赐甚多，然常让，不敢受也。	Hoàng thượng ban tặng rất nhiều, nhưng thường từ chối, không dám nhận.
诸侯群臣赂遗，终无所受。	Chư hầu quần thần đưa hối lộ, trước sau không nhận của ai.
武帝立，以为先帝臣，重之。	Vũ đế lên ngôi, cho là bề tôi của tiên đế, tôn trọng Nhân.
仁乃病免，以二千石禄归老，子孙 咸至大官矣。	Nhân cáo bệnh xin từ chức, được hưởng lộc hai nghìn thạch về quê, con cháu đều làm đại quan.
御史大夫张叔者，名欧， 安丘侯说之庶子也。	Trương Âu Ngự sử đại phu Trương Thúc, tên là Âu, con ngành thứ của An Khâu hậu Trương Duyệt.
孝文时以治刑 名言 事太子。	Thời Hiếu Văn đế, dựa vào thuyết Hình danh, để phụng sự Thái tử.
然欧虽治刑名家， 其人长 者。	Nhưng Âu tuy theo Hình danh, song lại là bậc trưởng giả.
景帝时尊重，常为九卿。	Thời Cảnh đế, được tôn trọng, từng làm quan Cửu khanh.
至武帝元朔四年，韩安国免，诏拜欧为 御史大夫。	Đến thời Vũ đế, năm Nguyên Sóc thứ tư, Hàn An Quốc bị bãi chức, chiếu phong Âu làm Ngự sử đại phu.
自欧为吏，未尝言案人，专以诚长者处官。	Từ khi Âu làm quan, chưa từng nói muốn tra án ai, chuyên lấy sự thành khẩn trung hậu xử lý việc quan.
官属以为长 者，亦不敢大欺。	Thuộc quan cho ông là trưởng giả, cũng không dám khinh khi.
上具狱事，有可卻，卻之；不可者，不得已，为涕 泣面对而封之。	Tâu trình việc ngục tụng, việc có thể thẩm xét lại thì thẩm xét; việc không thể thẩm xét lại bất đắc dĩ phải chịu, nhỏ lệ rồi đích thân xem xét, niêm phong.
其爱人如此。	Lòng yêu người đến thế đấy.
老病笃，请免。	Tuổi già bệnh nặng, xin từ quan.
於是天子亦策罢，以上大夫禄归老于家。	Thế rồi thiên tử cũng ban chế sách cho nghỉ, cáo lão về nhà hưởng lộc bậc Thượng đại phu.
家於阳 陵。 子孙咸至大官矣。	Nhà ở Dương Lăng, con cháu đều làm đại quan.
太史公曰：仲尼有言曰“君子欲讷於言 而敏於行”，其万石、建陵、张叔之谓 邪？ 是以其教不肃而成，不严而治。 塞侯微巧， 而周文处讇， 君子讥之，为其近於佞也。 然斯可谓笃行君子矣！	Thái sử công bàn rằng: Trọng Ni có nói: “Người quân tử muốn trì độn trong lời nói mà mẫn tiếp ở việc làm, là nói về Vạn Thạch, Kiến Lăng, Trương Thúc chăng? Vì thế họ giáo hóa không nghiêm nghị mà thành công, không hà khắc mà an trị. Tái hầu làm quan khôn khéo, còn Chu Văn lại bợ đỡ, bị người quân tử chỉ trích, coi họ gần như xu nịnh. Nhưng như họ có thể gọi là quân tử biết dốc sức vào việc vậy!
是时汉方南诛两越，东击朝鲜，北逐匈奴，西伐 大宛，中国多事。	Lúc này nhà Hán đang xuống phía nam thảo phạt lưỡng Việt, sang đông tấn công Triều Tiên, lên bắc truy kích Hung Nô, sang tây đánh Đại Uyển, trong nước nhiều việc.
公家 用少，桑弘羊等致利，王温舒之属峻法，兒宽等推文学至九卿，更进 用事，事不关决於丞相，丞相醇谨而已。	Của cải quốc gia thiếu thốn, bọn Tang Hoằng Dương phụ trách làm lợi cho nước, bọn Vương Ôn Thư giữ luật nghiêm khắc, bọn Nghệ Khoan sùng chuộng văn học, làm quan đến Cửu khanh, thay nhau nắm việc, không cần Thừa tướng quyết định, Thừa tướng chỉ cần trung hậu cẩn trọng mà thôi.
上使取六剑，剑尚盛，未尝服也。	Hoàng thượng sai lấy sáu thanh kiếm, kiếm còn trong bao, chưa từng đeo qua.
吴楚反，诏绾为将， 将河间兵击吴楚有功，拜为中尉。	Ngô, Sở làm phản, hạ chiếu sai Oản làm tướng, đem quân Hà Gian đi đánh Ngô, Sở có công, phong làm Trung úy.
仁为人阴重不泄，常衣敝补衣溺袴， 期为不絜清， 以是得幸。	Nhân vốn thâm trầm kín đáo, thường mặc áo vá, quần ướt nước tiểu, cho nên không sạch sẽ, nhờ đó được sủng ái.
天子巡狩海内，修上古神祠，封禅，兴礼乐。	Thiên tử tuân thủ trong nước, sửa sang miếu thần thượng cổ, làm lễ tế trời, đại hưng lễ nhạc.
其同舍有告归，误持同 舍郎金去，已而金主觉，妄意不疑，不疑谢 有之，买金偿。	Cùng chỗ ông ở có người cáo lão về quê, cầm nhầm vàng của quan Lang cùng ở khác, thế rồi người đó phát hiện, định đổ xằng cho Bất Nghi, Bất Nghi tạ lỗi nhận cầm, mua vàng đền.
