田叔者，赵陉城人 也。	Điền Thúc, người Hình Thành nước Triệu.
鲁王好猎，相常从入 苑中， 王辄休相就馆舍，相出，常暴坐 待王苑外。	Lỗ vương thích săn bắn, Thừa tướng thường theo vào trong vườn, Lỗ Vương cho Thừa tướng đến quán xá nghỉ, Thừa tướng đi khỏi, thường ngồi ngoài trời phía ngoài vườn.
王数使人请相休，终不休，曰：“我王暴露苑中， 我独何为就舍！”	Lỗ Vương nhiều lần sai người đề nghị Thừa tướng nghỉ, nhưng quyết không nghỉ, nói: “Vua của ta dầm mưa dãi nắng trong vườn, sao mình ta về quán xá nghỉ được!”
鲁王以故不大出游。	Lỗ vương vì thế không năng đi săn nữa.
数年，叔以官卒，鲁以百金祠，少子仁不受也，曰：“不以百金 伤先人名。”	Mấy năm sau, Thúc chết khi đang tại chức, Lỗ vương đem trăm cân vàng cúng tế, con út ông là Nhân không nhận, nói: “Không vì trăm cân vàng mà tổn hại danh tiếng tiên nhân được.”
卫将军进言仁，仁为郎中。	Vị tướng quân tiến cử Nhân, Nhân làm Lang trung.
数岁，为二千石丞相长史，失官。	Mấy năm sau, làm Thừa tướng trưởng sử hàng quan hai nghìn thạch, lại bị mất chức.
上东巡，仁奏事有辞， 上说，拜为京辅都尉。	Hoàng thượng tuần du sang đông, Nhân tâu việc, có văn từ, Hoàng thượng thích, phong làm Kinh phụ đô úy.
月馀，上迁拜为 司直。	Được hơn tháng, Hoàng thượng thăng lên Tư trực.
数岁，坐太子事。	Mấy năm sau, phạm tội liên quan đến Thái tử.
时左相自将兵， 令司直田仁主闭守城门，坐纵太 子，下吏诛死。	Bấy giờ, Tả thừa tướng tự cầm quân, sai Tư trực Điền Nhân coi việc đóng cổng thành, vì thả Thái tử đi, giao quan lại luận tội chết.
陉城今在中 山国。	Hình Thành nay ở nước Trung Sơn.
太史公曰：孔子称曰“居是国必闻其政”，田叔之谓乎！	Thái sử công bàn rằng: Khổng tử được khen là: “Ở nước nào ắt nghe chính sự nước ấy”, là nói đến Điền Thục chăng!
义不忘 贤，明主之美以救过。	Vì nghĩa không quên cất nhắc hiền năng, làm sáng mỹ đức bậc quân chủ để bổ khuyết lỗi lầm.
褚先生曰：臣为郎时，闻之曰田仁故与任安相善。	Chử tiên sinh bàn rằng: Lúc tôi làm quan Lang, nghe nói Điền Nhân vốn thân thiết với Nhâm An.
任安，荥阳人 也。 少孤贫困，为人将车之长安，留，求事为小 吏，未有因缘也，因占著名数。	Nhâm An, người Huỳnh Dương, thuở nhỏ mất cha, nghèo khó, đánh xe đến Trường An cho người, ở lại, mong được làm tiểu lại, chưa có cơ hội, nhân đó khai vào sổ hộ tịch.
安以 为武功小邑，无豪，易高也， 安留，代人为求盗亭父。	An cho rằng Vũ Công là ấp nhỏ, không có hào môn, dễ được danh cao, An lưu lại, thay người khác làm sai dịch bắt trộm trong đình.
後为亭长。	Sau làm Đình trưởng.
明日复合会，会者数百人。	Hôm sau lại tụ họp, tập hợp được mấy trăm người.
任少卿曰：“某子甲何为不来 乎？”	Nhâm thiếu khanh nói: “Con ông nọ là người này người kia sao không đến?”
其後除为三老， 举为亲民，出为三百石长， 治民。	Sau, giao làm Tam lão, được khen là gần dân, ra làm quan trưởng hạng ba trăm thạch, cai trị dân.
坐上行出游共帐不办，斥免。	Hoàng thượng ra ngoài du ngoạn, không lo chuẩn bị màn trướng, bị bãi chức.
乃为卫将军舍人，与田仁会，俱为舍人，居门下，同心相爱。	Bèn làm Xá nhân cho Vệ tướng quân, gặp Điền Nhân, cùng làm Xá nhân, trong phủ tướng quân, đồng lòng quý nhau.
两人同床卧，仁 窃言曰：“不知人哉家监也！”	Hai người ngủ cùng giường, Nhân trộm nói: “Tên quản gia này thực không biết người.”
任安曰：“将军尚不知人，何乃家监 也！”	Nhâm An bảo: “Tướng quân còn chả biết người, nói gì đến quản gia!”
主家皆怪而恶之，莫敢呵。	Người nhà công chúa đều thấy lạ rồi ghét bỏ, nhưng không ai dám quát mắng.
会贤大夫少府赵禹来过卫将军，将军呼所 举舍人以示赵禹。	Gặp lúc đại phu hiền năng là Thiếu phủ Triệu Vũ qua chỗ Vệ tướng quân, tướng quân gọi các Xá nhân được tiến cử ra mắt Triệu Vũ.
赵禹以次问之，十馀人无一人习事有智略者。	Triệu Vũ hỏi theo thứ tự, hơn chục người không ai thạo việc, có trí lược.
赵禹 曰：“吾闻之，将门之下必有将类。传曰‘不知其君视其所使，不知 其子视其所友’。今有诏举将军舍人者，欲以观将军而能得贤者文武 之士也。今徒取富人子上之，又无智略，如木偶人衣之绮绣耳，将柰 之何？”	Triệu Vũ nói: “Tôi nghe, dưới của nhà tướng ắt có tướng tài. Sách truyện nói: 'Không biết vua thì xem sứ giả; không biết ai thì xem bạn họ.' Nay có chiếu cất nhắc Xá nhân của tướng quân, muốn xem tướng quân có hiền năng, có phải kẻ sĩ kiêm tài văn võ hay không. Nay chỉ chọn con em nhà giàu tiến cử, lại chẳng có trí lược, như tượng gỗ khoác quần áo the lụa lên thôi, thế thì được tích sự gì?”
於是赵禹悉召卫将军舍人百馀人，以次问之，得田仁、任 安，曰：“独此两人可耳，馀无可用者。”	Thế rồi Triệu Vũ gọi hết hơn trăm Xá nhân của Vệ tướng quân đến, lần lượt hỏi han, chọn được Điền Nhân và Nhâm An, nói: “Chỉ hai người này được thôi, còn lại đều không dùng được.”
赵禹去，谓两人曰：“各自具鞍马新绛衣。”	Triệu Vũ đi rồi, bảo hai người rằng: “Ai nấy tự chuẩn bị yên ngựa, quần áo vải đỏ mới.”
两人对曰：“家贫 无用具也。”	Hai người đáp rằng: “Nhà nghèo, không có gì chuẩn bị cả.”
将军怒曰：“今两君家自为贫，何为出此言？鞅鞅如有 移德於我者，何也？”	Tướng quân nổi giận nói: “Nay hai ông nhà nghèo, sao còn nói những lời thế? Ra chiều bất mãn như ban đức cho ta, thế là thế nào?”
将军不得已，上籍以 闻。	Tướng quân bất đắc dĩ, đưa vào sổ trình lên.
有诏召见卫将军舍人，此二人前见，诏问能略相推第也。	Có chiếu triệu kiến Xá nhân của Vệ tướng quân, hai người yết kiến trước, triệu kiến hỏi han tài năng mưu lược, cho cùng hạng thứ.
田仁对 曰；“提桴鼓立军门，使士大夫乐死战斗，仁不及任安。”	Điền Nhân đáp rằng: “Cầm dùi trống đứng cửa quân, khiến sĩ đại phu vui vẻ tử chiến, Nhân không bằng Nhâm An.”
任安对 曰：“夫决嫌疑．定是非，辩治官，使百姓无怨心，安不及仁 也。”	Nhâm An đáp: “Quyết đoán chỗ còn hiềm ngờ, phân định đúng sai, biện biệt trăm quan, khiến trăm họ không có lòng oán hận, An không bằng Nhân vậy.”
武帝大笑曰：“善。”	Vũ để cả cười nói: “Tốt.”
使任安护北军，使田仁护边田穀於河 上。	Sai Nhâm An giám hộ quân phía bắc, sai Điền Nhân giám hộ đồn điền biên giới Hà Thượng.
此两人立名天下。	Hai người nổi danh thiên hạ.
其後用任安为益州刺史， 以田仁为丞相长史。	Về sau, cất dùng Nhâm An làm Thứ sử Ích Châu, cho Điền Nhân làm Thừa tướng trưởng sử.
田仁上书言：“天下郡太守多为奸利，三河尤甚，臣请先刺举三 河。三河太守皆内倚中贵人，与三公有亲属，无所畏惮，宜先正三河 以警天下奸吏。”	Điền Nhân dâng thư nói: “Thái thú các quận trong thiên hạ phần nhiều gian dối hám lợi, Tam Hà nghiêm trọng nhất, thần xin tra xét Tam Hà trước. Thái thú Tam Hà đều dựa bậc quyền quý trong triều, thân thuộc với quan hàng tam công, nên chẳng kiêng sợ, trước cần chấn chỉnh Tam Hà để răn quan lại gian dối khắp thiên hạ.”
是时河南、河内太守皆御史大夫杜父兄子弟也， 河东太守石丞相子孙也。	Bấy giờ Thái thú Hà Nam, Hà Nội đều là cha anh con em của Ngự sử đại phu Đỗ Chu, Thái thú Hà Đông là cháu nội của Thạch thừa tướng.
是时石氏九人 为二千石，方盛贵。	Khi ấy họ Thạch có chín người làm quan hàng hai nghìn thạch, đang lúc quý thịnh.
田仁数上书言之。	Điền Nhân nhiều lần dâng thư nói việc đó.
杜大夫及石氏使人谢，谓田少 卿曰：“吾非敢有语言也，原少卿无相诬汙也。”	Đỗ đại phu cùng họ Thạch sai người tạ lỗi, bảo Điền Thiếu khanh rằng: “Chúng tôi không dám nói gì, xin Thiếu khanh đừng vu cáo làm vẩn đục.”
仁还奏事，武帝说，以仁为能不畏彊御，拜仁为丞 相司直，威振天下。	Nhân về tâu lại, Vũ đế mừng, cho Nhân có tài lại không sợ cường bạo, phong Nhân làm Thừa tướng Tư trực, uy chấn thiên hạ.
其後逢太子有兵事，丞相自将兵，使司直主城门。	Về sau, gặp việc Thái tử dấy binh, Thừa tướng đích thân cầm quân, sai Tư trực chủ giữ cổng thành.
司直以为太子 骨肉之亲，父子之间不甚欲近，去之诸陵过。	Tư trực cho thái tử là tình thân cốt nhục, giữa cha con không muốn can thiệp quá sâu, bèn rời cổng thành ra các lăng.
是时武帝在甘泉，使御 史大夫暴君下责丞相“何为纵太 子”，丞相对言“使司直部守城门而开太子”。	Lúc ấy Vũ đế ở cung Cam Tuyền, sai Ngự sử đại phu Bạo Quân xuống trách Thừa tướng: “Tại sao thả Thái tử?” Thừa tướng đáp: “Phái quan Tư trực giữ cổng thành lại mở cho Thái tử.”
上书以闻，请捕系司 直。	Dâng thư báo lên, xin bắt trói quan Tư trực.
司直下吏，诛死。	Tư trực bị giao cho pháp quan, tội chết.
是时任安为北军使者护军，太子立车北军南门外，召任安，与节 令发兵。	Bấy giờ, Nhâm An làm Sứ giả hộ quân của bắc quân, Thái tử dừng xe ngoài cổng nam của bắc quân, triệu Nhâm An, giao phù tiết lệnh phát binh.
安拜受节，入，闭门不出。	An vái nhận phù tiết, đi vào, đóng cửa không ra.
武帝闻之，以为任安为详邪， 不傅事，何也？	Vũ đế hay tin, cho là Nhâm An vờ nghe, không dự việc của Thái tử, tại sao vậy?
任安笞 辱北军钱官小吏，小吏上书言之，以为受太子节，言“幸与我其鲜好 者”。	Nhâm An đánh đòn làm nhục tiểu lại phụ trách tiền bạc trong bắc quân, tiểu lại dâng thư nói lên Hoàng thượng, cho rằng Nhâm An nhận phù tiết của Thái tử, nói: “Vinh hạnh thay, ngài giao phù tiết đẹp này cho tôi.”
书上闻，武帝曰：“是 老吏也，见兵事起，欲坐观成败，见胜者欲合从之，有两心。安有当 死之罪甚众，吾常活之，今怀诈，有不忠之心。”	Thư dâng lên, Vũ đế rằng: “Lão lại già này, thấy việc binh dấy, muốn ngồi xem thắng bại, coi ai thắng chực hùa theo, kẻ hai lòng. An có nhiều tội đáng chết, ta từng cho sống, nay mang lòng gian, có dạ bất trung.”
下安吏，诛死。	Giao An cho pháp quan, xử tử.
仁以壮健为卫将军舍人，数从击匈奴。	Nhân do thân thể tráng kiện được làm Xá nhân cho Vệ tướng quân, nhiều lần theo đánh Hung Nô.
仁发兵，长陵令车千秋上变仁，仁族死。	Nhân phát binh, Trường Lăng lệnh Xa Thiên Thu báo về triều đình rằng Nhân làm phản, cả họ đều bị giết.
仁与余善，余故并论之。	Nhân và ta vốn thân thiết, vì thế ta bàn đến ông ấy.
武功，扶风西界小邑也，谷口蜀刬道近 山。	Ở tại Vũ Công, là ấp nhỏ giáp giới phía tây Phù Phong, sạn đạo vào Thục ở Cốc Khẩu kề núi.
邑中人民俱出猎，任安常为人分麋鹿雉兔，部署老小当壮剧 易处，众人皆喜，曰：“无怂也，任少卿分别平， 有智略。”	Dân trong ấp đều ra ngoài săn bắn, Nhâm An thường chia hươu nai thỏ trĩ săn được cho mọi người, sắp đặt người già, trẻ nhỏ, tráng đinh vào chỗ dễ khó phù hợp, ai nấy đều vui, nói: “Không ai bị thiệt, Nhâm thiếu khanh chia thật công bằng, thật có trí lược.”
此 二人家贫，无钱用以事将军家监，家监使养恶齧马。	Hai người nhà nghèo, không có tiền phục dịch quản gia, bị y sai nuôi bầy ngựa dữ cắn người.
卫将军从此两人过平阳主，主家令两人与骑奴同 席而食，此二子拔刀列断席别坐。	Vệ tướng quân từ đó cho hai người sang chỗ Công chúa Bình Dương. Người nhà Công chúa bắt hai người cùng ăn với nô bộc hầu ngựa, hai người rút dao chém đứt chiếu ngồi riêng.
其後有诏募择卫将军舍人以为郎，将军取舍人中富给者，令具鞍 马绛衣玉具剑，欲入奏之。	Về sau có chiếu chọn Xá nhân của Vệ tướng quân làm quan Lang, tướng quân chọn những người giàu trong đám Xá nhân, sai họ đóng yên ngựa mặc áo vải đỏ, dùng ngọc trang sức kiếm, muốn vào tâu lên hoàng thượng.
卫将军见此两人贫，意不 平。	Vệ tướng quân thấy hai người nghèo khó, có ý không hài lòng.
故范蠡之去越，辞不受官位，名传後世，万岁不忘， 岂可及哉！	Cho nên Phạm Lãi bỏ nước Việt, từ chối không nhận chức quan, danh truyền đời sau, muôn năm không quên, họa há đến chăng!
夫月满则亏，物盛则衰，天地之常也。	Xét lẽ, trăng đầy thì khuyết, vật thịnh ắt suy là lẽ thường của trời đất.
知进而不知退，久乘富 贵，祸积为祟。	Biết tiến mà không biết lui, giàu sang lâu ngày, họa chất thêm cao.
