管仲夷吾者，颍上人也。	Quản Trọng Quản Trọng tên Di Ngô, người Dĩnh Thượng.
晏子为齐相，出，其御之妻从门间而闚其夫。	Yến tử làm Tướng quốc nước Tề, khi ra ngoài, vợ người đánh xe ngựa ngó nhìn chồng qua cánh cửa.
既而归，其妻请去。	Đến lúc về, vợ anh ta xin đi khỏi nhà.
夫问其故。 妻 曰：“晏子长不满六尺，身相齐国，名显诸侯。今者妾观其出，志念 深矣，常有以自下者。今子长八尺，乃为人仆御，然子之意自以为 足，妾是以求去也。”	Chồng hỏi lý do, người vợ đáp: “Yên tử cao chưa đầy sáu thước, thân là Tướng quốc nước Tề, nổi danh chư hầu. Nay thiếp nhìn ông ta khi ra ngoài, chí khí thâm sâu, tỏ vẻ khiêm hạ. Còn chàng cao tám thước, lại là kẻ hầu đánh xe, nhưng có ý tự cho thế là đủ, nên thiếp xin đi.”
其後夫自抑损。	Về sau, người đánh xe tự biết sửa đổi.
晏子怪而问之，御以实对。 晏 子荐以为大夫。	Yến tử thấy lạ mới hỏi, người đó đáp rõ ngọn ngành, Yến tử bèn cất nhắc làm đại phu.
既见其著书，欲观其行事，故次其传。	Đã xem trước thuật, muốn thấy việc làm, cho nên soạn ra truyện ký.
至其 书，世多有之，是以不论，论其轶事。	Đến như sách của ông, người đời phần nhiều đều có, do vậy không luận đến, chỉ bàn đội việc còn được nghe truyền.
管仲世所谓贤臣，然孔子小之。	Quản Trọng được người đời coi là bề tôi hiền năng, nhưng bị Khổng tử xem thường.
岂以为周道衰微，桓公既贤，而 不勉之至王，乃称霸哉？	Có lẽ vì Quản Trọng cho đạo của nhà Chu suy vi, Hoàn công là người hiền đức, lại không khích lệ ông ta theo vương đạo, mà chỉ xưng bá chăng?
语曰“将顺其美，匡救其恶，故上下能相 亲也”。	Cổ ngữ có nói: “Cần thuận thế khuyến khích đức tốt của vua, để sửa đổi chỗ lầm lỗi, cho nên vua tôi trên dưới thân ái vậy.”
故论卑而易 行。	Cho nên chính lệnh đơn giản mà dễ thi hành.
桓公实怒少姬， 南袭蔡，管仲因而伐楚，责包茅不入贡於周室。	Hoàn công nổi giận với nàng Thiếu Cơ, liền tiến sang phía nam đánh úp đất Sái, Quản Trọng nhân đó đánh nước Sở, hạch tội Sở không mang cỏ bao mao vào cổng nhà Chu.
国有道，即顺命；无道， 即衡命。	Nước có pháp độ thì thuận theo lệnh vua, nước không theo pháp độ thì cân nhắc mệnh vua mà thi hành.
晏子出，遭之涂，解左骖赎之，载归。	Yến tử xuất hành, gặp trên đường đi, liền tháo ngựa bên trái xe ra chuộc, rồi chở về.
久之，越石父请绝。 晏子戄然，摄衣冠 谢曰：“婴虽不仁，免子於戹，何子求绝之速也？”	Lâu sau, Việt Thạch Phủ yêu cầu tuyệt giao, Yến tử kinh ngạc, xốc vội áo mũ đến tạ lỗi rằng: “Anh này tuy không phải người có đức nhân, nhưng từng cứu ngài khỏi nơi nguy khốn, sao ngài lại đòi tuyệt giao sớm vậy?”
太史公曰：吾读管氏牧民、山高、乘马、轻重、九府， 及晏子春秋， 详哉其言之也。	Thái sư công bàn rằng: Ta đọc các bài Mục dân, Cao sơn, Thừa mã, Khinh trọng, Cửu phủ cho tới sách Quản tử xuân thu của Quản Trọng, những lời của ông tường tận thay!
岂管仲之谓乎？	Há để nói về Quản Trọng chăng?
方晏子伏庄公尸哭之，成礼然後去， 岂所谓“见义不为 无勇”者邪？	Khi Yến tử đang quỳ khóc bên xác Trang công, tận lễ rồi bỏ đi, há gọi là người “thấy việc nghĩa không làm thì không có dũng khí” chăng?
其夫为相御，拥大 盖，策驷马，意气扬扬甚自得也。	Người chồng được đánh xe cho Tướng quốc, ngồi xe có lọng lớn, cầm cương bốn ngựa, dương dương tự đắc.
