季布者，楚人也。	Quý Bố, người Sở.
上将军樊哙曰：“臣原得十万众，横行匈奴中。”	Thượng tướng quân Phan Khoái nói: “Cho thần mười vạn quân để tung hoành đất Hung Nô.”
诸将皆阿 吕后意，曰“然”。	Các tướng đều a dua theo ý Thái hậu, nói “Phải”.
季布曰：“樊哙可斩也！夫高帝将兵四十馀万 众，困於平城，今哙柰何以十万众横行匈奴中，面欺！且秦以事於 胡，陈胜等起。于今创痍未瘳，哙又面谀，欲摇动天下。”	Quý Bố tâu: “Phàn Khoái đáng chém! Xưa Cao đế đem hơn bốn mươi vạn quân, còn bị khốn ở Bình Thành, nay Khoái sao có thể dẫn mười vạn quân tung hoành đất Hung Nô được, ra mặt lừa người! Và Tần gây chuyện với người Hồ, bọn Trần Thắng nhân đấy nổi lên. Đến nay, vết thương chưa lành, Khoái lại ra mặt nịnh bợ, muốn khiến thiên hạ lay động.”
是时殿上 皆恐，太后罢朝，遂不复议击匈奴事。	Bấy giờ trên điện đều sợ, Thái hậu bãi triều, rồi không bàn lại chuyện đánh Hung Nô nữa.
季布为河东守，孝文时，人有言其贤者，孝文召，欲以为御史大 夫。	Quý Bố làm Quận thú Hà Đông, thời Hiếu Văn đế, có người nói Quý Bố hiền năng, Hiếu Văn đế triệu đến, muốn cho làm Ngự sử đại phu.
复有言其勇，使酒难近。	Lại có người nói Quý Bố dũng lược, là sâu rượu nên khó gần.
至，留邸一月，见罢。	Đến nơi, lưu lại một tháng, được triệu kiến rồi thôi.
季布因进曰：“臣无功窃宠， 待罪河东。 陛下无故召臣，此人必有以臣欺陛下者；今臣至，无所受事，罢 去，此人必有以毁臣者。夫陛下以一人之誉而召臣，一人之毁而去 臣，臣恐天下有识闻之有以闚陛下也。”	Quý Bố nhân đó nói: “Thần không có công mà trộm được sủng ái, ở Hà Đông chờ định tội. Bệ hạ vô cớ triệu thần, như thể ắt có người cho thần lừa dối bệ hạ. Nay thần đến, không phải làm gì, cho về, người đó ắt hủy báng thần. Bệ hạ dựa vào lời khen của một người mà triệu kiến thần, vì lời hủy báng của một người mà cho thần về, thần sợ kẻ có hiểu biết trong thiên hạ sẽ nhìn thấu bệ hạ.”
上默然惭，良久曰：“河东吾股肱郡，故特召君耳。”	Hoàng thượng lặng thinh, hổ thẹn, hồi lâu mới nói: “Hà Đông là quận tay chân của ta, nên mới đặc biệt triệu kiến ông.”
楚人曹丘生，辩士，数招权顾金钱。	Tào Khâu người Sở là biện sĩ, nhiều lần xu phụ người quyên quý vì tiền vàng.
事贵人赵同 等，与窦长 君善。	Phụng sự quý nhân là bọn Triệu Đồng, thân với Đậu Trường quân.
季布闻之，寄书谏窦长君曰：“吾闻曹丘生非长者，勿与 通。”	Quý Bố biết chuyện, gửi thư can Đậu Trường quân rằng: “Tôi nghe nói Tào Khâu sinh không đường hoàng, chớ qua lại với hắn.”
及曹丘生归，欲得书请季布。	Đến khi Tào Khâu sinh về, muốn có thư giới thiệu với Quý Bố.
窦长君曰：“季将军不说足下，足下无往。”	Đậu Trường quân nói: “Quý tướng quân không thích túc hạ, túc hạ không nên đến.”
固请书，遂 行。	Cố nài xin thư giới thiệu, rồi lên đường.
使人先发书，季布果大怒，待曹丘。	Sai người mang thư đến trước, Quý Bố quả nhiên cả giận, đợi Tào Khâu đến.
曹丘至，即揖季布曰：“楚 人谚曰‘得黄金百，不如得季布一诺’，足下何以得此声於梁楚间 哉？且仆楚人，足下亦楚人也。仆游扬足下之名於天下，顾不重邪？ 何足下距仆之深也！”	Tào Khâu đến, liền với Quý Bố rồi nói: “Người Sở có câu ngạn ngữ: 'Được trăm cân vàng, chẳng bằng được tiếng ừ của Quý Bố', sao túc hạ được danh tiếng ở nước Lương, Sở vậy? Vả tôi là người Sở, túc hạ cũng là người Sở. Tôi ngao du dương danh túc hạ khắp thiên hạ, sao không được coi trọng? Sao túc hạ cự tuyệt tôi quá đáng thế?”
季布乃大说，引入，留数月，为上客，厚送 之。	Quý Bố bèn cả mừng, dẫn vào, giữ lại mấy tháng, coi như thượng khách, về đưa hậu lễ.
季布名所以益闻者，曹丘扬之也。	Danh tiếng Quý Bố vì thế càng nổi, nhờ Tào Khâu phát dương cho vậy.
季布弟季心，气盖关中，遇人恭 谨，为任侠，方数千里，士皆争为之死。	Em trai Quý Bố là Quý Tâm, dũng khí bậc nhất Quan Trung, gặp người cung kính cẩn trọng, làm việc trượng nghĩa, trong nghìn dặm vuông, kẻ sĩ đều tranh chết vì ông ta.
尝杀人，亡之吴，从袁丝 匿。	Từng giết người, trốn sang Ngô, ẩn ở nhà Viên Ty.
尝为中司马， 中尉郅都不敢不 加礼。	Từng làm Trung tư mã, quan Trung úy Chất Đô không dám không gia lễ.
少年多时时窃籍其名以行。	Nhiều thanh niên thường mạo danh Quý Tâm để hành sự.
当是时，季心以 勇，布以诺，著闻关中。	Bấy giờ, Quý Tâm nhờ trí dũng, Quý Bố nhờ được tin dùng, nổi tiếng khắp Quan Trung.
季布母弟丁公， 为楚将。	Cậu ruột Quý Bố là Đinh Công, làm tướng quân nước Sở.
丁公为项羽逐窘高祖彭城西，短兵接，高祖急， 顾丁公曰：“两贤岂相戹哉！”	Đinh Công vì Hạng Vũ truy đuổi khiến Cao tổ khốn đốn phía tây Bành Thành, vũ khí ngắn chạm nhau, Cao tổ bí bách quá, quay sang nói với Đinh Công: “Hai người hiền há tàn hại nhau ư?”
於是丁公引兵而还，汉王遂解去。	Thế là Đinh Công dẫn quân về, Hán vương liền thoát đi.
及 项王灭，丁公谒见高祖。	Đến khi Hạng vương bị diệt, Đinh Công yết kiến Cao tổ.
高祖以丁公徇军中，曰：“丁公为项王臣不 忠，使项王失天下者，乃丁公也。”	Cao tổ sai đem Đinh Công vào chém trong quân, nói: “Đinh Công làm bề tôi Hạng vương mà bất trung, khiến Hạng vương mất thiên hạ, là tội của Đinh Công.”
遂斩丁公，曰：“使後世为人臣 者无效丁公！”	Bèn chém Đinh Công, nói: “Để người làm tôi đời sau không dám bắt chước Đinh Công!”
栾布者，梁人也。	Loan Bố Loan Bố, người nước Lương.
始梁王彭越为家人时， 尝与布游。	Hồi đầu, Lương vương Bành Việt là thường dân, từng giao du với Bố.
穷困，赁佣於齐，为酒人保。	Nghèo khốn, đi làm mướn ở Tề, tôi đòi cho người bán rượu.
数岁，彭越去之巨野中为盗，而布为人 所略卖，为奴於燕。	Được mấy năm, Bành Việt bỏ nhà đến làm trộm ở vùng Cự Dã, còn Bố bị người ta cướp rồi bán, làm nô bộc ở Yên.
为其家主报仇，燕将臧荼举以为都尉。	Báo thù cho chủ nhà, được tướng Tang Đồ nước Yên cho làm Đô úy.
臧荼後为 燕王，以布为将。	Tang Đồ sau làm Yên vương, lấy Bố làm tướng quân.
及臧荼反，汉击燕，虏布。	Khi Tang Đồ làm phản, Hán đánh Yên, bắt được Bố.
梁王彭越闻之，乃言 上，请赎布以为梁大夫。	Lương Vương Bành Việt nghe tin, bèn tâu lên, xin chuộc Bố vì từng làm đại phu của Lương.
使於齐，未还，汉召彭越，责以谋反，夷三族。	Đi sứ sang Tề, chưa về, nhà Hán triệu Bành Việt, trách tội mưu phản, giết cả ba họ.
已而枭彭越头於 雒阳下，诏曰：“有敢收视者，辄捕之。”	Rồi bêu đầu Bành Việt dưới thành Lạc Dương, chiếu rằng: “Ai đến lấy đầu hoặc nhìn, phải bắt ngay.”
布从齐还，奏事彭越头 下，祠而哭之。	Bố từ Tề về, tâu việc dưới đầu Bành Việt, tế lễ khóc thương.
上召布，骂曰：“若与彭越反邪？吾禁 人勿收，若独祠而哭之，与越反明矣。趣亨 之。”	Hoàng thượng triệu Bố, mắng rằng: “Ngươi với Bành Việt làm phản chăng? Ta cấm người ta lấy đầu, riêng ngươi đến tế lễ khóc lóc, rõ ràng là cùng Việt làm phản. Mau nấu nó.”
方提趣 汤，布顾曰：“原一言而 死。”	Đương kéo ném vào vạc, Bố quay lại nói: “Xin nói một lời rồi chết.”
上曰：“何言？”	Hoàng thượng hỏi: “Nói gì?”
布曰：“方上之困於彭城，败荥阳、成皋 间，项王所以不能西，徒以彭王居梁地，与汉合从苦楚也。当是之 时，彭王一顾，与楚则汉破，与汉而楚破。且垓下之会，微彭王，项 氏不亡。天下已定，彭王剖符受封，亦欲传之万世。今陛下一徵兵於 梁，彭王病不行，而陛下疑以为反，反形未见，以苛小 案诛灭之，臣恐功臣人人自危也。今彭王已 死，臣生不如死，请就亨。”	Bố đáp: “Đương lúc Hoàng thượng bị khốn ở Bành Thành, thua trận ở Huỳnh Dương, Thành Cao, sở dĩ Hạng vương không thể đuổi sang tây, vì có Bành vương đất Lương, cùng Hán hợp tung Sở phải khốn khổ. Lúc ấy, Bành vương ngoái đầu một cái, hợp với Sở thì Hán tan ngay, quay về Hán thì Sở tan ngay. Vả lại hội chiến ở Cai Hạ, không có Bành vương, họ Hạng không bị diệt. Thiên hạ đã yên định, Bành vương được nhận phù tiết phân phong, cũng muốn truyền cho muôn đời. Nay bệ hạ một phen trưng dụng quân nước Lương, Bành vương vì ốm không đến mà bệ hạ nghi là làm phản, phản đâu chưa thấy, chỉ dựa vào tiểu tiết giết đi, thần sợ công thần ai nấy tự thấy nguy hiểm. Nay Bành vương đã chết, thần sống chẳng bằng chết, xin được vào vạc.”
於是上乃释布罪，拜为都尉。	Thế là Hoàng thượng bèn xá tội cho Loan Bố, phong làm Đô úy.
孝文时，为燕相，至将军。	Thời Hiếu Văn đế, làm Tướng quốc nước Yên, quan đến tướng quân.
布乃称曰：“穷困不能辱身下志，非 人也；富贵不能快意，非贤也。”	Loan Bố tự cho: “Khốn cùng mà không thể nhún mình giấu chí, không phải người chân chính; giàu sang mà không thể thỏa ý, không phải người hiền.”
於是尝有德者厚报之，有怨者必以 法灭之。	Thế rồi ai từng có ân đức, báo đáp trọng hậu, ai từng có thù oán, dùng pháp giết chết.
吴反时，以军功封俞侯，复为 燕相。	Lúc Ngô và Sở làm phản, nhờ quân công nên được phong làm Du hầu, lại được làm Tướng quốc nước Yên.
燕齐之间皆为栾布立社，号曰栾公社。	Một dải Yên, Tề đều lập đền thờ Loan Bố, hiệu là Loan Công xã.
景帝中五年薨。 子贲嗣，为太常，牺牲不如令，国除。	Hán Cảnh đế niên hiệu Trung Nguyên năm thứ năm, Loan Bố qua đời, con trai là Bôn thừa kế tước hầu, làm quan Thái thường, dùng con vật hiến tế không đúng quy định, nước phong bị phế.
太史公曰：以项羽之气，而季布以勇显於楚，身屦军 搴旗者数矣，可谓壮士。	Thái sử công bàn rằng: Khí lực như Hạng Vũ mà Quý Bố còn nhờ vào dũng được nổi danh ở Sở, thân nhiều lần đạp lên địch cướp cờ xí, có thể gọi là tráng sĩ.
然至 被刑戮，为人奴而不死，何其下也！	Nhưng đến khi bị tội, làm nô bộc cho người để không phải chết, sao hạ mình đến thế!
彼必自负其材，故受辱而不羞， 欲有所用其未足也，故终为汉名将。	Ông ta hẳn tự cậy tại mình, cho nên chịu nhục mà không hổ thẹn, muốn có chỗ thi thố hết khả năng, cuối cùng làm danh tướng nhà Hán.
贤者诚重其死。	Người hiền năng thực sự coi trọng mạng sống.
夫婢妾贱人感慨 而自杀者，非能勇也，其计画 无复之耳。	Như kẻ tỳ thiếp tiện nhân vì phẫn uất mà tự sát, đó không phải có dũng khí, chẳng qua không nghĩ ra cách gì khác thôi.
栾布哭彭越，趣汤如归 者，彼诚知所处，不自重其 死。	Loan Bố khóc Bành Việt, đi đến vạc nước sôi như trở về, ông ta thực biết chỗ của mình, không coi trọng mạng sống.
长事袁丝，弟畜灌夫、籍福之属。	Phụng sự Viên Ty như tôn trưởng, coi bọn thuộc hạ Quán Phu, Tịch Phúc như em trai.
虽往古烈士，何以加哉！	Dẫu bậc sĩ tiết liệt thời cổ cũng đâu hơn gì!
