召公奭与周同姓，姓姬氏。	Thiệu Công Thích cùng họ với nhà Chu, họ Cơ thị.
鹿毛寿 谓燕王：“不如以国让相子 之。人之谓尧贤者，以其让天下於许由，许由不受，有让天下之名而 实不失天下。今王以国让於子之，子之必不敢受，是王与尧同行 也。”	Lộc Mao Thọ nói với Yên vương rằng: “Chi bằng đem quốc gia nhường cho Tướng quốc Tử Chi. Người ta nói Nghiêu là bậc hiền, là vì đem thiên hạ nhường cho Hứa Do, Hứa Do không nhận, [vua Nghiêu] được tiếng nhường thiên hạ mà thực không hề mất thiên hạ. Nay nhà vua đem đất nước nhường cho Tử Chi, Tử Chi ắt không dám nhận, thế là nhà vua được liệt ngang hàng với vua Nghiêu vậy.”
燕王因属国於子之，子之大重。	Yên vương nhân đó phó thác quốc gia cho Tử Chi, Tử Chi càng được tôn quý.
或 曰：“禹荐益，已 而以启人为吏。 及老，而以启人为不足任乎天下，传之於益。已而启与交 党攻益，夺之。天下谓禹名传天下於益，已而实令启自取之。今王言 属国於子之，而吏无非太子人者，是名属子之 而实太子用事也。”	Có người nói: “Hạ Vũ tiến cử Bá Ích, rồi cho Khải làm chức lại. Khi về già, lại cho là Khải không đủ khả năng đảm nhiệm trọng trách trị thiên hạ, bèn truyền ngôi cho Ích. Thế rồi phải cùng bè đảng tấn công Ích, chiếm đoạt ngôi vị. Thiên hạ nói rằng, danh nghĩa Vũ truyền thiên hạ cho Ích, nhưng thực chất là khiến cho Khải tự cướp lấy. Nay nhà vua nói giao nước cho Tử Chi, nhưng đám quan lại không ai không phải bề tôi của Thái tử, như thế danh nghĩa là giao cho Tử Chi mà thực chất để Thái tử trị lý vậy.”
子之南面行王事，而哙老不听政，顾 为臣，国事皆决 於子之。	Tử Chi quay mặt về phía nam thi hành chính sự của nhà vua, còn Khoái cao tuổi nên không nghe chính sự, nguyện làm bề tôi, việc nước đều do Tử Chi quyết định.
三年，国大乱，百姓恫恐。	Năm thứ ba, trong nước đại loạn, trăm họ đau buồn sợ sệt.
齐王因令人谓燕太子平曰：“寡人闻太子之义，将 废私而立公，饬君臣之义，明父子之位。寡人之国小， 不足以为先後。虽然，则唯太子所以令之。”	Tề vương nhân đó sai người nói với Thái tử Bình nước Yên rằng: “Quả nhân nghe nói về nghĩa khí của Thái tử, muốn bỏ tư theo công, tô điểm cho nghĩa quân thần, làm sáng địa vị cha con. Nước của quả nhân nhỏ bé, không đủ để trọn trước vẹn sau. Dẫu vậy, cũng chỉ xin nghe theo mệnh lệnh của Thái tử.”
孟轲谓齐王曰：“今伐燕，此文、武之时，不可失也。”	Mạnh Kha nói với Tề vương rằng: “Nay thảo phạt nước Yên, là thời cơ của vua Văn vua Vũ [phạt Trụ] đấy, không thể để lỡ.”
燕子之亡 二年，而燕人共立太子平，是为燕昭王。	Tử Chi nước Yên chết, hai năm sau thì người Yên cùng lập Thái tử Bình lên ngôi, đó là Yên Chiêu vương.
燕昭王於破燕之後即位，卑身厚币以招贤者。	Yên Chiêu vương lên ngôi sau khi nước Yên bị đánh phá, mới hạ mình dùng hậu lễ để vời gọi người hiền.
於是昭 王为隗改筑宫而师事之。	Thế là Chiêu vương dựng lại cung thư cho Ngỗi, thờ như bậc thầy.
燕王吊死问孤，与百姓同甘苦。	Yên vương điếu viếng người chết, thăm hỏi kẻ côi cút, chung ngọt bùi đắng cay với trăm họ.
二十八年，燕国殷富，士卒乐轶轻战，於是遂以乐毅为上将军， 与秦、楚、三晋合谋以伐齐。	Năm thứ hai mươi tám, nước Yên giàu mạnh, sĩ tốt nhàn nhã yên vui, coi đánh trận là việc nhẹ nhàng, thế rồi bèn dùng Nhạc Nghị làm Thượng tướng quân, cùng nước Tần, nước Sở và Tam Tấn hợp mưu để thảo phạt nước Tề.
昭王三十三年卒，子惠王立。	Chiêu vương năm thứ ba mươi ba thì chết, con là Huệ vương lên thay.
惠王为太子时，与乐毅有隙；及即位，疑毅，使骑劫代将。	Lúc Huệ vương còn là Thái tử, đã có hiềm khích với Nhạc Nghị; đến khi lên ngôi, nghi ngờ Nhạc Nghị, sai Kỵ Kiếp làm tướng thay [Nhạc Nghị].
湣王死于莒，乃立其子为襄王。	[Tề] Mẫn vương chết ở ấp Cử, bèn lập người con làm Tương vương.
惠王七年卒。	Huệ vương năm thứ bảy thì chết.
韩、魏、 楚共伐燕。	Nước Hàn, nước Ngụy, nước Sở cùng thảo phạt nước Yên.
燕武成王立。	Yên Vũ Thành vương lên ngôi.
十四年，武成王卒，子孝王立。	Năm thứ mười bốn, Vũ Thành vương chết, con là Hiếu vương lên thay.
三年卒，子今王喜立。 今王喜四年，秦昭王卒。	[Hiếu vương] năm thứ ba thì chết, con là Kim vương Hỷ lên ngôi. Kim vương Hỷ năm thứ tư, Tần Chiêu vương chết.
王召 昌国君乐间问之。	Yên vương triệu Xương Quốc quân Nhạc Can đến hỏi về việc phạt Triệu.
对曰：“赵四战之国， 其民习兵，不可伐。”	[Nhạc Can] đáp rằng: “Triệu là nước bốn phía phải đối diện với chiến tranh, dân nước đó quen việc binh đao, không thể thảo phạt được.”
王 曰：“吾以五而伐一。”	Yên vương nói: “Ta lấy năm chọi một.”
对曰：“不可。”	Đáp rằng: “Không được.”
燕 王怒，群臣皆以为可。	Yên vương tức giận, quần thần đều cho là có thể đánh được.
燕王不听，自将偏军随之。	Yên vương không nghe, đích thân dẫn một cánh quân khác đi theo.
将渠引燕王绶止之曰：“王必无自 往，往无成功。”	Tướng Cừ kéo dây thao đỏ [buộc ấn tín] của Yên vương lại nói: “Đại vương quyết không được qua đó, có qua cũng không thể thành công.”
王槅之以足。	Yên vương giơ chân đá [Tướng Cừ].
将渠泣曰：“臣非以自为，为王 也！”	Tướng Cừ khóc nói: “Thần không vì bản thân, chỉ vì đại vương thôi!”
燕人请 和，赵人不许，必令将渠处和。	Người Yên xin hòa, người Triệu không cho, khăng khăng đòi Tướng Cừ ra khu xử mới cho hòa.
六年，秦灭东周，置三川郡。	Năm thứ sáu, nước Tần diệt Đông Chu, đặt thành quận Tam Xuyên.
九年，秦王政初即位。	Năm thứ chín, Tần vương Chính mới lên ngôi.
赵孝成王卒，悼襄王立。	Hiếu Thành vương nước Triệu chết, Điệu Tương vương lên thay.
十二年，赵使李牧攻燕，拔武 遂、方城。	Năm thứ mười hai, nước Triệu sai Lý Mục tấn công nước Yên, hạ được đất Vũ Toại và Phương Thành.
十九年，秦拔赵之鄴 九城。	Năm thứ mười chín, nước Tần hạ được chín thành ở đất Nghiệp của nước Triệu.
赵悼襄王卒。	Triệu Điệu Tương vương chết.
二十三年，太子丹质於秦，亡归燕。	Năm thứ hai mươi ba, Thái tử Đan làm con tin ở nước Tần, trốn về nước Yên.
二十七年，秦虏赵王迁，灭赵。	Năm thứ hai mươi bảy, nước Tần bắt sống Triệu vương Thiên, diệt nước Triệu.
赵公子嘉自立为代王。	Công tử nước Triệu là Gia tự lập làm Đại vương.
三十 年，秦灭魏。	Năm thứ ba mươi, nước Tần diệt nước Ngụy.
三十三年，秦拔辽东，虏燕王喜，卒灭燕。	Năm thứ ba mươi ba, nước Tần đánh hạ Liêu Đông, bắt sống Yên vương Hỉ, rốt cục diệt nước Yên.
太史公曰：召公奭可谓仁矣！	Thái sử công bàn rằng: Thiệu Công Thích khá gọi là người có đức nhân đấy!
甘棠且思之，况其人乎？	Cây cam đường mà người ta còn nhớ đến, huống chi là người ư?
然社稷血食者八九百岁，於姬姓独 後亡，岂非召公之烈邪！ 召伯作相，分陕而治。	Nhưng xã tắc được hưởng huyết thực tám chín trăm năm, là nước duy nhất bị diệt sau các nước chư hầu họ Cơ, há không phải là nhờ huấn nghiệp của Thiệu công ư!
缪侯七年，而鲁隐公元年也。	Mậu hầu năm thứ bảy, tương đương năm Lỗ Ẩn công thứ nhất.
二十七年，山戎来侵我，齐桓公救燕，遂北伐山戎而还。	Năm thứ hai mươi bảy, Sơn Nhung đến xâm phạm nước Yên, Tề Hoàn công cứu nước Yên, sau đó tiến lên phía bắc thảo phạt Sơn Nhung rồi kéo về.
三十一年，秦师败于 殽。	Năm thứ ba mươi mốt, quân Tần thua trận ở Hào Sơn.
懿公元年，齐崔 杼弑其君庄公。	Ý công năm đầu, Thôi Trữ nước Tề giết vua nước mình là Trang công.
惠公元年，齐高止来奔。	Huệ công năm đầu, Cao Chỉ nước Tề chạy sang [nước Yên].
六年，惠公多宠姬，公欲去诸大夫而立 宠姬宋，大夫共诛姬宋， 惠公惧，奔齐。	Năm thứ sáu, Huệ công có nhiều sủng thần, Huệ công muốn bãi truất các đại phu để lập sủng thần là Tống, các đại phu cùng giết sủng thần là Tống, Huệ công sợ hãi, chạy sang nước Tề.
晋公室卑，六卿始 彊大。	Công thất nước Tấn suy yếu, Lục khanh bắt đầu lớn mạnh.
平公十八年，吴王阖闾破楚入郢。	Bình công năm thứ mười tám, Ngô vương Hạp Lư đánh phá nước Sở, tiến vào Dĩnh đô.
秦益彊。	Nước Tần ngày càng mạnh.
二十八年，苏秦始来见，说文公。	Năm thứ hai mươi tám, Tô Tần mới được bái kiến, du thuyết Văn công.
因约六国，为从长。	Nhân đó lập ước sáu nước, [Tô Tần] là trưởng tung ước.
易王初立，齐宣王因燕丧伐我，取十城；苏秦说齐，使复归燕十 城。	Dịch vương mới lên ngôi, Tề Tuyên vương nhân khi nước Yên có tang liền thảo phạt nước Yên, chiếm mười thành; Tô Tần du thuyết nước Tề, khiến [nước Tề] trả lại mười thành cho nước Yên.
苏秦与燕文公夫人私通，惧诛，乃说王使 齐为反间，欲以乱齐。	Tô Tần tư thông với phu nhân của Yên Văn công, sợ bị giết, bèn nói với Dịch vương cho sang làm phản gián ở Tề, muốn làm Tề rối loạn.
燕哙既立，齐人杀苏秦。	Sau khi Yên Khoái lên ngôi, người Tề giết Tô Tần.
及苏秦死，而齐宣王复用苏代。	Đến khi Tô Tần chết, Tề Tuyên vương lại trọng dụng Tô Đại.
苏代欲以激燕王以尊子之也。	Tô Đại muốn [dùng cách đó] khích Yên vương để khiến Tử Chi được trọng vọng.
子之因遗苏 代百金，而 听其所使。	Nhân đó Tử Chi tặng trăm dật vàng cho Tô Đại, rồi nghe theo chỉ dẫn của Tô Đại.
王因令章子 将五都之兵， 以因北地之众以伐燕。	Tề vương liền lệnh cho Chương Tử đem quân của năm đô thành, lại dựa vào quân ở biên giới phía bắc để sang thảo phạt nước Yên.
士卒不战，城门不闭，燕君哙死，齐大胜。	Quân sĩ nước Yên không chịu đánh, cổng thành cũng không đóng, Yên quân Khoái chết, nước Tề thắng lớn.
齐兵败，湣王出亡於外。	Quân Tề thua trận, Mẫn vương chạy trốn khỏi nước.
齐城之不下者，独唯聊、莒、 即墨，其馀皆属燕，六岁。	Những thành ấp của nước Tề chưa bị hạ chỉ còn có Liêu, Cử và Tức Mặc, còn lại đều thuộc về nước Yên, cứ thế trong sáu năm liền.
武成王七年，齐田单伐我，拔中阳。	Vũ Thành vương năm thứ bảy, Điền Đan nước Tề thảo phạt nước Yên, hạ được Trung Dương.
十三年，秦败赵於长平四十 馀万。	Năm thứ mười ba, nước Tần đánh bại hơn bốn mươi vạn quân Triệu ở Trường Bình.
孝王元年，秦围邯郸者解去。	Hiếu vương năm đầu, quân Tần đang bao vây Hàm Đan, giải vây rút về.
破卿秦於代。	Nhạc Thừa phá được Khanh Tần ở đất Đại.
七年，秦拔赵榆次三十七城，秦置 大原郡。	Năm thứ bảy, nước Tần đánh hạ ba mươi bảy thành ở Du Thứ của nước Triệu, nước Tần đặt làm quận Đại Nguyên.
燕见赵 数困于秦，而廉颇去，令庞暖将也，欲因赵弊攻之。	Nước Yên thấy nước Triệu nhiều lần bị khốn đốn bởi quân Tần, còn Liêm Pha đã bỏ đi, [Điệu Tương vương lại] lệnh Bàng Huyên làm tướng, [nước Yên] muốn nhân lúc nước Triệu mỏi mệt mà tấn công.
二 十五年，秦虏灭韩王安，置颍川郡。	Năm thứ hai mươi lăm, nước Tần bắt sống Hàn vương An, diệt nước Hàn, lập thành quận Dĩnh Xuyên.
燕见秦且灭六国，秦兵临易水， 祸且至燕。	Nước Yên thấy nước Tần sắp diệt sáu nước, quân Tần áp sát Dịch Thủy, họa sắp đến nước Yên.
秦王觉，杀轲，使将军王翦击 燕。	Tần vương biết âm mưu đó, giết Kha, sai Tướng quân Vương Tiễn đánh nước Yên.
二十九年，秦攻拔我蓟，燕王亡，徙居辽东，斩丹以献秦。	Năm thứ hai mươi chín, nước Tần đánh hạ thành Kế của nước Yên, Yên vương bỏ trốn, rời đến sống tại Liêu Đông, chém Thái tử Đan rồi dâng đầu cho nước Tần.
是岁，秦将王贲 亦虏代王嘉。	Năm đó, tướng Tần là Vương Bôn cũng bắt sống được Đại vương Gia.
晋赵鞅围范、中行於朝歌。	Triệu Ưởng nước Tấn bao vây họ Phạm và họ Trung Hàng ở Triều Ca.
文公 予车马金帛以至赵，赵肃侯用之。	Văn công cấp xe ngựa vàng lụa cho [Tô Tần] sang nước Triệu, Triệu Túc hầu trọng dụng Tô Tần.
将军市 被与太子平谋，将攻子之。	Tướng quân Thị Bị cùng Thái tử Bình bàn mưu, định tấn công Tử Chi.
诸将谓齐湣王曰：“因而赴 之，破燕必矣。”	Các tướng nói với Tề Mẫn vương rằng: “Nhân dịp này tiến sang, ắt phá được nước Yên.”
太子 因要党聚众，将军市被围公宫，攻子之，不克。	Thái tử nhân đó mới muốn tụ tập vây cánh, [ra lệnh cho] tướng quân Thị Bị bao vây vương cung, tấn công Tử Chi, [nhưng] không hạ được.
将军市被及百姓反攻 太子平，将军市被死，以徇。	Tướng quân Thị Bị cùng trăm họ quay lại tấn công Thái tử Bình, tướng quân Thị Bị chết, bị đem để thị chúng.
齐田单以即墨击败燕军，骑劫死，燕兵引归，齐悉复得其故 城。	Điền Đan nước Tề dựa vào Tức Mặc đánh bại quân Yên, Kỵ Kiếp chết, quân Yên kéo về, nước Tề thu lại được hết thành trì cũ của mình.
燕王命相栗腹约欢赵，以五百金为赵王 酒。	Yên vương sai Tướng quốc Lật Phúc kết ước hòa hiếu với nước Triệu, dùng năm trăm dật vàng bày tiệc chúc rượu Triệu vương.
还报燕王曰：“赵王壮者皆死长平，其孤未壮，可伐也。”	[Lật Phúc] về báo Yên vương rằng: “Quân của Triệu vương, người khỏe mạnh đều chết ở Trường Bình, con côi của họ chưa lớn, có thể thảo phạt được.”
卒起二军，车二千乘，栗腹将而攻鄗， 卿秦攻代。	Rốt cuộc phái hai đạo quân, hai nghìn cỗ chiến xa, Lật Phúc làm tướng, rồi tấn công đất Hạo, Khanh Tần tấn công đất Đại.
唯独大夫将渠 谓燕王曰：“与 人通关约交，以五百金饮人之王，使者报而反攻之，不祥，兵无成 功。”	Chỉ mình Đại phu Tướng Cừ nói với Yên vương rằng: “Cùng với người ta thông quan ải, lập giao ước, đem năm trăm dật vàng chúc rượu vua của họ, sứ giả về báo liền trở mặt tấn công, điềm không tốt lành, quân sẽ không thành công.”
燕军至宋子，赵使廉颇将，击破栗腹 於鄗。	Quân Yên đến Tống Tử, nước Triệu sai Liêm Pha làm Tướng quân, đánh úp phá được Lật Phúc tại đất Hạo.
乐间奔赵。	Nhạc Can chạy sang nước Triệu.
廉颇逐之五百馀里，围其国。	Liêm Pha truy kích hơn năm trăm dặm, bao vây nước Yên.
赵听将渠，解燕围。	Nước Triệu nghe theo Tướng Cừ, giải vây nước Yên.
十年，赵使廉颇将攻繁阳， 拔之。	Năm thứ mười, nước Triệu sai Liêm Pha làm tướng tấn công Phồn Dương, hạ được Phồn Dương.
问剧辛，辛 曰：“庞暖易与耳。”	[Yên vương] hỏi Kịch Tân, Tân đáp: “Bàng Huyên dễ đối phó thôi.”
燕使剧辛将击赵，赵使庞暖击之，取燕军二 万，杀剧辛。	Nước Yên sai Kịch Tân làm tướng đánh nước Triệu, nước Triệu sai Bàng Huyên đánh lại quân Yên, bắt được hai vạn quân Yên, giết chết Kịch Tân.
秦拔魏二十城，置东郡。	Nước Tần hạ được hai mươi thành của nước Ngụy, đặt làm Đông Quận.
太子丹阴养壮士二十人，使荆轲献督亢地图於秦， 因袭刺秦王。	Thái tử Đan ngầm nuôi hai mươi tráng sĩ, sai Kinh Kha dâng địa đồ Đốc Cang sang nước Tần, nhân đó bất ngờ hành thích Tần vương.
燕迫蛮 貉，内措齐、晋，崎岖彊 国之间，最为弱小，几灭者数矣。	Nước Yên phía ngoài kề sát người Man Lạc, trong thì xen với nước Tề nước Tấn, ở khoảng gập ghềnh hiểm trở giữa các nước mạnh, là nước rất đỗi nhỏ yếu, mấy lần tưởng chừng bị diệt rồi.
王因收印自三百石卖已讼而效之子之。	Yên vương nhân đó thu ấn tín của quan lại từ ba trăm thạch trở lên rồi giao cho Tử Chi.
因搆难数月，死者数万，众人恫恐，百 姓离志。	Nhân đó chiến loạn liền mấy tháng, người chết mấy vạn, ai nấy thảy đều sợ sệt, trăm họ nhân tâm ly tán.
谓郭隗曰：“齐因 孤之国乱而袭破燕，孤极知燕小力少，不足以报。然诚得贤士以共 国，以雪先王之耻，孤之原也。先生视可者，得身事之。”	[Chiêu vương] nói với Quách Ngỗi rằng: “Nước Tề nhân lúc nước của cô có loạn mà đánh úp phá nước Yên, cô vốn rất biết nước Yên nhỏ bé sức lực yếu ớt, không đủ khả năng báo thù. Thế nhưng thực tâm muốn có được bậc hiền sĩ để chung lo việc nước, đặng rửa mối nhục của tiên vương, đó là tâm nguyện của cô vậy. Tiên sinh thấy ai có tài năng, [cô sẽ] đích thân phụng thờ người đó.”
郭隗 曰：“王必欲致士，先从隗始。况贤於隗者，岂远千里哉！”	Quách Ngỗi đáp: “Nhà vua nhất định muốn chiêu vời hiền sĩ, trước hết hãy bắt đầu từ Ngỗi. [Ngỗi này còn được trọng dụng], huống chi người hiền năng hơn Ngỗi, [vậy thì họ] há coi ngàn dặm là xa xôi ư?”
乐毅自魏往，邹衍自齐往，剧辛自赵往，士 争趋燕。	Nhạc Nghị từ nước Ngụy sang, Trâu Diễn từ nước Tề tới, Kịch Tân từ nước Triệu qua, kẻ sĩ tranh nhau sang nước Yên.
燕兵独追北， 入至临淄，尽取齐宝，烧其宫室宗庙。	Riêng quân Yên truy đuổi lên phía bắc, tiến vào tới Lâm Truy, thu hết bảo vật nước Tề, thiêu rụi cung thất, tông miếu.
乐毅 亡走赵。	Nhạc Nghị trốn sang nước Triệu.
使乐乘代廉颇，廉颇 不听，攻乐乘，乐乘走，廉颇奔大梁。	[Điệu Tương vương] sai Nhạc Thừa thay Liêm Pha, Liêm Pha không nghe, bèn tấn công Nhạc Thừa, Nhạc Thừa bỏ chạy, Liêm Pha cũng chạy sang Đại Lương.
剧辛故居赵，与庞暖善，已而亡走燕。	Kịch Tân vốn ở nước Triệu, thân thiết với Bàng Huyên, sau đó trốn chạy sang nước Yên.
